,RFC_mean,SVM_mean,Logistic_mean,Ridge_mean,EN_mean,ET_mean,XGB_mean,Ada_mean
hsa-let-7a_nmiR00001.1,0.0024105591726826343,0.2992521625382999,0.35939024068668546,0.20382444723522677,0.26341130515977157,0.0023350259960075023,0.0026272524,0.0004
hsa-let-7b_nmiR00002.1,0.0012609710071306273,0.11701324781558377,0.16085575933828256,0.07467294863240909,0.03721682343008151,0.0015903244665867048,0.0023791196,0.0002
hsa-let-7c_nmiR00003.1,0.008640626300413248,0.5328215614458555,0.6424394032952547,0.32420433030258955,0.65778201476321,0.006807151443116397,0.010288885,0.01620000000000001
hsa-let-7d_nmiR00004.1,0.0021185889515313535,0.09173782848608596,0.06610672820068206,0.06108358534142094,0.0009379181765946351,0.002037485594179844,0.0045498083,0.004000000000000001
hsa-let-7e_nmiR00005.1,0.002679838241964958,0.16059224900309105,0.14050854468105226,0.12330201203815998,0.14811581124108034,0.003366577945771052,0.0026704094,0.0004
hsa-let-7i_nmiR00008.1,0.0009028820017434006,0.11638400672243321,0.08695032018935947,0.09815733357671334,0.0015121374195789404,0.0014941844694154093,0.0010205255,0.0
hsa-miR-1_nmiR00009.1,0.0013481827006080122,0.14441698224927998,0.07334061566935471,0.09604784300540818,0.0,0.001192584913008533,0.0025814709,0.0006
hsa-miR-101_nmiR00011.1,0.0014650957932798414,0.1694718140006949,0.13944503200675318,0.14577384963115883,0.0051695111865271625,0.0015797327649498638,0.0051616924,0.0004
hsa-miR-105_nmiR00014.1,0.0011631527450927652,0.2365427800911882,0.1868511061568755,0.1740016136799901,0.02010600976147384,0.001564506482586541,0.0012111301,0.001
hsa-miR-106b_nmiR00016.1,0.0011422818567845886,0.11525302312013964,0.08658866863537616,0.07893637990628419,0.0024559689243569237,0.0014288686675731244,0.0022525392,0.0
hsa-miR-107_nmiR00017.1,0.0015911500134475028,0.12242116013791367,0.06515617375446972,0.07259010501777786,0.0,0.0018965426812314879,0.0015120273,0.0012000000000000001
hsa-miR-10a_nmiR00018.1,0.001583005969570225,0.21391677706032663,0.47458421118561256,0.18607294042817984,0.4009770870940975,0.00182693767321866,0.003068048,0.0034000000000000002
hsa-miR-10b_nmiR00019.1,0.0018248965582830063,0.17722119387127416,0.13169487004743352,0.09427763716970775,6.38755317172479e-05,0.0015022003316991855,0.0029385337,0.0012000000000000001
hsa-miR-1178_nmiR00020.1,0.002506239330009938,0.08517545344365797,0.23289818170419643,0.12501837799163573,0.061980110623118374,0.0014777880328597664,0.004873401,0.0038000000000000004
hsa-miR-1179_nmiR00021.1,0.0019412443351216283,0.20129335776725005,0.24711275336926758,0.1254713797479932,0.08939063479482882,0.0018132217200458938,0.0025844125,0.0
hsa-miR-1180_nmiR00022.1,0.004427596535046749,0.09309687195427681,0.19360153936236252,0.08262058609179818,0.04799437916798977,0.0030349872365304053,0.004630219,0.002
