,RFC_mean,SVM_mean,Logistic_mean,Ridge_mean,EN_mean,ET_mean,XGB_mean,Ada_mean
ABI1_MUT,7.273380387906989e-05,0.005893969740226007,0.025362981493277023,0.005951457485619792,0.005348949696995555,6.533392462040623e-05,0.0,0.0
CDH2_MUT,6.631201311655022e-05,0.004177585994720639,0.020306221415016056,0.003925932927433249,0.007656984319128199,5.8585932668540634e-05,0.0,0.0
HDAC6_MUT,0.00011927167227013126,0.008556963903781524,0.03611310337731131,0.008598685638108935,0.008149584104984514,0.00018382978098913425,0.0,0.0
CDH3_MUT,6.429383040052004e-05,0.006968732816421618,0.028029153520592116,0.006748478881740561,0.004400016285139122,6.294207657933999e-05,0.0,0.0
PTPRU_MUT,3.675042127262762e-05,0.002071496708850766,0.008178328352529598,0.0020558756703509574,0.000247433868983113,4.031882505120291e-05,0.0,0.0
CDH11_MUT,6.981900212448306e-05,0.005510449799295395,0.022254219637502248,0.0058693890806741835,0.003120854178193791,8.139338659850927e-05,0.0,0.0
RAD50_MUT,0.00016520899403840394,0.007463048629786001,0.02916754433337546,0.007355480095346966,0.006071463515842451,0.00010699769529174107,0.0,0.0
HIPK3_MUT,4.746873342860714e-05,0.004547129502051974,0.02021160898286262,0.004345400932352008,0.0035411813048161454,1.6954183394890736e-05,0.0,0.0
AKAP9_MUT,0.00024837179793880037,0.005916344605982195,0.026093010330355146,0.0052442678841094145,0.007131403345932197,0.00017390430835938827,0.00019941878,0.0
TRIM28_MUT,0.0002507385061911353,0.01259711455230692,0.05447137024686619,0.013107546125373523,0.028631459108261054,0.0002907571199263522,0.0007224077,0.002
ODZ1_MUT,0.0002188134890490848,0.010766755622867994,0.04835580443056468,0.011621900713611622,0.030671317624069164,0.00011228052089023827,0.0009849145,0.0004
TNK2_MUT,0.00041863599701767626,0.013689568356181656,0.0573393072628984,0.01341277427751531,0.02466631846962013,0.000494165238315357,0.0008151951,0.0004
GPHN_MUT,0.0,0.0009689356673904183,0.003903711701332651,0.0010766411823670905,0.0,0.0,0.0,0.0
ABCC4_MUT,6.434487846564424e-05,0.0033837767915909645,0.01556756293934968,0.003229050195459299,0.0020769246199053345,5.293562106439177e-05,0.0,0.0
SPEG_MUT,9.361835160221197e-05,0.003671708650329934,0.013487053308037402,0.0037266928709317527,0.001172193582739425,6.51736551083497e-05,2.0398162e-05,0.0
CDKN2A_MUT,5.670130869586415e-05,0.0026750954179768165,0.0110786200156296,0.002722750908248717,0.0006189298214315082,5.1677812703389686e-05,0.0,0.0
DLC1_MUT,0.0003178099018663611,0.007395257180852076,0.03484140057012861,0.007404373467740846,0.014740048853841866,0.0002408056430786412,0.0008776557,0.0002
CDX2_MUT,3.258043660431513e-05,0.002807070485733724,0.012522074827649395,0.0027175045472280068,0.0018525133099929027,3.206003650976947e-05,0.0,0.0
MERTK_MUT,7.196005454597692e-05,0.0034823793205819692,0.01521043702003062,0.003544170849127123,0.0022668870760577356,5.622139584892974e-05,9.9871606e-05,0.0
NCOA2_MUT,0.00010424127003004385,0.007239534417075881,0.03205724799654426,0.007020574137929102,0.012302656954657883,0.00014041574775588484,8.80513e-05,0.0002
OLFM4_MUT,0.00010581666129368328,0.005150821381409253,0.01671241632403761,0.005227484162917211,0.0027710331794611053,9.753338028127487e-05,0.0,0.0
ARFGEF1_MUT,5.2318420608826986e-05,0.005960700940234623,0.02760964387683211,0.005771628400230319,0.01185552139834632,4.353111968923849e-05,0.0,0.0
SMC2_MUT,0.00013451581603489792,0.006590723091715603,0.027510926643267538,0.006695720205023174,0.004862708702197458,0.00011568338356456894,0.0,0.0
ERN2_MUT,3.636239856609335e-06,0.002093812034603782,0.009817624798423246,0.002256522502457114,4.788721363640754e-06,6.0928277623768475e-06,0.0,0.0
