,RFC_mean,SVM_mean,Logistic_mean,Ridge_mean,EN_mean,ET_mean,XGB_mean,Ada_mean
hsa-let-7a_nmiR00001.1,0.0012580591537894631,0.2719922170690631,0.23016350007109523,0.20657581145391052,0.031282493339904606,0.0015701392714355506,0.0023789594,0.0004
hsa-let-7b_nmiR00002.1,0.0010229038520203659,0.0991384221069434,0.10629807701094389,0.0641177503736199,1.767685629294124e-05,0.0015713870802218503,0.0019734935,0.0
hsa-let-7c_nmiR00003.1,0.0019231716846284485,0.20117259921171587,0.24071236824437764,0.1850705147338073,0.06380519379549905,0.0028183203765780648,0.0021905003,0.0006
hsa-let-7d_nmiR00004.1,0.00554255935493386,0.250981811167347,0.39888123680894305,0.20214207133613832,0.2623693497331606,0.0030434483918219883,0.0035402593,0.008400000000000005
hsa-let-7e_nmiR00005.1,0.0016600239119452806,0.30441633691719533,0.2788161681803669,0.16118594852765653,0.15300331222426544,0.0017296914821445925,0.0013775406,0.0004
hsa-let-7i_nmiR00008.1,0.0012259378185425166,0.14126986748632958,0.1596085032229944,0.09856069238105741,0.039942124355488655,0.0019390605103290614,0.0026237287,0.0012000000000000001
hsa-miR-1_nmiR00009.1,0.0017844804103915842,0.15740003289529114,0.1481119578885442,0.06882368801199264,0.0008365211176813786,0.001422747982709259,0.0013543803,0.0018
hsa-miR-101_nmiR00011.1,0.0015064824439030642,0.16346842589421393,0.11822558978090246,0.1253549901000054,0.0015753724314686145,0.0017039971410142028,0.0038567455,0.001
hsa-miR-105_nmiR00014.1,0.0012542280573114744,0.3875125202866294,0.18386522129455166,0.22863029553114747,0.004159977670493923,0.0015812711557389586,0.0012655981,0.0021999999999999997
hsa-miR-106b_nmiR00016.1,0.0016152959871357567,0.3870669432498694,0.30892552435762066,0.23883474059829599,0.1418921168309625,0.001547844978558621,0.0056873197,0.0
hsa-miR-107_nmiR00017.1,0.002024695233164132,0.0973109544446388,0.08791398706525476,0.06512569284219386,0.000574339766013,0.0017938895997829253,0.0016896938,0.001
hsa-miR-10a_nmiR00018.1,0.0016178534642849105,0.2121751531598828,0.10645198735694289,0.16250505606938787,0.007911122082959106,0.0020083401363638295,0.0020798717,0.001
hsa-miR-10b_nmiR00019.1,0.004570608424408176,0.17141268344891755,0.20716317631971354,0.12065345610979376,0.04082003473744506,0.0020390025251405828,0.0077926735,0.0044
hsa-miR-1178_nmiR00020.1,0.0013516566009248504,0.15820319964007015,0.28248957718671663,0.14005855348167928,0.13436869935846718,0.0017517351562301906,0.0013464338,0.0002
hsa-miR-1179_nmiR00021.1,0.0013138907430251556,0.09975519288984488,0.06554639484950593,0.05924801917299229,0.0,0.0015373474187747908,0.0006144078,0.0002
hsa-miR-1180_nmiR00022.1,0.003360306891219284,0.06575993708183557,0.05912369829968748,0.04377911664607176,0.0,0.0023099452100098453,0.005256271,0.007600000000000003
hsa-miR-1181_nmiR00023.1,0.001489865895958177,0.13672923261082875,0.09633977548392414,0.10607781843940219,0.0014034728107050899,0.0016689090132866635,0.0018857254,0.0016
hsa-miR-1183_nmiR00025.1,0.0014798008432038246,0.12333422083467795,0.18170956541846878,0.08695341956374954,0.019974049863526643,0.0018891835732412733,0.0017933319,0.0
hsa-miR-1185_nmiR00027.1,0.001860669063716814,0.29498813800783646,0.4064508018695633,0.2447351463284443,0.24968740601423825,0.0015583599187720242,0.0012122685,0.0012000000000000001
hsa-miR-1197_nmiR00028.1,0.0016738404948261649,0.1840975019093701,0.20028685352474013,0.12504846225560146,0.08500492993558702,0.0016754057881533735,0.0029464236,0.0006
hsa-miR-1200_nmiR00029.1,0.0014226831090497177,0.14115014004091025,0.10258259352743408,0.09230400660804436,0.017132612617623996,0.0013558821710904611,0.0016186521,0.0004
hsa-miR-1201_nmiR00030.1,0.001064197876880063,0.15368523130967257,0.1723921022025823,0.11473520682604488,0.005098999466931995,0.0012500475483930265,0.0006849635,0.0
hsa-miR-1203_nmiR00032.1,0.0020399437261585094,0.29549090476938905,0.269007732130901,0.1386394593083135,0.06770964548430315,0.0017687362823039043,0.0016894399,0.0006
hsa-miR-1204_nmiR00033.1,0.0016034554533774542,0.1165925381202641,0.09743545360214163,0.077978997845663,0.000551328651849873,0.0018916454209331063,0.002214432,0.0014000000000000002
hsa-miR-1206_nmiR00035.1,0.001410267341553359,0.27393898044057113,0.14055567417774997,0.1614113365489893,0.0031191433248877586,0.0015489995309426639,0.001896535,0.0
hsa-miR-122_nmiR00039.1,0.001864655398559008,0.01201879839580483,0.006772935495614449,0.007839982320652722,0.0,0.0016300862278204847,0.0012580368,0.0004
hsa-miR-1225-3p_nmiR00042.1,0.001326930060627802,0.12827556844123036,0.15391558259614055,0.09077579319565755,0.01233804371482939,0.001517359204716274,0.00050034537,0.0006
hsa-miR-1226_nmiR00044.1,0.002142469082245334,0.23517203183296304,0.19458499996469658,0.19080509201834717,0.03851192389363629,0.0022680115192468056,0.0012805873,0.0016
hsa-miR-1227_nmiR00045.1,0.001510594844466922,0.3912230657708755,0.24706533382196688,0.23221530427812476,0.02940545028194336,0.0014876590528865939,0.0013252676,0.001
hsa-miR-1228_nmiR00046.1,0.0018957196295608938,0.17537205327421596,0.1064061256577301,0.10921592314708724,0.0012812577094148583,0.0017272745267647893,0.0008297371,0.0
hsa-miR-1231_nmiR00048.1,0.002724031785656997,0.5347743695441054,0.5528318291615473,0.37579668214753426,0.3874588686270862,0.0026554104816404866,0.0020762738,0.0038000000000000004
hsa-miR-1233_nmiR00049.1,0.0018128805777015255,0.1855206999887592,0.44525754514419746,0.17094113225788074,0.3958395804906397,0.0024534237291961667,0.002106381,0.0018
hsa-miR-1236_nmiR00051.1,0.0009843944477437889,0.2616392615566631,0.25971482897618814,0.17928251621042876,0.062263477670050575,0.001512548701310671,0.0012388297,0.0008
hsa-miR-124_nmiR00054.1,0.001714317893644414,0.10740852315313543,0.11224331104351724,0.07397803339566214,0.00717426660826378,0.0015323597337130628,0.0022893166,0.0004
hsa-miR-1243_nmiR00055.1,0.0017202771002995257,0.5282355523194777,0.41910117619969883,0.3535065588309906,0.17426099208613155,0.0017280015885330732,0.00066188263,0.0008
hsa-miR-1244_nmiR00056.1,0.0014418561402135494,0.2769847787109624,0.18008945061792253,0.20925186651725888,0.00034223053499022785,0.0016214244714629334,0.0013916404,0.0002
hsa-miR-1245_nmiR00057.1,0.0014929363133965282,0.17633779776331074,0.11716815008978779,0.09937315744658384,0.003567341997108535,0.0016382463240317083,0.0021338458,0.0027999999999999995
hsa-miR-1246_nmiR00058.1,0.0019288510861546488,0.13721654873014175,0.20705461298609007,0.1256895570777586,0.02629822741837816,0.0015081998147738673,0.001678438,0.0006
hsa-miR-1247_nmiR00059.1,0.0022980636445149943,0.219905270164791,0.14891845878254803,0.1367282385836159,0.0031784934443275805,0.0020344166263207013,0.0021395301,0.005400000000000003
hsa-miR-1248_nmiR00060.1,0.0007293933067271641,0.20787303701687654,0.11659179588586968,0.12346221112891659,0.004408901636584081,0.0015192823701135113,0.0016152577,0.0006
hsa-miR-1250_nmiR00062.1,0.0019144844553428111,0.30698494205308474,0.42054591308594347,0.25271574678413594,0.3060768656925397,0.0015022742650043733,0.0017134116,0.001
hsa-miR-1251_nmiR00063.1,0.0014624016186258954,0.28454614299961467,0.28850756808561995,0.20888604826310053,0.10811611441821106,0.0014897513751884553,0.0027834976,0.0008
hsa-miR-1252_nmiR00064.1,0.0019066631760712694,0.3648563331394902,0.3875403332231367,0.28344434762723125,0.19147261138930147,0.0021035321950924374,0.002163493,0.0036000000000000008
hsa-miR-1253_nmiR00065.1,0.0011903178049432537,0.24391295759183632,0.12348362543129648,0.14456857737052015,0.0054705441839326685,0.0017482342444486059,0.0014871081,0.0
hsa-miR-1255a_nmiR00067.1,0.0012078078882696581,0.09784604669286166,0.14753993002218413,0.0684446427650725,0.020394534973681478,0.0014298317320420432,0.0011225913,0.0
hsa-miR-1256_nmiR00069.1,0.0015152953633469641,0.21976117059867853,0.13647103276941816,0.11231954329475063,0.017853474979861447,0.001783172067257993,0.0016183573,0.0002
hsa-miR-1257_nmiR00070.1,0.0016477472518803362,0.3017981521339619,0.2367323507886716,0.17899995387406878,0.04463826976268659,0.0017345100883547735,0.0012481374,0.0012000000000000001
hsa-miR-1258_nmiR00071.2,0.0014325226155530147,0.19896069747925665,0.14390223598646695,0.1261195178933628,0.011508523033322313,0.0020762127920001027,0.0031471315,0.0008
hsa-miR-1259_nmiR00072.1,0.002675019591772013,0.6451029005414911,0.642909702421757,0.4380663434095718,0.5306057505903068,0.002494640038535375,0.0056986976,0.009400000000000006
hsa-miR-125a-3p_nmiR00073.1,0.0014043082667562065,0.23564445813959511,0.17410297093005522,0.16833179027020007,0.011442002430780118,0.0015408915086156624,0.0011544197,0.0
hsa-miR-125b_nmiR00075.1,0.008460106200395912,0.20592528588144976,0.2788778007332973,0.12518194066202518,0.148286641542007,0.003346089584002976,0.0075950734,0.012400000000000007
hsa-miR-1260_nmiR00077.1,0.0019259029356134096,0.15672732504032402,0.19592530347550605,0.1255032575657307,0.06713713263263449,0.00202567951626405,0.0024475867,0.0002
hsa-miR-1261_nmiR00078.1,0.0017780987330470075,0.5560326308954651,0.47156786340159,0.3566466467526337,0.3218097899700816,0.002148005100128371,0.0018527531,0.0004
