,RFC_mean,SVM_mean,Logistic_mean,Ridge_mean,EN_mean,ET_mean,XGB_mean,Ada_mean
14-3-3_beta,0.0034090195351562757,0.19040260341750506,0.14349043088308563,0.15761468236472173,0.02117779714905685,0.0043568190181529015,0.005333607,0.0006
14-3-3_zeta,0.0035967777389730184,0.7832269961693324,0.48495234315979635,0.47998986440783864,0.27080536841926894,0.004131583942018137,0.0049978304,0.0072000000000000015
4E-BP1,0.004180893478592684,0.5000700428750732,0.46256614969609644,0.3505555051647687,0.30723553744499615,0.005524079514533657,0.006891939,0.027800000000000016
4E-BP1_pS65,0.011045888729938906,0.5007372546312283,0.2050341881043142,0.38136056771634613,0.0020016463844495557,0.007511901247726389,0.007790745,0.0024
4E-BP1_pT37_T46,0.004298467737947827,0.3618388415488512,0.19437233343881818,0.18123011094233327,0.007726447348527497,0.00487529555934597,0.003552451,0.0032
4E-BP1_pT70,0.005390431203547875,0.48737784231369685,0.3115702288937929,0.21449216230416027,0.0851053140017977,0.004740231365534658,0.0042214636,0.0018
A-Raf_pS299_Caution,0.004468609341368674,0.3356881975875885,0.17049468859795136,0.267277004714484,0.0067637282582268,0.005231465925770279,0.0020738796,0.0021999999999999997
ACC_pS79,0.004764427296191486,0.6507897236318908,0.556758889078339,0.48410399124825043,0.29335716895709285,0.004753582553790463,0.0033123018,0.004800000000000001
ACC1_Caution,0.00580321744560128,0.44400162743204946,0.4512764447120175,0.3137358733848716,0.2367263417668878,0.005238602993743176,0.0033996347,0.007000000000000002
Acetyl-a-Tubulin (Lys40)_Caution,0.004835047186704453,0.6516001861094083,0.6437513803854327,0.4753347129772444,0.485336046133985,0.005421237155817561,0.009669388,0.013000000000000006
ACVRL1_Caution,0.0035409060597699875,0.16457137069511535,0.10687454432468543,0.13956498769815417,9.664194960937426e-05,0.004233966223164464,0.0052614487,0.0018
ADAR1,0.012617140785532954,0.9290042163824762,0.8552384337010251,0.6771751899941417,0.6800141678226777,0.007498628134720131,0.0066283094,0.029400000000000016
Akt,0.023618817039397597,0.4866259009391456,0.6257926223789386,0.2812787896296923,0.6663128166546312,0.013446825436226632,0.0221927,0.0076000000000000035
Akt_pS473,0.006452871226744639,0.601069206530784,0.5619544494787353,0.3485269677354911,0.4575182717278537,0.007690113603939723,0.0060807723,0.01680000000000001
alpha-Catenin,0.00874192566275423,0.28466919315071243,0.21874875322540308,0.2539221501586586,0.013928741343826155,0.007626055720964262,0.005214398,0.001
AMPK_alpha_Caution,0.0037719594041558556,0.24480059922721137,0.1789146412270767,0.1354934341741746,0.03244649763297613,0.005143415727559592,0.0061242813,0.0002
AMPK_pT172,0.0049688381667082355,0.3403332422631167,0.23312349870997606,0.13024730955863487,0.09467977674722648,0.004555752644998193,0.007380644,0.004200000000000001
Annexin 1,0.004535926192663626,0.4225240125541124,0.4953334445305944,0.17541321368122043,0.3574113190355243,0.005394082847570902,0.0032172191,0.0014000000000000002
Annexin_VII,0.010375062268883182,0.36445520193772807,0.4704057668890293,0.2601180536189104,0.37062951875157796,0.00842921961801243,0.0100463,0.008600000000000003
AR,0.009861957497732334,0.5322807429334993,0.6634251392589978,0.28117572619145564,0.7371590730130323,0.010095677141679048,0.0065877694,0.013800000000000008
ASNS,0.004063637865809829,0.23670396953027684,0.13279120058933253,0.12198050163825626,0.009610502873959838,0.004681221202327596,0.0043336195,0.0034000000000000002
B-Raf_Caution,0.0035211774025630522,0.30722788326257705,0.1521280338150617,0.12774632933776214,0.00969405939348541,0.005291215463945428,0.0108386185,0.0002
B-Raf_pS445,0.006526023058084525,0.18631881016498208,0.19079940925997746,0.13338319248935834,0.03893928485824363,0.006554084153958168,0.005201323,0.005200000000000002
Bad_pS112,0.004882541585233338,0.510547332102131,0.3791845094917798,0.2413151195451624,0.15982193644563453,0.005676247326933637,0.0037893292,0.021200000000000014
Bap1 c-4,0.0050326922352419735,0.427826608650885,0.16528774109484168,0.26172486175047854,0.0049729203256935915,0.005188246013294908,0.0072833253,0.005600000000000001
Bax,0.002880459552674739,0.2165192834861399,0.11297241649488082,0.1895375775145453,0.0,0.0038102857109897563,0.002509846,0.0027999999999999995
Bcl-2,0.003931448649018224,0.9095081007401709,0.7646799192746572,0.6818277063123529,0.579478404596722,0.005800545678534437,0.0075104106,0.009600000000000006
Bcl-xL,0.0037710532901038107,0.7409733761488524,0.359091537636236,0.43011173180489676,0.0811936054243701,0.004977063683029694,0.004289712,0.0027999999999999995
Beclin_Caution,0.0032058664909994663,0.21446455312456972,0.167455373743123,0.11598568832406451,0.008150052545550684,0.004228369366693607,0.004032077,0.0025999999999999994
beta-Catenin,0.00402398622388593,0.515441740550932,0.471397136296937,0.24343352968896884,0.29488276276865455,0.005170863171085064,0.005602616,0.005800000000000002
beta-Catenin_pT41_S45,0.004396887139801767,0.36688649556772623,0.1950682478488478,0.274879367693655,0.007613943246119461,0.004883801243289928,0.0051459135,0.0038000000000000004
beta Actin_Caution,0.004021832665646874,0.19918435526972464,0.19876487071790272,0.14037366012220098,0.05563364592588588,0.005073577578552472,0.008406453,0.0024
Bid_Caution,0.0038092852558824514,0.3161985234261447,0.3099938780276434,0.22276689027314936,0.1062721713452727,0.0043613317473207465,0.0029248523,0.004800000000000002
Bim(EP1036),0.010931334824389181,0.5281811393655752,0.49199524236859943,0.3600734635456251,0.19312436531216662,0.007582073392325299,0.006077087,0.005200000000000002
BRCA2_Caution,0.004357403072296011,0.1783771461954727,0.16215056063404223,0.10723172841254561,0.0051790236024886645,0.005768701903495796,0.00373132,0.0021999999999999997
c-Jun_pS73,0.004738396932844389,0.1931034941813992,0.12262685870563735,0.12170370335104869,0.001732004177152099,0.004977349544514589,0.005171542,0.0021999999999999997
c-Kit,0.0038886283751898075,0.32726531553526217,0.13315184728905777,0.170279581392091,0.00478900550179504,0.004750367036769462,0.0038472007,0.0004
c-Myc_Caution,0.0035347354539354775,0.22601246177640033,0.21291001728820863,0.17458029245467377,0.0139298568026395,0.0037352843675969084,0.0041879285,0.0
C-Raf(BD610151)_Caution,0.011484097306547078,0.8498064207122628,0.6718940882314258,0.4567700892917875,0.535495838170742,0.00950884639929043,0.0048463745,0.012000000000000005
C-Raf(MP05-739),0.011403341378734161,1.0403160488401388,0.7470220210149823,0.4614022807557056,0.7577529594559225,0.008960627203551681,0.018011265,0.008800000000000004
C-Raf_pS338,0.004519187879266297,1.189054888480411,0.7770642637374087,0.7659878004370537,0.723702670059109,0.004792077440735368,0.0030686932,0.006400000000000001
Caspase-7_cleavedD198_Caution,0.00434765070653533,0.25095285649758015,0.2160766347570944,0.21369541924386964,0.0530774537882587,0.004746344923993313,0.0026305134,0.0012
Caveolin-1,0.006530198864576992,0.7338706600714534,0.7668544048234103,0.4822869222700086,0.7226726530549965,0.004857015926635397,0.012674234,0.01680000000000001
CD31,0.004291582589919954,0.4926342949891471,0.39689819744715493,0.3403028221487917,0.13302689008009425,0.004494708214325772,0.0032796806,0.0004
CD49b,0.005426910319873338,0.22541048928913834,0.16521203563260456,0.13256305003137073,0.02383501021693831,0.005892036465810314,0.0016853352,0.0006
CDK1,0.0032069659229932413,0.17691504131670704,0.11400121075753773,0.11269406203796786,0.005994568850746373,0.003881424774095992,0.002071017,0.0
Chk1_Caution,0.003403074793591163,0.22263249297953944,0.2912840311329723,0.18219319037855652,0.12328649245146917,0.004618307752435117,0.0022705446,0.0032
Chk1_pS345_Caution,0.0037954250787297404,0.27229970498388145,0.22809062369401545,0.20873732835900038,0.027227926926540205,0.00347186064994958,0.006881552,0.0006
Chk2,0.0038207190528309425,0.22180669324376837,0.2395578678900619,0.11864715819574799,0.05246971965869051,0.003849179108064636,0.003494106,0.0008
Chk2_pT68_Caution,0.003474070232340676,0.8808254413698343,0.6526606441916316,0.5306043634496327,0.6494358381122529,0.004132061282142019,0.005865308,0.008200000000000004
Claudin-7,0.011264633050047991,0.20253459991352243,0.2672749225557924,0.18725628405396155,0.0802604735794228,0.016311932301901873,0.004700282,0.0016
Collagen_VI,0.003299609357300748,0.3786990447584141,0.1934741805557918,0.3931556628820793,0.008340202575259817,0.005675612992904031,0.0043010316,0.0038000000000000004
Cyclin_B1,0.0033261778890474893,0.1770595936328946,0.1027684230794165,0.09939907021247174,0.0008115931659182198,0.003765303316091928,0.0024922446,0.0008
Cyclin_D1,0.002551546933072532,0.2518040270941231,0.10787552227294821,0.17090648917543114,0.0002777864688925093,0.003725920715229914,0.001058402,0.0002
Cyclin_E1,0.003149143120115677,0.21998555551433494,0.13098281659402625,0.12264182471394941,0.005839958065120052,0.0042211016587752805,0.0019689342,0.0038000000000000013
Cyclin_E2_Caution,0.003946581865040125,0.27113375506834053,0.18030289758649304,0.14263120542730257,0.04224847722834264,0.004739726344472895,0.003340382,0.0004
E-Cadherin,0.02286359028094402,0.24249302760974595,0.4788410839434241,0.14760754421255196,0.3250988746828471,0.019187995489472948,0.015959674,0.0034000000000000002
eEF2_Caution,0.004502993091495699,0.36159681018558537,0.2475447598476038,0.12340990758342275,0.028729583180423686,0.005439535002871564,0.0039021345,0.0032
eEF2K,0.00445924339973429,0.2119343402059006,0.16000528080002127,0.14746588991905177,0.012989418678434195,0.004881401505708905,0.0048855036,0.0016
EGFR,0.013280647538141586,0.9585349654365284,1.0500724688301681,0.548108854734638,1.382696065945928,0.012061394394035904,0.005321052,0.01880000000000001
EGFR_pY1068_Caution,0.01779044224239138,0.6600999419471709,0.6665262345441925,0.36466198438605196,0.5974754981306495,0.014493142734317987,0.019469442,0.013600000000000008
ETS-1,0.00279321004689571,0.29145133883144037,0.38971289584562285,0.1412731349709986,0.21177682587334115,0.0042904648803374695,0.006157339,0.008400000000000005
Fibronectin,0.005917724926152866,0.23103509232477382,0.32215670226952164,0.13026318227414774,0.16882523295957985,0.006388801863282807,0.011696497,0.0036
FoxM1,0.004209842815875521,0.4517216637898105,0.257883076328463,0.189233974086071,0.054753963920809806,0.004164876136150905,0.0032488569,0.001
