,RFC_mean,SVM_mean,Logistic_mean,Ridge_mean,EN_mean,ET_mean,XGB_mean,Ada_mean
3-phosphoglycerate,0.012297923100367994,0.25596547763258765,0.36055636925758316,0.1347679431863359,0.2742654314149552,0.012121923505417907,0.0321343,0.008000000000000004
alpha-glycerophosphate,0.03847939262590268,1.0688392682744507,0.7856021971933268,0.5662557276827309,0.7566778039755754,0.031484279312671976,0.04229616,0.03260000000000002
isocitrate,0.009343632241887204,0.47940978423449737,0.2886233701068514,0.3002780049335176,0.10904643931739959,0.011306871552345445,0.018088896,0.0024
cystathionine,0.01948773460901218,1.2930345479773526,0.9341300603889376,0.8331957746013802,0.9200713130231154,0.01868945022033376,0.021831663,0.029600000000000022
cytidine,0.01208939409932467,0.25184923045563545,0.2740716411777651,0.2100044916670156,0.020217799320774704,0.013742001461495214,0.005892432,0.007400000000000003
dCMP,0.01206924362342275,0.24838935166099468,0.2723538611685396,0.1736488326505388,0.09333677158207727,0.014795465957136943,0.015641395,0.009000000000000005
DHAP/glyceraldehyde 3P,0.01713143643575565,1.0649598187153373,0.5552909443384149,0.6252448236737879,0.2099000663081778,0.015551777068283817,0.01628855,0.02620000000000002
hexoses (HILIC neg),0.01814875945501067,0.7103074555853697,0.6443458363116489,0.4662663200954242,0.8109148812131185,0.0186126512234821,0.012808305,0.022600000000000012
guanosine,0.009814461102087108,0.521664045353647,0.40060726245492256,0.22968203821177952,0.24798436637346222,0.011591685798789742,0.010220891,0.0016
hippurate,0.019633185246381676,0.17390299329292982,0.1444887804728846,0.12738930305722543,0.03021981934465194,0.01836881039159805,0.010175535,0.015000000000000008
hypoxanthine,0.015737044633649548,0.2513359333017421,0.1676898721258553,0.14933113385870966,0.03327801096390225,0.013630516186744997,0.019193767,0.02300000000000001
inosine,0.012828229642275781,0.38317426887923,0.31952772813105557,0.18912093772145583,0.14918594725632195,0.014231144918116502,0.016551858,0.012600000000000007
NADP,0.010548862366065424,0.5659938514821582,0.35142614003744244,0.29130087039976443,0.13790311110235565,0.011549953322842098,0.011125078,0.015000000000000008
oxalate,0.034366146146939135,0.4217610808525827,0.4221811408943541,0.19805174104308462,0.14296811716483446,0.022745285038189803,0.036510535,0.029000000000000022
pantothenate,0.015034457226779487,0.6139930593181094,0.5224679368875903,0.5047598899986289,0.13816662004521163,0.01268789733552189,0.01925327,0.024800000000000016
PEP,0.011095521748287096,0.40814959180789956,0.26762456237323223,0.21478736107674762,0.11078128272981011,0.01335161024512912,0.01167372,0.0034000000000000002
UMP,0.021539164721265873,0.3143815468180885,0.4569425104049838,0.22720370518655322,0.1885989826122226,0.019237931319237636,0.007649057,0.008800000000000004
uracil,0.014423780905145171,0.3331962090732074,0.34281347059034617,0.1769312246397095,0.3129869116480771,0.014995097918506999,0.018085249,0.005600000000000002
urate,0.01848949984170217,0.16934497476070426,0.11730850707005912,0.1317952463371492,0.01847391302693472,0.015936049484055484,0.016674904,0.006800000000000001
uridine,0.010406826604100403,0.27538245558708296,0.10177355279351036,0.11521565986721818,0.0008087363717995211,0.013589636874312298,0.0136869205,0.0052000000000000015
taurodeoxycholate/taurochenodeoxycholate,0.012838172550105111,1.0420404187243455,0.7865230810216941,0.6566445681890785,0.6091467730611203,0.01802450356036474,0.012212244,0.020400000000000015
phosphocreatine,0.014116610285132378,0.3142192121099272,0.15316353848891928,0.20251951559569414,0.05061533350876206,0.013672833406776372,0.018968118,0.009000000000000003
alpha-hydroxybutyrate,0.03740121248422039,1.9842582036985417,1.4358939768007675,1.3551834253776658,1.9025998061630596,0.026144480001780712,0.02684657,0.061599999999999995
inositol,0.011897424874741547,0.21893120611191705,0.18546938278092373,0.14014958954039813,0.05133991080929996,0.013140761636526005,0.012212582,0.006400000000000002
malondialdehyde,0.03451054557907998,0.610356422992675,0.6185777334038921,0.25348402728741054,0.36068907189630417,0.024250281537984794,0.030381799,0.05099999999999997
serine,0.013989192498604601,0.5335254568865223,0.4503616265473348,0.37510650090063896,0.16733966495171654,0.012161311757098043,0.021529308,0.021400000000000016
asparagine,0.0093298638132635,0.3273775805579382,0.26251397164843393,0.247832809580987,0.04930652874131605,0.011559259690819614,0.011002627,0.0072000000000000015
glutamine,0.009409601800687614,0.5556227704700979,0.4023186619298423,0.322854637257993,0.16012649973613052,0.010360666413970378,0.010563799,0.007800000000000002
