,RFC_mean,SVM_mean,Logistic_mean,Ridge_mean,EN_mean,ET_mean,XGB_mean,Ada_mean
3-phosphoglycerate,0.020258311010462045,0.3159195233301626,0.38752497563631527,0.15923361693399263,0.135154487956462,0.016946905013729373,0.020630281,0.012600000000000007
alpha-glycerophosphate,0.015249901334843696,0.7235096048519688,0.366249750149102,0.31719165092190627,0.14030521830028422,0.013756355234686808,0.012562501,0.01480000000000001
isocitrate,0.01279023813726856,0.24303107823937117,0.13620033367810577,0.3033392976623348,0.005386348623217619,0.012875444971679806,0.010422561,0.008800000000000006
cystathionine,0.021600985769021013,0.4519025945441972,0.46594020222652355,0.2062051674059754,0.33630438023653325,0.01722837793771572,0.023418587,0.013200000000000005
cytidine,0.01675874737381247,0.6113056857360349,0.5976152690614213,0.3171043681972217,0.3458038205094119,0.018854532859223522,0.012084538,0.029800000000000017
dCMP,0.011760213104122695,0.313186496393192,0.2003836945408749,0.17422732694159834,0.015518526161071754,0.013484158526434092,0.014592324,0.005
DHAP/glyceraldehyde 3P,0.010851907201889461,0.40284344590198773,0.35040106748442157,0.39460066292767315,0.20914387151119596,0.01265530881048376,0.009465844,0.011600000000000006
hexoses (HILIC neg),0.007884986499204133,1.0909453120354753,0.5315637655461452,0.9541778827261621,0.13095979362695975,0.011746760158010638,0.014682392,0.0027999999999999995
guanosine,0.030391173927353375,0.9767543476649198,1.0330369463473723,0.48358014248518294,1.0896166152040494,0.02846747280887938,0.029811036,0.02780000000000002
hippurate,0.011041351432160874,0.2932267327113575,0.23372790799377094,0.27264207473058943,0.03924201967700471,0.012105021846438408,0.012451837,0.0044
hypoxanthine,0.015742621283817152,0.30357772258611526,0.37660653857564397,0.18050848287001148,0.3577790144246037,0.015439250532270849,0.012147546,0.013600000000000008
inosine,0.022035705277006747,0.7563580349095237,0.7629889320401717,0.5019358332818267,0.48565717200708536,0.019660452338313768,0.017474683,0.013400000000000007
NADP,0.01475743959702245,0.8848891529028373,0.5811654828087987,0.4018871938882821,0.462349627836348,0.014936039756144624,0.015042062,0.023800000000000016
oxalate,0.01156078616559885,0.4662165608658877,0.3921625318100866,0.28864747430768056,0.2959701170531911,0.01318823463357336,0.029817114,0.008000000000000002
pantothenate,0.026343574982514092,1.088434138919452,0.8747041287279949,0.6479634491932648,0.7562702307208917,0.01769186005871032,0.013866291,0.03400000000000002
PEP,0.01778479631928349,0.8685463152863301,0.8422368597851666,0.5979716140384049,0.8003458743962122,0.017669536340684154,0.017463792,0.013400000000000007
UMP,0.013260014435534779,0.8642931701746952,0.37696733980218206,0.6312820684881939,0.03205134240005897,0.012059288327364373,0.01205383,0.010600000000000005
uracil,0.011748690705858458,0.5883840743658219,0.2930921165920809,0.25424051280142224,0.21528427628641533,0.013176965022199586,0.012763723,0.006000000000000002
urate,0.01693029928648413,0.665520424411238,0.5639200752558357,0.4489427016885743,0.5193434737695836,0.013337919462739758,0.012254187,0.031000000000000024
uridine,0.012903853989809531,0.5681765876243638,0.3790591029697161,0.39521914417468834,0.13973775357360793,0.012963792228286692,0.018231636,0.010800000000000006
taurodeoxycholate/taurochenodeoxycholate,0.015248048516259542,0.6602371622031289,0.4545943687673388,0.31558804236279975,0.36891107692158626,0.015731831294656808,0.012452725,0.010200000000000004
phosphocreatine,0.013505769494305892,0.44540114178202317,0.3907544327712217,0.21525851482093977,0.1277051641401631,0.014634612958474173,0.015771672,0.004400000000000002
alpha-hydroxybutyrate,0.01458749738798301,0.6692311821008698,0.36013938670502443,0.34263688511929113,0.17157152312900056,0.014007971550513818,0.014451078,0.014600000000000009
inositol,0.017223977763501014,0.8059079169936096,0.7804634662699134,0.535368035124543,0.7620460960437759,0.015235063529667503,0.010346804,0.03200000000000002
malondialdehyde,0.012390445020257308,0.201727932528477,0.12378675411364566,0.17443743722526048,0.006866880034587547,0.01381637358566417,0.010283172,0.012200000000000006
serine,0.013586690243367602,0.7582696905313636,0.5707525954472161,0.5666618062047474,0.4140952347424323,0.01356815948790518,0.015741412,0.011800000000000007
asparagine,0.010612118281216287,0.7160802510305925,0.43044426792865453,0.5296416191159505,0.1523047436503497,0.01194629902853684,0.013247951,0.010000000000000004
glutamine,0.010644884066297261,0.3087395148673552,0.14659625637746398,0.22448580307738802,0.01058759754201687,0.011764692464666125,0.011094916,0.006400000000000002
leucine,0.013120332878235615,0.8415466689566067,0.5874293715904751,0.5079441359258102,0.2408314507019012,0.014027950801765767,0.02076459,0.010400000000000006
