,RFC_mean,SVM_mean,Logistic_mean,Ridge_mean,EN_mean,ET_mean,XGB_mean,Ada_mean
hsa-let-7a_nmiR00001.1,0.0015707715430957085,0.13398261443716575,0.1614704384119018,0.09248607754060922,0.0022461819851254576,0.002590103068358599,0.0018303511,0.0
hsa-let-7b_nmiR00002.1,0.000935329572085186,0.17435606917809396,0.08157864492572653,0.13068454423296644,0.0,0.0014318507692341496,0.0015085845,0.0
hsa-let-7c_nmiR00003.1,0.002473913838683667,0.21543197452070026,0.2256930852592177,0.1980696038309001,0.033650314125191164,0.002422978077233006,0.0015789467,0.0012000000000000001
hsa-let-7d_nmiR00004.1,0.0022549188754092914,0.20206828875746954,0.28889891526616795,0.21946969143700518,0.06776063671589008,0.0021530697130521426,0.0014993777,0.0004
hsa-let-7e_nmiR00005.1,0.0030099901667554104,0.19472250791382303,0.2038652465387115,0.1200111783123757,0.06260316271797314,0.002301021701739908,0.0015015239,0.0004
hsa-let-7i_nmiR00008.1,0.0023943101415689404,0.6362386204275908,0.7029789449584267,0.42513804131185945,0.6092591110735596,0.002997072954913641,0.0012824951,0.0044
hsa-miR-1_nmiR00009.1,0.002335027758568653,0.06760156089073073,0.08249151701738584,0.047334563600548024,0.0,0.002300436563740496,0.0026816127,0.004800000000000001
hsa-miR-101_nmiR00011.1,0.0011867809110376532,0.09330790895527132,0.09562202526485494,0.0804150939116814,0.0,0.0015261328225470926,0.0007595965,0.0004
hsa-miR-105_nmiR00014.1,0.001194647573647255,0.4917905565698721,0.34177871258006837,0.28377293797212094,0.09110422550933034,0.0015475403838304696,0.0021444727,0.006400000000000004
hsa-miR-106b_nmiR00016.1,0.001339378733858619,0.23220419115529503,0.17369590006181235,0.169179387073639,0.016871876454240816,0.001485956000702979,0.0017016897,0.0002
hsa-miR-107_nmiR00017.1,0.0013935913723501373,0.12915269625955575,0.27464574649820817,0.1058669668360519,0.1861993416086149,0.001771459760403553,0.0019461584,0.0004
hsa-miR-10a_nmiR00018.1,0.004100390738680216,0.12926037050239284,0.09397301251831003,0.08794209336532585,0.006430865438251597,0.0021803355136203097,0.0029489314,0.0042000000000000015
hsa-miR-10b_nmiR00019.1,0.004781920673872947,0.21807318204648024,0.21715486736848727,0.14811542559751995,0.022814301239271494,0.003922741550977467,0.0016794245,0.0025999999999999994
hsa-miR-1178_nmiR00020.1,0.0012168529155082946,0.09827312672272523,0.089340542159098,0.09720756184618633,0.010747879011232414,0.0012961288418527153,0.0025834856,0.0002
hsa-miR-1179_nmiR00021.1,0.0017376583469383726,0.24700828575542186,0.21973067770541185,0.1609948158335359,0.06368102393774215,0.0016463088625530834,0.0026286573,0.0014000000000000002
hsa-miR-1180_nmiR00022.1,0.0038825560498544636,0.3894127635505933,0.32626820967923076,0.2901967872291022,0.0832656241666223,0.001925857891156406,0.0025568125,0.005000000000000001
hsa-miR-1181_nmiR00023.1,0.0014131726583726933,0.19354439867940065,0.2774628362655193,0.1600785954752315,0.1115942795400723,0.0017025997140643933,0.0010485644,0.0002
hsa-miR-1183_nmiR00025.1,0.0020997404978500616,0.20894936733962954,0.1412290115754565,0.13982871120919424,0.0015016517235179696,0.0018857130191382745,0.014373243,0.0024
hsa-miR-1185_nmiR00027.1,0.0020917317012808722,0.27158156231825276,0.24514582653320666,0.20635354395102312,0.0456328352332704,0.0016945848760794055,0.0038135347,0.007800000000000004
hsa-miR-1197_nmiR00028.1,0.001529574158583852,0.16741103861851644,0.1524220021928449,0.10140290360835184,0.014522764457158879,0.001512264239459222,0.0025076235,0.001
hsa-miR-1200_nmiR00029.1,0.001387030266926139,0.30804960688795824,0.2656476987169833,0.21617984297891277,0.06953123983861789,0.0012985665209521583,0.0013457733,0.0
hsa-miR-1201_nmiR00030.1,0.001903081641053163,0.3528536576279799,0.3925789536922019,0.2794640568806682,0.2068564042861211,0.001481175145285697,0.0034144423,0.0027999999999999995
hsa-miR-1203_nmiR00032.1,0.0013161388209258764,0.14808076740294196,0.10127867148409382,0.07459489059016637,0.01070462650105125,0.0013432711226893281,0.001704474,0.002
hsa-miR-1204_nmiR00033.1,0.0009669797004633207,0.4003587590231845,0.2737100883511134,0.21647907383266862,0.08669960619629383,0.0016305731867696308,0.00091049477,0.0002
