,RFC_mean,SVM_mean,Logistic_mean,Ridge_mean,EN_mean,ET_mean,XGB_mean,Ada_mean
3-phosphoglycerate,0.013116194616760068,0.3034688470494465,0.21327028583898866,0.2920353196726846,0.023640703774823787,0.012908069478436947,0.013420624,0.021800000000000014
alpha-glycerophosphate,0.029088287079493833,0.8522558596461554,0.8321283277745067,0.49766608822455394,0.8059213732934378,0.022147122017348503,0.023542311,0.02720000000000002
isocitrate,0.010029925213703541,0.2835004806857259,0.17218610239359336,0.24895500338443177,0.0028443695117024914,0.011164107373024049,0.009087411,0.009600000000000004
cystathionine,0.015571826772160147,0.4049187973192558,0.4725550051032622,0.23618200863801495,0.37090762274609174,0.014273475316781636,0.015455446,0.006800000000000003
cytidine,0.010243555085851728,0.39520221247785153,0.17788388604907676,0.20103791581330274,0.020267490685316445,0.012503707557796484,0.012828115,0.007600000000000003
dCMP,0.010663466673441716,0.34028957580303754,0.3833857325157155,0.2056961971551585,0.21192624135015076,0.012570050519296563,0.014323398,0.0044
DHAP/glyceraldehyde 3P,0.02111210731984073,1.1785629314362867,0.9704409038087111,0.7444771010864109,0.8335311161981447,0.019099531118198607,0.019243129,0.04180000000000002
hexoses (HILIC neg),0.01248580530230618,0.24636255622713,0.11754895057235419,0.1289735797496927,0.01631213707005328,0.013189309986825756,0.012652706,0.004000000000000001
guanosine,0.015450663643091129,0.8132667026875489,0.7545472343969888,0.5415856922716275,0.6928493539333,0.015480302359145064,0.013756963,0.008000000000000002
hippurate,0.01670101759139673,0.3529875165259664,0.25004199860739357,0.2683811448408194,0.04208062568008715,0.0121734607885053,0.012869768,0.007800000000000004
hypoxanthine,0.014185509020055458,0.8496774525217574,0.7999126078620225,0.5341489098968829,0.7434130607192099,0.014766959584713716,0.010049692,0.014800000000000006
inosine,0.01819644342704318,0.40857794137868547,0.658181366924675,0.1605692825797605,0.5780171623510452,0.018050404248269737,0.014676477,0.014200000000000008
NADP,0.013364568302323798,1.6358011385902298,1.1226786804047666,1.020891490306811,1.2544948576127082,0.014354206309006481,0.00961853,0.03080000000000002
oxalate,0.01697094713229752,0.5743477711324327,0.39758608411976937,0.32818739062875546,0.1468799148449245,0.017286786671755042,0.02719271,0.01940000000000001
pantothenate,0.019426524194791007,0.9019562436188668,0.7578299450568191,0.4819206432017972,0.6019454829657473,0.01578993865022597,0.020458085,0.047
PEP,0.010563623984261018,0.25169748631331784,0.2537027444288469,0.15795334769380034,0.1108775033957705,0.012048352804177652,0.0074777156,0.009200000000000003
UMP,0.014311988228716327,0.49889805190803527,0.4659454607424477,0.41176420110563866,0.1658103798703889,0.014413399865250778,0.009229888,0.0038000000000000004
uracil,0.021938093192139952,0.5678568991523913,0.6836779542399762,0.35818289692930444,0.825392238839049,0.019803848955092726,0.019982643,0.02500000000000002
