,RFC_mean,SVM_mean,Logistic_mean,Ridge_mean,EN_mean,ET_mean,XGB_mean,Ada_mean
AL627309.1_ENSG00000237683.5,0.00023801189417193931,0.010051261278495253,0.05391969901631554,0.008984414352552398,0.038437991651869514,0.00016413293814428385,0.0018074597,0.002
MTND1P23_ENSG00000225972.1,0.00015021793586966954,0.010071297543006985,0.04269923159677694,0.010940498883185459,0.018974973099027334,6.034684289602737e-05,0.0012485567,0.0
MTND2P28_ENSG00000225630.1,5.680101493780924e-05,0.0024578765226979317,0.009132812878686586,0.0022069143479302128,0.0,6.391853792946641e-05,0.00086317817,0.0002
hsa-mir-6723_ENSG00000237973.1,0.00011790292469028177,0.004249874350402825,0.019566992648927767,0.004411022162029257,0.002911030404685701,0.00033575250495714135,0.0005795863,0.001
MTATP8P1_ENSG00000240409.1,0.00011122917258589844,0.013838934363810906,0.04734273936143896,0.013598583471074894,0.007586127361369754,4.150812841170115e-05,0.00051107747,0.0
RP11-54O7.16_ENSG00000272438.1,0.00011176325712719044,0.008983451947394073,0.034272552588753225,0.006663018452630181,0.006782672886571654,5.793777972515108e-05,0.00022568289,0.0
SAMD11_ENSG00000187634.6,3.586724547092999e-05,0.010377884911525739,0.04124871138208011,0.008858765286883168,0.01338574529683843,4.5959525405220014e-05,0.0003110797,0.0
NOC2L_ENSG00000188976.6,0.00015091367852173646,0.008853654372011934,0.03888230092456106,0.007996431925592256,0.010622211132112118,0.000124976746581839,0.0004519159,0.0002
KLHL17_ENSG00000187961.9,7.95709139106775e-05,0.005892809056969102,0.025548697203244222,0.00469709878780452,0.001540174776929051,7.210736720955101e-05,0.0007748034,0.0
PLEKHN1_ENSG00000187583.6,7.381265590632013e-05,0.003655104029594648,0.011982275181515836,0.0036666967411930636,0.0,8.028523686920537e-05,0.00015366299,0.0
RP11-54O7.17_ENSG00000272512.1,2.121417041809295e-05,0.00648132675778911,0.024053700440079838,0.006000193965909388,0.00225191951803052,0.00010400425463191165,0.00023926368,0.0
HES4_ENSG00000188290.6,7.551789464856323e-05,0.0037621312722707595,0.013444494738631822,0.0031836548012223864,5.736595929171431e-06,7.863687666279391e-05,0.00042631692,0.0
ISG15_ENSG00000187608.5,0.00012615910622559802,0.004543995018751797,0.01739531138042548,0.003845128730088691,0.00017260022196136167,9.875946461370079e-05,0.00022194776,0.0
RP11-465B22.3_ENSG00000217801.5,0.00017861613920446408,0.00247995265626464,0.010089106328159096,0.002744649872163615,6.468079027285712e-05,0.00012314524240928108,0.00018739997,0.0
TNFRSF18_ENSG00000186891.9,0.00010005962118702142,0.021244464149861766,0.08267699436218415,0.021002664640554763,0.05335874409447357,8.543272248812841e-05,0.00042894052,0.0004
TNFRSF4_ENSG00000186827.6,3.734118615066119e-05,0.0037426695885950496,0.01693445377439629,0.003943489988574236,0.0,0.00013003593845338144,0.00033443872,0.0
SDF4_ENSG00000078808.12,1.638628102918286e-05,0.0036752745008007425,0.012854780305367582,0.003395786164548898,0.0,6.245741405517463e-05,0.00010829845,0.0
B3GALT6_ENSG00000176022.3,8.501738711304133e-05,0.006955745126543194,0.027620084760824764,0.006060268315787527,0.0034676005145743228,0.00011802709862611587,0.0009981198,0.0
RP5-902P8.10_ENSG00000230415.1,0.00012534425746558073,0.0026479558173698463,0.01005594299635037,0.0028827596394730036,0.0,7.564865995578658e-05,0.00034197923,0.0
ACAP3_ENSG00000131584.14,7.135387349264477e-05,0.008820894058004548,0.03306533084421141,0.0081954227437324,0.003202177394032436,4.649940425709467e-05,0.00042026144,0.0
TAS1R3_ENSG00000169962.4,0.00011110527534376407,0.0019369962642922023,0.009025954046135381,0.0022394587094337576,5.1298171359224386e-05,0.00010398411066657059,0.0003467708,0.0
DVL1_ENSG00000107404.13,3.64142414568245e-05,0.0036478211881746715,0.013561637119388337,0.003876298879826766,0.0001888232922944859,7.213034645291628e-05,6.4556894e-05,0.0
MXRA8_ENSG00000162576.12,5.4442761938231406e-05,0.01738302408548743,0.059433362969004956,0.017532549760529256,0.01471096533969239,6.902914464581683e-05,0.00023084447,0.0
CCNL2_ENSG00000221978.7,5.1536124356401386e-05,0.0023468964511956024,0.009094906294140354,0.0022695504289777222,0.0,2.612748468028417e-05,0.00027429228,0.0
ANKRD65_ENSG00000235098.4,0.00010623731063259935,0.0031016599191907757,0.0105231246534477,0.0029666228105340877,1.3672129084781549e-05,5.605435888717223e-05,0.00022843183,0.0
VWA1_ENSG00000179403.10,5.51616278801227e-05,0.006122911584275023,0.026341803141917232,0.006077094385053592,0.0026036308137269756,7.494228915737024e-05,0.000116094714,0.0
ATAD3A_ENSG00000197785.9,0.00022144060710182714,0.00977279164840857,0.040721503966255346,0.010204806629929874,0.012793642315946112,0.0003526488223470248,0.000897065,0.001
C1orf233_ENSG00000228594.1,8.82922452647994e-05,0.018307729802522904,0.06673411940686924,0.018620503177047897,0.029236164299018663,9.599701881797418e-05,0.0005390924,0.0002
SLC35E2B_ENSG00000189339.7,8.286529998229396e-05,0.006386152892424645,0.026171405372454028,0.007579936856197114,0.0015109860179144856,7.279562599394597e-05,0.00023875691,0.0
RP11-345P4.6_ENSG00000269227.1,6.116097284360158e-05,0.01071483411264337,0.04221133607823016,0.011538001936398742,0.014235407664525022,0.00010558385407680705,1.4781782e-05,0.0
RP1-283E3.4_ENSG00000227775.3,8.495139380811368e-05,0.014103304006315463,0.05440457341673357,0.014749588858494029,0.02290470191737647,0.00013510902435681394,0.0003145892,0.0002
