,RFC_mean,SVM_mean,Logistic_mean,Ridge_mean,EN_mean,ET_mean,XGB_mean,Ada_mean
3-phosphoglycerate,0.01619721492823541,0.794744842582409,0.5927773807742411,0.5600643879056317,0.37921982630040657,0.014021843007604855,0.0266213,0.016400000000000012
alpha-glycerophosphate,0.039131084290313506,1.438384459366004,1.3150574330295712,0.807067708540203,1.600373788456949,0.030453926814000148,0.022840176,0.039200000000000026
isocitrate,0.014727221281556617,0.41179646010653903,0.2986665646988473,0.364797662830634,0.046243443331111925,0.015266664016988108,0.013630113,0.008200000000000004
cystathionine,0.013721868978838737,0.45536797392375516,0.4079298304152348,0.27002823001119886,0.16350215095113285,0.012143939149822338,0.024775662,0.009800000000000005
cytidine,0.011542867306398372,0.3036791341777045,0.3937040136281668,0.22035490995865945,0.14907487958529927,0.014411063044232241,0.012099918,0.0048000000000000004
dCMP,0.007866931373235827,0.3533492692891298,0.2791748742942673,0.14980134757881164,0.12081610835480949,0.011127708825088383,0.010226994,0.0024
DHAP/glyceraldehyde 3P,0.011555936093914128,0.8209105316206693,0.5551225938809293,0.4754433706237635,0.2124114275877676,0.011978182759537341,0.011918762,0.01580000000000001
hexoses (HILIC neg),0.009904249414938782,0.34143397019932165,0.28977905993596687,0.30475818638351965,0.05251796039353538,0.014036150531206028,0.012895628,0.005000000000000001
guanosine,0.011085242146651558,0.41016496749281395,0.4004668343257826,0.25027679052003404,0.19377648086076651,0.011383817732231792,0.012064605,0.008800000000000006
hippurate,0.012497490177330333,0.6162371348796194,0.47572377852887604,0.552679867158616,0.30147235134234807,0.011943026190261963,0.010635815,0.006200000000000001
hypoxanthine,0.01305927606954783,0.26475082285816265,0.1493587781384381,0.10312530794302396,0.019041578490146656,0.012155880351981826,0.019356728,0.009600000000000004
inosine,0.012510940223233943,0.2496312636994868,0.16683979183654857,0.20036310187142237,0.010978083085780944,0.01274048276036656,0.016443506,0.02780000000000002
NADP,0.015250224870775304,0.8432149469390372,0.818011958656195,0.5519116064431873,0.8649895117440485,0.01571160390363444,0.015425077,0.020400000000000015
oxalate,0.028344395444823384,0.5935804394698597,0.6620488234556319,0.30291843386780715,0.602656526183461,0.017847918493149068,0.03336016,0.021200000000000014
pantothenate,0.02726645458469055,1.2950918957333588,1.1767772011064646,0.7084803024458227,1.3072784073073138,0.020188959299532634,0.020245157,0.04719999999999998
PEP,0.010942209811863475,0.3721830073440494,0.18428092825173623,0.19314005116744157,0.0515623566465937,0.012878913989676982,0.012556214,0.012200000000000006
UMP,0.02376663551206052,0.2666845412384197,0.48088262283962796,0.13973465784843994,0.24914109750993493,0.020513042573097832,0.014290065,0.027800000000000016
uracil,0.011996794024159598,0.49509268315202204,0.4698226555656011,0.4173035882718448,0.16415643933011123,0.012476372792300947,0.010877829,0.014600000000000009
urate,0.015147721139469337,0.3609047277964027,0.19697773053110093,0.21723698786624593,0.03165540222281215,0.013635810553323422,0.0155170765,0.020800000000000013
uridine,0.008343636909282293,0.4652993604316075,0.36827764873337754,0.17398892917245154,0.1386614359205598,0.01221740714981897,0.010937799,0.007000000000000003
taurodeoxycholate/taurochenodeoxycholate,0.012503837275314582,0.37780004914270066,0.43477897491740586,0.17397285242723814,0.17165695123607785,0.014413252537633273,0.014345965,0.01480000000000001
phosphocreatine,0.014821967709672607,1.0571599329297916,0.7151560819602344,0.5361652487892269,0.5485284955700432,0.014718338574537889,0.013638061,0.021600000000000015
alpha-hydroxybutyrate,0.012306367140989172,0.3129568492317153,0.4038407897602372,0.19276249051563368,0.2131090667274697,0.012614208780528808,0.014037764,0.0027999999999999995
inositol,0.011456107275045464,0.24065674658651554,0.17211658395327156,0.12029379811304876,0.03459932863495762,0.01134758784508597,0.007198674,0.005800000000000002
malondialdehyde,0.013225845898060194,0.30078888538562093,0.23708099695578258,0.15022723206682767,0.09852550337259608,0.012500458308644213,0.030546052,0.010600000000000005
serine,0.013040548574543082,0.9227299739256507,0.7459144100283674,0.5793471399435794,0.6590102561563411,0.013104070034275175,0.010786973,0.022000000000000016
asparagine,0.009788045557673715,0.2792769460107576,0.19393033031771678,0.114587026675105,0.048814750979967354,0.01142369010528992,0.009470952,0.012800000000000008
glutamine,0.010806095133941419,0.33470817161731176,0.14410327782323148,0.19970947588661542,0.04061457204771154,0.012119664853653218,0.012740658,0.01620000000000001
leucine,0.01224869951686222,0.3763435699679319,0.22680794072563676,0.19115788531128075,0.06179060398790639,0.013011430815157526,0.015550073,0.0027999999999999995
cis/trans-hydroxyproline,0.008493681748391572,0.3783084445878104,0.3188242296392427,0.3608324353100984,0.09025218627630112,0.011571129404565868,0.0087769,0.0054
5-HIAA,0.013415682966213245,0.5275154158348938,0.5227437916180534,0.4920501086881959,0.27177024609503264,0.01488750352977221,0.013987698,0.03400000000000002
serotonin,0.009829381189768796,0.3420794311438946,0.18632522976451185,0.2023069234087291,0.015087840473875262,0.012199967003495253,0.009525593,0.004800000000000001
GABA,0.009503194551850414,0.4462092120091226,0.16549365715453512,0.17881526934393552,0.033269350643777645,0.010861037681634626,0.010675658,0.007200000000000003
homocysteine,0.010639636544090735,0.4649417843958465,0.42107863176489346,0.17428698102923904,0.25742478634122024,0.011705807135780613,0.008589107,0.005600000000000001
SDMA/ADMA,0.017224690010871905,0.25601974013174844,0.27813269114388917,0.14963421107312538,0.047214357213167614,0.01650949096916287,0.010462833,0.008400000000000005
N-carbamoyl-beta-alanine,0.018723601797875983,0.6757218298552508,0.6900964586933928,0.2681288751607204,0.5737083598108751,0.022652204630007975,0.020101162,0.02060000000000001
niacinamide,0.019409658324233643,1.0137601631610267,0.9329470547409981,0.4766382184845331,0.8553231435523168,0.015916862048491392,0.027186422,0.025200000000000014
alpha-glycerophosphocholine,0.008111396682952795,0.35830750681280327,0.3566504532440782,0.18055529246571583,0.14693560030640562,0.010694286913445627,0.005707324,0.002
acetylcholine,0.009557705789189148,0.3278058542347142,0.2034385247043865,0.13490823863562212,0.06340033149709424,0.012611915484817821,0.012608285,0.010200000000000004
creatine,0.011884926562658318,0.4295622726248881,0.40499623988150873,0.2715713692270565,0.08194337109500767,0.012935087465563891,0.009818944,0.0076000000000000035
creatinine,0.012872773431955422,0.2413022653828697,0.09582084079083845,0.20479412771119831,0.0,0.013833706073140845,0.0105865775,0.015000000000000008
adenosine,0.013445958707626191,0.6348217628808103,0.47560367427110223,0.46469854037661484,0.3157734038061527,0.014966095242289493,0.01363067,0.02440000000000002
2-deoxyadenosine,0.013445423724683074,0.3465343596890625,0.20894427762847034,0.1428594730775249,0.0569663716238202,0.013540540318732303,0.015408479,0.008000000000000002
2-deoxycytidine,0.016454174892561506,0.8054783094731924,0.7925948352998966,0.5232033770930953,0.7934434772192941,0.015450117502209431,0.028413014,0.04100000000000002
cotinine,0.011633586974202723,0.38887176385385125,0.32549249371355155,0.2185329015640126,0.13264447408306246,0.013035175041063819,0.010833109,0.004400000000000001
pyroglutamic acid,0.015701551611381342,0.34051926692662626,0.15279276354573604,0.18551413708734354,0.026663127981455568,0.013781279866545149,0.008959978,0.0036000000000000003
1-methylnicotinamide,0.06564619054828583,1.6424677434729036,1.481883735331823,0.7976389031332096,1.5847111575645394,0.0611541485846801,0.044688612,0.06919999999999996
putrescine,0.011264627835584467,0.7459308628661644,0.4841511903269189,0.4205891783900963,0.2911085619551802,0.0121329384662637,0.015653754,0.006200000000000002
carnitine,0.012470084531831826,0.3983913454844522,0.277942504408297,0.24121736851307013,0.07687261077999917,0.014018615092086194,0.008227982,0.021400000000000016
butyrylcarnitine/isobutyrylcarnitine,0.009634519840010276,0.2920239945103242,0.15722283255149605,0.12362638551840696,0.0113090192890839,0.011477040785789143,0.006454021,0.011400000000000006
valerylcarnitine/isovalerylcarnitine/2-methylbutyroylcarnitine,0.009636192653361176,0.6174282427419545,0.4751718446836072,0.42455949368139856,0.22798339955246397,0.010704939093628024,0.0064606047,0.011200000000000005
palmitoylcarnitine,0.009247486824380485,0.2766521124497179,0.2300290354560898,0.2369805081317955,0.0455992022863381,0.01035216255044117,0.007887137,0.006000000000000002
sarcosine,0.011889370204583367,1.2782921038709063,1.0184807831268323,0.7666244033060599,1.193812646755343,0.012510978470521959,0.014773846,0.02640000000000002
beta-alanine,0.009533975897310466,0.4157601069434612,0.2401354770480751,0.2050749996537095,0.05270087712157229,0.011283882604016592,0.006966152,0.013000000000000006
C18:0 LPC,0.009352909084770912,0.23345856719545793,0.1712278739711505,0.14284974098007813,0.03137754947705533,0.011965788594350317,0.011609362,0.0036000000000000003
C22:6 LPC,0.0165841815712908,0.2604202858957785,0.18253448407056905,0.19119312601887362,0.017533755736370397,0.016002152350914747,0.013234686,0.008000000000000002
C16:0 LPE,0.028812869567515265,0.7064346168847411,0.815400326500813,0.48578738582579084,0.7806429390311928,0.02320618304614476,0.030323967,0.048999999999999995
C18:0 LPE,0.009137817943997938,0.27429739891683014,0.20111680249074307,0.15267772877800298,0.024213049194134965,0.01163160619201727,0.0074197357,0.006600000000000002
C22:6 LPE,0.012108760506354803,0.2682179537655406,0.2032778948272081,0.1532682214069108,0.060221032418655555,0.012139162822787455,0.017458053,0.005800000000000003
C34:4 PC,0.01230109708043065,0.5531406316755009,0.29318846491022,0.22008694365298934,0.07876273917396348,0.013370143376034184,0.010792714,0.0021999999999999997
C36:4 PC-B,0.008613723578642103,0.25376292856995736,0.1370604904063747,0.15691282938783238,0.0034050662103324645,0.012614098990451524,0.006147298,0.0025999999999999994
C34:2 DAG,0.014526731225163151,0.995736647146612,0.6779252801066957,0.4789145768283778,0.5170597022037953,0.01576081412051903,0.018245615,0.012200000000000006
C36:1 DAG,0.010688156319296259,0.5935875256929062,0.319911327050362,0.468355056344831,0.08275781168681094,0.012685556471051199,0.014281552,0.010600000000000005
C20:4 CE,0.03434315737711616,0.7277857013650935,0.9430920189326251,0.33550573535413775,0.9972866249003519,0.024885066034189083,0.029288052,0.016000000000000007
C22:6 CE,0.034759757163604854,1.3532513024768196,1.1824417877366817,0.8122766681286611,1.3947550054409164,0.026788878107141006,0.022043938,0.03680000000000003
C56:5 TAG,0.012274749752904886,0.5055904418237668,0.39360022693271424,0.2937152091032626,0.09904739910708313,0.013678439708956013,0.008003017,0.008000000000000005
C56:3 TAG,0.011770706319635558,0.4566633300270964,0.43208449389685877,0.31824356811845794,0.3392555317519019,0.012099782434635518,0.019734383,0.011800000000000007
