,RFC_mean,SVM_mean,Logistic_mean,Ridge_mean,EN_mean,ET_mean,XGB_mean,Ada_mean
14-3-3_beta,0.003102767531183354,0.2141288859882517,0.11905007782266379,0.12322468302939284,0.0022989225183244048,0.00433543239515387,0.0054925666,0.0014000000000000002
14-3-3_zeta,0.0028154212040117804,0.36776361074769054,0.1757625033705874,0.31792666090326444,0.00017588585756448758,0.0042380189553227424,0.005449223,0.0052000000000000015
4E-BP1,0.007458281131333551,0.33209563360558414,0.46820266923769716,0.19726021251503967,0.49540757281226283,0.008348099834709839,0.011708152,0.0058000000000000005
4E-BP1_pS65,0.004177553275310181,0.1442536839499332,0.09985705137134468,0.1062242054374683,0.0026098946972359536,0.004455156451756573,0.0028366344,0.0016
4E-BP1_pT37_T46,0.005434498496539867,0.5416255149190278,0.47916137486101257,0.32646851282762573,0.4181078352362028,0.005253301079181327,0.002643726,0.011000000000000005
4E-BP1_pT70,0.004575759820219144,0.23526417303428826,0.13281568599477725,0.13697957528163876,0.0069140681185188325,0.005086232368224419,0.00652717,0.007000000000000003
A-Raf_pS299_Caution,0.005837012880987243,0.5666165740011425,0.567322863232699,0.4704679364358485,0.39504471146698117,0.005981822574981351,0.004519204,0.025800000000000017
ACC_pS79,0.003048918735711946,0.4568738925202798,0.19973000579018924,0.2618099049435114,0.020026252846608462,0.004016480310136079,0.0039897747,0.0006
ACC1_Caution,0.003964996503247907,0.6129956780600545,0.4752902016575343,0.5185613294523843,0.1543491511882788,0.004603952515569753,0.0040754466,0.008800000000000004
Acetyl-a-Tubulin (Lys40)_Caution,0.0027035909960610983,0.2870364178081934,0.1948388253331826,0.17578956995248426,0.01748804706880717,0.003989711504994799,0.00329735,0.0025999999999999994
ACVRL1_Caution,0.0035700315393910453,0.38961799367685274,0.24765150760003404,0.329248322971463,0.02775980342602255,0.004065159202929744,0.0072610397,0.0016
ADAR1,0.005142406115532416,0.2630126210640755,0.3450713571424999,0.14748046524669883,0.1423674468549558,0.005382150130822434,0.007923413,0.020800000000000013
Akt,0.0044527441900334705,0.3633864611493621,0.27484769506490864,0.1681290792153651,0.02577521590222094,0.004422364491466499,0.003363839,0.0018
Akt_pS473,0.009876202357681581,0.7786726722780679,0.9149494219944454,0.3421039229257813,1.2382669320499833,0.011423882617695875,0.008353281,0.032800000000000024
alpha-Catenin,0.009849798955916112,0.7681268620215715,0.23089193393971358,0.44909506896553564,0.02449779240807684,0.009118077328659937,0.007328403,0.0052000000000000015
AMPK_alpha_Caution,0.0031127089743962434,0.5797179482622297,0.46828476388140944,0.458941327505112,0.24055915076443288,0.00445932788758106,0.0035030828,0.002
AMPK_pT172,0.009652478493990736,0.3434890890418634,0.14617046425439234,0.185914777541719,0.021995705289888198,0.006071226372946489,0.011822178,0.01540000000000001
Annexin 1,0.027092852976077834,0.27088434026829694,0.34379422336959764,0.1707991787515963,0.20922727437098307,0.015525203376888522,0.020785168,0.012600000000000007
Annexin_VII,0.0045664113535258165,0.24343428570214365,0.16749367595085093,0.1574309602944198,0.021216552960972166,0.004729117174267366,0.00910777,0.006000000000000001
AR,0.002939786217600614,0.2602550560182328,0.1627190826542459,0.2287754214765538,0.008462365511858949,0.004169934847372306,0.003953911,0.001
ASNS,0.0033801984891368973,0.28745219267851946,0.19090620092939484,0.1486071670943775,0.04046717285663903,0.0036642843311479752,0.004954299,0.0008
B-Raf_Caution,0.005720126236330376,0.24528989716945268,0.13118912601763036,0.13582136941144823,0.006865149107741464,0.006363088478229997,0.0042028786,0.0008
B-Raf_pS445,0.007126479616012828,0.1775914909771344,0.12223743905050943,0.13790137774018643,0.005909246835031772,0.007269055752582145,0.0034798002,0.001
Bad_pS112,0.00550655810064639,0.6502169738880609,0.7155106608617174,0.37802528013002373,0.7032898778159035,0.006188025370980521,0.0064488156,0.008800000000000004
Bap1 c-4,0.004876262353885486,0.536594501766443,0.4142163615894146,0.4713357547827722,0.20233688990319204,0.004596569789562812,0.009592544,0.001
Bax,0.008377164113618546,0.29161697916876056,0.3537808463227938,0.18212401396412825,0.2403873088189183,0.007367853146642461,0.012262715,0.0076000000000000035
Bcl-2,0.011791544626200348,0.15015795420604117,0.16188346544602628,0.11909750764739215,0.020038266819401903,0.010607349337464994,0.004328415,0.0030000000000000005
