,RPPA+SVC,RPPA+RFC,RPPA+SVM,RPPA+Logistic,RPPA+Ridge,RPPA+EN,RPPA+ET,RPPA+KNN,RPPA+XGB,RPPA+Ada,RNA+SVC,RNA+RFC,RNA+SVM,RNA+Logistic,RNA+Ridge,RNA+EN,RNA+ET,RNA+KNN,RNA+XGB,RNA+Ada,MIRNA+SVC,MIRNA+RFC,MIRNA+SVM,MIRNA+Logistic,MIRNA+Ridge,MIRNA+EN,MIRNA+ET,MIRNA+KNN,MIRNA+XGB,MIRNA+Ada,META+SVC,META+RFC,META+SVM,META+Logistic,META+Ridge,META+EN,META+ET,META+KNN,META+XGB,META+Ada,DNA+SVC,DNA+RFC,DNA+SVM,DNA+Logistic,DNA+Ridge,DNA+EN,DNA+ET,DNA+KNN,DNA+XGB,DNA+Ada,PATHWAYS+SVC,PATHWAYS+RFC,PATHWAYS+SVM,PATHWAYS+Logistic,PATHWAYS+Ridge,PATHWAYS+EN,PATHWAYS+ET,PATHWAYS+KNN,PATHWAYS+XGB,PATHWAYS+Ada,TYPE+SVC,TYPE+RFC,TYPE+SVM,TYPE+Logistic,TYPE+Ridge,TYPE+EN,TYPE+ET,TYPE+KNN,TYPE+XGB,TYPE+Ada
Lapatinib,0.031322515400793824,0.02346399240265839,0.01620986884644273,0.02169151479703626,0.0019989148850961228,0.039777431413922426,0.03882805084001485,0.009163322314412732,0.030656633507733816,0.031511691355516784,0.043025283479934597,0.03580806273435266,0.03494716527439804,0.03270825874450422,0.0037419064280017804,0.037319485078663714,0.04163682644881985,0.029950554805485835,0.024322403921522982,0.019472439587057848,0.012761673411289592,0.009977342885916549,0.011077549512900837,0.009392995972719562,0.0008215367347615367,0.013151257128629829,0.008223781143800282,0.003741281018072569,0.015195579886336828,0.010416434830902483,0.008789837601414179,0.00842560002658262,0.010399251677166278,0.006731159610471586,0.0011467622787496965,0.00851654999580266,0.00770344042365913,0.0035004929135791308,0.009200179579423848,0.013614711111764094,0.011608337891181719,0.010031056069804449,0.009112117361436781,0.010295815389681953,0.0015125633395187074,0.011140823720540748,0.010053604374580404,0.0028911317800081725,0.013057995711444429,0.011718882100316413,0.013806258666005147,0.012180787686326484,0.012833122364742341,0.01119452469580025,0.0007803808317994786,0.009169517592292595,0.013760193065872098,0.005683483599733661,0.01398689454493566,0.010117115983079171,0.011595688952470902,0.008971004088224342,0.010832500761605541,0.011385859077232297,0.0009481182473640088,0.008552037506706602,0.007866374917265814,0.003640633820981025,0.009628482181754099,0.011300953666981963
Panobinostat,0.024245303711337932,0.021712131720654428,0.009591559610066133,0.012816228286006898,0.0009859048091045498,0.016010450267821264,0.01763197969080588,0.002944008326116583,0.012780785466951683,0.010569161517298913,0.03697924569534809,0.02965391420262049,0.0634103049966248,0.05118724056435603,0.012508091398714324,0.03932901334339133,0.03345209114295247,0.011277941231766918,0.01650540628105747,0.0218835858103179,0.015234314552520925,0.013358268393467886,0.012302452553965722,0.010546371405343173,0.001061907100386246,0.016492468761099104,0.01363767744840482,0.0023960525592219267,0.009973168514486073,0.01042711720513037,0.012049796960435843,0.008695767040783692,0.012057687564978152,0.009739497031318422,0.0011341397192538062,0.013472989582339442,0.01198462731819731,0.0034835599250763135,0.011464701641970729,0.011095168425667776,0.010558273186940387,0.009101706232095982,0.00865077923006205,0.008450536395578969,0.0013974345228055613,0.008875573001223528,0.007569374402719932,0.0018325698585726908,0.012165973525757262,0.01128399526423485,0.01125500324020216,0.012880147760801982,0.023540098422778176,0.017436532567359952,0.001918051925336093,0.017056434517488082,0.01555507374459517,0.005317300964829804,0.020401301804850037,0.011439862308761355,0.010884868391135833,0.014418105112031815,0.009716578397528092,0.02421628149538828,0.0007800863123031087,0.024410001942003073,0.011920983634159485,0.0052889506245430784,0.015692796608765984,0.019903242827785432
Paclitaxel,0.01409332338179575,0.00994369376525338,0.011287868958828644,0.019992667975733753,0.003363387452225468,0.028314516350544112,0.008185730873295554,0.0030442815696741675,0.01585206881606158,0.01353960428570763,0.036277892950752844,0.018814712157110114,0.07025375484413723,0.065145413025109,0.010737432954666875,0.04670600312535568,0.021250218822009316,0.004717855029206625,0.04300183500803745,0.03277133344970196,0.013827861419403075,0.009254292615768624,0.020836244539848087,0.0213751798833247,0.003923522103392018,0.03269362307384135,0.009452130165690796,0.004148213383412658,0.029212143596856234,0.014063943228745022,0.008531857242715827,0.008019104017252249,0.019559149629899585,0.011149224624347646,0.0026172323302793175,0.014163994876912977,0.010220457071364677,0.003965099193549082,0.0125027161560325,0.013750566614485238,0.012949629734274793,0.01347105961022757,0.011840984801404199,0.014666830216185695,0.001603158464402293,0.012407542533482429,0.010219514910642961,0.0031050127028649822,0.010831270549723312,0.012281388250197714,0.009946100150675473,0.007976402023008405,0.008415910030195097,0.008327600499046703,0.0007046091361475086,0.0074430180027578495,0.007860375015105666,0.002665339848940007,0.00925324213159247,0.008846562365860598,0.009720959927006162,0.008973103930286101,0.008898774393488936,0.013277762553351877,0.0007629323034130098,0.012426190071816754,0.0077665468635712024,0.0026825443886978268,0.010349504384297404,0.009765979645006256
Irinotecan,0.028595826289001824,0.015040472513128561,0.0060417013286253795,0.013131274240993765,0.0008165266723259808,0.02138002636303344,0.024236096828281796,0.005634385013570549,0.012943500363283589,0.015865288001283905,0.04294607319858629,0.0315332204735078,0.025312273838778588,0.027142762325483433,0.0031039056008216786,0.04047878188063059,0.048186805795293275,0.003964102798273703,0.04494802727931925,0.05102737852288457,0.011653419956982086,0.013475776878107864,0.01047291206179905,0.018057497454396717,0.0012544170293054535,0.026034746255870267,0.011678210315434633,0.007361949065677949,0.014424587498020974,0.013324501381940546,0.009622346439812721,0.009236928346700757,0.018863629821156937,0.011517405306866436,0.002016564349618809,0.011829096180846186,0.010584795696807458,0.006787404135596101,0.010609294927869167,0.013858933533642797,0.011822543481787056,0.012776245119752297,0.015217897163444991,0.010146200389760204,0.0015571837748262513,0.013540456268224425,0.011271674600528376,0.003234550993886455,0.015062694590866238,0.013464666283263677,0.010671981497662537,0.01018456821085897,0.010150928341306476,0.008084076031868396,0.0018361152140474114,0.007399340103065773,0.012629006801404852,0.0037331326715324175,0.014885711736229693,0.010560026953104254,0.01594498055340999,0.014428492278267289,0.009396906086175216,0.013598167026868845,0.0017293707881441463,0.0106484108815175,0.009026137078859625,0.007295837109951192,0.008734588768923428,0.015975263236901217
PD-0325901,0.04571475645721774,0.015122232476083058,0.025078119561632882,0.036049271782123235,0.0025401545167941537,0.043404205232479585,0.020481784345587378,0.007522376868378059,0.011687779379404765,0.016668997948927032,0.04840463419898375,0.02877413656105552,0.04100745777595562,0.0455327142614996,0.010149704441192963,0.0543370287485655,0.04985298099943789,0.01557475686177783,0.048437604005143,0.03391367790727481,0.009386641072305902,0.006203468422695398,0.015193290410534558,0.017732623968654722,0.0031529882869536126,0.024619879792755546,0.006842597749327191,0.0030314878659872453,0.01715988856200603,0.010550923679137828,0.00780883205388765,0.00610792158230276,0.008093865533301806,0.0070103949281377625,0.0005506409343987861,0.007140701440627629,0.006978944611103192,0.003383645298578648,0.007279900749245928,0.010839229176078364,0.010423532518860756,0.009027596206526075,0.007164864072857602,0.009371055765892453,0.0011334786303409828,0.009179119777969102,0.010315622874020708,0.0016767523268328623,0.016958307904279307,0.009778697468262269,0.006513246428523514,0.007237891563399509,0.008137635297934426,0.00891248328952909,0.0008900681284138071,0.008501170730552472,0.006680510695891995,0.004356829700327918,0.0071438947926773435,0.006303246379428825,0.008058414959767172,0.008244976535910421,0.007209674921236418,0.009631245311348909,0.0009784305079358784,0.00754226411863884,0.006977859678015846,0.003875131917984142,0.009124655571334971,0.009329101477771485
AZD6244,0.034210835123249295,0.020334165546410033,0.02155817273364787,0.03797435541727206,0.0027613693251316166,0.0348135388300818,0.025623685730538394,0.007808155755108856,0.02986608176738719,0.02126194905831965,0.04224967607370899,0.02236638067743599,0.03886414062875146,0.0512668444345145,0.004538574152404208,0.04861070181096569,0.03031423528985481,0.025306828222276846,0.04327574096591405,0.03520378296294351,0.010885287138204826,0.00900061130844922,0.0094052596136806,0.01179280415321048,0.0010828710405302341,0.026927722396417303,0.008274135616283517,0.004119262416423401,0.008495062342707535,0.009885604476228455,0.008051719870303951,0.006304443115120753,0.007591687368183872,0.0070447300862449035,0.0008880041581618744,0.00768054740051013,0.007245462553385142,0.0023228532332193646,0.011872834747481948,0.010948236388245644,0.007916261469802366,0.0069167604133130054,0.007192227868277498,0.007233576068816158,0.0010157435759836503,0.008004151900083988,0.008569800091406725,0.0021288310919850713,0.012214137088864034,0.008678500416018493,0.011927059067622378,0.005566891413381915,0.007561608994156347,0.007570312979935806,0.0007898463230408624,0.007899338759363876,0.006961388435227445,0.00546695463205667,0.008153353914173312,0.005348022546962417,0.0123107989281755,0.009420798683904798,0.009251601978586557,0.017945569536402375,0.002198596555671157,0.013689255303561432,0.010831159495369874,0.004762652300845727,0.014919226765726929,0.01952721947237362
Nilotinib,0.025573530898757607,0.014979224372095803,0.013553423737067957,0.012886369604453163,0.0007898561796981466,0.02069184461885371,0.013702695198710485,0.0034830363159131933,0.014892874757336949,0.014599587532971841,0.018712884130632306,0.014630566501393823,0.009545283105231218,0.010688743081950707,0.0009539191805332768,0.017386742345331867,0.014430242189279657,0.005324722944441685,0.017805187721031228,0.011862331144523189,0.018843553266815537,0.014257320363396223,0.015186807508888636,0.017607407220357838,0.0010771203561463953,0.019052704587464553,0.010198238429651073,0.004443621166950835,0.01505337265352305,0.015121474716613162,0.014109481929681662,0.012344727321567536,0.01241027516134153,0.02158936998182149,0.0016495744453191709,0.020587428382213297,0.013335128752612117,0.004372282100080864,0.014595075189185226,0.016868192769249557,0.013214655354183608,0.011600387965467456,0.014868043804656145,0.013709208800334355,0.002710014892962355,0.011536539186464556,0.012685921881104279,0.0034078959793720958,0.012137236406734525,0.012847874210650995,0.020922826671790788,0.01830443063486138,0.025272470923523103,0.024281424481706657,0.0035130064552008114,0.016297237681237624,0.01867773972362235,0.005219385108583107,0.016260437581155467,0.010920913492375266,0.023278044380857166,0.03404528694267298,0.015043268869597662,0.03825238470480182,0.002717527671683128,0.018038324363837926,0.023511950139024997,0.006234201734819813,0.01607576949858259,0.03521936859504748
AEW541,0.020708196423657132,0.017091146035057986,0.016883899645555055,0.017863797405119515,0.0011243910535647036,0.026318933133126294,0.0176038839454708,0.005498680539686996,0.02329182828630125,0.015793923470703606,0.012732859692062014,0.013668095488440914,0.01731232088322764,0.017806959980530307,0.002030755467731263,0.01756846088767651,0.016372769949569054,0.0055153709870395615,0.033510747821467755,0.02364822982662492,0.01803581031019879,0.01346700091326738,0.015797259289812977,0.016315419537431913,0.0022494555952872297,0.02090391441651549,0.012458003251750593,0.004685210819978598,0.014186415661275983,0.018563528576106963,0.014303319541908523,0.012729005243585837,0.013542181053866325,0.014130245679186953,0.0017012846337341406,0.014867316406301493,0.011969836539153197,0.00561815891845123,0.016194278231348284,0.02411115397437581,0.011833858620908641,0.01190605086367894,0.019813892775444875,0.013093714294851757,0.0016948635883787943,0.01184487126725531,0.01294429945375607,0.0037718164533167785,0.015581639160543054,0.017383284431036997,0.022508993329159836,0.014951807993021243,0.02346256207191547,0.015025368675273635,0.0013650279550975843,0.01308954080220201,0.018570081342061437,0.005542323176539024,0.013185079861390328,0.013727865636228067,0.015718547335516767,0.01891555895178303,0.013589838288275632,0.019475616405730114,0.0023747266968596557,0.020643041905401265,0.016794307286675234,0.005925415268699737,0.016595033196280175,0.02049692339656758
17-AAG,0.017368767333756713,0.012190125535586198,0.013745641655870527,0.017965557287292024,0.0022475433973497983,0.021851637078349095,0.015829463003775374,0.004718584312519423,0.0309059784696006,0.021039279458038927,0.01834402568413745,0.015380386999192582,0.03709532026921901,0.036330933084033755,0.009766688595926403,0.031001853955783094,0.019197647147922534,0.010356927958660727,0.028104182217016615,0.02702627549185031,0.012349794630156964,0.010437027546843775,0.013333582712429477,0.016420406280907664,0.0013214433629585613,0.019283687880493998,0.009257864959181582,0.005450330900244169,0.017657029191931687,0.01643024852863331,0.016344033583478863,0.01163926802529346,0.016972632557373055,0.010848519737662456,0.0010714734252907161,0.014704721993636363,0.014966629139159299,0.013079290334647428,0.015751019801226045,0.01498626948610202,0.012744682772172628,0.01591837052094492,0.012352174987224403,0.01379110710457881,0.001347833670930811,0.013044327373179643,0.012632616809514904,0.006638238831063205,0.017760061998997358,0.01566023887893938,0.02007545322286774,0.011514323492595471,0.016227564240188667,0.01347557204215819,0.001363139596754466,0.01398979755740221,0.014498248990499557,0.00715648181274676,0.013174162135719125,0.017324194729868833,0.010838673834886889,0.012970988595249765,0.009880710614891363,0.014127025045838862,0.0010700958627648182,0.013565052915648926,0.012148588608433267,0.0057082799697357415,0.012539265224682,0.013690635545989302
PHA-665752,0.024475223837290012,0.012038016539243013,0.015168481069285,0.014472786208490171,0.0016590058849155342,0.01651845118578853,0.015307431906222028,0.008408375227881057,0.017067583965913666,0.01797576456803069,0.01679079790775806,0.016970043938647275,0.015331052050620058,0.017229952186835977,0.0015923029022712597,0.021963259942049874,0.02442208063262361,0.007241509438977568,0.02343422682143758,0.016887427824424137,0.015855164120121754,0.012733971919085665,0.017731532423423558,0.02000249201736796,0.003380814962877179,0.029304026347763266,0.014781285706499938,0.009800283995792445,0.016188360373441894,0.017301725275546045,0.014774813566669306,0.013366467570210566,0.013426067374424066,0.015881436074576125,0.0017275586639527816,0.01444276362226431,0.013554618649905805,0.005517360647015565,0.012947434632374435,0.018802732637402807,0.01781863545351251,0.019793437148376745,0.02175000808688868,0.013418533557602494,0.0015270888323649307,0.01435669624845419,0.015936994962357797,0.006676083861628354,0.021909496661625553,0.01731019571887301,0.015618522888009101,0.011538656798905533,0.015690982864915194,0.016872330835893404,0.0026162777045058883,0.0150172490895872,0.014486466431741781,0.0063383112631726106,0.016484781901424737,0.015390700135434292,0.017473719195402478,0.016485434375797962,0.013451020866536734,0.019523796856800557,0.0015525507211290304,0.01489274828849187,0.012017499620089711,0.004430327704418647,0.016828393012445292,0.016318374294193166
