,MIR3167_DEL,LOC284395_AMP,CHD1_MUT,RYR3_DEL,TSHZ3_AMP,DDX25_DEL,LINC00202_DEL,DDX12P_DEL,HLA-DQB1_AMP,LOC100873065_DEL,UPK3B_AMP,DLG2_AMP,UBE2Q2P3_AMP,POU4F1-AS1_DEL,TYW1_AMP,FFAR3_DEL,PTPRN2_AMP,BMPR2_AMP,FOCAD_DEL,DLGAP1_DEL,BRAF_MUT,FAM35B_DEL,PARG_AMP,RBM33_AMP,LINC00226_AMP,LAMA1_MUT,LINC00665_AMP,LRP5L_DEL,DST_MUT,LOC348120_AMP
33,20950.0,52.0,16146.0,4.0,0.0,273.0,2977.0,2327.0,126.0,151.0,56.0,122.0,87.0,93.0,21335.0,95.0,21635.0,23929.0,68.0,7627.0,16570.0,105.0,19273.0,129.0,169.0,119.0,15797.0,13.0,57.0,118.0
82,1.0,6.0,4.0,31.0,37.0,327.0,72.0,2347.0,60.0,144.0,89.0,13231.0,15439.0,19754.0,202.0,142.0,91.0,23936.0,84.0,156.0,106.0,1770.0,97.0,68.0,172.0,65.0,3.0,74.0,143.0,105.0
131,2.0,12.0,9.0,31.0,21652.0,270.0,2963.0,47.0,46.0,56.0,19183.0,13240.0,15313.0,76.0,78.0,129.0,65.0,111.0,209.0,64.0,26.0,1735.0,72.0,117.0,118.0,48.0,23.0,7910.0,178.0,43.0
180,15.0,5.0,8.0,11873.0,29.0,254.0,6.0,17.0,91.0,19783.0,201.0,157.0,143.0,19749.0,21400.0,36.0,21640.0,23935.0,46.0,7633.0,136.0,1735.0,19275.0,80.0,177.0,75.0,41.0,135.0,83.0,165.0
229,20946.0,4.0,2.0,48.0,21657.0,264.0,23.0,36.0,14386.0,18.0,72.0,138.0,15429.0,20259.0,75.0,63.0,34.0,23931.0,94.0,7621.0,191.0,98.0,19269.0,24.0,168.0,15921.0,13.0,70.0,84.0,111.0
278,0.0,119.0,16.0,20.0,6.0,286.0,2947.0,2327.0,75.0,24.0,78.0,13241.0,151.0,51.0,135.0,52.0,69.0,23934.0,17.0,7617.0,29.0,1727.0,148.0,38.0,101.0,121.0,15790.0,7906.0,50.0,97.0
327,1.0,6.0,5.0,121.0,129.0,283.0,2968.0,2344.0,155.0,99.0,4.0,97.0,15313.0,58.0,31.0,494.0,23.0,80.0,24.0,81.0,36.0,1742.0,19273.0,17.0,183.0,139.0,15.0,135.0,93.0,41.0
376,3.0,12.0,6.0,132.0,21653.0,337.0,2959.0,2334.0,14385.0,88.0,48.0,86.0,68.0,100.0,143.0,106.0,21633.0,23901.0,75.0,7618.0,16569.0,1730.0,108.0,40.0,123.0,27.0,8.0,118.0,37.0,181.0
425,1.0,0.0,4.0,18.0,21658.0,308.0,98.0,16.0,139.0,34.0,31.0,88.0,15314.0,93.0,41.0,105.0,21639.0,23932.0,153.0,95.0,65.0,1739.0,19271.0,76.0,155.0,160.0,96.0,56.0,198.0,167.0
474,5.0,1.0,14.0,8.0,21655.0,237.0,116.0,48.0,77.0,39.0,75.0,124.0,15310.0,28.0,164.0,120.0,21645.0,54.0,186.0,7627.0,16571.0,1730.0,76.0,92.0,174.0,78.0,15796.0,7916.0,60.0,97.0
523,1.0,105.0,5.0,8.0,0.0,36.0,80.0,2323.0,130.0,19771.0,116.0,13231.0,93.0,20255.0,70.0,424.0,86.0,96.0,9180.0,107.0,16566.0,1725.0,19260.0,17144.0,133.0,15919.0,46.0,64.0,161.0,15059.0
572,20966.0,12668.0,31.0,1.0,0.0,9.0,2952.0,2329.0,14375.0,47.0,166.0,11.0,65.0,13.0,78.0,101.0,104.0,23872.0,58.0,10.0,16568.0,36.0,19260.0,17143.0,186.0,49.0,19.0,7904.0,41.0,156.0
621,0.0,12670.0,21.0,7.0,10.0,22.0,54.0,2330.0,96.0,75.0,98.0,106.0,164.0,20005.0,121.0,79.0,169.0,74.0,173.0,122.0,16572.0,1730.0,19264.0,209.0,14507.0,15921.0,27.0,7907.0,161.0,15064.0
670,0.0,12682.0,4.0,7.0,21654.0,13.0,2963.0,2336.0,134.0,111.0,160.0,13246.0,84.0,53.0,135.0,141.0,56.0,43.0,220.0,153.0,108.0,1737.0,19268.0,17156.0,179.0,67.0,10.0,7912.0,74.0,213.0
719,12.0,12671.0,2.0,55.0,21649.0,257.0,85.0,2332.0,101.0,19775.0,47.0,114.0,87.0,51.0,84.0,471.0,21629.0,129.0,132.0,62.0,16577.0,1732.0,19260.0,117.0,92.0,15895.0,15.0,7906.0,16571.0,80.0
768,0.0,28.0,27.0,9.0,12.0,3.0,103.0,2328.0,14382.0,11.0,94.0,58.0,188.0,20254.0,165.0,83.0,49.0,47.0,9169.0,38.0,16570.0,79.0,19261.0,109.0,204.0,15918.0,15796.0,7903.0,164.0,15065.0
817,20967.0,56.0,11.0,0.0,5.0,9.0,37.0,2338.0,38.0,72.0,19203.0,86.0,53.0,68.0,178.0,117.0,79.0,140.0,22.0,103.0,59.0,31.0,19264.0,17146.0,49.0,15920.0,15795.0,7910.0,209.0,15067.0
866,0.0,12677.0,1.0,38.0,52.0,18.0,112.0,2332.0,169.0,48.0,33.0,122.0,82.0,66.0,88.0,152.0,136.0,23928.0,3.0,55.0,16571.0,36.0,19269.0,172.0,130.0,15923.0,15795.0,7911.0,137.0,198.0
915,0.0,12663.0,5.0,23.0,7.0,28.0,55.0,2321.0,14371.0,69.0,143.0,60.0,85.0,20254.0,106.0,128.0,86.0,150.0,44.0,118.0,16564.0,70.0,19257.0,144.0,110.0,15891.0,25.0,7900.0,94.0,132.0
964,10.0,12672.0,7.0,3.0,21650.0,24.0,31.0,2334.0,49.0,143.0,80.0,13236.0,81.0,20003.0,85.0,152.0,144.0,67.0,112.0,140.0,93.0,109.0,19263.0,17149.0,113.0,15921.0,27.0,7908.0,38.0,15065.0
1013,136.0,12667.0,16149.0,11878.0,5.0,8.0,2977.0,12.0,137.0,168.0,123.0,111.0,133.0,19753.0,81.0,93.0,21641.0,18.0,95.0,52.0,16579.0,77.0,20.0,51.0,152.0,15927.0,132.0,107.0,188.0,73.0
