,hsa-miR-582-5p,hsa-miR-579,hsa-miR-205,hsa-miR-499-3p,hsa-miR-638,hsa-miR-744,hsa-miR-548a-3p,hsa-miR-140-5p,ebv-miR-BART16,hsa-miR-1979,hsa-miR-583,hsa-miR-1197,hsv1-miR-H8,hsa-miR-1257,hsa-miR-612,hsv1-miR-H7,hsa-miR-924,hsa-miR-620,hsa-miR-1977,hsa-miR-31,hsa-miR-34a,hsa-miR-1276,kshv-miR-K12-4-3p,hsa-miR-657,hsa-miR-551b,hsa-miR-770-5p,hsa-miR-651,kshv-miR-K12-8,hsa-miR-604,kshv-miR-K12-6-5p
17,0.0,1.0,2.0,21.0,4.0,13.0,7.0,6.0,9.0,5.0,14.0,3.0,17.0,20.0,268.0,31.0,37.0,55.0,11.0,54.0,8.0,29.0,42.0,18.0,161.0,82.0,15.0,175.0,62.0,71.0
66,0.0,2.0,6.0,10.0,5.0,16.0,1.0,12.0,4.0,7.0,49.0,3.0,13.0,9.0,280.0,50.0,29.0,14.0,20.0,34.0,33.0,89.0,39.0,25.0,79.0,84.0,11.0,47.0,21.0,56.0
115,1.0,0.0,9.0,36.0,17.0,3.0,5.0,10.0,2.0,13.0,15.0,11.0,7.0,19.0,38.0,34.0,22.0,23.0,4.0,123.0,41.0,29.0,55.0,21.0,89.0,44.0,8.0,58.0,25.0,51.0
164,0.0,1.0,2.0,22.0,23.0,65.0,8.0,12.0,3.0,14.0,17.0,15.0,16.0,18.0,282.0,45.0,20.0,10.0,13.0,36.0,42.0,7.0,25.0,27.0,31.0,51.0,9.0,66.0,5.0,58.0
213,2.0,0.0,8.0,5.0,19.0,4.0,1.0,11.0,9.0,33.0,27.0,6.0,34.0,12.0,81.0,47.0,36.0,16.0,30.0,3.0,455.0,18.0,25.0,26.0,60.0,93.0,22.0,32.0,15.0,64.0
262,0.0,1.0,2.0,6.0,22.0,50.0,8.0,3.0,18.0,16.0,93.0,5.0,7.0,24.0,284.0,44.0,9.0,10.0,11.0,14.0,17.0,33.0,64.0,13.0,49.0,62.0,28.0,15.0,69.0,42.0
311,0.0,1.0,8.0,19.0,3.0,13.0,27.0,12.0,6.0,11.0,31.0,4.0,18.0,2.0,267.0,67.0,52.0,26.0,17.0,35.0,20.0,14.0,201.0,21.0,24.0,114.0,16.0,36.0,7.0,65.0
360,0.0,1.0,27.0,31.0,17.0,15.0,16.0,4.0,19.0,10.0,24.0,20.0,5.0,21.0,270.0,85.0,46.0,7.0,14.0,9.0,12.0,87.0,6.0,2.0,25.0,60.0,8.0,39.0,30.0,173.0
409,0.0,3.0,7.0,5.0,10.0,1.0,8.0,23.0,6.0,16.0,74.0,11.0,18.0,15.0,128.0,61.0,25.0,20.0,9.0,14.0,118.0,68.0,44.0,36.0,73.0,39.0,12.0,58.0,45.0,88.0
458,0.0,2.0,6.0,15.0,10.0,14.0,3.0,33.0,1.0,45.0,28.0,8.0,20.0,21.0,54.0,55.0,23.0,16.0,4.0,48.0,11.0,26.0,62.0,31.0,187.0,76.0,5.0,74.0,7.0,22.0
507,21.0,1.0,73.0,5.0,8.0,11.0,2.0,42.0,15.0,19.0,12.0,6.0,27.0,13.0,17.0,20.0,7.0,46.0,4.0,0.0,49.0,30.0,3.0,34.0,57.0,23.0,292.0,16.0,81.0,26.0
556,1.0,0.0,74.0,5.0,13.0,9.0,20.0,24.0,27.0,19.0,16.0,3.0,32.0,61.0,8.0,41.0,4.0,77.0,23.0,2.0,59.0,11.0,14.0,36.0,26.0,39.0,260.0,56.0,197.0,7.0
605,2.0,0.0,17.0,5.0,10.0,55.0,21.0,39.0,6.0,22.0,8.0,15.0,32.0,24.0,3.0,41.0,4.0,47.0,62.0,1.0,36.0,29.0,12.0,99.0,23.0,43.0,227.0,14.0,58.0,7.0
654,1.0,0.0,15.0,9.0,16.0,23.0,26.0,8.0,13.0,18.0,5.0,7.0,34.0,30.0,19.0,10.0,4.0,92.0,57.0,2.0,468.0,31.0,6.0,126.0,39.0,29.0,267.0,52.0,97.0,44.0
703,1.0,0.0,26.0,4.0,12.0,13.0,56.0,5.0,8.0,7.0,9.0,27.0,11.0,45.0,17.0,15.0,2.0,32.0,6.0,3.0,48.0,16.0,33.0,67.0,20.0,108.0,123.0,29.0,85.0,28.0
752,0.0,3.0,7.0,2.0,21.0,31.0,5.0,17.0,6.0,11.0,52.0,13.0,24.0,57.0,10.0,14.0,9.0,56.0,8.0,1.0,61.0,46.0,27.0,115.0,22.0,116.0,293.0,16.0,68.0,15.0
801,2.0,1.0,28.0,15.0,5.0,29.0,3.0,36.0,39.0,12.0,8.0,16.0,11.0,35.0,10.0,6.0,7.0,145.0,40.0,0.0,23.0,33.0,4.0,80.0,27.0,34.0,220.0,75.0,161.0,54.0
850,5.0,0.0,10.0,17.0,16.0,21.0,29.0,38.0,6.0,11.0,1.0,12.0,19.0,23.0,7.0,8.0,3.0,24.0,65.0,2.0,15.0,14.0,41.0,108.0,47.0,49.0,233.0,9.0,274.0,18.0
899,1.0,0.0,11.0,2.0,4.0,34.0,6.0,10.0,12.0,8.0,15.0,25.0,30.0,33.0,41.0,16.0,5.0,48.0,27.0,3.0,96.0,38.0,19.0,308.0,21.0,22.0,66.0,28.0,77.0,9.0
948,7.0,0.0,5.0,2.0,4.0,12.0,3.0,21.0,13.0,10.0,26.0,6.0,32.0,24.0,11.0,28.0,14.0,242.0,18.0,1.0,60.0,19.0,23.0,114.0,9.0,31.0,280.0,94.0,40.0,16.0
997,0.0,1.0,8.0,3.0,48.0,11.0,21.0,16.0,10.0,28.0,22.0,30.0,20.0,17.0,5.0,2.0,55.0,25.0,23.0,9.0,32.0,61.0,19.0,4.0,14.0,26.0,45.0,6.0,35.0,75.0
1046,0.0,1.0,15.0,5.0,38.0,11.0,22.0,10.0,2.0,13.0,29.0,25.0,31.0,6.0,8.0,4.0,41.0,3.0,9.0,28.0,19.0,52.0,39.0,7.0,18.0,37.0,309.0,55.0,65.0,68.0
1095,0.0,1.0,3.0,6.0,13.0,2.0,10.0,16.0,8.0,11.0,14.0,407.0,30.0,25.0,17.0,19.0,31.0,12.0,21.0,4.0,28.0,427.0,20.0,9.0,15.0,45.0,29.0,7.0,24.0,85.0
1144,0.0,1.0,5.0,19.0,18.0,2.0,10.0,11.0,16.0,30.0,17.0,8.0,20.0,24.0,3.0,9.0,56.0,21.0,25.0,15.0,4.0,36.0,22.0,6.0,13.0,44.0,99.0,34.0,27.0,97.0
1193,1.0,0.0,20.0,13.0,39.0,6.0,19.0,14.0,4.0,9.0,49.0,35.0,52.0,12.0,7.0,8.0,55.0,18.0,11.0,16.0,2.0,51.0,38.0,5.0,10.0,50.0,65.0,47.0,24.0,45.0
1242,0.0,1.0,13.0,6.0,25.0,26.0,7.0,20.0,16.0,10.0,11.0,38.0,39.0,14.0,12.0,18.0,29.0,5.0,8.0,21.0,4.0,84.0,40.0,3.0,28.0,30.0,52.0,15.0,46.0,114.0
1291,2.0,0.0,11.0,18.0,25.0,1.0,46.0,17.0,10.0,15.0,29.0,12.0,20.0,13.0,7.0,4.0,52.0,22.0,6.0,5.0,3.0,422.0,27.0,14.0,89.0,88.0,69.0,24.0,33.0,68.0
1340,5.0,0.0,21.0,6.0,17.0,1.0,3.0,10.0,25.0,29.0,15.0,12.0,27.0,14.0,2.0,4.0,89.0,39.0,36.0,22.0,9.0,31.0,48.0,7.0,8.0,60.0,49.0,69.0,16.0,58.0
1389,1.0,0.0,4.0,9.0,27.0,13.0,31.0,5.0,8.0,30.0,14.0,20.0,21.0,16.0,7.0,10.0,22.0,17.0,24.0,18.0,15.0,82.0,23.0,3.0,25.0,19.0,59.0,41.0,110.0,55.0
1438,4.0,0.0,2.0,15.0,36.0,3.0,18.0,10.0,9.0,20.0,26.0,23.0,33.0,17.0,6.0,43.0,51.0,31.0,16.0,11.0,8.0,39.0,22.0,1.0,5.0,54.0,76.0,7.0,14.0,59.0
1487,1.0,0.0,7.0,8.0,12.0,29.0,19.0,4.0,9.0,6.0,2.0,28.0,13.0,14.0,10.0,27.0,20.0,5.0,87.0,48.0,30.0,21.0,25.0,16.0,64.0,24.0,18.0,22.0,23.0,35.0
1536,0.0,1.0,17.0,11.0,21.0,52.0,14.0,8.0,22.0,2.0,31.0,39.0,4.0,12.0,3.0,27.0,16.0,15.0,41.0,32.0,20.0,5.0,23.0,70.0,7.0,19.0,96.0,9.0,51.0,24.0
1585,0.0,29.0,4.0,15.0,28.0,37.0,10.0,3.0,6.0,11.0,1.0,27.0,8.0,14.0,5.0,23.0,18.0,21.0,9.0,38.0,17.0,12.0,32.0,230.0,16.0,7.0,121.0,75.0,74.0,19.0
1634,0.0,1.0,6.0,3.0,15.0,36.0,12.0,30.0,8.0,5.0,2.0,31.0,11.0,24.0,10.0,7.0,34.0,4.0,16.0,22.0,18.0,17.0,38.0,59.0,9.0,44.0,92.0,35.0,46.0,50.0
1683,0.0,1.0,17.0,8.0,36.0,6.0,58.0,14.0,18.0,3.0,2.0,57.0,5.0,11.0,13.0,16.0,34.0,4.0,20.0,46.0,27.0,21.0,28.0,38.0,54.0,9.0,66.0,12.0,80.0,22.0
1732,0.0,3.0,8.0,4.0,21.0,14.0,23.0,5.0,57.0,2.0,1.0,92.0,10.0,15.0,6.0,17.0,11.0,7.0,37.0,69.0,29.0,9.0,24.0,25.0,20.0,51.0,62.0,13.0,49.0,22.0
1781,0.0,3.0,10.0,8.0,35.0,1.0,25.0,4.0,31.0,9.0,2.0,38.0,17.0,65.0,7.0,14.0,46.0,13.0,387.0,116.0,5.0,15.0,18.0,11.0,20.0,32.0,45.0,26.0,52.0,37.0
1830,0.0,4.0,15.0,12.0,9.0,2.0,24.0,31.0,19.0,7.0,5.0,22.0,13.0,10.0,11.0,21.0,17.0,3.0,23.0,42.0,6.0,16.0,27.0,49.0,116.0,14.0,34.0,1.0,82.0,55.0
1879,0.0,1.0,3.0,17.0,41.0,4.0,42.0,5.0,22.0,8.0,2.0,40.0,6.0,10.0,38.0,13.0,31.0,9.0,23.0,25.0,15.0,14.0,21.0,28.0,7.0,16.0,52.0,20.0,37.0,19.0
1928,1.0,0.0,9.0,7.0,14.0,23.0,30.0,44.0,4.0,2.0,3.0,19.0,5.0,59.0,17.0,20.0,8.0,6.0,62.0,11.0,41.0,12.0,10.0,47.0,25.0,15.0,52.0,42.0,34.0,16.0
1977,0.0,2.0,5.0,8.0,18.0,11.0,24.0,1.0,9.0,7.0,23.0,47.0,34.0,14.0,6.0,25.0,41.0,33.0,44.0,49.0,10.0,27.0,15.0,17.0,58.0,50.0,95.0,53.0,60.0,38.0
2026,3.0,0.0,12.0,14.0,10.0,76.0,31.0,1.0,20.0,28.0,8.0,9.0,13.0,25.0,33.0,42.0,29.0,4.0,52.0,495.0,5.0,11.0,2.0,7.0,57.0,18.0,19.0,17.0,16.0,50.0
