,hsa-miR-218,hsa-miR-579,hsa-miR-342-3p,hsa-let-7e,hsa-miR-1283,hsa-miR-328,hsa-miR-137,hsa-miR-30a,hsa-miR-9,hsa-miR-371-3p,hsa-miR-551a,hsa-miR-363,ebv-miR-BART18-5p,hsa-miR-324-3p,hsa-miR-30c,hsa-miR-1287,hsa-miR-499-3p,hsa-miR-548m,hsa-miR-99a,hsa-miR-1266,hsa-miR-582-5p,ebv-miR-BART16,hsa-miR-521,hsa-miR-211,hsa-miR-764,hsa-miR-1281,hsa-miR-516a-5p,hsv1-miR-H8,hsa-miR-10b,hsa-miR-210
18,0.0,8.0,40.0,50.0,4.0,323.0,6.0,10.0,67.0,11.0,7.0,129.0,1.0,134.0,96.0,3.0,145.0,18.0,42.0,43.0,93.0,216.0,9.0,333.0,5.0,183.0,29.0,80.0,46.0,58.0
67,0.0,18.0,5.0,32.0,3.0,6.0,1.0,24.0,4.0,20.0,15.0,233.0,97.0,8.0,48.0,66.0,10.0,144.0,44.0,31.0,9.0,37.0,7.0,460.0,139.0,209.0,120.0,38.0,236.0,449.0
116,0.0,8.0,2.0,78.0,1.0,3.0,5.0,11.0,6.0,9.0,34.0,59.0,4.0,119.0,7.0,31.0,32.0,49.0,73.0,67.0,60.0,14.0,19.0,393.0,410.0,169.0,74.0,28.0,22.0,437.0
165,11.0,1.0,7.0,18.0,26.0,2.0,16.0,21.0,6.0,5.0,0.0,110.0,3.0,10.0,383.0,30.0,249.0,248.0,94.0,32.0,15.0,56.0,207.0,85.0,260.0,179.0,131.0,61.0,27.0,25.0
214,0.0,5.0,16.0,1.0,7.0,72.0,23.0,28.0,20.0,21.0,4.0,2.0,30.0,15.0,79.0,35.0,22.0,64.0,80.0,12.0,54.0,258.0,6.0,397.0,3.0,218.0,39.0,598.0,129.0,334.0
263,0.0,12.0,17.0,15.0,3.0,13.0,1.0,5.0,74.0,19.0,73.0,485.0,2.0,32.0,8.0,119.0,339.0,14.0,11.0,25.0,4.0,10.0,325.0,30.0,165.0,20.0,282.0,7.0,393.0,513.0
312,0.0,1.0,135.0,12.0,6.0,32.0,73.0,3.0,2.0,4.0,20.0,15.0,5.0,26.0,10.0,83.0,24.0,9.0,28.0,18.0,8.0,27.0,130.0,51.0,108.0,337.0,415.0,98.0,299.0,593.0
361,0.0,2.0,59.0,14.0,1.0,9.0,4.0,12.0,8.0,3.0,69.0,15.0,26.0,46.0,7.0,10.0,67.0,145.0,16.0,50.0,13.0,266.0,232.0,260.0,351.0,44.0,71.0,11.0,74.0,182.0
410,0.0,147.0,34.0,8.0,1.0,11.0,2.0,3.0,7.0,19.0,4.0,12.0,16.0,76.0,27.0,394.0,187.0,40.0,15.0,301.0,53.0,78.0,6.0,200.0,23.0,20.0,209.0,26.0,57.0,120.0
459,0.0,1.0,3.0,71.0,2.0,41.0,5.0,27.0,8.0,14.0,13.0,82.0,4.0,28.0,72.0,73.0,12.0,40.0,62.0,367.0,16.0,6.0,42.0,58.0,35.0,288.0,263.0,60.0,475.0,481.0
