,NQO1,AC074389.9,THAP8,SMO,NSMCE4A,TUBA1A,C7orf13,GPR176,C12orf23,HEG1,ZNF135,ZNF793,BEX4,MED12L,SH3BP1,PAX8,RP4-639F20.1,HAVCR1P1,PGBD5,S100P,KHDRBS3,NPPB,C1RL-AS1,EMB,MARCKS,DIRAS2,PCSK1N,CCDC149,RP3-441A12.1,ZNF91
11,0.0,19.0,4.0,9.0,19940.0,2.0,76.0,50.0,7026.0,117.0,396.0,8014.0,88.0,24.0,112.0,13403.0,25.0,352.0,30.0,58.0,148.0,8.0,47.0,154.0,240.0,20207.0,313.0,2713.0,21117.0,288.0
60,0.0,3.0,22.0,13.0,11.0,182.0,71.0,176.0,6.0,118.0,227.0,16.0,94.0,85.0,21.0,211.0,24.0,65.0,7.0,2350.0,470.0,15941.0,209.0,189.0,67.0,10.0,60.0,110.0,28.0,243.0
109,2.0,11.0,20.0,10.0,41.0,58.0,113.0,24.0,4.0,1.0,259.0,421.0,43.0,141.0,9714.0,101.0,249.0,205.0,14.0,122.0,107.0,8.0,137.0,304.0,194.0,85.0,440.0,191.0,21163.0,265.0
158,9.0,186.0,30.0,18.0,4.0,137.0,22.0,52.0,5070.0,215.0,318.0,48.0,9034.0,94.0,11.0,156.0,1.0,345.0,7.0,20.0,191.0,951.0,12.0,35.0,22838.0,20212.0,8712.0,233.0,151.0,11616.0
207,0.0,52.0,17.0,11.0,1.0,259.0,40.0,110.0,7050.0,75.0,129.0,95.0,88.0,133.0,6.0,263.0,316.0,314.0,47.0,14968.0,81.0,1218.0,18.0,135.0,62.0,691.0,8747.0,15021.0,429.0,11526.0
256,0.0,39.0,10.0,17.0,1.0,15.0,184.0,90.0,6843.0,18.0,124.0,8033.0,154.0,3.0,9667.0,13440.0,186.0,236.0,210.0,64.0,123.0,15962.0,53.0,46.0,14.0,152.0,2190.0,14999.0,272.0,11525.0
305,0.0,216.0,7.0,39.0,3.0,1.0,198.0,71.0,297.0,56.0,24.0,922.0,48.0,209.0,9636.0,16.0,86.0,11608.0,8.0,14875.0,133.0,13.0,134.0,121.0,131.0,20211.0,23.0,85.0,146.0,238.0
354,11.0,37.0,27.0,32.0,1.0,8.0,22.0,65.0,416.0,230.0,150.0,8041.0,177.0,204.0,114.0,9.0,145.0,26.0,3.0,92.0,242.0,1674.0,7.0,158.0,311.0,273.0,1260.0,25.0,10.0,327.0
403,6.0,241.0,116.0,33.0,19927.0,8.0,98.0,4.0,10.0,46.0,393.0,7971.0,159.0,2.0,194.0,20.0,73.0,39.0,51.0,14894.0,17.0,685.0,9.0,110.0,154.0,20216.0,8717.0,15007.0,183.0,608.0
452,0.0,10.0,49.0,31.0,155.0,2.0,59.0,7.0,1149.0,111.0,343.0,7950.0,35.0,231.0,9639.0,171.0,1272.0,281.0,1.0,54.0,17972.0,15947.0,99.0,84.0,605.0,33.0,18.0,2126.0,21112.0,128.0
