,MMP24,RP5-942I16.1,NQO1,CTD-3234P18.2,CTC-559E9.8,KRTAP5-AS1,WWP2,TMEM170B,SPCS3,AC093627.9,RPUSD4,RP11-10A14.4,CAPN9,CD81,SP9,NKAIN4,PQLC1,RPSAP56,RNF170,AL132989.1,ARID4A,DAAM1,DACT1,TIMM9,RP11-112J1.3,GPR135,EXOC5,RP11-349A22.5,NAA30,HMGB1P14
12,0.0,21.0,35.0,5.0,80.0,71.0,124.0,129.0,21300.0,115.0,63.0,107.0,106.0,113.0,122.0,41.0,132.0,9908.0,18123.0,193.0,192.0,150.0,183.0,188.0,162.0,161.0,176.0,195.0,174.0,194.0
61,6244.0,111.0,14.0,117.0,85.0,110.0,118.0,71.0,21284.0,22526.0,5769.0,74.0,102.0,4194.0,21.0,31.0,44.0,9898.0,18127.0,154.0,149.0,152.0,148.0,150.0,146.0,144.0,173.0,143.0,176.0,145.0
110,1.0,33.0,23.0,10665.0,65.0,96.0,71.0,22931.0,21296.0,22528.0,0.0,141.0,129.0,59.0,126.0,64.0,104.0,132.0,18134.0,186.0,201.0,212.0,215.0,204.0,214.0,211.0,274.0,189.0,197.0,187.0
159,0.0,6.0,41.0,143.0,29.0,138.0,78.0,116.0,21285.0,22526.0,5773.0,107.0,137.0,114.0,141.0,18.0,126.0,9894.0,18121.0,175.0,173.0,176.0,172.0,170.0,184.0,180.0,178.0,151.0,168.0,185.0
208,1.0,18604.0,25.0,16.0,78.0,19.0,85.0,22935.0,21297.0,22491.0,79.0,119.0,17303.0,135.0,13184.0,80.0,134.0,9906.0,18132.0,181.0,182.0,161.0,154.0,183.0,162.0,159.0,171.0,178.0,169.0,179.0
257,16.0,47.0,17.0,10.0,35.0,4166.0,38.0,58.0,21288.0,105.0,123.0,12.0,17327.0,117.0,27.0,60.0,104.0,9898.0,18132.0,130.0,153.0,142.0,149.0,152.0,148.0,139.0,176.0,155.0,181.0,154.0
306,1.0,65.0,35.0,22.0,10830.0,4178.0,68.0,84.0,21296.0,22508.0,5776.0,81.0,117.0,101.0,51.0,45.0,104.0,91.0,18128.0,162.0,147.0,274.0,217.0,148.0,275.0,273.0,161.0,169.0,165.0,168.0
355,5.0,27.0,40.0,8.0,72.0,99.0,74.0,22931.0,21298.0,22487.0,139.0,91.0,144.0,113.0,132.0,109.0,54.0,9906.0,18124.0,168.0,167.0,284.0,228.0,186.0,285.0,282.0,179.0,170.0,177.0,169.0
404,0.0,18602.0,46.0,10652.0,70.0,92.0,63.0,22931.0,21292.0,22488.0,5785.0,55.0,17335.0,56.0,136.0,120.0,113.0,144.0,18131.0,181.0,180.0,173.0,176.0,179.0,175.0,172.0,392.0,183.0,389.0,182.0
453,79.0,31.0,9.0,10668.0,10837.0,4176.0,118.0,113.0,21290.0,107.0,5778.0,68.0,17335.0,124.0,34.0,65.0,121.0,110.0,18133.0,186.0,179.0,158.0,155.0,145.0,156.0,159.0,170.0,184.0,173.0,185.0
502,1.0,8.0,36.0,58.0,10836.0,75.0,48.0,22934.0,62.0,63.0,115.0,74.0,128.0,71.0,13183.0,24.0,127.0,9904.0,110.0,171.0,161.0,202.0,200.0,165.0,272.0,252.0,179.0,196.0,181.0,197.0
551,2.0,14.0,85.0,19.0,10865.0,28.0,10.0,77.0,21298.0,104.0,5776.0,92.0,126.0,20.0,139.0,7.0,11459.0,9906.0,99.0,151.0,147.0,161.0,155.0,152.0,157.0,162.0,187.0,171.0,190.0,169.0
600,3.0,18593.0,44.0,16.0,84.0,4195.0,9761.0,131.0,41.0,22527.0,119.0,145.0,113.0,148.0,120.0,46.0,135.0,9895.0,82.0,393.0,392.0,200.0,368.0,391.0,294.0,199.0,388.0,395.0,402.0,394.0
649,1.0,48.0,63.0,10650.0,10834.0,114.0,142.0,52.0,60.0,124.0,107.0,121.0,17334.0,4207.0,13183.0,47.0,116.0,9909.0,109.0,159.0,160.0,169.0,166.0,162.0,168.0,156.0,151.0,171.0,157.0,158.0
698,8.0,36.0,46.0,16.0,10867.0,65.0,28.0,78.0,21293.0,86.0,140.0,127.0,129.0,4203.0,92.0,133.0,11458.0,9901.0,152.0,176.0,165.0,244.0,242.0,173.0,243.0,245.0,184.0,160.0,189.0,161.0
747,6253.0,18600.0,30.0,3.0,10826.0,92.0,9767.0,20.0,53.0,122.0,137.0,95.0,108.0,4203.0,13181.0,26.0,100.0,9901.0,116.0,174.0,175.0,184.0,182.0,176.0,183.0,187.0,171.0,189.0,164.0,181.0
796,61.0,26.0,22.0,18.0,100.0,55.0,129.0,76.0,25.0,110.0,75.0,89.0,17332.0,97.0,114.0,14.0,126.0,9899.0,18116.0,153.0,154.0,226.0,146.0,138.0,144.0,227.0,182.0,145.0,188.0,149.0
845,6252.0,25.0,68.0,34.0,31.0,85.0,9760.0,98.0,21291.0,22521.0,94.0,17869.0,17328.0,134.0,16.0,125.0,11450.0,9895.0,123.0,184.0,183.0,198.0,195.0,182.0,197.0,215.0,396.0,186.0,431.0,185.0
894,14.0,6.0,59.0,8.0,50.0,40.0,139.0,124.0,72.0,108.0,120.0,100.0,101.0,145.0,13181.0,37.0,11442.0,137.0,66.0,194.0,192.0,185.0,188.0,191.0,187.0,204.0,399.0,195.0,284.0,203.0
943,19.0,18606.0,59.0,26.0,10849.0,147.0,139.0,80.0,21299.0,97.0,151.0,34.0,91.0,123.0,146.0,53.0,11459.0,9907.0,149.0,168.0,167.0,283.0,285.0,165.0,284.0,282.0,163.0,172.0,181.0,171.0
992,0.0,83.0,76.0,19.0,55.0,56.0,78.0,134.0,21299.0,116.0,81.0,17878.0,115.0,82.0,13183.0,6504.0,148.0,9905.0,147.0,198.0,207.0,175.0,163.0,200.0,171.0,159.0,179.0,195.0,185.0,197.0
1041,52.0,18605.0,51.0,15.0,54.0,97.0,138.0,22937.0,21277.0,127.0,20.0,17880.0,112.0,88.0,13181.0,6499.0,11421.0,149.0,131.0,180.0,167.0,174.0,172.0,168.0,173.0,175.0,187.0,166.0,185.0,164.0
1090,6254.0,32.0,13.0,40.0,81.0,66.0,123.0,94.0,21296.0,22524.0,133.0,17875.0,125.0,100.0,13181.0,126.0,11426.0,106.0,18126.0,152.0,164.0,165.0,169.0,178.0,167.0,168.0,173.0,163.0,183.0,154.0
1139,30.0,13.0,51.0,20.0,41.0,111.0,103.0,22931.0,21299.0,115.0,5784.0,17878.0,17296.0,67.0,13183.0,6524.0,11419.0,132.0,18128.0,160.0,155.0,170.0,167.0,175.0,169.0,172.0,182.0,164.0,191.0,157.0
1188,4.0,12.0,37.0,8.0,42.0,64.0,15.0,102.0,21294.0,101.0,136.0,128.0,17332.0,109.0,13173.0,6518.0,11421.0,9905.0,100.0,160.0,159.0,174.0,47.0,158.0,183.0,169.0,176.0,162.0,181.0,161.0
1237,6251.0,18598.0,38.0,13.0,10823.0,84.0,129.0,18.0,16.0,104.0,125.0,139.0,102.0,47.0,13175.0,6494.0,108.0,9896.0,18131.0,168.0,166.0,277.0,279.0,209.0,278.0,276.0,173.0,170.0,164.0,169.0
1286,6261.0,103.0,60.0,17.0,10832.0,152.0,136.0,22935.0,83.0,123.0,89.0,150.0,17318.0,56.0,13184.0,6526.0,11441.0,9912.0,156.0,300.0,299.0,293.0,295.0,298.0,294.0,291.0,193.0,241.0,190.0,243.0
1335,6249.0,10.0,23.0,62.0,37.0,42.0,119.0,22926.0,101.0,99.0,102.0,17872.0,100.0,121.0,13175.0,6490.0,127.0,95.0,18121.0,164.0,168.0,176.0,174.0,169.0,175.0,177.0,160.0,161.0,170.0,162.0
1384,6259.0,18597.0,23.0,8.0,42.0,91.0,102.0,22933.0,35.0,121.0,5773.0,17873.0,110.0,101.0,140.0,6523.0,11435.0,9903.0,18124.0,194.0,192.0,148.0,187.0,166.0,184.0,164.0,170.0,196.0,183.0,195.0
1433,15.0,1.0,37.0,9.0,39.0,4166.0,62.0,135.0,21284.0,71.0,119.0,17875.0,17333.0,106.0,13174.0,6488.0,129.0,136.0,139.0,173.0,162.0,169.0,151.0,159.0,150.0,192.0,158.0,153.0,189.0,166.0
1482,6251.0,24.0,69.0,112.0,95.0,45.0,109.0,50.0,123.0,22509.0,75.0,129.0,101.0,4200.0,138.0,17.0,122.0,67.0,18132.0,174.0,172.0,156.0,160.0,166.0,159.0,163.0,171.0,154.0,157.0,143.0
1531,6251.0,21.0,63.0,5.0,83.0,65.0,81.0,131.0,61.0,22528.0,126.0,140.0,92.0,69.0,13178.0,33.0,11440.0,9901.0,18125.0,160.0,179.0,187.0,181.0,196.0,186.0,189.0,400.0,265.0,397.0,155.0
1580,6256.0,26.0,56.0,96.0,17.0,127.0,9771.0,22930.0,21298.0,22509.0,100.0,140.0,104.0,141.0,13180.0,77.0,11461.0,9905.0,18127.0,173.0,192.0,289.0,291.0,231.0,290.0,288.0,184.0,175.0,182.0,174.0
1629,10.0,37.0,75.0,67.0,10829.0,88.0,137.0,84.0,21258.0,22489.0,98.0,130.0,139.0,129.0,145.0,2.0,11439.0,146.0,18129.0,203.0,202.0,194.0,197.0,201.0,195.0,193.0,400.0,298.0,405.0,224.0
1678,6256.0,18603.0,40.0,10686.0,59.0,73.0,68.0,51.0,114.0,112.0,60.0,144.0,98.0,4208.0,97.0,6499.0,11439.0,9907.0,134.0,169.0,170.0,269.0,178.0,172.0,196.0,211.0,192.0,163.0,208.0,168.0
1727,1.0,23.0,72.0,13.0,62.0,8.0,152.0,55.0,74.0,22509.0,142.0,98.0,162.0,6.0,13184.0,120.0,11465.0,151.0,141.0,203.0,202.0,240.0,231.0,201.0,222.0,239.0,214.0,205.0,212.0,204.0
1776,6256.0,31.0,75.0,20.0,81.0,89.0,91.0,95.0,54.0,140.0,5781.0,17881.0,17335.0,4210.0,123.0,6498.0,11422.0,132.0,18130.0,194.0,193.0,185.0,188.0,192.0,187.0,184.0,398.0,180.0,394.0,196.0
1825,6252.0,19.0,52.0,69.0,10849.0,39.0,134.0,142.0,102.0,22507.0,105.0,106.0,128.0,4207.0,99.0,6470.0,11443.0,21.0,18131.0,157.0,180.0,189.0,173.0,186.0,174.0,183.0,185.0,155.0,160.0,190.0
1874,32.0,31.0,39.0,10650.0,48.0,129.0,105.0,22932.0,78.0,22507.0,110.0,133.0,125.0,4200.0,13176.0,88.0,11437.0,35.0,18126.0,164.0,163.0,150.0,159.0,162.0,145.0,180.0,176.0,166.0,174.0,165.0
1923,6257.0,61.0,107.0,31.0,109.0,23.0,112.0,74.0,87.0,22528.0,5782.0,113.0,138.0,4210.0,30.0,6498.0,136.0,9906.0,18130.0,205.0,204.0,195.0,199.0,203.0,196.0,194.0,410.0,378.0,407.0,207.0
1972,16.0,3.0,74.0,61.0,46.0,43.0,70.0,115.0,126.0,102.0,113.0,64.0,17327.0,50.0,142.0,6514.0,121.0,9898.0,127.0,167.0,172.0,246.0,244.0,236.0,245.0,247.0,173.0,162.0,153.0,166.0
2021,30.0,57.0,114.0,10644.0,46.0,92.0,80.0,104.0,21295.0,22508.0,5780.0,17871.0,17327.0,4201.0,73.0,6520.0,11457.0,9902.0,134.0,192.0,186.0,169.0,174.0,184.0,173.0,170.0,161.0,171.0,156.0,193.0
2070,3.0,27.0,110.0,123.0,104.0,42.0,94.0,58.0,21299.0,22494.0,149.0,17884.0,119.0,154.0,142.0,6528.0,11428.0,9912.0,159.0,89.0,206.0,175.0,210.0,205.0,181.0,176.0,191.0,213.0,194.0,212.0
2119,3.0,58.0,46.0,10657.0,54.0,4188.0,34.0,145.0,103.0,124.0,109.0,93.0,155.0,135.0,92.0,11.0,143.0,129.0,18134.0,197.0,196.0,187.0,191.0,194.0,189.0,190.0,402.0,370.0,399.0,263.0
2168,8.0,34.0,88.0,10645.0,21.0,4174.0,66.0,22926.0,21291.0,131.0,111.0,17865.0,17333.0,4201.0,13174.0,126.0,118.0,3.0,133.0,169.0,167.0,153.0,166.0,164.0,175.0,155.0,181.0,171.0,179.0,170.0
2217,22.0,34.0,103.0,10646.0,87.0,93.0,71.0,56.0,101.0,135.0,129.0,17878.0,17328.0,91.0,134.0,6493.0,11422.0,9911.0,111.0,191.0,194.0,163.0,174.0,196.0,204.0,156.0,176.0,186.0,155.0,189.0
2266,21.0,81.0,89.0,82.0,10830.0,126.0,128.0,33.0,21289.0,95.0,118.0,113.0,17334.0,4207.0,90.0,6519.0,145.0,9904.0,18127.0,166.0,167.0,269.0,207.0,170.0,270.0,268.0,176.0,164.0,155.0,165.0
2315,7.0,33.0,115.0,118.0,35.0,56.0,76.0,49.0,65.0,22493.0,5787.0,139.0,17338.0,103.0,79.0,6526.0,11428.0,9916.0,18135.0,161.0,162.0,43.0,235.0,163.0,237.0,239.0,190.0,150.0,195.0,157.0
2364,6.0,7.0,116.0,121.0,10831.0,4183.0,114.0,138.0,21299.0,22508.0,117.0,109.0,141.0,127.0,62.0,23.0,147.0,9906.0,131.0,160.0,204.0,248.0,205.0,206.0,247.0,250.0,197.0,164.0,173.0,161.0
2413,6253.0,20.0,111.0,139.0,39.0,132.0,32.0,22929.0,42.0,118.0,99.0,17876.0,17331.0,130.0,72.0,60.0,88.0,148.0,128.0,201.0,200.0,154.0,176.0,199.0,203.0,155.0,177.0,204.0,194.0,175.0
2462,6250.0,51.0,53.0,8.0,57.0,130.0,124.0,85.0,21289.0,81.0,5775.0,142.0,135.0,101.0,102.0,5.0,11454.0,131.0,76.0,244.0,245.0,254.0,250.0,247.0,252.0,259.0,159.0,239.0,157.0,240.0
2511,6243.0,26.0,113.0,8.0,84.0,4192.0,91.0,139.0,64.0,87.0,56.0,17867.0,125.0,13.0,13170.0,6486.0,138.0,96.0,119.0,185.0,177.0,162.0,159.0,165.0,160.0,163.0,173.0,181.0,171.0,182.0
2560,31.0,18606.0,81.0,27.0,48.0,4201.0,9778.0,22939.0,21263.0,145.0,60.0,17882.0,110.0,132.0,37.0,6533.0,11422.0,9912.0,90.0,165.0,160.0,181.0,176.0,158.0,180.0,295.0,198.0,199.0,202.0,170.0
2609,6256.0,52.0,98.0,10.0,35.0,4183.0,9772.0,22932.0,89.0,110.0,5782.0,155.0,132.0,4210.0,154.0,6499.0,11442.0,9906.0,121.0,187.0,184.0,193.0,192.0,188.0,200.0,171.0,168.0,194.0,164.0,190.0
2658,131.0,40.0,27.0,7.0,52.0,4181.0,9765.0,97.0,19.0,53.0,136.0,148.0,112.0,4208.0,16.0,6496.0,11440.0,9899.0,126.0,245.0,172.0,198.0,158.0,168.0,199.0,192.0,395.0,425.0,393.0,281.0
2707,56.0,53.0,37.0,14.0,76.0,4187.0,9779.0,110.0,147.0,102.0,101.0,115.0,90.0,4214.0,113.0,6530.0,114.0,120.0,138.0,16.0,169.0,166.0,162.0,159.0,165.0,246.0,178.0,184.0,188.0,187.0
2756,8.0,26.0,70.0,9.0,10830.0,4186.0,9771.0,146.0,87.0,101.0,5785.0,131.0,120.0,18.0,13185.0,6498.0,11442.0,141.0,18157.0,172.0,179.0,178.0,175.0,173.0,176.0,181.0,186.0,161.0,177.0,195.0
2805,25.0,67.0,27.0,7.0,64.0,4192.0,119.0,73.0,152.0,110.0,122.0,134.0,95.0,4219.0,123.0,79.0,11465.0,9910.0,18160.0,178.0,177.0,169.0,173.0,188.0,170.0,167.0,387.0,186.0,407.0,184.0
2854,6261.0,3.0,94.0,8.0,123.0,25.0,147.0,132.0,22.0,22509.0,5790.0,161.0,158.0,142.0,58.0,6503.0,144.0,9907.0,138.0,206.0,205.0,197.0,201.0,213.0,198.0,196.0,437.0,208.0,435.0,207.0
2903,78.0,30.0,138.0,0.0,61.0,4192.0,149.0,125.0,96.0,111.0,5790.0,152.0,117.0,153.0,13189.0,13.0,157.0,9913.0,98.0,190.0,187.0,179.0,181.0,186.0,180.0,178.0,170.0,192.0,167.0,191.0
2952,6256.0,30.0,53.0,114.0,11.0,139.0,4.0,136.0,21298.0,22491.0,33.0,132.0,17330.0,129.0,59.0,85.0,122.0,84.0,18129.0,177.0,201.0,190.0,183.0,178.0,188.0,192.0,445.0,185.0,163.0,180.0
3001,4.0,21.0,62.0,10662.0,82.0,97.0,57.0,22926.0,21290.0,22524.0,127.0,145.0,17333.0,36.0,13174.0,6495.0,138.0,9894.0,18122.0,194.0,195.0,204.0,200.0,196.0,202.0,177.0,193.0,188.0,184.0,190.0
3050,155.0,13.0,103.0,102.0,33.0,120.0,29.0,115.0,76.0,101.0,5789.0,135.0,17336.0,45.0,13186.0,3.0,147.0,125.0,150.0,197.0,194.0,214.0,196.0,193.0,206.0,220.0,395.0,198.0,392.0,204.0
