,Bax,Caspase-7_cleavedD198,XBP1,YB-1_pS102,GAPDH,HER3,FRA1,Notch1,p38_pT180_Y182,CD49b,CDK1,RAD51,ASNS,PEA15_pS116,HSP70,Beclin,14-3-3_zeta,Src_pY527,G6PD,Annexin 1,NDRG1_pT346,PAI-1,ACVRL1,MEK1_pS217_S221,PDCD4,p14 Arf(BetA300-340A),Cyclin_B1,FoxM1,Caveolin-1,MDMX_MDM4(BetIHC-00108)
3,0.0,4.0,1.0,16.0,8.0,12.0,9.0,10.0,11.0,2.0,3.0,5.0,25.0,7.0,32.0,21.0,15.0,31.0,6.0,29.0,22.0,17.0,28.0,51.0,38.0,39.0,110.0,33.0,88.0,52.0
52,0.0,1.0,5.0,9.0,10.0,8.0,3.0,14.0,18.0,4.0,2.0,12.0,15.0,11.0,6.0,16.0,30.0,13.0,7.0,17.0,25.0,39.0,31.0,43.0,37.0,29.0,26.0,112.0,83.0,40.0
101,0.0,2.0,5.0,4.0,3.0,9.0,6.0,15.0,16.0,10.0,7.0,1.0,12.0,24.0,17.0,20.0,108.0,77.0,8.0,19.0,48.0,27.0,106.0,44.0,78.0,32.0,26.0,11.0,95.0,34.0
150,0.0,1.0,2.0,5.0,3.0,31.0,9.0,11.0,7.0,10.0,4.0,8.0,17.0,13.0,16.0,14.0,34.0,60.0,12.0,6.0,21.0,24.0,30.0,41.0,33.0,42.0,128.0,29.0,89.0,47.0
199,1.0,4.0,0.0,7.0,9.0,14.0,3.0,8.0,19.0,18.0,2.0,5.0,17.0,15.0,33.0,6.0,30.0,25.0,13.0,16.0,31.0,76.0,20.0,45.0,39.0,24.0,110.0,23.0,87.0,50.0
248,0.0,1.0,3.0,8.0,10.0,5.0,4.0,13.0,21.0,7.0,2.0,12.0,9.0,11.0,16.0,20.0,31.0,61.0,17.0,30.0,22.0,26.0,15.0,37.0,42.0,24.0,23.0,6.0,82.0,41.0
297,1.0,5.0,2.0,10.0,0.0,7.0,13.0,8.0,25.0,6.0,3.0,4.0,11.0,14.0,9.0,15.0,12.0,26.0,20.0,18.0,42.0,31.0,17.0,45.0,30.0,47.0,122.0,21.0,83.0,34.0
346,0.0,5.0,1.0,6.0,3.0,8.0,7.0,16.0,13.0,4.0,2.0,10.0,20.0,17.0,19.0,12.0,11.0,22.0,9.0,29.0,18.0,35.0,102.0,46.0,50.0,42.0,23.0,14.0,87.0,37.0
395,1.0,2.0,0.0,5.0,3.0,14.0,12.0,19.0,17.0,6.0,4.0,13.0,9.0,10.0,30.0,18.0,11.0,61.0,15.0,101.0,24.0,35.0,106.0,37.0,28.0,23.0,114.0,25.0,21.0,16.0
444,0.0,1.0,2.0,19.0,4.0,5.0,12.0,33.0,79.0,9.0,8.0,7.0,11.0,6.0,28.0,17.0,110.0,30.0,3.0,22.0,27.0,14.0,102.0,48.0,24.0,26.0,20.0,15.0,85.0,49.0
493,5.0,3.0,0.0,2.0,4.0,9.0,1.0,21.0,12.0,89.0,7.0,30.0,98.0,25.0,26.0,15.0,16.0,65.0,10.0,23.0,38.0,39.0,102.0,22.0,50.0,8.0,14.0,13.0,6.0,43.0
542,0.0,5.0,1.0,2.0,18.0,32.0,3.0,11.0,4.0,17.0,12.0,13.0,31.0,24.0,23.0,8.0,10.0,25.0,14.0,35.0,16.0,34.0,124.0,7.0,28.0,6.0,21.0,30.0,9.0,22.0
591,4.0,3.0,5.0,2.0,1.0,12.0,0.0,21.0,6.0,16.0,8.0,25.0,39.0,10.0,22.0,7.0,9.0,26.0,17.0,19.0,15.0,41.0,31.0,38.0,52.0,11.0,87.0,127.0,20.0,14.0
640,3.0,12.0,1.0,2.0,8.0,10.0,0.0,20.0,4.0,17.0,11.0,13.0,96.0,16.0,21.0,7.0,22.0,25.0,26.0,14.0,9.0,23.0,102.0,15.0,80.0,5.0,118.0,36.0,18.0,37.0
