,Gab2,p70S6K_pT389,PKC-alpha,XBP1,Caspase-7_cleavedD198,AMPK_alpha,c-Jun_pS73,Bax,4E-BP1_pS65,PKC-delta_pS664,B-Raf,GSK-3-BETA,IGFBP2,GSK3_pS9,JNK2,Smac,CDK1,c-Kit,Rictor_pT1135,TIGAR,Fibronectin,RAD51,GAPDH,N-Cadherin,ADAR1,ACVRL1,FRA1,p38_pT180_Y182,IRS1,HSP70
4,0.0,5.0,2.0,1.0,4.0,12.0,63.0,19.0,13.0,7.0,15.0,44.0,33.0,67.0,58.0,28.0,9.0,108.0,97.0,10.0,6.0,11.0,77.0,24.0,45.0,74.0,69.0,40.0,20.0,18.0
53,0.0,1.0,4.0,10.0,2.0,3.0,5.0,24.0,9.0,6.0,52.0,27.0,12.0,76.0,38.0,48.0,7.0,89.0,68.0,15.0,28.0,17.0,11.0,18.0,143.0,66.0,32.0,29.0,14.0,8.0
102,0.0,2.0,1.0,3.0,9.0,13.0,20.0,24.0,7.0,15.0,8.0,83.0,21.0,22.0,44.0,23.0,17.0,26.0,27.0,6.0,14.0,5.0,10.0,4.0,110.0,159.0,31.0,19.0,112.0,91.0
151,0.0,2.0,1.0,3.0,4.0,6.0,17.0,9.0,5.0,28.0,8.0,82.0,66.0,26.0,7.0,38.0,13.0,18.0,42.0,10.0,45.0,69.0,11.0,15.0,113.0,12.0,32.0,91.0,23.0,43.0
200,0.0,2.0,4.0,1.0,8.0,6.0,43.0,13.0,10.0,14.0,3.0,62.0,11.0,149.0,117.0,25.0,7.0,28.0,156.0,19.0,56.0,133.0,18.0,86.0,142.0,60.0,16.0,49.0,9.0,32.0
249,1.0,0.0,3.0,8.0,5.0,6.0,10.0,2.0,12.0,99.0,4.0,115.0,64.0,82.0,23.0,71.0,7.0,67.0,14.0,9.0,30.0,80.0,88.0,83.0,98.0,15.0,40.0,148.0,47.0,24.0
298,0.0,3.0,5.0,2.0,7.0,61.0,13.0,70.0,15.0,25.0,17.0,88.0,4.0,27.0,23.0,52.0,9.0,12.0,22.0,6.0,57.0,14.0,1.0,71.0,156.0,10.0,124.0,39.0,18.0,11.0
347,3.0,0.0,1.0,2.0,11.0,7.0,40.0,6.0,13.0,21.0,25.0,87.0,17.0,130.0,10.0,18.0,4.0,56.0,59.0,9.0,20.0,45.0,5.0,88.0,37.0,92.0,73.0,19.0,34.0,8.0
396,0.0,1.0,3.0,5.0,6.0,4.0,66.0,52.0,2.0,32.0,27.0,26.0,53.0,40.0,43.0,23.0,18.0,100.0,10.0,47.0,122.0,115.0,28.0,57.0,114.0,152.0,130.0,127.0,33.0,49.0
445,0.0,1.0,4.0,2.0,3.0,5.0,11.0,105.0,7.0,68.0,106.0,40.0,14.0,6.0,13.0,10.0,26.0,49.0,45.0,27.0,12.0,28.0,59.0,24.0,118.0,63.0,32.0,22.0,19.0,123.0
494,0.0,10.0,4.0,1.0,8.0,2.0,11.0,6.0,68.0,3.0,16.0,13.0,22.0,29.0,20.0,17.0,47.0,9.0,114.0,33.0,71.0,106.0,45.0,54.0,69.0,15.0,5.0,141.0,109.0,40.0
543,1.0,2.0,4.0,3.0,23.0,0.0,31.0,5.0,36.0,13.0,7.0,9.0,16.0,8.0,12.0,67.0,20.0,11.0,10.0,158.0,69.0,62.0,64.0,54.0,84.0,47.0,6.0,18.0,122.0,42.0
592,3.0,0.0,9.0,7.0,4.0,2.0,55.0,43.0,6.0,12.0,17.0,15.0,5.0,13.0,127.0,26.0,98.0,61.0,27.0,57.0,32.0,84.0,38.0,51.0,33.0,21.0,1.0,73.0,25.0,45.0
