,PKC-alpha,Shc_pY317,Gab2,c-Jun_pS73,TFRC,AMPK_alpha,FRA1,GSK3_pS9,Bax,G6PD,NDRG1_pT346,XBP1,4E-BP1_pS65,Smac,ADAR1,Cyclin_E1,p70S6K_pT389,Cyclin_B1,Rictor_pT1135,RAD51,ASNS,MSH6,p90RSK_pT359_S363,Fibronectin,IGFBP2,JNK2,4E-BP1,YB-1_pS102,N-Cadherin,Lck
5,3.0,111.0,9.0,145.0,42.0,43.0,6.0,1.0,25.0,113.0,13.0,40.0,36.0,26.0,80.0,32.0,17.0,104.0,58.0,35.0,91.0,12.0,98.0,27.0,70.0,97.0,7.0,71.0,47.0,60.0
54,12.0,2.0,24.0,23.0,11.0,7.0,18.0,5.0,8.0,21.0,46.0,37.0,38.0,77.0,135.0,19.0,34.0,121.0,20.0,60.0,131.0,32.0,93.0,48.0,78.0,59.0,138.0,30.0,22.0,154.0
103,6.0,4.0,13.0,21.0,27.0,26.0,9.0,137.0,60.0,19.0,2.0,45.0,48.0,25.0,33.0,36.0,34.0,39.0,96.0,28.0,93.0,24.0,81.0,20.0,113.0,119.0,8.0,75.0,49.0,67.0
152,15.0,10.0,14.0,41.0,3.0,12.0,4.0,84.0,30.0,43.0,11.0,37.0,47.0,60.0,2.0,5.0,21.0,101.0,82.0,77.0,28.0,53.0,52.0,114.0,103.0,17.0,92.0,8.0,157.0,87.0
201,9.0,35.0,20.0,37.0,27.0,18.0,14.0,122.0,36.0,11.0,8.0,41.0,26.0,42.0,103.0,28.0,54.0,66.0,44.0,68.0,48.0,39.0,46.0,49.0,3.0,6.0,7.0,34.0,147.0,29.0
250,26.0,3.0,25.0,89.0,22.0,44.0,30.0,47.0,12.0,20.0,61.0,41.0,15.0,63.0,141.0,6.0,1.0,5.0,60.0,50.0,29.0,9.0,151.0,21.0,54.0,7.0,94.0,164.0,64.0,4.0
299,21.0,124.0,16.0,28.0,48.0,39.0,23.0,53.0,43.0,38.0,1.0,11.0,18.0,105.0,104.0,27.0,44.0,136.0,89.0,69.0,34.0,46.0,90.0,56.0,58.0,93.0,103.0,57.0,145.0,61.0
348,7.0,11.0,22.0,116.0,2.0,33.0,4.0,1.0,9.0,78.0,45.0,18.0,50.0,40.0,111.0,24.0,42.0,26.0,66.0,98.0,60.0,12.0,162.0,133.0,76.0,51.0,37.0,74.0,19.0,30.0
397,11.0,21.0,13.0,33.0,19.0,3.0,10.0,96.0,17.0,2.0,42.0,23.0,40.0,52.0,103.0,68.0,43.0,152.0,54.0,80.0,59.0,22.0,98.0,36.0,101.0,29.0,6.0,164.0,121.0,5.0
446,5.0,18.0,17.0,42.0,124.0,31.0,11.0,59.0,22.0,25.0,3.0,45.0,56.0,63.0,10.0,26.0,24.0,21.0,99.0,40.0,85.0,15.0,139.0,80.0,50.0,41.0,134.0,32.0,144.0,44.0
495,11.0,35.0,25.0,52.0,53.0,7.0,64.0,18.0,48.0,3.0,105.0,45.0,83.0,97.0,23.0,110.0,27.0,147.0,42.0,82.0,140.0,47.0,155.0,136.0,93.0,20.0,10.0,31.0,17.0,145.0
544,6.0,32.0,20.0,45.0,12.0,7.0,18.0,25.0,28.0,9.0,139.0,37.0,133.0,34.0,17.0,65.0,83.0,66.0,8.0,84.0,156.0,19.0,138.0,38.0,107.0,150.0,3.0,44.0,22.0,82.0
593,14.0,62.0,34.0,26.0,125.0,5.0,29.0,47.0,35.0,7.0,135.0,15.0,64.0,37.0,21.0,140.0,44.0,46.0,41.0,90.0,113.0,69.0,72.0,86.0,73.0,145.0,48.0,43.0,38.0,82.0
642,21.0,127.0,22.0,9.0,41.0,8.0,17.0,23.0,35.0,13.0,73.0,30.0,60.0,32.0,130.0,107.0,96.0,71.0,45.0,48.0,82.0,43.0,62.0,139.0,70.0,26.0,109.0,16.0,152.0,37.0
691,7.0,9.0,11.0,74.0,28.0,16.0,18.0,134.0,49.0,1.0,10.0,23.0,71.0,33.0,17.0,156.0,48.0,60.0,37.0,81.0,8.0,21.0,30.0,139.0,36.0,146.0,0.0,54.0,162.0,78.0
740,23.0,20.0,8.0,19.0,2.0,13.0,7.0,53.0,25.0,65.0,15.0,29.0,44.0,35.0,24.0,3.0,55.0,74.0,40.0,49.0,118.0,34.0,5.0,116.0,64.0,69.0,21.0,61.0,139.0,59.0
789,13.0,122.0,12.0,69.0,7.0,18.0,22.0,3.0,29.0,9.0,146.0,47.0,82.0,125.0,36.0,77.0,95.0,59.0,35.0,63.0,15.0,4.0,67.0,42.0,33.0,24.0,20.0,78.0,55.0,97.0
838,4.0,21.0,14.0,34.0,18.0,27.0,51.0,1.0,30.0,41.0,111.0,44.0,94.0,35.0,32.0,105.0,49.0,58.0,45.0,43.0,8.0,24.0,145.0,46.0,25.0,60.0,3.0,68.0,141.0,157.0
887,11.0,13.0,19.0,38.0,139.0,5.0,25.0,97.0,45.0,41.0,104.0,53.0,73.0,12.0,138.0,56.0,65.0,106.0,32.0,29.0,87.0,27.0,146.0,71.0,36.0,23.0,4.0,110.0,43.0,133.0
936,38.0,52.0,57.0,10.0,7.0,4.0,53.0,35.0,29.0,27.0,80.0,75.0,33.0,45.0,18.0,24.0,144.0,156.0,64.0,85.0,133.0,11.0,92.0,26.0,73.0,49.0,44.0,41.0,69.0,103.0
985,25.0,5.0,15.0,19.0,21.0,13.0,29.0,79.0,80.0,28.0,6.0,17.0,105.0,124.0,47.0,31.0,39.0,22.0,74.0,62.0,54.0,85.0,44.0,0.0,57.0,40.0,30.0,61.0,98.0,3.0
1034,14.0,8.0,26.0,27.0,21.0,28.0,38.0,41.0,55.0,138.0,9.0,31.0,74.0,93.0,60.0,3.0,16.0,29.0,137.0,54.0,20.0,77.0,105.0,13.0,57.0,30.0,52.0,71.0,144.0,95.0
1083,0.0,24.0,15.0,38.0,17.0,46.0,33.0,8.0,58.0,37.0,81.0,28.0,101.0,119.0,14.0,135.0,104.0,136.0,35.0,75.0,161.0,2.0,36.0,90.0,49.0,34.0,43.0,60.0,16.0,3.0
1132,6.0,97.0,18.0,49.0,23.0,62.0,19.0,46.0,20.0,76.0,58.0,81.0,17.0,162.0,43.0,27.0,14.0,94.0,59.0,84.0,108.0,85.0,29.0,113.0,154.0,41.0,1.0,121.0,40.0,55.0
1181,28.0,19.0,30.0,37.0,16.0,20.0,35.0,106.0,46.0,40.0,18.0,25.0,6.0,75.0,80.0,9.0,26.0,11.0,76.0,78.0,124.0,102.0,82.0,103.0,53.0,60.0,134.0,86.0,158.0,63.0
1230,7.0,5.0,9.0,52.0,16.0,53.0,13.0,24.0,28.0,63.0,144.0,68.0,15.0,121.0,58.0,82.0,20.0,151.0,99.0,66.0,98.0,148.0,80.0,56.0,57.0,31.0,45.0,111.0,3.0,102.0
1279,0.0,19.0,16.0,43.0,10.0,81.0,68.0,74.0,50.0,12.0,1.0,32.0,14.0,90.0,35.0,22.0,98.0,65.0,109.0,70.0,103.0,97.0,17.0,159.0,76.0,39.0,71.0,114.0,8.0,67.0
1328,11.0,118.0,19.0,15.0,45.0,56.0,29.0,159.0,35.0,71.0,21.0,72.0,51.0,117.0,14.0,33.0,6.0,16.0,107.0,103.0,60.0,61.0,75.0,30.0,32.0,17.0,67.0,18.0,12.0,40.0
1377,4.0,3.0,8.0,38.0,16.0,43.0,7.0,28.0,70.0,53.0,1.0,90.0,47.0,36.0,24.0,18.0,74.0,14.0,105.0,55.0,17.0,13.0,31.0,46.0,81.0,39.0,114.0,80.0,161.0,131.0
1426,1.0,88.0,21.0,24.0,39.0,44.0,18.0,5.0,32.0,2.0,78.0,61.0,9.0,76.0,19.0,8.0,31.0,110.0,10.0,92.0,73.0,87.0,15.0,95.0,93.0,33.0,40.0,37.0,161.0,27.0
