,GOLGA6L10_AMP,HLA-H_DEL,DMRTA1_DEL,LOC390660_AMP,EYA1_DEL,GLI3_DEL,ETS1_DEL,GALC_DEL,B4GALNT3_DEL,PTEN_DEL,FAM21A_DEL,GUCY2C_MUT,CDKN2B_DEL,MIR3649_DEL,NF1_MUT,CDK8_DEL,DICER1_MUT,LOC100292680_DEL,SH3GL2_DEL,SLC6A13_DEL,PKN1_MUT,LOC574538_DEL,ADAM3A_DEL,ADAM5_DEL,CDKN2B-AS1_DEL,BRAF_MUT,IFT88_DEL,RBFOX1_DEL,FLJ45445_DEL,AFF4_MUT
32,2.0,146.0,10.0,17.0,54.0,346.0,32.0,47.0,22.0,66.0,0.0,1.0,20802.0,99.0,58.0,14.0,465.0,98.0,4.0,52.0,1604.0,46.0,1287.0,142.0,186.0,339.0,100.0,3.0,173.0,857.0
81,3.0,54.0,42.0,52.0,31.0,15.0,1037.0,96.0,88.0,75.0,17.0,25.0,81.0,147.0,516.0,12.0,71.0,114.0,229.0,92.0,1519.0,275.0,4211.0,78.0,11.0,95.0,55.0,135.0,5173.0,381.0
130,9.0,20.0,1.0,5.0,59.0,64.0,23.0,25.0,101.0,12936.0,0.0,45.0,244.0,100.0,234.0,517.0,325.0,37.0,43.0,94.0,16636.0,290.0,297.0,307.0,47.0,2558.0,261.0,651.0,1009.0,66.0
179,5.0,2.0,1.0,3.0,25.0,24.0,7.0,4.0,21.0,112.0,15.0,0.0,61.0,46.0,371.0,20857.0,28.0,121.0,305.0,135.0,407.0,127.0,238.0,2059.0,30.0,44.0,20.0,39.0,80.0,8.0
228,7.0,234.0,3.0,9.0,241.0,980.0,182.0,116.0,42.0,25.0,26.0,17.0,57.0,76.0,2597.0,22.0,427.0,70.0,6.0,349.0,63.0,97.0,399.0,3321.0,40.0,93.0,8003.0,808.0,777.0,274.0
277,4.0,28.0,0.0,91.0,1.0,140.0,732.0,3.0,7.0,318.0,10.0,688.0,23.0,16.0,1671.0,190.0,87.0,30.0,153.0,17.0,93.0,227.0,285.0,42.0,67.0,96.0,8052.0,5.0,1256.0,123.0
326,10.0,150.0,0.0,7.0,38.0,6.0,43.0,15.0,42.0,1231.0,57.0,1.0,18.0,394.0,309.0,27.0,22.0,18908.0,80.0,59.0,532.0,292.0,1121.0,591.0,138.0,227.0,23.0,99.0,189.0,490.0
375,4.0,13.0,0.0,3.0,46.0,559.0,86.0,8.0,44.0,376.0,24.0,8535.0,37.0,101.0,61.0,238.0,19.0,75.0,6.0,42.0,91.0,82.0,20626.0,526.0,22976.0,294.0,149.0,30.0,206.0,9000.0
424,18.0,2721.0,0.0,4.0,3.0,62.0,8.0,13.0,24.0,669.0,357.0,5.0,27.0,69.0,16596.0,1121.0,46.0,407.0,34.0,109.0,64.0,264.0,98.0,3531.0,6.0,3434.0,8037.0,687.0,21.0,86.0
473,0.0,80.0,2.0,23.0,21.0,96.0,47.0,8.0,10.0,6.0,63.0,16.0,9.0,42.0,13.0,175.0,825.0,117.0,536.0,50.0,16622.0,58.0,3489.0,508.0,5.0,2918.0,112.0,448.0,12.0,3.0
522,124.0,70.0,646.0,98.0,14.0,961.0,1264.0,80.0,47.0,112.0,108.0,389.0,106.0,46.0,9357.0,7.0,840.0,19751.0,35.0,19.0,694.0,39.0,3427.0,1160.0,282.0,69.0,564.0,9.0,75.0,183.0
571,28.0,16.0,80.0,1.0,7.0,265.0,1982.0,20.0,59.0,234.0,4920.0,74.0,0.0,46.0,54.0,4.0,5.0,18894.0,127.0,15.0,26.0,37.0,40.0,178.0,19.0,17139.0,32.0,68.0,4210.0,45.0
620,0.0,105.0,17.0,28.0,149.0,8.0,24.0,1097.0,6.0,13021.0,184.0,418.0,19.0,19156.0,127.0,20.0,111.0,50.0,156.0,95.0,33.0,34.0,75.0,313.0,709.0,1049.0,186.0,54.0,718.0,57.0
669,1.0,169.0,27.0,2.0,3587.0,28.0,1459.0,22.0,10.0,64.0,589.0,103.0,20793.0,18712.0,176.0,11.0,318.0,16.0,29.0,42.0,16680.0,143.0,1263.0,1128.0,1087.0,448.0,63.0,35.0,4950.0,32.0
718,4.0,3622.0,1395.0,15.0,1167.0,183.0,444.0,2.0,143.0,10.0,240.0,16599.0,31.0,82.0,666.0,20837.0,16812.0,13.0,2998.0,20.0,1000.0,95.0,1.0,62.0,67.0,743.0,81.0,5.0,221.0,75.0
767,1.0,131.0,72.0,48.0,2.0,57.0,106.0,29.0,23.0,530.0,3470.0,436.0,1091.0,17.0,13.0,26.0,5.0,35.0,51.0,36.0,19.0,207.0,123.0,3259.0,2528.0,2450.0,52.0,228.0,28.0,225.0
816,3.0,250.0,26.0,7.0,20.0,47.0,177.0,289.0,363.0,28.0,899.0,1069.0,258.0,786.0,345.0,0.0,23.0,228.0,133.0,134.0,1407.0,362.0,431.0,3515.0,160.0,17092.0,127.0,76.0,108.0,79.0
865,0.0,11.0,46.0,1.0,28.0,38.0,29.0,21.0,4.0,266.0,117.0,9043.0,25.0,20.0,19.0,7.0,178.0,36.0,461.0,63.0,45.0,132.0,12.0,3201.0,1568.0,221.0,169.0,15.0,810.0,39.0
914,1.0,9.0,31.0,0.0,6.0,3714.0,176.0,28.0,71.0,80.0,1184.0,16564.0,528.0,184.0,2171.0,2.0,26.0,451.0,202.0,103.0,3.0,353.0,3189.0,6963.0,429.0,17041.0,62.0,118.0,38.0,377.0
963,2.0,10.0,13.0,1.0,12.0,23.0,86.0,2301.0,559.0,97.0,3271.0,1632.0,49.0,631.0,91.0,18.0,118.0,85.0,466.0,84.0,11.0,141.0,146.0,414.0,715.0,385.0,8.0,32.0,31.0,29.0
