,C16:0 LPE,3-phosphoglycerate,pantothenate,1-methylnicotinamide,acetylcholine,C36:1 DAG,C34:2 DAG,niacinamide,C22:6 CE,C18:0 LPC,putrescine,guanosine,creatinine,hypoxanthine,NADP,creatine,inositol,C56:3 TAG,SDMA/ADMA,C18:0 LPE,carnitine,GABA,PEP,alpha-glycerophosphocholine,alpha-hydroxybutyrate,2-deoxyadenosine,DHAP/glyceraldehyde 3P,inosine,UMP,dCMP
26,3.0,66.0,8.0,15.0,21.0,19.0,13.0,35.0,38.0,2.0,26.0,27.0,50.0,42.0,24.0,14.0,20.0,9.0,41.0,18.0,48.0,12.0,11.0,7.0,43.0,30.0,32.0,34.0,47.0,44.0
75,3.0,1.0,2.0,33.0,11.0,25.0,9.0,32.0,16.0,7.0,53.0,31.0,24.0,8.0,28.0,59.0,23.0,38.0,40.0,12.0,13.0,34.0,39.0,18.0,20.0,14.0,17.0,44.0,29.0,10.0
124,11.0,14.0,28.0,45.0,10.0,55.0,8.0,2.0,13.0,6.0,33.0,23.0,35.0,5.0,56.0,25.0,61.0,62.0,16.0,37.0,18.0,12.0,65.0,36.0,64.0,29.0,17.0,7.0,4.0,57.0
173,14.0,62.0,12.0,31.0,1.0,18.0,16.0,11.0,29.0,38.0,8.0,25.0,4.0,20.0,26.0,19.0,60.0,36.0,21.0,35.0,23.0,17.0,55.0,44.0,24.0,7.0,49.0,28.0,59.0,64.0
222,22.0,9.0,11.0,12.0,4.0,10.0,14.0,5.0,54.0,29.0,61.0,31.0,1.0,24.0,3.0,60.0,44.0,20.0,56.0,21.0,37.0,13.0,41.0,30.0,43.0,34.0,35.0,25.0,7.0,55.0
271,9.0,0.0,19.0,21.0,16.0,8.0,18.0,13.0,36.0,43.0,22.0,7.0,26.0,37.0,57.0,23.0,6.0,1.0,24.0,15.0,59.0,17.0,60.0,39.0,27.0,30.0,31.0,35.0,20.0,40.0
320,15.0,4.0,2.0,40.0,0.0,17.0,21.0,50.0,28.0,29.0,13.0,16.0,25.0,43.0,22.0,11.0,41.0,24.0,20.0,9.0,55.0,37.0,38.0,14.0,59.0,45.0,6.0,61.0,35.0,62.0
369,10.0,21.0,4.0,44.0,3.0,47.0,16.0,26.0,32.0,25.0,58.0,28.0,9.0,14.0,41.0,29.0,37.0,66.0,43.0,40.0,15.0,52.0,8.0,19.0,59.0,30.0,5.0,11.0,57.0,62.0
418,7.0,1.0,25.0,8.0,3.0,13.0,9.0,31.0,34.0,38.0,22.0,17.0,0.0,16.0,26.0,59.0,48.0,66.0,36.0,14.0,10.0,12.0,53.0,52.0,45.0,35.0,47.0,11.0,30.0,15.0
467,15.0,10.0,31.0,12.0,18.0,8.0,11.0,17.0,32.0,22.0,21.0,25.0,64.0,27.0,65.0,3.0,48.0,54.0,20.0,44.0,33.0,45.0,51.0,13.0,37.0,52.0,6.0,59.0,19.0,47.0
