,hsa-miR-296-5p,hsa-miR-105,hsa-miR-483-3p,hsa-miR-27b,hsa-miR-616,hsa-miR-892a,hsa-miR-26a,hsa-miR-744,hsa-miR-711,hsa-miR-34a,hsa-miR-192,hsa-miR-331-5p,hsa-miR-1977,hsa-miR-34c-5p,hsa-miR-579,hsa-miR-556-3p,hsa-miR-383,hsa-miR-148a,hsa-miR-550,hsa-miR-645,ebv-miR-BART20-5p,hsa-miR-323-5p,hsa-miR-924,hsa-miR-1236,hsv2-miR-H2,hsa-miR-504,kshv-miR-K12-7,hsa-miR-222,hsa-miR-761,hsv1-miR-H8
17,0.0,1.0,2.0,24.0,14.0,12.0,11.0,35.0,28.0,3.0,6.0,8.0,9.0,7.0,16.0,92.0,20.0,5.0,13.0,33.0,34.0,31.0,54.0,62.0,235.0,22.0,4.0,53.0,43.0,40.0
66,0.0,2.0,1.0,19.0,5.0,14.0,10.0,38.0,32.0,9.0,47.0,3.0,8.0,11.0,17.0,24.0,84.0,6.0,12.0,13.0,22.0,36.0,27.0,26.0,16.0,21.0,4.0,33.0,18.0,30.0
115,0.0,4.0,1.0,87.0,11.0,10.0,8.0,15.0,50.0,6.0,9.0,2.0,70.0,5.0,7.0,13.0,53.0,20.0,24.0,14.0,79.0,35.0,33.0,25.0,32.0,17.0,3.0,34.0,16.0,57.0
164,0.0,3.0,4.0,7.0,24.0,33.0,9.0,22.0,72.0,1.0,28.0,32.0,8.0,16.0,21.0,29.0,23.0,6.0,19.0,37.0,13.0,27.0,31.0,2.0,10.0,69.0,5.0,76.0,248.0,64.0
213,1.0,6.0,0.0,10.0,7.0,8.0,2.0,62.0,44.0,4.0,18.0,11.0,15.0,9.0,5.0,38.0,48.0,3.0,118.0,26.0,16.0,20.0,66.0,25.0,22.0,17.0,14.0,54.0,19.0,76.0
262,0.0,2.0,8.0,6.0,10.0,5.0,11.0,97.0,122.0,1.0,7.0,13.0,15.0,20.0,16.0,17.0,52.0,25.0,4.0,45.0,24.0,22.0,255.0,28.0,101.0,18.0,3.0,58.0,44.0,32.0
311,0.0,1.0,2.0,4.0,10.0,12.0,24.0,43.0,78.0,9.0,3.0,7.0,6.0,5.0,18.0,29.0,19.0,8.0,13.0,30.0,23.0,34.0,28.0,17.0,65.0,11.0,15.0,20.0,49.0,52.0
360,0.0,1.0,2.0,5.0,7.0,3.0,15.0,102.0,19.0,9.0,25.0,10.0,12.0,34.0,14.0,39.0,51.0,4.0,43.0,6.0,18.0,26.0,21.0,33.0,67.0,16.0,11.0,23.0,8.0,62.0
409,1.0,0.0,3.0,8.0,12.0,4.0,19.0,20.0,31.0,6.0,2.0,5.0,22.0,15.0,11.0,46.0,35.0,34.0,13.0,28.0,32.0,29.0,56.0,24.0,14.0,44.0,17.0,81.0,7.0,38.0
458,1.0,3.0,0.0,16.0,10.0,17.0,6.0,7.0,28.0,8.0,2.0,11.0,4.0,9.0,21.0,12.0,26.0,25.0,56.0,54.0,22.0,14.0,38.0,31.0,34.0,20.0,5.0,137.0,13.0,66.0
507,5.0,7.0,1.0,0.0,3.0,2.0,8.0,4.0,42.0,17.0,31.0,32.0,25.0,41.0,216.0,6.0,482.0,30.0,20.0,39.0,26.0,16.0,49.0,18.0,23.0,94.0,28.0,51.0,15.0,60.0
556,0.0,2.0,1.0,3.0,6.0,18.0,10.0,16.0,5.0,4.0,15.0,14.0,46.0,53.0,86.0,71.0,463.0,11.0,59.0,24.0,7.0,12.0,26.0,37.0,50.0,131.0,19.0,9.0,20.0,43.0
605,1.0,5.0,0.0,6.0,3.0,24.0,9.0,18.0,79.0,7.0,38.0,11.0,34.0,47.0,63.0,2.0,73.0,10.0,51.0,91.0,17.0,22.0,59.0,92.0,16.0,122.0,14.0,12.0,4.0,48.0
654,0.0,6.0,1.0,9.0,3.0,31.0,4.0,17.0,10.0,2.0,36.0,14.0,23.0,8.0,41.0,7.0,43.0,16.0,67.0,11.0,74.0,19.0,49.0,52.0,13.0,83.0,28.0,59.0,5.0,22.0
703,2.0,1.0,19.0,14.0,0.0,335.0,6.0,15.0,3.0,27.0,39.0,23.0,16.0,34.0,44.0,13.0,56.0,9.0,7.0,35.0,40.0,12.0,11.0,163.0,17.0,86.0,4.0,53.0,26.0,28.0
752,1.0,8.0,3.0,7.0,0.0,23.0,2.0,27.0,14.0,13.0,5.0,16.0,28.0,36.0,110.0,19.0,60.0,59.0,17.0,10.0,11.0,9.0,80.0,25.0,31.0,458.0,29.0,21.0,4.0,77.0
801,3.0,8.0,0.0,4.0,1.0,10.0,9.0,5.0,18.0,23.0,32.0,2.0,16.0,12.0,110.0,7.0,53.0,17.0,22.0,14.0,25.0,26.0,47.0,43.0,6.0,120.0,37.0,62.0,11.0,29.0
850,4.0,12.0,1.0,0.0,2.0,43.0,10.0,6.0,18.0,5.0,8.0,19.0,75.0,22.0,40.0,21.0,51.0,9.0,3.0,30.0,27.0,23.0,49.0,29.0,17.0,64.0,47.0,14.0,13.0,62.0
899,0.0,4.0,2.0,7.0,1.0,21.0,16.0,14.0,6.0,58.0,83.0,17.0,36.0,15.0,88.0,3.0,28.0,11.0,191.0,10.0,25.0,5.0,53.0,57.0,30.0,336.0,9.0,42.0,12.0,24.0
948,0.0,5.0,8.0,4.0,1.0,20.0,2.0,17.0,3.0,11.0,30.0,12.0,9.0,55.0,38.0,7.0,41.0,24.0,18.0,19.0,61.0,21.0,33.0,44.0,14.0,104.0,50.0,16.0,23.0,39.0
997,0.0,3.0,6.0,1.0,4.0,11.0,35.0,8.0,14.0,2.0,55.0,40.0,20.0,24.0,10.0,12.0,9.0,48.0,5.0,32.0,21.0,51.0,17.0,15.0,52.0,7.0,110.0,45.0,25.0,33.0
1046,2.0,5.0,6.0,0.0,21.0,16.0,19.0,4.0,1.0,9.0,13.0,3.0,12.0,17.0,33.0,28.0,29.0,7.0,14.0,32.0,10.0,52.0,34.0,11.0,90.0,37.0,23.0,18.0,30.0,26.0
1095,1.0,8.0,6.0,0.0,3.0,7.0,18.0,89.0,21.0,2.0,60.0,4.0,13.0,66.0,22.0,9.0,24.0,58.0,48.0,92.0,27.0,86.0,51.0,34.0,23.0,28.0,62.0,29.0,10.0,64.0
1144,0.0,1.0,3.0,11.0,10.0,25.0,28.0,2.0,22.0,9.0,50.0,8.0,14.0,482.0,15.0,7.0,24.0,40.0,33.0,39.0,5.0,37.0,21.0,6.0,35.0,13.0,110.0,16.0,34.0,89.0
