,GPX3,MAGEA1,ACKR3,FAM21B,TNNI3K,MGC10955,IGF1R,NGEF,IGF2,ZNF502,RP11-157G21.2,IQGAP2,BTBD11,MAGEA6,TMEM101,CSAG1,RP4-605O3.4,PTEN,TNFRSF1B,ARID3A,GLB1L2,MYEF2,SPAST,VAMP5,SVIL,PDE9A,YIPF4,TMPRSS11E,AFTPH,STRA6
10,0.0,2.0,20.0,1.0,11.0,16.0,85.0,65.0,24.0,6.0,117.0,10.0,19.0,9.0,22.0,41.0,26.0,21.0,46.0,184.0,62.0,23.0,14.0,7.0,129.0,102.0,47.0,452.0,29.0,18.0
59,10.0,0.0,4.0,6.0,5.0,13.0,39.0,3.0,8.0,22.0,21.0,24.0,68.0,108.0,69.0,26.0,31.0,29.0,11.0,105.0,35.0,16.0,32.0,1.0,90.0,15.0,111.0,608.0,33.0,53.0
108,1.0,0.0,5.0,2.0,9.0,4.0,20.0,22.0,3.0,284.0,66.0,44.0,18.0,301.0,34.0,269.0,52.0,56.0,10.0,33.0,15.0,35.0,32.0,54.0,117.0,50.0,122.0,144.0,102.0,349.0
157,0.0,2.0,16.0,4.0,6.0,1.0,40.0,7.0,42.0,89.0,52.0,12.0,22.0,337.0,32.0,33.0,29.0,10.0,11.0,50.0,200.0,8.0,57.0,13.0,67.0,5.0,81.0,143.0,79.0,116.0
206,0.0,4.0,3.0,2.0,29.0,6.0,18.0,35.0,7.0,105.0,38.0,96.0,17.0,236.0,112.0,44.0,19.0,26.0,39.0,54.0,36.0,16.0,11.0,71.0,34.0,21.0,41.0,259.0,61.0,117.0
255,1.0,6.0,2.0,4.0,5.0,373.0,21.0,0.0,38.0,176.0,25.0,51.0,19.0,181.0,20.0,435.0,34.0,11.0,36.0,42.0,57.0,50.0,9.0,3.0,76.0,54.0,43.0,64.0,37.0,495.0
304,0.0,2.0,4.0,3.0,15.0,26.0,13.0,1.0,16.0,23.0,34.0,22.0,5.0,32.0,97.0,25.0,14.0,55.0,9.0,29.0,43.0,68.0,58.0,7.0,77.0,6.0,48.0,1106.0,86.0,27.0
353,8.0,0.0,9.0,1.0,5.0,33.0,22.0,2.0,11.0,501.0,17.0,83.0,52.0,36.0,69.0,38.0,12.0,40.0,104.0,78.0,4.0,13.0,53.0,10.0,46.0,18.0,100.0,106.0,92.0,210.0
402,0.0,2.0,1.0,16.0,6.0,23.0,24.0,9.0,13.0,55.0,60.0,7.0,141.0,67.0,349.0,31.0,25.0,20.0,34.0,123.0,10.0,39.0,26.0,79.0,191.0,5.0,48.0,143.0,70.0,494.0
451,0.0,4.0,3.0,1.0,2.0,32.0,18.0,9.0,7.0,17.0,29.0,14.0,19.0,84.0,8.0,27.0,15.0,33.0,31.0,41.0,25.0,93.0,44.0,36.0,141.0,5.0,50.0,80.0,96.0,282.0
500,24.0,15.0,44.0,208.0,11.0,3.0,14.0,57.0,2.0,54.0,1481.0,4.0,48.0,154.0,59.0,247.0,183.0,12.0,163.0,52.0,206.0,32.0,41.0,5.0,21.0,39.0,152.0,10.0,36.0,7.0
549,5.0,45.0,7.0,138.0,8.0,12.0,4.0,9.0,3.0,474.0,155.0,2.0,129.0,19.0,16.0,93.0,50.0,47.0,344.0,170.0,27.0,25.0,35.0,6.0,30.0,71.0,91.0,208.0,70.0,15.0
598,6.0,13.0,41.0,457.0,80.0,17.0,3.0,24.0,1.0,140.0,210.0,38.0,935.0,65.0,261.0,187.0,146.0,7.0,18.0,45.0,42.0,9.0,31.0,5.0,111.0,26.0,63.0,151.0,54.0,8.0
647,0.0,14.0,15.0,297.0,30.0,41.0,4.0,65.0,1.0,1919.0,286.0,117.0,21.0,231.0,167.0,189.0,29.0,78.0,144.0,47.0,124.0,7.0,77.0,20.0,5.0,17.0,110.0,25.0,61.0,46.0
696,0.0,2.0,1.0,867.0,18.0,4.0,11.0,42.0,59.0,1439.0,120.0,39.0,141.0,24.0,69.0,56.0,53.0,13.0,71.0,73.0,188.0,3.0,16.0,17.0,12.0,93.0,84.0,118.0,26.0,6.0
745,3.0,25.0,8.0,229.0,14.0,53.0,27.0,2.0,11.0,65.0,97.0,19.0,99.0,210.0,38.0,805.0,155.0,16.0,126.0,174.0,64.0,13.0,29.0,1.0,22.0,293.0,88.0,172.0,43.0,6.0
794,0.0,6.0,9.0,797.0,16.0,21.0,32.0,13.0,5.0,420.0,68.0,50.0,54.0,710.0,177.0,1002.0,267.0,22.0,353.0,65.0,220.0,2.0,64.0,1.0,31.0,96.0,147.0,43.0,49.0,23.0
843,21.0,9.0,17.0,22.0,94.0,3.0,2.0,1.0,7.0,27.0,51.0,5.0,127.0,37.0,25.0,372.0,91.0,19.0,36.0,32.0,300.0,45.0,171.0,18.0,279.0,53.0,105.0,40.0,87.0,30.0
892,1.0,15.0,3.0,2.0,114.0,4.0,7.0,13.0,11.0,283.0,30.0,20.0,227.0,174.0,23.0,1142.0,35.0,45.0,271.0,40.0,71.0,14.0,31.0,12.0,8.0,370.0,68.0,9.0,74.0,17.0
941,1.0,3.0,82.0,1454.0,23.0,2.0,54.0,4.0,41.0,200.0,91.0,118.0,354.0,199.0,27.0,240.0,26.0,140.0,61.0,137.0,276.0,28.0,25.0,16.0,11.0,228.0,67.0,50.0,90.0,5.0
990,17.0,1.0,3.0,13.0,32.0,30.0,4.0,9.0,33.0,5.0,10.0,60.0,19.0,7.0,145.0,16.0,29.0,0.0,14.0,87.0,41.0,20.0,65.0,61.0,72.0,269.0,8.0,51.0,213.0,36.0
1039,137.0,8.0,1.0,83.0,64.0,13.0,2.0,25.0,53.0,7.0,52.0,3.0,35.0,10.0,21.0,34.0,15.0,4.0,12.0,66.0,38.0,37.0,42.0,67.0,234.0,18.0,40.0,61.0,69.0,333.0
1088,24.0,36.0,2.0,31.0,94.0,9.0,0.0,3.0,60.0,30.0,16.0,67.0,19.0,40.0,32.0,50.0,17.0,1.0,23.0,91.0,12.0,28.0,15.0,106.0,42.0,432.0,13.0,25.0,205.0,34.0
1137,5.0,2.0,12.0,0.0,35.0,16.0,1.0,6.0,20.0,13.0,24.0,78.0,23.0,4.0,28.0,25.0,18.0,17.0,19.0,61.0,9.0,124.0,95.0,143.0,7.0,3.0,81.0,14.0,181.0,41.0
1186,32.0,8.0,9.0,5.0,37.0,65.0,13.0,19.0,10.0,0.0,3.0,45.0,2.0,22.0,36.0,42.0,81.0,4.0,12.0,160.0,59.0,18.0,34.0,80.0,24.0,55.0,17.0,61.0,101.0,183.0
1235,90.0,3.0,7.0,0.0,71.0,14.0,1.0,195.0,35.0,5.0,15.0,46.0,21.0,22.0,23.0,12.0,2.0,4.0,32.0,60.0,82.0,19.0,33.0,775.0,17.0,18.0,38.0,40.0,56.0,58.0
1284,33.0,39.0,0.0,9.0,45.0,61.0,2.0,12.0,159.0,22.0,4.0,8.0,52.0,6.0,15.0,51.0,13.0,1.0,104.0,124.0,344.0,149.0,42.0,3.0,69.0,204.0,10.0,23.0,116.0,46.0
1333,70.0,1.0,15.0,79.0,80.0,17.0,10.0,52.0,115.0,7.0,0.0,50.0,30.0,5.0,11.0,29.0,46.0,4.0,76.0,19.0,21.0,2.0,13.0,24.0,45.0,590.0,9.0,6.0,154.0,711.0
1382,39.0,53.0,1.0,189.0,84.0,6.0,3.0,64.0,35.0,2.0,33.0,106.0,164.0,43.0,27.0,41.0,25.0,4.0,31.0,152.0,96.0,28.0,22.0,138.0,75.0,8.0,5.0,14.0,73.0,34.0
