,HLA-L,TMEM255B,FANCD2,YIPF4,CTA-363E19.2,IGF1R,FNBP1P1,LOXL2,IL6,TNFRSF1B,CCL3,GPR35,OSMR,IKBIP,TFAP2A,ACVR2A,UBL7-AS1,GEN1,ATXN7L3B,ACTL10,ATAD5,TTC31,TWSG1,NAT14,UST,HIF1A-AS1,MAPK13,LCOR,LDHAL6A,PVRIG
11,8.0,2388.0,6.0,28.0,21.0,89.0,65.0,175.0,227.0,32.0,158.0,11.0,15.0,438.0,212.0,38.0,90.0,16817.0,209.0,1.0,10010.0,906.0,776.0,8174.0,23364.0,1509.0,473.0,17.0,35.0,22670.0
60,21333.0,27.0,246.0,5.0,15.0,131.0,92.0,10.0,1.0,0.0,134.0,481.0,21573.0,7073.0,885.0,328.0,8.0,245.0,6614.0,32.0,10005.0,739.0,536.0,379.0,516.0,2224.0,601.0,109.0,84.0,22436.0
109,20.0,697.0,111.0,188.0,100.0,78.0,24.0,10.0,12.0,89.0,142.0,2.0,2718.0,2932.0,20824.0,248.0,4566.0,1004.0,608.0,41.0,11500.0,17249.0,313.0,255.0,23373.0,5050.0,361.0,263.0,11.0,22637.0
158,21297.0,65.0,175.0,2.0,60.0,76.0,18.0,19223.0,29.0,66.0,90.0,35.0,21671.0,6973.0,224.0,149.0,4237.0,3088.0,100.0,12.0,9969.0,17274.0,439.0,13.0,23321.0,278.0,315.0,414.0,88.0,22461.0
207,4.0,11.0,97.0,34.0,102.0,56.0,17159.0,43.0,7.0,21.0,14.0,395.0,21609.0,5757.0,154.0,106.0,225.0,329.0,201.0,15.0,10007.0,321.0,414.0,8252.0,23263.0,6401.0,596.0,1042.0,4596.0,22639.0
256,6.0,9.0,18.0,1.0,47.0,26.0,17273.0,464.0,124.0,94.0,23.0,3.0,21616.0,7010.0,57.0,13493.0,16.0,110.0,562.0,0.0,10016.0,379.0,69.0,46.0,23371.0,3138.0,445.0,206.0,19.0,22666.0
305,0.0,6551.0,37.0,261.0,34.0,4.0,6.0,9.0,433.0,7.0,229.0,268.0,21543.0,7123.0,20.0,17.0,532.0,124.0,409.0,76.0,9973.0,450.0,864.0,1980.0,23371.0,3685.0,273.0,414.0,54.0,22661.0
354,56.0,191.0,122.0,15.0,99.0,9.0,119.0,19217.0,22217.0,132.0,5.0,7.0,357.0,5187.0,20707.0,143.0,86.0,121.0,625.0,867.0,9952.0,891.0,220.0,8224.0,1162.0,719.0,407.0,19477.0,18.0,22462.0
403,3.0,2.0,12776.0,0.0,106.0,114.0,117.0,18.0,1.0,4.0,152.0,484.0,21541.0,7017.0,20824.0,48.0,14.0,16934.0,1229.0,7207.0,10015.0,166.0,150.0,34.0,23395.0,2926.0,752.0,783.0,5446.0,105.0
452,231.0,0.0,12734.0,133.0,40.0,17.0,56.0,152.0,1.0,3.0,143.0,14.0,518.0,27.0,21.0,92.0,4472.0,16810.0,180.0,10.0,9982.0,398.0,303.0,8170.0,188.0,325.0,304.0,223.0,53.0,531.0
501,22038.0,6.0,47.0,1140.0,13.0,5.0,24.0,94.0,142.0,252.0,11266.0,17367.0,101.0,98.0,22.0,35.0,4.0,105.0,50.0,671.0,110.0,335.0,89.0,2761.0,161.0,19.0,12.0,809.0,202.0,193.0
