,Akt_pS473,GATA3,Syk,RAD51,Akt,TSC1,p14 Arf(BetA300-340A),PKC-alpha,beta-Catenin_pT41_S45,Chk1_pS345,Cyclin_B1,PI3K-p110-alpha,HER2_pY1248,FOXO3a,AMPK_alpha,4E-BP1_pT70,Chk1,TFRC,CDK1,Notch1,Src_pY416,VEGFR2,Tuberin_pT1462,ACC1,C-Raf(MP05-739),Rab25,TTF1,Annexin 1,Smad3,ADAR1
5,10.0,19.0,115.0,30.0,82.0,11.0,18.0,17.0,143.0,28.0,2.0,48.0,21.0,9.0,27.0,80.0,32.0,25.0,40.0,151.0,93.0,37.0,67.0,34.0,130.0,71.0,20.0,78.0,46.0,140.0
54,20.0,42.0,104.0,28.0,5.0,15.0,35.0,18.0,16.0,55.0,40.0,11.0,31.0,7.0,30.0,26.0,38.0,24.0,61.0,49.0,27.0,79.0,109.0,25.0,10.0,163.0,65.0,48.0,66.0,60.0
103,8.0,97.0,128.0,46.0,26.0,29.0,15.0,3.0,23.0,103.0,147.0,79.0,10.0,83.0,110.0,39.0,105.0,35.0,66.0,60.0,1.0,57.0,14.0,67.0,158.0,69.0,131.0,102.0,55.0,2.0
152,9.0,30.0,1.0,16.0,31.0,7.0,17.0,32.0,3.0,63.0,53.0,84.0,15.0,14.0,101.0,43.0,71.0,22.0,41.0,149.0,36.0,24.0,55.0,10.0,105.0,107.0,2.0,59.0,87.0,42.0
201,9.0,21.0,24.0,50.0,6.0,18.0,20.0,145.0,72.0,25.0,63.0,76.0,36.0,1.0,37.0,44.0,31.0,32.0,59.0,30.0,42.0,61.0,130.0,26.0,15.0,4.0,10.0,52.0,23.0,49.0
250,5.0,13.0,78.0,32.0,65.0,3.0,10.0,103.0,0.0,37.0,125.0,1.0,52.0,162.0,90.0,50.0,62.0,39.0,17.0,71.0,12.0,28.0,98.0,20.0,56.0,95.0,118.0,64.0,123.0,70.0
299,10.0,40.0,57.0,43.0,1.0,41.0,21.0,59.0,35.0,86.0,26.0,84.0,89.0,25.0,33.0,60.0,34.0,19.0,151.0,52.0,18.0,55.0,108.0,97.0,14.0,117.0,4.0,106.0,31.0,42.0
348,8.0,32.0,87.0,4.0,26.0,40.0,25.0,55.0,117.0,62.0,38.0,15.0,17.0,59.0,24.0,18.0,23.0,22.0,50.0,36.0,7.0,75.0,27.0,20.0,0.0,102.0,9.0,39.0,45.0,128.0
397,12.0,23.0,63.0,6.0,42.0,11.0,21.0,156.0,7.0,19.0,99.0,2.0,43.0,46.0,61.0,27.0,41.0,36.0,69.0,144.0,29.0,72.0,3.0,113.0,0.0,83.0,1.0,58.0,37.0,10.0
446,18.0,32.0,64.0,43.0,29.0,73.0,40.0,155.0,20.0,69.0,79.0,7.0,30.0,6.0,52.0,28.0,37.0,76.0,36.0,91.0,63.0,88.0,4.0,19.0,111.0,39.0,34.0,59.0,53.0,126.0
495,74.0,28.0,104.0,18.0,43.0,122.0,33.0,32.0,42.0,14.0,128.0,10.0,41.0,77.0,66.0,30.0,12.0,85.0,133.0,64.0,51.0,70.0,120.0,53.0,60.0,22.0,84.0,75.0,24.0,62.0
544,18.0,30.0,17.0,26.0,49.0,10.0,56.0,28.0,23.0,93.0,33.0,2.0,92.0,32.0,27.0,90.0,36.0,37.0,3.0,74.0,64.0,34.0,63.0,52.0,110.0,38.0,136.0,140.0,35.0,25.0
593,15.0,16.0,61.0,27.0,48.0,9.0,57.0,103.0,125.0,2.0,6.0,164.0,17.0,25.0,32.0,47.0,131.0,68.0,14.0,29.0,37.0,46.0,35.0,4.0,80.0,31.0,107.0,50.0,12.0,26.0
642,58.0,17.0,38.0,24.0,75.0,101.0,50.0,3.0,22.0,19.0,31.0,1.0,93.0,109.0,2.0,14.0,7.0,23.0,40.0,49.0,45.0,62.0,35.0,54.0,88.0,36.0,120.0,32.0,44.0,61.0
691,16.0,12.0,21.0,36.0,43.0,124.0,59.0,10.0,159.0,150.0,5.0,26.0,4.0,157.0,34.0,65.0,104.0,15.0,97.0,67.0,56.0,40.0,78.0,91.0,96.0,22.0,84.0,8.0,85.0,66.0
740,8.0,11.0,4.0,20.0,6.0,0.0,31.0,30.0,39.0,71.0,16.0,162.0,45.0,82.0,136.0,58.0,37.0,49.0,94.0,17.0,21.0,55.0,125.0,111.0,63.0,34.0,126.0,47.0,117.0,135.0
789,22.0,11.0,9.0,6.0,47.0,2.0,20.0,54.0,25.0,43.0,42.0,149.0,160.0,3.0,52.0,5.0,10.0,29.0,26.0,156.0,99.0,45.0,129.0,102.0,19.0,41.0,17.0,8.0,96.0,94.0
838,24.0,20.0,32.0,23.0,11.0,10.0,36.0,112.0,154.0,12.0,125.0,0.0,78.0,79.0,66.0,58.0,76.0,67.0,27.0,51.0,80.0,41.0,22.0,108.0,72.0,54.0,2.0,53.0,37.0,47.0
887,23.0,12.0,52.0,10.0,7.0,68.0,36.0,46.0,33.0,123.0,17.0,22.0,62.0,15.0,117.0,11.0,1.0,54.0,66.0,82.0,50.0,26.0,29.0,84.0,42.0,20.0,85.0,34.0,58.0,134.0
936,21.0,16.0,14.0,5.0,27.0,46.0,37.0,10.0,139.0,64.0,141.0,2.0,157.0,8.0,59.0,38.0,108.0,100.0,77.0,18.0,124.0,26.0,133.0,35.0,97.0,70.0,6.0,87.0,74.0,85.0
985,19.0,22.0,13.0,7.0,5.0,16.0,61.0,34.0,144.0,87.0,111.0,12.0,105.0,100.0,85.0,24.0,60.0,97.0,26.0,10.0,30.0,18.0,11.0,38.0,72.0,118.0,48.0,106.0,64.0,65.0
1034,14.0,50.0,10.0,39.0,34.0,20.0,69.0,58.0,140.0,44.0,103.0,150.0,92.0,96.0,55.0,27.0,35.0,82.0,16.0,59.0,74.0,48.0,12.0,142.0,85.0,60.0,33.0,95.0,31.0,45.0
1083,13.0,44.0,0.0,28.0,23.0,63.0,87.0,43.0,10.0,37.0,136.0,130.0,54.0,30.0,11.0,39.0,74.0,98.0,80.0,157.0,86.0,17.0,59.0,16.0,107.0,81.0,69.0,36.0,32.0,83.0
1132,9.0,26.0,0.0,55.0,60.0,43.0,37.0,38.0,15.0,32.0,50.0,108.0,51.0,52.0,65.0,42.0,77.0,87.0,101.0,53.0,99.0,126.0,44.0,124.0,149.0,162.0,79.0,7.0,57.0,88.0
1181,18.0,23.0,3.0,31.0,32.0,20.0,78.0,46.0,10.0,30.0,38.0,72.0,68.0,127.0,4.0,64.0,27.0,113.0,22.0,83.0,148.0,35.0,28.0,137.0,37.0,21.0,138.0,109.0,125.0,98.0
1230,12.0,24.0,5.0,31.0,48.0,3.0,72.0,47.0,157.0,36.0,69.0,54.0,37.0,20.0,126.0,101.0,84.0,80.0,17.0,143.0,125.0,79.0,66.0,27.0,73.0,159.0,93.0,63.0,75.0,65.0
