,LARGE_INTESTINE,GANGLIA,HAEMATOPOIETIC,BONE,OESOPHAGUS,THYROID,PANCREAS,SKIN,KIDNEY,SOFT_TISSUE,PLEURA,LUNG,STOMACH,LIVER,URINARY,PROSTATE,SALIVARY,BILIARY,ENDOMETRIUM,AERODIGESTIVE,BREAST,OVARY,NERVOUS
44,0.0,1.0,4.0,6.0,5.0,2.0,3.0,9.0,10.0,14.0,7.0,8.0,12.0,11.0,13.0,15.0,16.0,17.0,20.0,18.0,22.0,21.0,19.0
93,1.0,0.0,6.0,2.0,7.0,3.0,4.0,8.0,10.0,18.0,5.0,11.0,12.0,13.0,9.0,14.0,15.0,16.0,19.0,17.0,20.0,22.0,21.0
142,0.0,1.0,5.0,2.0,7.0,3.0,4.0,8.0,12.0,13.0,6.0,14.0,10.0,9.0,11.0,15.0,16.0,17.0,19.0,18.0,22.0,21.0,20.0
191,1.0,0.0,4.0,5.0,9.0,3.0,2.0,7.0,11.0,13.0,6.0,14.0,12.0,8.0,10.0,15.0,16.0,17.0,19.0,18.0,22.0,20.0,21.0
240,3.0,0.0,7.0,2.0,5.0,4.0,1.0,8.0,9.0,12.0,6.0,10.0,19.0,11.0,13.0,16.0,17.0,18.0,15.0,14.0,22.0,20.0,21.0
289,1.0,0.0,5.0,2.0,8.0,4.0,3.0,7.0,10.0,11.0,6.0,13.0,15.0,12.0,14.0,16.0,9.0,17.0,19.0,18.0,21.0,22.0,20.0
338,1.0,0.0,5.0,2.0,4.0,3.0,6.0,8.0,9.0,12.0,7.0,10.0,13.0,11.0,19.0,15.0,16.0,17.0,20.0,18.0,22.0,21.0,14.0
387,2.0,0.0,6.0,1.0,7.0,3.0,4.0,8.0,9.0,14.0,5.0,15.0,12.0,11.0,19.0,10.0,16.0,17.0,13.0,18.0,22.0,20.0,21.0
436,2.0,0.0,3.0,1.0,6.0,5.0,4.0,7.0,9.0,14.0,11.0,12.0,8.0,15.0,13.0,18.0,17.0,10.0,16.0,20.0,22.0,19.0,21.0
485,0.0,1.0,2.0,4.0,7.0,5.0,3.0,18.0,10.0,9.0,6.0,8.0,13.0,11.0,12.0,15.0,16.0,17.0,19.0,14.0,22.0,21.0,20.0
534,1.0,0.0,2.0,6.0,3.0,4.0,5.0,9.0,16.0,12.0,8.0,20.0,10.0,7.0,11.0,13.0,15.0,14.0,19.0,17.0,18.0,22.0,21.0
583,1.0,0.0,2.0,5.0,4.0,3.0,6.0,12.0,16.0,11.0,8.0,14.0,9.0,13.0,10.0,7.0,15.0,17.0,18.0,19.0,20.0,22.0,21.0
632,1.0,0.0,2.0,6.0,5.0,3.0,4.0,11.0,17.0,19.0,9.0,14.0,7.0,12.0,8.0,18.0,16.0,10.0,15.0,22.0,13.0,21.0,20.0
681,1.0,0.0,2.0,4.0,3.0,5.0,6.0,7.0,17.0,14.0,8.0,15.0,12.0,10.0,13.0,16.0,9.0,18.0,20.0,19.0,11.0,21.0,22.0
730,0.0,4.0,2.0,1.0,3.0,5.0,6.0,9.0,18.0,13.0,8.0,10.0,11.0,15.0,12.0,16.0,17.0,19.0,20.0,7.0,14.0,21.0,22.0
779,2.0,0.0,4.0,6.0,1.0,5.0,3.0,8.0,16.0,18.0,9.0,12.0,10.0,7.0,11.0,14.0,15.0,17.0,20.0,19.0,13.0,21.0,22.0
828,2.0,0.0,3.0,4.0,1.0,6.0,5.0,17.0,9.0,10.0,8.0,12.0,19.0,7.0,11.0,14.0,15.0,16.0,20.0,18.0,13.0,22.0,21.0
877,1.0,0.0,2.0,5.0,3.0,4.0,7.0,10.0,17.0,9.0,6.0,12.0,8.0,13.0,19.0,15.0,16.0,18.0,20.0,11.0,14.0,22.0,21.0
926,1.0,0.0,2.0,6.0,3.0,4.0,5.0,7.0,17.0,11.0,15.0,10.0,12.0,13.0,9.0,14.0,16.0,18.0,20.0,19.0,8.0,22.0,21.0
975,2.0,1.0,0.0,3.0,4.0,5.0,6.0,9.0,14.0,7.0,8.0,11.0,20.0,10.0,19.0,13.0,15.0,16.0,17.0,18.0,12.0,21.0,22.0
1024,1.0,0.0,5.0,2.0,4.0,3.0,8.0,10.0,9.0,6.0,7.0,11.0,12.0,18.0,14.0,15.0,16.0,17.0,13.0,19.0,21.0,20.0,22.0
1073,0.0,2.0,1.0,4.0,5.0,3.0,7.0,13.0,6.0,9.0,11.0,14.0,8.0,19.0,12.0,15.0,10.0,16.0,17.0,18.0,22.0,21.0,20.0
1122,0.0,1.0,2.0,3.0,6.0,4.0,5.0,8.0,9.0,7.0,10.0,11.0,19.0,17.0,12.0,13.0,14.0,15.0,16.0,18.0,20.0,21.0,22.0
1171,0.0,1.0,4.0,2.0,6.0,3.0,5.0,9.0,10.0,8.0,16.0,11.0,12.0,19.0,7.0,14.0,15.0,17.0,13.0,22.0,20.0,21.0,18.0
1220,1.0,0.0,3.0,4.0,6.0,2.0,5.0,8.0,11.0,7.0,12.0,13.0,14.0,19.0,17.0,9.0,15.0,10.0,16.0,18.0,21.0,20.0,22.0
1269,0.0,1.0,2.0,3.0,4.0,5.0,6.0,14.0,8.0,7.0,9.0,10.0,11.0,22.0,13.0,15.0,16.0,17.0,12.0,18.0,21.0,19.0,20.0
1318,1.0,0.0,2.0,3.0,6.0,4.0,5.0,11.0,9.0,7.0,10.0,8.0,12.0,18.0,13.0,15.0,16.0,17.0,19.0,14.0,21.0,22.0,20.0
1367,0.0,1.0,2.0,4.0,5.0,3.0,9.0,6.0,13.0,7.0,8.0,10.0,18.0,11.0,16.0,12.0,14.0,15.0,21.0,17.0,22.0,20.0,19.0
1416,1.0,0.0,3.0,2.0,8.0,4.0,5.0,7.0,11.0,14.0,10.0,6.0,12.0,15.0,13.0,17.0,18.0,19.0,16.0,9.0,22.0,21.0,20.0
1465,2.0,0.0,3.0,6.0,1.0,4.0,7.0,12.0,8.0,5.0,9.0,11.0,10.0,19.0,13.0,15.0,16.0,17.0,14.0,18.0,20.0,22.0,21.0
1514,0.0,1.0,3.0,2.0,4.0,6.0,5.0,7.0,12.0,9.0,10.0,14.0,16.0,13.0,8.0,17.0,11.0,18.0,15.0,19.0,22.0,20.0,21.0
1563,0.0,1.0,2.0,3.0,8.0,6.0,4.0,11.0,5.0,10.0,9.0,19.0,14.0,7.0,13.0,16.0,18.0,17.0,12.0,15.0,22.0,21.0,20.0
1612,1.0,0.0,2.0,6.0,3.0,5.0,7.0,9.0,4.0,11.0,10.0,14.0,13.0,8.0,12.0,17.0,18.0,19.0,15.0,16.0,20.0,21.0,22.0
1661,1.0,0.0,2.0,7.0,3.0,6.0,4.0,8.0,5.0,10.0,11.0,14.0,9.0,13.0,19.0,17.0,16.0,12.0,15.0,18.0,21.0,20.0,22.0
1710,1.0,0.0,3.0,2.0,4.0,7.0,5.0,8.0,6.0,11.0,10.0,9.0,14.0,13.0,15.0,16.0,17.0,18.0,12.0,19.0,21.0,20.0,22.0
