,ACOT1_DEL,HEATR4_DEL,HLA-DRB6_AMP,LINC00226_AMP,TAG_DEL,PRSS2_DEL,PRSS3P2_DEL,OR51A2_DEL,GSTT1_AMP,ADAM5_DEL,LOC391322_AMP,ADAM3A_DEL,HCG4B_DEL,GSTTP2_AMP,BTNL8_DEL,HERC2P2_AMP,SIRPB1_AMP,BMPR2_AMP,FRMPD2P1_AMP,UPK3B_AMP,DEFA3_AMP,SCAPER_DEL,MIR548AI_DEL,REREP3_DEL,KIAA2022_MUT,LOC727924_DEL,TNK2_MUT,CES1_AMP,OR2T27_DEL,SNX29_DEL
30,2.0,3.0,16.0,157.0,35.0,1.0,0.0,9.0,13.0,4.0,14.0,5.0,17.0,11.0,12.0,8.0,57.0,58.0,50.0,66.0,85.0,7.0,75.0,82.0,20.0,139.0,21.0,18.0,15.0,30.0
79,3.0,4.0,9.0,42.0,17.0,1.0,2.0,39.0,21.0,6.0,20.0,5.0,8.0,18.0,80.0,0.0,13.0,134.0,38.0,16.0,88.0,7.0,12.0,32.0,15.0,67.0,24.0,50.0,23.0,91.0
128,5.0,6.0,19.0,7.0,8.0,2.0,1.0,4.0,44.0,3.0,43.0,0.0,11.0,55.0,16.0,113.0,41.0,24.0,125.0,12.0,79.0,38.0,28.0,57.0,68.0,27.0,13.0,69.0,34.0,10.0
177,15.0,16.0,8.0,18.0,17.0,2.0,1.0,5.0,125.0,4.0,126.0,3.0,40.0,96.0,477.0,0.0,10.0,106.0,157.0,20.0,54.0,12.0,189.0,31.0,68.0,37.0,21.0,140.0,11.0,34.0
226,4.0,5.0,18.0,175.0,135.0,1.0,0.0,2.0,40.0,9.0,39.0,8.0,11.0,35.0,45.0,13.0,87.0,89.0,16.0,7.0,52.0,6.0,10.0,19.0,14.0,74.0,31.0,62.0,12.0,24.0
275,2.0,5.0,53.0,32.0,20.0,4.0,3.0,1.0,11.0,8.0,12.0,6.0,71.0,9.0,36.0,0.0,31.0,23.0,25.0,7.0,46.0,58.0,120.0,27.0,18.0,45.0,29.0,47.0,15.0,14.0
324,7.0,10.0,12.0,115.0,3.0,1.0,2.0,0.0,4.0,9.0,5.0,8.0,11.0,6.0,17.0,16.0,39.0,22.0,38.0,102.0,124.0,89.0,42.0,56.0,24.0,119.0,90.0,33.0,19.0,13.0
373,33.0,37.0,15.0,40.0,72.0,4.0,3.0,1.0,11.0,8.0,10.0,7.0,5.0,12.0,95.0,2.0,20.0,108.0,21.0,13.0,67.0,117.0,18.0,29.0,64.0,31.0,19.0,48.0,16.0,14.0
422,3.0,4.0,40.0,9.0,8.0,5.0,6.0,11.0,14.0,2.0,15.0,1.0,36.0,25.0,21.0,49.0,44.0,29.0,28.0,16.0,35.0,76.0,13.0,45.0,58.0,175.0,43.0,140.0,20.0,168.0
471,11.0,16.0,31.0,8.0,66.0,2.0,1.0,10.0,14.0,5.0,15.0,3.0,24.0,12.0,45.0,13.0,0.0,74.0,47.0,4.0,27.0,17.0,120.0,72.0,6.0,48.0,42.0,37.0,9.0,23.0
520,1.0,2.0,8.0,5.0,0.0,10.0,9.0,4.0,20.0,1213.0,21.0,1185.0,24.0,40.0,19.0,112.0,11.0,12.0,6.0,3.0,44.0,27.0,46.0,13.0,18.0,22.0,36.0,17.0,25.0,34.0
569,1.0,0.0,7.0,15.0,14.0,54.0,53.0,11.0,21.0,32.0,22.0,36.0,5.0,33.0,58.0,47.0,3.0,20.0,2.0,6.0,24.0,166.0,9.0,18.0,46.0,62.0,29.0,19.0,35.0,96.0
618,5.0,6.0,3.0,8.0,13.0,1.0,0.0,24.0,121.0,53.0,120.0,56.0,7.0,220.0,21.0,10.0,4.0,22.0,2.0,46.0,52.0,43.0,9.0,30.0,19.0,26.0,27.0,23.0,122.0,47.0
667,39.0,40.0,45.0,1.0,2.0,35.0,34.0,8.0,11.0,389.0,12.0,525.0,4.0,23.0,24.0,68.0,3.0,38.0,6.0,15.0,30.0,120.0,5.0,20.0,16.0,18.0,22.0,17.0,9.0,27.0
716,45.0,44.0,1.0,0.0,6.0,8.0,9.0,7.0,4.0,184.0,3.0,180.0,21.0,12.0,17.0,70.0,50.0,13.0,2.0,5.0,14.0,285.0,23.0,62.0,58.0,39.0,25.0,19.0,20.0,26.0
