,hsa-miR-631,hsa-miR-205,hsa-miR-296-5p,hsa-miR-944,hsa-miR-517b,hsa-miR-1307,hsa-miR-24,hsa-miR-31,hsa-miR-520d-5p+hsa-miR-527+hsa-miR-518a-5p,hsa-miR-323-5p,hsa-miR-451,hsa-miR-1910,hsa-miR-30a,hcmv-miR-UL70-5p,hsa-miR-1913,hsa-miR-513b,hsa-miR-320d,hsa-miR-136,hsa-miR-216a,hsa-miR-302a,hsa-miR-604,hsa-miR-153,hsa-miR-616,hsa-miR-891a,hsa-miR-2054,hsa-miR-1179,hsa-miR-122,hsa-miR-766,ebv-miR-BART12,hsa-miR-1282
14,2.0,4.0,0.0,5.0,9.0,77.0,1.0,8.0,111.0,13.0,44.0,29.0,48.0,567.0,58.0,60.0,14.0,289.0,12.0,43.0,429.0,170.0,68.0,37.0,62.0,359.0,69.0,472.0,434.0,19.0
63,13.0,1.0,2.0,0.0,4.0,8.0,60.0,3.0,7.0,203.0,14.0,46.0,150.0,102.0,407.0,249.0,361.0,5.0,11.0,356.0,100.0,225.0,79.0,239.0,426.0,576.0,508.0,34.0,560.0,174.0
112,6.0,0.0,2.0,14.0,10.0,13.0,82.0,9.0,132.0,7.0,1.0,91.0,282.0,84.0,120.0,19.0,410.0,283.0,332.0,35.0,531.0,83.0,378.0,230.0,98.0,453.0,42.0,182.0,130.0,68.0
161,7.0,1.0,0.0,4.0,2.0,60.0,15.0,12.0,10.0,174.0,75.0,8.0,518.0,111.0,120.0,501.0,298.0,95.0,181.0,421.0,51.0,17.0,87.0,145.0,90.0,36.0,432.0,39.0,413.0,22.0
210,0.0,7.0,3.0,5.0,4.0,2.0,23.0,55.0,17.0,1.0,6.0,66.0,15.0,18.0,8.0,178.0,325.0,218.0,9.0,44.0,332.0,14.0,419.0,95.0,200.0,33.0,202.0,11.0,359.0,233.0
259,1.0,0.0,32.0,2.0,13.0,7.0,3.0,522.0,90.0,4.0,10.0,42.0,35.0,27.0,91.0,124.0,294.0,73.0,8.0,349.0,16.0,29.0,44.0,171.0,80.0,64.0,15.0,153.0,304.0,20.0
308,1.0,2.0,0.0,4.0,10.0,63.0,25.0,545.0,29.0,3.0,9.0,5.0,62.0,205.0,13.0,83.0,274.0,163.0,35.0,123.0,21.0,54.0,166.0,84.0,449.0,115.0,320.0,177.0,327.0,20.0
357,2.0,1.0,0.0,7.0,4.0,3.0,60.0,21.0,360.0,459.0,13.0,103.0,55.0,482.0,306.0,36.0,35.0,19.0,17.0,26.0,477.0,9.0,387.0,260.0,597.0,5.0,454.0,71.0,359.0,314.0
406,0.0,1.0,2.0,10.0,7.0,14.0,124.0,476.0,232.0,35.0,3.0,50.0,13.0,287.0,378.0,84.0,210.0,9.0,22.0,66.0,38.0,142.0,119.0,116.0,18.0,100.0,239.0,110.0,17.0,12.0
455,1.0,2.0,6.0,9.0,3.0,0.0,42.0,375.0,7.0,20.0,14.0,56.0,102.0,53.0,285.0,58.0,263.0,8.0,5.0,73.0,19.0,27.0,85.0,476.0,156.0,120.0,95.0,217.0,192.0,38.0
504,146.0,0.0,97.0,16.0,40.0,1.0,8.0,31.0,167.0,24.0,297.0,9.0,2.0,395.0,17.0,59.0,4.0,212.0,151.0,21.0,228.0,19.0,83.0,5.0,11.0,219.0,43.0,606.0,617.0,140.0
553,2.0,0.0,96.0,3.0,5.0,1.0,15.0,6.0,95.0,47.0,187.0,69.0,28.0,63.0,106.0,36.0,7.0,71.0,159.0,37.0,41.0,26.0,133.0,17.0,236.0,138.0,213.0,597.0,93.0,25.0
602,15.0,0.0,44.0,4.0,80.0,5.0,17.0,21.0,58.0,29.0,539.0,7.0,2.0,14.0,73.0,11.0,51.0,241.0,52.0,13.0,315.0,6.0,622.0,10.0,61.0,536.0,33.0,220.0,159.0,86.0
651,5.0,6.0,83.0,3.0,0.0,2.0,32.0,24.0,10.0,48.0,535.0,44.0,7.0,288.0,1.0,102.0,79.0,23.0,80.0,39.0,384.0,26.0,54.0,192.0,17.0,64.0,118.0,86.0,608.0,119.0
700,2.0,0.0,17.0,1.0,18.0,16.0,246.0,346.0,42.0,30.0,31.0,148.0,15.0,6.0,5.0,39.0,11.0,49.0,329.0,581.0,431.0,32.0,14.0,107.0,117.0,266.0,58.0,165.0,7.0,440.0
749,6.0,0.0,111.0,27.0,10.0,22.0,2.0,104.0,17.0,40.0,76.0,271.0,4.0,262.0,65.0,42.0,127.0,9.0,132.0,294.0,434.0,120.0,84.0,29.0,1.0,14.0,44.0,182.0,8.0,95.0
798,32.0,0.0,30.0,4.0,13.0,1.0,65.0,18.0,6.0,119.0,62.0,210.0,10.0,214.0,136.0,71.0,56.0,528.0,26.0,87.0,478.0,384.0,547.0,3.0,15.0,599.0,317.0,560.0,16.0,35.0
847,20.0,0.0,387.0,1.0,10.0,6.0,25.0,306.0,28.0,41.0,465.0,33.0,14.0,408.0,46.0,96.0,2.0,464.0,202.0,99.0,203.0,13.0,50.0,3.0,37.0,5.0,92.0,21.0,145.0,111.0
896,6.0,0.0,37.0,17.0,7.0,1.0,387.0,48.0,257.0,2.0,35.0,149.0,114.0,11.0,27.0,150.0,15.0,307.0,73.0,116.0,267.0,259.0,461.0,4.0,188.0,29.0,66.0,39.0,20.0,486.0
945,148.0,0.0,15.0,230.0,1.0,4.0,33.0,2.0,260.0,65.0,116.0,12.0,14.0,300.0,247.0,162.0,52.0,561.0,173.0,119.0,253.0,61.0,28.0,9.0,22.0,269.0,88.0,154.0,469.0,35.0
994,2.0,1.0,0.0,7.0,44.0,202.0,4.0,3.0,383.0,11.0,24.0,19.0,577.0,29.0,12.0,8.0,206.0,13.0,217.0,126.0,93.0,250.0,10.0,141.0,338.0,95.0,84.0,230.0,99.0,428.0
1043,1.0,0.0,5.0,3.0,77.0,101.0,2.0,35.0,9.0,130.0,143.0,49.0,266.0,78.0,61.0,18.0,79.0,303.0,275.0,38.0,198.0,40.0,171.0,419.0,332.0,33.0,110.0,27.0,4.0,58.0
1092,1.0,0.0,3.0,12.0,5.0,303.0,2.0,9.0,34.0,62.0,241.0,10.0,261.0,616.0,138.0,8.0,214.0,129.0,470.0,28.0,458.0,98.0,35.0,4.0,30.0,19.0,168.0,20.0,32.0,80.0
1141,11.0,4.0,0.0,95.0,9.0,372.0,2.0,26.0,22.0,39.0,24.0,1.0,365.0,15.0,498.0,16.0,40.0,355.0,329.0,13.0,81.0,19.0,37.0,102.0,197.0,51.0,7.0,33.0,75.0,141.0
1190,0.0,2.0,1.0,20.0,51.0,28.0,22.0,182.0,16.0,39.0,526.0,6.0,87.0,9.0,441.0,123.0,3.0,119.0,196.0,297.0,62.0,7.0,21.0,201.0,79.0,18.0,5.0,17.0,188.0,595.0
1239,3.0,1.0,5.0,0.0,10.0,329.0,2.0,14.0,396.0,244.0,271.0,7.0,39.0,380.0,314.0,304.0,30.0,125.0,240.0,11.0,15.0,66.0,29.0,45.0,89.0,86.0,105.0,16.0,12.0,166.0
1288,0.0,27.0,44.0,21.0,3.0,2.0,88.0,188.0,25.0,626.0,494.0,10.0,307.0,36.0,89.0,14.0,12.0,171.0,471.0,97.0,76.0,7.0,77.0,52.0,363.0,62.0,22.0,13.0,24.0,68.0
1337,1.0,8.0,27.0,93.0,81.0,0.0,186.0,4.0,441.0,49.0,44.0,7.0,174.0,16.0,185.0,280.0,35.0,623.0,73.0,270.0,481.0,278.0,41.0,33.0,26.0,25.0,101.0,22.0,195.0,19.0
1386,0.0,1.0,11.0,12.0,26.0,2.0,25.0,35.0,88.0,78.0,18.0,3.0,93.0,54.0,85.0,181.0,14.0,119.0,151.0,84.0,31.0,66.0,8.0,13.0,65.0,44.0,10.0,191.0,39.0,148.0
1435,0.0,1.0,3.0,33.0,8.0,5.0,68.0,32.0,208.0,25.0,53.0,2.0,97.0,54.0,147.0,16.0,9.0,298.0,543.0,99.0,84.0,56.0,291.0,66.0,27.0,14.0,15.0,6.0,38.0,109.0
1484,24.0,12.0,1.0,25.0,9.0,0.0,5.0,4.0,19.0,54.0,39.0,374.0,142.0,18.0,204.0,29.0,59.0,124.0,6.0,41.0,480.0,3.0,264.0,241.0,72.0,160.0,36.0,166.0,7.0,200.0
