,IFI27,PRICKLE1,SULF2,PREX2,PLAGL1,GSTT1,CALB1,RP11-98I9.4,KCNK1,PTPN13,PRTFDC1,IQCA1,ZNF69,SYTL1,KRT6A,KCTD14,AC016683.6,MBOAT1,RP11-390F4.3,LAMB3,FRYL,MFAP5,EMID1,S100A2,RP11-73M18.7,RP11-259P15.1,ZNF334,RP11-477N3.1,DZIP1,FAM83A
10,4.0,2.0,0.0,5.0,11.0,33.0,6.0,15.0,16.0,8.0,148.0,305.0,3.0,45.0,26.0,397.0,1.0,7.0,12.0,10.0,17.0,36.0,194.0,161.0,75.0,13.0,2401.0,51.0,133.0,162.0
59,0.0,1.0,23.0,10.0,37.0,13.0,21.0,2.0,17.0,22.0,11.0,301.0,38.0,19.0,9.0,128.0,3.0,7.0,81.0,5.0,29.0,451.0,266.0,58.0,65.0,16.0,402.0,28.0,60.0,6.0
108,1.0,0.0,2.0,4.0,38.0,21.0,12.0,3.0,13.0,15.0,24.0,28.0,14.0,22.0,54.0,8.0,5.0,7.0,20.0,43.0,6.0,18.0,2008.0,37.0,11.0,30.0,241.0,73.0,144.0,19.0
157,1.0,0.0,3.0,27.0,7.0,146.0,14.0,4.0,15.0,12.0,52.0,24.0,23.0,9.0,35.0,143.0,2.0,10.0,56.0,21.0,29.0,71.0,187.0,8.0,74.0,17.0,1797.0,11.0,246.0,112.0
206,1.0,0.0,6.0,4.0,3.0,584.0,9.0,2.0,38.0,10.0,54.0,297.0,176.0,8.0,52.0,16.0,13.0,5.0,79.0,19.0,21.0,43.0,33.0,42.0,45.0,17.0,586.0,166.0,11.0,556.0
255,1.0,0.0,9.0,3.0,54.0,265.0,22.0,13.0,2.0,8.0,90.0,319.0,70.0,25.0,11.0,66.0,23.0,4.0,75.0,5.0,15.0,62.0,119.0,58.0,56.0,6.0,397.0,41.0,12.0,324.0
304,0.0,1.0,12.0,7.0,15.0,2.0,6.0,4.0,11.0,9.0,54.0,110.0,91.0,36.0,38.0,147.0,3.0,14.0,157.0,10.0,5.0,50.0,235.0,16.0,28.0,8.0,539.0,67.0,22.0,84.0
353,1.0,0.0,3.0,11.0,19.0,9.0,10.0,15.0,4.0,37.0,103.0,167.0,58.0,7.0,22.0,63.0,2.0,5.0,75.0,6.0,14.0,35.0,357.0,114.0,33.0,24.0,1010.0,51.0,23.0,57.0
402,2.0,0.0,1.0,8.0,18.0,42.0,28.0,21.0,37.0,12.0,4.0,93.0,172.0,22.0,44.0,19.0,3.0,7.0,46.0,6.0,11.0,63.0,119.0,23.0,9.0,5.0,833.0,81.0,40.0,75.0
451,2.0,0.0,24.0,7.0,1.0,79.0,81.0,13.0,83.0,86.0,16.0,17.0,6.0,14.0,39.0,320.0,4.0,3.0,19.0,34.0,29.0,36.0,45.0,28.0,384.0,46.0,2030.0,54.0,221.0,119.0
500,0.0,5.0,35.0,7.0,1.0,29.0,39.0,71.0,4.0,99.0,2.0,13.0,6.0,20.0,30.0,60.0,12.0,438.0,27.0,97.0,34.0,23.0,69.0,19.0,53.0,66.0,28.0,65.0,31.0,15.0
549,0.0,2.0,7.0,3.0,19.0,10.0,16.0,13.0,14.0,32.0,15.0,25.0,78.0,17.0,49.0,31.0,44.0,9.0,4.0,134.0,34.0,39.0,6.0,70.0,272.0,22.0,12.0,21.0,28.0,1.0
598,0.0,27.0,1.0,4.0,3.0,46.0,17.0,10.0,2.0,16.0,13.0,34.0,68.0,8.0,12.0,59.0,147.0,33.0,23.0,21.0,140.0,51.0,7.0,14.0,94.0,389.0,36.0,44.0,5.0,6.0
647,0.0,10.0,22.0,44.0,6.0,1.0,15.0,12.0,7.0,3.0,91.0,42.0,249.0,14.0,33.0,40.0,175.0,84.0,213.0,86.0,25.0,11.0,9.0,32.0,35.0,107.0,5.0,19.0,28.0,8.0
696,0.0,1.0,5.0,2.0,15.0,19.0,8.0,4.0,3.0,44.0,9.0,42.0,86.0,7.0,45.0,56.0,17.0,37.0,22.0,111.0,21.0,16.0,12.0,50.0,93.0,41.0,10.0,13.0,6.0,64.0
745,0.0,12.0,1.0,5.0,23.0,38.0,55.0,28.0,2.0,44.0,16.0,3.0,7.0,6.0,30.0,75.0,8.0,53.0,13.0,27.0,62.0,59.0,9.0,47.0,139.0,22.0,10.0,117.0,14.0,4.0
794,0.0,9.0,16.0,2.0,38.0,151.0,226.0,13.0,14.0,29.0,50.0,12.0,56.0,1.0,5.0,35.0,18.0,11.0,47.0,19.0,26.0,8.0,97.0,17.0,74.0,3.0,31.0,46.0,4.0,32.0
843,0.0,9.0,5.0,7.0,34.0,3.0,14.0,17.0,2.0,12.0,6.0,11.0,192.0,28.0,8.0,53.0,13.0,49.0,15.0,21.0,47.0,27.0,46.0,39.0,73.0,30.0,1.0,41.0,10.0,4.0
892,1.0,5.0,29.0,3.0,16.0,0.0,15.0,6.0,4.0,47.0,2.0,102.0,18.0,7.0,8.0,34.0,44.0,13.0,23.0,50.0,41.0,17.0,37.0,26.0,21.0,83.0,24.0,56.0,11.0,10.0
941,0.0,11.0,5.0,14.0,10.0,2.0,6.0,15.0,1.0,4.0,48.0,112.0,16.0,40.0,24.0,117.0,115.0,9.0,7.0,32.0,90.0,33.0,3.0,72.0,151.0,110.0,22.0,182.0,13.0,8.0
990,8.0,1.0,7.0,10.0,41.0,2.0,5.0,3.0,72.0,12.0,0.0,68.0,9.0,15.0,17.0,4.0,6.0,16.0,137.0,24.0,47.0,150.0,36.0,65.0,48.0,104.0,37.0,241.0,53.0,130.0
1039,4.0,0.0,1.0,9.0,52.0,44.0,22.0,7.0,48.0,36.0,30.0,127.0,2.0,15.0,3.0,79.0,25.0,38.0,304.0,18.0,93.0,250.0,74.0,31.0,103.0,199.0,13.0,290.0,12.0,177.0
1088,0.0,3.0,1.0,34.0,68.0,40.0,6.0,14.0,30.0,4.0,5.0,27.0,2.0,18.0,28.0,9.0,12.0,29.0,93.0,13.0,37.0,71.0,126.0,86.0,143.0,113.0,32.0,176.0,21.0,17.0
1137,3.0,8.0,2.0,21.0,13.0,0.0,24.0,7.0,17.0,6.0,1.0,35.0,9.0,12.0,22.0,36.0,5.0,25.0,112.0,19.0,121.0,147.0,84.0,203.0,15.0,117.0,10.0,120.0,32.0,72.0
1186,2.0,1.0,0.0,4.0,67.0,20.0,7.0,15.0,54.0,9.0,3.0,51.0,8.0,35.0,11.0,13.0,26.0,21.0,29.0,64.0,105.0,57.0,50.0,114.0,52.0,71.0,18.0,155.0,5.0,207.0
1235,0.0,1.0,14.0,3.0,7.0,30.0,9.0,8.0,15.0,4.0,2.0,20.0,17.0,16.0,33.0,10.0,39.0,5.0,83.0,12.0,112.0,69.0,70.0,38.0,59.0,689.0,35.0,94.0,28.0,47.0
1284,3.0,5.0,9.0,10.0,21.0,2.0,7.0,8.0,19.0,4.0,1.0,54.0,0.0,35.0,13.0,15.0,72.0,17.0,43.0,114.0,46.0,135.0,90.0,124.0,23.0,365.0,6.0,249.0,26.0,14.0
1333,1.0,2.0,0.0,5.0,73.0,8.0,6.0,12.0,11.0,17.0,3.0,36.0,7.0,19.0,13.0,21.0,98.0,54.0,51.0,60.0,33.0,50.0,41.0,42.0,55.0,141.0,9.0,198.0,14.0,95.0
1382,0.0,3.0,2.0,6.0,27.0,36.0,10.0,65.0,14.0,13.0,1.0,22.0,5.0,60.0,7.0,20.0,162.0,15.0,102.0,66.0,52.0,54.0,9.0,90.0,34.0,50.0,16.0,1620.0,12.0,23.0
1431,0.0,2.0,3.0,5.0,7.0,36.0,6.0,14.0,71.0,12.0,13.0,68.0,17.0,41.0,8.0,11.0,15.0,108.0,77.0,32.0,74.0,20.0,10.0,64.0,19.0,25.0,42.0,199.0,21.0,50.0
1480,0.0,1.0,12.0,3.0,2.0,8.0,141.0,4.0,395.0,27.0,7.0,18.0,14.0,52.0,22.0,6.0,124.0,94.0,192.0,19.0,25.0,95.0,9.0,81.0,26.0,31.0,32.0,43.0,122.0,40.0
1529,2.0,6.0,1.0,5.0,0.0,18.0,39.0,9.0,84.0,10.0,12.0,23.0,57.0,40.0,30.0,7.0,222.0,45.0,46.0,25.0,90.0,26.0,129.0,15.0,27.0,54.0,67.0,93.0,34.0,147.0
1578,0.0,5.0,9.0,11.0,1.0,13.0,22.0,3.0,76.0,16.0,4.0,25.0,49.0,19.0,48.0,2.0,181.0,28.0,29.0,6.0,70.0,175.0,24.0,36.0,26.0,108.0,20.0,67.0,131.0,37.0
1627,0.0,1.0,2.0,6.0,4.0,3.0,9.0,11.0,171.0,15.0,16.0,8.0,34.0,61.0,26.0,5.0,30.0,94.0,65.0,32.0,80.0,36.0,35.0,28.0,12.0,20.0,62.0,39.0,67.0,55.0
1676,0.0,5.0,2.0,8.0,1.0,6.0,10.0,26.0,39.0,33.0,4.0,3.0,48.0,72.0,16.0,7.0,40.0,97.0,143.0,15.0,64.0,37.0,123.0,30.0,36.0,23.0,13.0,43.0,50.0,25.0
1725,0.0,1.0,2.0,3.0,5.0,4.0,15.0,9.0,151.0,23.0,20.0,11.0,84.0,70.0,28.0,13.0,79.0,373.0,98.0,36.0,32.0,14.0,18.0,49.0,25.0,125.0,149.0,29.0,334.0,56.0
1774,2.0,1.0,0.0,20.0,4.0,14.0,52.0,3.0,31.0,13.0,26.0,22.0,8.0,58.0,19.0,27.0,106.0,109.0,41.0,5.0,51.0,12.0,173.0,24.0,34.0,57.0,70.0,16.0,65.0,95.0
1823,0.0,1.0,6.0,20.0,2.0,8.0,5.0,9.0,37.0,42.0,14.0,23.0,353.0,127.0,40.0,3.0,32.0,41.0,77.0,11.0,74.0,4.0,62.0,73.0,79.0,16.0,218.0,78.0,44.0,22.0
1872,1.0,4.0,14.0,37.0,2.0,0.0,9.0,3.0,260.0,11.0,12.0,20.0,6.0,47.0,7.0,5.0,8.0,67.0,26.0,94.0,41.0,13.0,65.0,45.0,16.0,40.0,129.0,36.0,399.0,57.0
1921,0.0,1.0,6.0,4.0,3.0,8.0,9.0,5.0,295.0,40.0,20.0,21.0,13.0,142.0,7.0,2.0,46.0,111.0,38.0,19.0,42.0,63.0,98.0,10.0,11.0,18.0,122.0,96.0,41.0,1030.0
1970,0.0,1.0,52.0,5.0,20.0,106.0,34.0,8.0,10.0,12.0,17.0,117.0,3.0,48.0,24.0,91.0,13.0,9.0,41.0,6.0,15.0,46.0,177.0,22.0,4.0,42.0,39.0,40.0,61.0,35.0
2019,0.0,1.0,188.0,2.0,36.0,6.0,5.0,4.0,19.0,84.0,10.0,88.0,335.0,67.0,13.0,8.0,30.0,21.0,14.0,3.0,49.0,97.0,31.0,65.0,73.0,16.0,72.0,17.0,60.0,244.0
2068,0.0,1.0,49.0,25.0,2.0,13.0,17.0,30.0,5.0,14.0,15.0,37.0,99.0,19.0,21.0,29.0,185.0,3.0,16.0,4.0,51.0,167.0,12.0,28.0,10.0,44.0,27.0,34.0,24.0,41.0
2117,3.0,0.0,33.0,7.0,12.0,1.0,19.0,21.0,18.0,58.0,9.0,25.0,35.0,26.0,20.0,71.0,82.0,16.0,44.0,6.0,31.0,90.0,8.0,95.0,2.0,42.0,36.0,57.0,105.0,4.0
2166,0.0,4.0,204.0,6.0,1.0,7.0,16.0,23.0,25.0,13.0,8.0,11.0,28.0,15.0,12.0,27.0,99.0,2.0,68.0,10.0,47.0,17.0,9.0,49.0,5.0,294.0,651.0,14.0,154.0,41.0
