,IFI27,ENPP1,RP11-902B17.1,FAM189B,DSC2,LAMA5,ALS2CL,PKNOX2,SLC2A1,JUP,CEP170P1,LINC00473,AP003068.18,RRAGD,GREB1,RP11-554I8.2,FAM219A,AC021188.4,SEMA4B,TBC1D2,CCDC23,IRF4,AC002128.5,KRT17P3,ABCA12,HLA-V,HCFC2,PLEKHG5,PCDH9,RP11-44F14.2
11,9.0,0.0,1.0,35.0,4.0,5.0,31.0,10.0,148.0,2.0,17.0,57.0,245.0,6.0,8.0,161.0,160.0,17016.0,129.0,13.0,16267.0,60.0,181.0,78.0,25.0,258.0,20.0,206.0,29.0,100.0
60,5.0,0.0,2.0,250.0,4.0,74.0,17.0,18.0,16266.0,22.0,21.0,2258.0,5759.0,30.0,6.0,26.0,95.0,129.0,179.0,68.0,558.0,66.0,119.0,33.0,76.0,57.0,235.0,190.0,7.0,31.0
109,8.0,0.0,14.0,7.0,1.0,2.0,21.0,37.0,66.0,92.0,46.0,23127.0,59.0,12.0,4.0,104.0,35.0,2102.0,50.0,87.0,752.0,20758.0,118.0,80.0,24.0,63.0,95.0,280.0,16.0,65.0
158,3.0,44.0,6.0,19.0,0.0,31.0,30.0,5.0,16271.0,153.0,12.0,234.0,151.0,100.0,9.0,172.0,51.0,16953.0,29.0,113.0,47.0,68.0,9135.0,53.0,13857.0,28.0,35.0,114.0,7.0,33.0
207,3.0,0.0,4.0,111.0,9.0,2.0,18.0,6.0,31.0,8.0,954.0,23076.0,6223.0,76.0,12.0,224.0,56.0,16950.0,39.0,69.0,1194.0,11.0,8026.0,130.0,25.0,99.0,6734.0,106.0,15.0,58.0
256,1.0,0.0,7.0,3.0,4.0,76.0,40.0,20.0,117.0,14.0,26.0,22.0,1123.0,54.0,12.0,110.0,37.0,16931.0,30.0,120.0,16260.0,20681.0,115.0,95.0,33.0,141.0,10.0,108.0,5.0,24.0
305,1.0,0.0,3.0,123.0,8.0,145.0,65.0,7.0,29.0,71.0,4.0,44.0,5812.0,105.0,9.0,141.0,77.0,705.0,241.0,197.0,254.0,67.0,8021.0,70.0,160.0,324.0,418.0,115.0,997.0,157.0
354,27.0,1.0,5.0,60.0,0.0,28.0,19.0,7.0,9.0,74.0,20.0,26.0,1146.0,30.0,6.0,66.0,18560.0,17006.0,15.0,40.0,16274.0,2.0,143.0,295.0,122.0,184.0,33.0,164.0,11.0,12.0
403,16.0,0.0,1.0,8.0,2.0,87.0,32.0,14.0,306.0,10.0,20.0,19.0,209.0,137.0,3.0,96.0,51.0,146.0,37.0,61.0,33.0,20700.0,11177.0,132.0,207.0,350.0,219.0,389.0,13.0,67.0
452,1.0,6.0,11.0,0.0,4.0,2.0,38.0,18.0,142.0,90.0,23.0,20.0,140.0,255.0,3.0,5.0,58.0,66.0,153.0,15.0,115.0,29.0,2573.0,19.0,41.0,119.0,328.0,132.0,17.0,10525.0
501,4.0,2.0,13.0,44.0,107.0,145.0,5.0,95.0,192.0,135.0,46.0,69.0,15.0,22736.0,38.0,103.0,14.0,104.0,1.0,20307.0,120.0,124.0,282.0,12040.0,13796.0,17.0,143.0,147.0,3335.0,295.0
550,0.0,21.0,134.0,2.0,1.0,82.0,22.0,57.0,166.0,36.0,96.0,798.0,38.0,144.0,238.0,18841.0,133.0,13.0,34.0,50.0,6.0,56.0,90.0,242.0,15.0,234.0,37.0,54.0,16.0,83.0
599,0.0,2.0,3.0,3033.0,7.0,5.0,9.0,21.0,6.0,46.0,25.0,36.0,1057.0,202.0,135.0,60.0,18581.0,124.0,1.0,86.0,16283.0,120.0,77.0,91.0,13782.0,20.0,35.0,14.0,4.0,147.0
648,14.0,0.0,22.0,49.0,13.0,107.0,3.0,79.0,16278.0,18.0,36.0,10.0,44.0,92.0,16855.0,113.0,125.0,16996.0,6.0,78.0,30.0,74.0,90.0,81.0,27.0,180.0,133.0,24.0,75.0,181.0
697,0.0,6.0,7.0,24.0,11.0,37.0,22.0,63.0,298.0,4.0,13.0,498.0,8.0,124.0,19.0,86.0,84.0,82.0,1.0,989.0,16300.0,125.0,33.0,57.0,1094.0,94.0,696.0,31.0,283.0,20.0
746,16.0,0.0,7.0,1.0,5.0,73.0,18.0,15.0,99.0,9.0,3.0,312.0,5748.0,20.0,6.0,117.0,35.0,75.0,53.0,186.0,153.0,2341.0,169.0,9946.0,211.0,17.0,267.0,16269.0,10.0,171.0
795,5.0,25.0,9.0,4.0,10.0,7.0,14.0,44.0,34.0,22.0,19.0,23117.0,48.0,151.0,372.0,77.0,75.0,8.0,0.0,307.0,16277.0,20724.0,142.0,146.0,18.0,136.0,3.0,57.0,21.0,95.0
