,UCA1,RPS12P26,PRPS1,GJB4,CATSPER3,STON2,TTLL5,RP11-7F17.7,RP11-895M11.3,FOS,MLH3,NEK9,RPS6KL1,CTD-2207P18.2,RP11-85G20.1,PROX2,SMEK1,BTBD7,JDP2,RP11-293M10.5,CCDC88C,TGFB3,AC005519.4,RP11-293M10.6,RIN3,PSMC1,BATF,GSTZ1,ENTPD5,ITPK1
7,11253.0,2414.0,408.0,139.0,20.0,1524.0,1455.0,1471.0,1700.0,2082.0,2067.0,2078.0,2062.0,2087.0,1658.0,2059.0,1675.0,1670.0,1996.0,2083.0,1530.0,1457.0,2097.0,1759.0,1673.0,1418.0,1757.0,1047.0,2055.0,1649.0
56,11259.0,2722.0,32.0,16227.0,82.0,12.0,951.0,2460.0,3254.0,3205.0,3216.0,307.0,2272.0,1713.0,3067.0,1706.0,3269.0,3068.0,3219.0,3204.0,3253.0,3232.0,1693.0,3209.0,3259.0,3241.0,3227.0,3173.0,1686.0,3167.0
105,11221.0,111.0,1.0,16225.0,93.0,1577.0,1515.0,1593.0,1475.0,1506.0,1514.0,1504.0,654.0,1517.0,1611.0,1490.0,1420.0,1445.0,1509.0,1507.0,1474.0,1579.0,1088.0,1508.0,1433.0,1452.0,1512.0,1601.0,1523.0,1441.0
154,11238.0,123.0,59.0,16235.0,134.0,61.0,3289.0,3201.0,3222.0,1709.0,1696.0,1705.0,1688.0,1753.0,3241.0,1196.0,3225.0,3240.0,1714.0,1711.0,3245.0,3190.0,1730.0,1712.0,3238.0,3286.0,1715.0,1369.0,1723.0,3249.0
203,38.0,2554.0,541.0,16257.0,105.0,1488.0,1477.0,1446.0,1447.0,1468.0,1533.0,1485.0,1594.0,1584.0,1223.0,1590.0,1461.0,1618.0,1345.0,1472.0,1448.0,1481.0,1602.0,1473.0,739.0,1517.0,1475.0,1462.0,1617.0,1592.0
252,1151.0,13.0,220.0,16224.0,96.0,1554.0,1663.0,1922.0,3531.0,1736.0,1730.0,1727.0,1742.0,1725.0,3469.0,1737.0,3529.0,3468.0,1772.0,1720.0,3532.0,1698.0,514.0,1721.0,3519.0,3501.0,1779.0,1824.0,1715.0,3515.0
301,11252.0,76.0,221.0,108.0,20817.0,19.0,3228.0,3189.0,3255.0,3202.0,3212.0,3206.0,2242.0,354.0,3088.0,1696.0,3164.0,3087.0,3232.0,3217.0,3257.0,469.0,1689.0,3225.0,3063.0,3261.0,451.0,3179.0,1683.0,3065.0
350,1.0,2439.0,121.0,72.0,20794.0,1696.0,1626.0,1645.0,1503.0,1461.0,1452.0,1429.0,1443.0,1428.0,1570.0,1440.0,1509.0,1568.0,1412.0,1486.0,1502.0,1632.0,1470.0,1416.0,1577.0,1532.0,1402.0,1604.0,1464.0,1595.0
399,22.0,2460.0,69.0,93.0,20817.0,1564.0,1685.0,368.0,1434.0,1590.0,1583.0,1573.0,1635.0,840.0,1596.0,1622.0,1451.0,1594.0,1691.0,1603.0,1482.0,537.0,778.0,1639.0,1702.0,1535.0,1689.0,1455.0,1576.0,1679.0
448,45.0,2393.0,26.0,27.0,133.0,1631.0,828.0,916.0,1394.0,1550.0,1499.0,1495.0,1485.0,1632.0,1409.0,1504.0,1342.0,1432.0,1558.0,1551.0,1280.0,1537.0,1584.0,1557.0,1473.0,1480.0,1561.0,938.0,1571.0,1462.0
497,4.0,0.0,416.0,16237.0,20806.0,2312.0,2350.0,2340.0,1548.0,2339.0,2324.0,2327.0,1179.0,2334.0,1566.0,65.0,1576.0,1526.0,2353.0,2355.0,1527.0,2356.0,2221.0,2354.0,1490.0,1438.0,2352.0,2293.0,2226.0,167.0
546,25.0,2538.0,354.0,16260.0,181.0,1732.0,1425.0,1432.0,1768.0,1562.0,1550.0,1557.0,1094.0,1543.0,1598.0,72.0,1771.0,1599.0,1492.0,1563.0,1763.0,1436.0,1505.0,1565.0,1635.0,1798.0,1479.0,1488.0,722.0,1642.0
595,31.0,33.0,226.0,40.0,97.0,3291.0,3193.0,3208.0,3101.0,83.0,3250.0,3245.0,3237.0,3223.0,3061.0,93.0,1153.0,3062.0,3203.0,3240.0,3099.0,3198.0,1766.0,3221.0,3084.0,3188.0,3190.0,3218.0,1182.0,3055.0
644,44.0,0.0,8360.0,823.0,20811.0,1716.0,1447.0,708.0,1614.0,1467.0,1429.0,1435.0,1541.0,1547.0,1711.0,1542.0,1654.0,220.0,1444.0,1471.0,1619.0,1452.0,1497.0,695.0,1587.0,1615.0,1438.0,1661.0,1748.0,1592.0
693,33.0,2.0,8366.0,16261.0,20811.0,1389.0,1527.0,1498.0,1725.0,1459.0,1448.0,1452.0,1468.0,1469.0,1721.0,1479.0,758.0,1720.0,1464.0,1460.0,1726.0,1533.0,1483.0,1462.0,1694.0,1756.0,1518.0,1390.0,1451.0,1691.0
742,8.0,0.0,8386.0,115.0,21274.0,2465.0,1705.0,1720.0,3318.0,1696.0,1725.0,1693.0,1746.0,1743.0,104.0,1748.0,3315.0,3281.0,689.0,1697.0,3305.0,1723.0,1691.0,1699.0,3260.0,3299.0,1703.0,3226.0,1652.0,3256.0
