,HER2_pY1248,C-Raf_pS338,Rb_pS807_S811,c-Myc,Rb,CD49b,PEA15,Cyclin_D1,RAD51,RSK1-2-3,Shc_pY317,Rictor_pT1135,Annexin 1,p27_pT157,p38_pT180_Y182,TAZ,EGFR_pY1068,NF2,JNK2,SHP-2_pY542,TSC1,Src_pY416,Src,Akt,PKC-pan_BetaII_pS660,PAI-1,p38_MAPK,p90RSK_pT359_S363,Tuberin_pT1462,Notch1
6,132.0,6.0,19.0,9.0,5.0,15.0,2.0,149.0,3.0,23.0,11.0,78.0,8.0,0.0,10.0,1.0,156.0,53.0,139.0,25.0,32.0,70.0,26.0,117.0,87.0,48.0,51.0,14.0,30.0,55.0
55,134.0,14.0,71.0,1.0,2.0,126.0,0.0,153.0,74.0,12.0,7.0,68.0,5.0,6.0,40.0,37.0,21.0,8.0,28.0,33.0,44.0,75.0,3.0,120.0,81.0,24.0,27.0,50.0,39.0,54.0
104,1.0,10.0,3.0,2.0,78.0,126.0,25.0,154.0,12.0,7.0,5.0,8.0,120.0,0.0,9.0,35.0,160.0,50.0,139.0,11.0,30.0,41.0,42.0,115.0,19.0,17.0,6.0,13.0,34.0,52.0
153,130.0,3.0,15.0,12.0,16.0,17.0,2.0,149.0,0.0,4.0,26.0,81.0,122.0,39.0,5.0,6.0,154.0,30.0,138.0,7.0,67.0,35.0,34.0,32.0,28.0,54.0,56.0,48.0,65.0,47.0
202,23.0,10.0,11.0,4.0,12.0,13.0,19.0,151.0,1.0,9.0,6.0,73.0,0.0,25.0,51.0,32.0,18.0,58.0,139.0,15.0,37.0,39.0,2.0,119.0,84.0,44.0,24.0,45.0,41.0,57.0
251,7.0,0.0,6.0,23.0,82.0,107.0,8.0,150.0,9.0,4.0,77.0,21.0,124.0,37.0,28.0,26.0,156.0,40.0,138.0,2.0,68.0,1.0,27.0,38.0,12.0,53.0,33.0,55.0,66.0,47.0
300,131.0,24.0,84.0,10.0,16.0,15.0,25.0,21.0,17.0,3.0,14.0,82.0,125.0,5.0,27.0,71.0,6.0,85.0,145.0,0.0,68.0,2.0,39.0,127.0,61.0,57.0,31.0,44.0,38.0,46.0
349,3.0,6.0,18.0,5.0,9.0,109.0,0.0,153.0,1.0,16.0,7.0,84.0,4.0,2.0,46.0,69.0,159.0,34.0,26.0,88.0,65.0,36.0,73.0,121.0,10.0,23.0,54.0,12.0,31.0,29.0
398,15.0,14.0,16.0,12.0,6.0,109.0,19.0,152.0,0.0,13.0,9.0,23.0,5.0,53.0,24.0,4.0,1.0,32.0,138.0,8.0,65.0,35.0,73.0,36.0,89.0,55.0,42.0,11.0,63.0,33.0
447,133.0,11.0,12.0,8.0,5.0,119.0,92.0,15.0,0.0,7.0,1.0,10.0,6.0,3.0,55.0,83.0,158.0,29.0,26.0,70.0,49.0,42.0,2.0,41.0,85.0,23.0,56.0,52.0,59.0,62.0
496,11.0,4.0,3.0,12.0,88.0,99.0,2.0,19.0,96.0,89.0,94.0,15.0,117.0,54.0,5.0,73.0,6.0,0.0,43.0,28.0,70.0,77.0,78.0,35.0,39.0,57.0,56.0,49.0,33.0,130.0
