,HER2_pY1248,Shc_pY317,B-Raf,C-Raf_pS338,PDK1_pS241,PEA15,Annexin 1,Smac,Akt,Rb,c-Myc,MDMX_MDM4(BetIHC-00108),MIG-6,Bap1 c-4,MYH11,PKC-pan_BetaII_pS660,RAD51,EGFR,VHL,Cyclin_E2,c-Jun_pS73,Notch1,B-Raf_pS445,Acetyl-a-Tubulin (Lys40),Src,EGFR_pY1068,14-3-3_beta,RSK1-2-3,p38_pT180_Y182,PRDX1
5,53.0,2.0,29.0,15.0,73.0,24.0,41.0,43.0,10.0,17.0,22.0,45.0,5.0,142.0,56.0,125.0,12.0,33.0,26.0,36.0,128.0,3.0,35.0,140.0,92.0,1.0,124.0,23.0,47.0,25.0
54,15.0,5.0,2.0,31.0,149.0,9.0,63.0,11.0,62.0,42.0,14.0,43.0,107.0,147.0,18.0,47.0,44.0,124.0,131.0,57.0,83.0,86.0,20.0,74.0,58.0,68.0,6.0,37.0,60.0,34.0
103,4.0,14.0,40.0,28.0,163.0,35.0,26.0,94.0,19.0,87.0,13.0,105.0,147.0,44.0,24.0,2.0,47.0,45.0,98.0,7.0,157.0,32.0,52.0,16.0,12.0,116.0,164.0,34.0,65.0,81.0
152,13.0,34.0,29.0,47.0,89.0,12.0,20.0,97.0,21.0,31.0,6.0,18.0,49.0,32.0,110.0,147.0,19.0,33.0,134.0,98.0,38.0,2.0,4.0,66.0,56.0,22.0,61.0,24.0,50.0,28.0
201,27.0,0.0,72.0,44.0,86.0,23.0,28.0,42.0,8.0,40.0,7.0,9.0,53.0,61.0,49.0,3.0,57.0,66.0,41.0,101.0,30.0,163.0,22.0,81.0,29.0,123.0,68.0,43.0,64.0,26.0
250,9.0,118.0,88.0,20.0,84.0,16.0,60.0,25.0,13.0,38.0,65.0,143.0,141.0,68.0,140.0,54.0,51.0,32.0,31.0,27.0,24.0,44.0,87.0,58.0,99.0,66.0,78.0,52.0,64.0,23.0
299,4.0,3.0,82.0,16.0,66.0,20.0,28.0,133.0,54.0,25.0,42.0,147.0,64.0,75.0,46.0,159.0,63.0,27.0,61.0,35.0,44.0,38.0,89.0,24.0,57.0,74.0,59.0,49.0,69.0,93.0
348,14.0,5.0,17.0,38.0,75.0,22.0,15.0,106.0,7.0,42.0,26.0,88.0,8.0,62.0,29.0,9.0,49.0,81.0,41.0,64.0,73.0,105.0,153.0,13.0,89.0,3.0,19.0,43.0,46.0,44.0
397,9.0,24.0,150.0,22.0,44.0,43.0,34.0,1.0,2.0,17.0,32.0,18.0,49.0,23.0,5.0,42.0,20.0,55.0,46.0,48.0,151.0,116.0,39.0,30.0,28.0,57.0,52.0,45.0,29.0,101.0
446,12.0,0.0,8.0,28.0,3.0,1.0,52.0,76.0,78.0,33.0,24.0,41.0,49.0,118.0,11.0,14.0,40.0,60.0,131.0,63.0,69.0,21.0,7.0,34.0,75.0,32.0,66.0,71.0,85.0,51.0
495,3.0,50.0,118.0,27.0,1.0,14.0,26.0,51.0,17.0,30.0,9.0,2.0,48.0,116.0,43.0,7.0,10.0,67.0,56.0,35.0,159.0,12.0,15.0,127.0,57.0,13.0,45.0,25.0,40.0,68.0
544,16.0,1.0,29.0,17.0,38.0,33.0,5.0,61.0,2.0,23.0,20.0,105.0,31.0,48.0,25.0,49.0,35.0,42.0,7.0,26.0,143.0,81.0,62.0,0.0,98.0,6.0,58.0,44.0,69.0,104.0
593,12.0,4.0,28.0,40.0,0.0,11.0,47.0,91.0,10.0,88.0,19.0,8.0,142.0,123.0,139.0,23.0,55.0,51.0,132.0,53.0,67.0,56.0,39.0,97.0,69.0,90.0,66.0,38.0,45.0,109.0
642,6.0,37.0,117.0,30.0,2.0,163.0,35.0,24.0,42.0,60.0,49.0,137.0,58.0,45.0,82.0,25.0,32.0,44.0,106.0,36.0,48.0,40.0,28.0,12.0,13.0,0.0,86.0,11.0,71.0,41.0
691,5.0,32.0,29.0,27.0,1.0,65.0,57.0,14.0,15.0,88.0,8.0,35.0,68.0,25.0,49.0,16.0,10.0,40.0,134.0,60.0,91.0,148.0,24.0,110.0,79.0,123.0,77.0,59.0,74.0,108.0
740,12.0,7.0,35.0,33.0,0.0,31.0,56.0,14.0,43.0,32.0,38.0,121.0,45.0,131.0,161.0,18.0,40.0,79.0,55.0,96.0,95.0,22.0,59.0,17.0,34.0,102.0,86.0,76.0,57.0,27.0
789,14.0,61.0,29.0,35.0,28.0,48.0,31.0,45.0,32.0,37.0,103.0,142.0,84.0,27.0,36.0,4.0,33.0,19.0,85.0,42.0,23.0,26.0,90.0,43.0,92.0,17.0,115.0,53.0,58.0,112.0
838,15.0,12.0,49.0,42.0,8.0,47.0,53.0,5.0,2.0,65.0,14.0,29.0,92.0,164.0,3.0,33.0,57.0,62.0,87.0,28.0,79.0,36.0,45.0,11.0,16.0,46.0,105.0,90.0,85.0,22.0
887,14.0,29.0,64.0,30.0,42.0,80.0,35.0,13.0,51.0,43.0,48.0,53.0,149.0,153.0,1.0,54.0,22.0,89.0,133.0,44.0,78.0,25.0,31.0,72.0,37.0,11.0,55.0,33.0,60.0,82.0
936,3.0,6.0,8.0,31.0,0.0,147.0,36.0,40.0,17.0,46.0,55.0,13.0,4.0,92.0,24.0,90.0,57.0,52.0,18.0,94.0,105.0,20.0,69.0,41.0,82.0,122.0,33.0,81.0,75.0,9.0
