,BRAF_MUT,BRAF.V600E_MUT,TTN_MUT,KRAS.G12_13_MUT,BRAF.MC_MUT,KRAS_MUT,GOLGA8A_DEL,OR2A7_AMP,LOC728377_AMP,SIRPB1_AMP,FAM21A_DEL,HLA-DQB1_DEL,UNC13C_MUT,CFHR3_AMP,SORD_AMP,NRAS_MUT,ARHGEF5_AMP,FAM35B_DEL,KIAA1217_DEL,MIR1233-2_DEL,MIR1233-1_DEL,UBE2Q2P3_AMP,UBE2Q2P2_AMP,FFAR3_DEL,USP17L4_AMP,ATG10_DEL,RPS17L_AMP,DOCK10_AMP,GOLGA6L9_AMP,RPS17_AMP
30,0.0,5.0,1.0,2.0,8.0,3.0,4.0,13.0,14.0,25.0,26.0,9.0,6.0,88.0,7.0,43.0,18.0,42.0,20.0,16.0,15.0,60.0,61.0,80.0,17.0,95.0,62.0,70.0,63.0,59.0
79,0.0,4.0,1.0,3.0,16.0,5.0,2.0,26.0,25.0,262.0,125.0,6.0,9.0,10.0,27.0,7.0,8.0,15.0,240.0,11.0,12.0,32.0,31.0,42.0,77.0,489.0,37.0,24.0,39.0,38.0
128,0.0,2.0,1.0,3.0,5.0,4.0,6.0,12.0,13.0,26.0,36.0,33.0,15.0,97.0,93.0,24.0,16.0,34.0,278.0,17.0,18.0,7.0,8.0,35.0,25.0,14.0,10.0,38.0,11.0,9.0
177,0.0,1.0,8.0,4.0,16.0,2.0,3.0,5.0,6.0,207.0,32.0,229.0,11.0,22.0,148.0,31.0,23.0,30.0,285.0,28.0,29.0,10.0,9.0,831.0,87.0,27.0,13.0,17.0,12.0,14.0
226,0.0,3.0,1.0,4.0,7.0,5.0,10.0,60.0,59.0,6.0,146.0,39.0,12.0,2.0,61.0,51.0,40.0,8.0,68.0,23.0,22.0,19.0,20.0,13.0,36.0,15.0,26.0,21.0,24.0,25.0
275,0.0,3.0,4.0,2.0,5.0,1.0,18.0,19.0,20.0,24.0,28.0,25.0,6.0,15.0,173.0,48.0,21.0,16.0,153.0,98.0,97.0,8.0,7.0,26.0,65.0,38.0,9.0,34.0,10.0,11.0
324,0.0,3.0,1.0,4.0,5.0,2.0,6.0,87.0,86.0,43.0,37.0,12.0,13.0,26.0,69.0,30.0,51.0,36.0,62.0,31.0,32.0,7.0,8.0,374.0,28.0,19.0,11.0,42.0,9.0,10.0
373,0.0,1.0,4.0,3.0,5.0,2.0,6.0,12.0,11.0,22.0,42.0,9.0,8.0,10.0,125.0,40.0,29.0,7.0,26.0,60.0,61.0,13.0,14.0,55.0,54.0,58.0,16.0,27.0,17.0,15.0
422,0.0,2.0,4.0,1.0,10.0,3.0,15.0,97.0,96.0,5.0,7.0,37.0,14.0,28.0,1633.0,84.0,161.0,134.0,57.0,46.0,45.0,9.0,8.0,107.0,26.0,61.0,11.0,33.0,12.0,13.0
471,0.0,1.0,2.0,3.0,5.0,4.0,8.0,24.0,25.0,150.0,7.0,306.0,6.0,40.0,95.0,27.0,23.0,85.0,87.0,84.0,83.0,16.0,17.0,107.0,73.0,14.0,20.0,15.0,21.0,19.0
