,beta-alanine,GABA,C56:5 TAG,butyrylcarnitine/isobutyrylcarnitine,C34:4 PC,C22:6 LPE,DHAP/glyceraldehyde 3P,adenosine,leucine,valerylcarnitine,1-methylnicotinamide,2-deoxycytidine,N-carbamoyl-beta-alanine,creatinine,cotinine,palmitoylcarnitine,SDMA/ADMA,putrescine,malondialdehyde,cis/trans-hydroxyproline,alpha-glycerophosphate,3-phosphoglycerate,isocitrate,pantothenate,alpha-hydroxybutyrate,NADP,C36:4 PC-B,UMP,C18:0 LPC,C22:6 LPC
27,22.0,7.0,11.0,6.0,2.0,30.0,27.0,8.0,14.0,1.0,9.0,0.0,64.0,10.0,15.0,4.0,63.0,36.0,19.0,20.0,23.0,21.0,24.0,52.0,13.0,50.0,37.0,55.0,41.0,5.0
76,1.0,11.0,54.0,10.0,6.0,7.0,35.0,0.0,3.0,44.0,16.0,17.0,57.0,60.0,2.0,20.0,55.0,19.0,12.0,15.0,31.0,14.0,4.0,28.0,5.0,27.0,21.0,62.0,40.0,39.0
125,9.0,3.0,14.0,7.0,29.0,4.0,10.0,2.0,19.0,6.0,17.0,24.0,8.0,11.0,0.0,20.0,62.0,16.0,15.0,18.0,13.0,44.0,12.0,5.0,31.0,51.0,39.0,53.0,43.0,41.0
174,3.0,21.0,1.0,14.0,2.0,39.0,10.0,0.0,9.0,8.0,15.0,17.0,65.0,6.0,16.0,13.0,20.0,46.0,29.0,7.0,43.0,23.0,27.0,64.0,25.0,56.0,19.0,28.0,11.0,45.0
223,13.0,22.0,4.0,8.0,12.0,19.0,11.0,1.0,9.0,39.0,16.0,18.0,56.0,6.0,7.0,14.0,20.0,50.0,28.0,15.0,43.0,25.0,0.0,30.0,3.0,26.0,21.0,61.0,10.0,37.0
272,8.0,6.0,12.0,14.0,3.0,28.0,7.0,0.0,18.0,15.0,16.0,1.0,63.0,21.0,24.0,19.0,11.0,10.0,5.0,60.0,31.0,43.0,36.0,4.0,33.0,30.0,39.0,52.0,25.0,2.0
321,1.0,8.0,12.0,17.0,0.0,23.0,35.0,2.0,25.0,18.0,7.0,24.0,56.0,6.0,16.0,5.0,13.0,49.0,54.0,51.0,32.0,11.0,34.0,10.0,33.0,28.0,41.0,31.0,20.0,21.0
370,4.0,16.0,5.0,17.0,13.0,9.0,50.0,0.0,60.0,18.0,11.0,3.0,32.0,12.0,55.0,20.0,33.0,34.0,2.0,19.0,47.0,35.0,24.0,54.0,1.0,31.0,38.0,6.0,36.0,10.0
419,12.0,16.0,13.0,19.0,9.0,8.0,11.0,0.0,50.0,3.0,6.0,2.0,15.0,1.0,4.0,20.0,14.0,56.0,26.0,18.0,27.0,17.0,10.0,63.0,29.0,47.0,41.0,60.0,36.0,21.0
468,4.0,22.0,10.0,5.0,9.0,0.0,27.0,1.0,61.0,20.0,8.0,2.0,16.0,24.0,37.0,13.0,14.0,33.0,21.0,15.0,11.0,42.0,44.0,3.0,12.0,50.0,29.0,53.0,38.0,35.0
