,beta-alanine,C56:5 TAG,GABA,C34:4 PC,alpha-glycerophosphate,C22:6 LPE,C36:4 PC-B,2-deoxycytidine,pantothenate,niacinamide,leucine,butyrylcarnitine/isobutyrylcarnitine,1-methylnicotinamide,putrescine,valerylcarnitine,palmitoylcarnitine,DHAP/glyceraldehyde 3P,adenosine,C18:0 LPC,C56:3 TAG,C16:0 LPE,cotinine,inosine,C34:2 DAG,isocitrate,malondialdehyde,cystathionine,uridine,alpha-hydroxybutyrate,PEP
21,0.0,5.0,1.0,2.0,3.0,11.0,8.0,4.0,15.0,20.0,16.0,35.0,9.0,45.0,33.0,10.0,32.0,13.0,25.0,28.0,26.0,19.0,42.0,6.0,14.0,52.0,17.0,29.0,30.0,18.0
70,0.0,3.0,1.0,2.0,4.0,11.0,5.0,8.0,32.0,7.0,63.0,9.0,10.0,17.0,25.0,26.0,21.0,6.0,22.0,48.0,41.0,31.0,38.0,13.0,14.0,24.0,20.0,23.0,15.0,29.0
119,0.0,2.0,3.0,1.0,6.0,7.0,4.0,28.0,10.0,5.0,36.0,20.0,26.0,58.0,12.0,11.0,35.0,17.0,25.0,21.0,33.0,15.0,8.0,24.0,13.0,44.0,18.0,53.0,16.0,14.0
168,2.0,1.0,4.0,0.0,6.0,22.0,10.0,3.0,17.0,5.0,7.0,28.0,13.0,15.0,30.0,18.0,61.0,14.0,21.0,12.0,26.0,9.0,27.0,46.0,20.0,39.0,23.0,60.0,16.0,29.0
217,0.0,1.0,5.0,2.0,3.0,15.0,8.0,13.0,30.0,4.0,37.0,16.0,23.0,64.0,12.0,41.0,40.0,9.0,48.0,38.0,44.0,24.0,34.0,21.0,20.0,10.0,35.0,25.0,6.0,26.0
266,0.0,3.0,1.0,2.0,11.0,22.0,7.0,21.0,27.0,5.0,33.0,4.0,6.0,24.0,30.0,13.0,60.0,8.0,16.0,55.0,10.0,51.0,12.0,47.0,17.0,37.0,35.0,63.0,31.0,9.0
315,0.0,3.0,2.0,1.0,4.0,16.0,7.0,48.0,28.0,8.0,18.0,6.0,15.0,46.0,22.0,24.0,44.0,9.0,36.0,54.0,27.0,5.0,19.0,50.0,31.0,41.0,53.0,49.0,33.0,37.0
364,0.0,1.0,5.0,2.0,4.0,9.0,16.0,19.0,40.0,6.0,15.0,24.0,32.0,65.0,31.0,13.0,44.0,7.0,10.0,37.0,60.0,25.0,12.0,48.0,28.0,11.0,51.0,45.0,3.0,22.0
413,0.0,1.0,2.0,5.0,3.0,11.0,6.0,7.0,32.0,17.0,35.0,42.0,16.0,37.0,4.0,41.0,28.0,8.0,12.0,27.0,62.0,19.0,33.0,40.0,14.0,9.0,34.0,43.0,39.0,31.0
462,0.0,1.0,2.0,4.0,7.0,11.0,15.0,6.0,21.0,8.0,60.0,32.0,28.0,39.0,12.0,26.0,16.0,5.0,10.0,29.0,57.0,30.0,24.0,19.0,35.0,51.0,9.0,22.0,31.0,55.0
