,hsa-miR-497,hsa-miR-222,hsa-miR-130a,hsa-miR-1261,hsa-miR-34a,hsa-miR-1302,hsa-miR-342-3p,hsa-miR-135b,hsa-let-7c,hsa-miR-96,hsa-miR-9,hsa-miR-99a,hsa-miR-218,hsa-miR-508-3p,hsa-miR-483-3p,hsa-miR-1252,hsa-miR-22,hsa-miR-1246,hsa-miR-129-3p,hsa-miR-1307,hsa-miR-30d,hsa-miR-553,hsa-miR-1257,hsa-miR-548p,hsa-miR-193a-5p,hsa-miR-450a,hsa-miR-214,hsa-miR-148b,hsa-miR-653,hsa-miR-582-5p
19,62.0,28.0,14.0,3.0,118.0,74.0,20.0,97.0,10.0,122.0,51.0,65.0,34.0,19.0,510.0,22.0,85.0,435.0,99.0,46.0,103.0,58.0,109.0,91.0,421.0,71.0,562.0,94.0,79.0,158.0
68,27.0,81.0,26.0,51.0,30.0,20.0,617.0,32.0,22.0,17.0,9.0,14.0,47.0,23.0,145.0,137.0,112.0,40.0,18.0,5.0,568.0,41.0,124.0,104.0,91.0,516.0,106.0,85.0,19.0,35.0
117,95.0,36.0,22.0,490.0,98.0,143.0,8.0,23.0,16.0,11.0,263.0,18.0,55.0,15.0,29.0,56.0,58.0,50.0,81.0,26.0,148.0,84.0,86.0,188.0,52.0,512.0,65.0,96.0,118.0,104.0
166,44.0,7.0,5.0,0.0,53.0,118.0,76.0,8.0,38.0,9.0,42.0,23.0,124.0,104.0,22.0,133.0,82.0,84.0,45.0,26.0,616.0,64.0,85.0,113.0,41.0,512.0,66.0,365.0,74.0,120.0
215,41.0,25.0,31.0,528.0,18.0,89.0,6.0,38.0,91.0,22.0,27.0,20.0,46.0,95.0,47.0,32.0,77.0,208.0,105.0,43.0,440.0,92.0,78.0,75.0,34.0,134.0,399.0,17.0,81.0,50.0
264,40.0,9.0,27.0,47.0,41.0,14.0,127.0,26.0,39.0,44.0,326.0,83.0,28.0,15.0,36.0,90.0,43.0,30.0,73.0,24.0,105.0,37.0,89.0,119.0,400.0,101.0,65.0,85.0,61.0,79.0
313,41.0,23.0,27.0,487.0,67.0,30.0,74.0,32.0,457.0,33.0,38.0,49.0,124.0,4.0,39.0,46.0,147.0,85.0,136.0,11.0,615.0,133.0,53.0,36.0,29.0,21.0,72.0,116.0,103.0,95.0
362,44.0,22.0,28.0,490.0,59.0,13.0,84.0,16.0,1.0,40.0,48.0,55.0,107.0,52.0,9.0,56.0,139.0,434.0,111.0,19.0,43.0,58.0,79.0,70.0,415.0,37.0,592.0,377.0,281.0,154.0
411,40.0,75.0,102.0,482.0,39.0,77.0,13.0,3.0,10.0,46.0,4.0,50.0,30.0,45.0,65.0,19.0,129.0,83.0,85.0,31.0,615.0,105.0,44.0,86.0,91.0,66.0,47.0,101.0,82.0,61.0
460,26.0,30.0,50.0,2.0,25.0,119.0,28.0,39.0,23.0,31.0,21.0,34.0,44.0,122.0,36.0,20.0,130.0,94.0,29.0,63.0,564.0,92.0,460.0,52.0,410.0,49.0,495.0,45.0,301.0,37.0
509,21.0,120.0,38.0,434.0,16.0,64.0,69.0,28.0,75.0,89.0,259.0,30.0,3.0,560.0,33.0,19.0,135.0,81.0,100.0,87.0,27.0,124.0,25.0,18.0,6.0,101.0,494.0,73.0,115.0,212.0
558,38.0,24.0,53.0,4.0,73.0,25.0,89.0,109.0,54.0,257.0,19.0,13.0,29.0,37.0,71.0,33.0,86.0,30.0,79.0,431.0,596.0,58.0,494.0,31.0,100.0,84.0,10.0,98.0,314.0,107.0
607,16.0,23.0,31.0,144.0,26.0,36.0,91.0,28.0,70.0,77.0,64.0,54.0,74.0,92.0,106.0,48.0,56.0,33.0,566.0,12.0,43.0,81.0,249.0,44.0,2.0,0.0,488.0,403.0,103.0,129.0
656,12.0,105.0,9.0,41.0,26.0,100.0,36.0,23.0,456.0,25.0,276.0,103.0,69.0,558.0,507.0,34.0,143.0,83.0,55.0,461.0,18.0,30.0,122.0,33.0,58.0,8.0,593.0,43.0,61.0,128.0
705,18.0,19.0,17.0,27.0,42.0,93.0,76.0,98.0,31.0,58.0,114.0,69.0,115.0,57.0,613.0,38.0,50.0,28.0,73.0,55.0,8.0,16.0,194.0,29.0,26.0,39.0,410.0,146.0,107.0,81.0
754,33.0,53.0,8.0,28.0,23.0,14.0,127.0,10.0,54.0,103.0,13.0,81.0,78.0,3.0,49.0,47.0,64.0,105.0,87.0,387.0,620.0,59.0,459.0,42.0,9.0,32.0,586.0,102.0,85.0,183.0
803,12.0,71.0,68.0,15.0,109.0,23.0,100.0,26.0,21.0,102.0,14.0,73.0,32.0,55.0,504.0,18.0,88.0,28.0,17.0,91.0,7.0,22.0,42.0,24.0,105.0,46.0,585.0,39.0,64.0,20.0
852,25.0,29.0,43.0,36.0,52.0,28.0,80.0,14.0,458.0,32.0,272.0,51.0,49.0,3.0,505.0,19.0,47.0,430.0,125.0,388.0,598.0,69.0,134.0,23.0,76.0,10.0,591.0,77.0,99.0,121.0
901,55.0,15.0,36.0,488.0,98.0,19.0,51.0,9.0,17.0,144.0,42.0,31.0,143.0,555.0,48.0,39.0,108.0,40.0,10.0,95.0,34.0,92.0,61.0,41.0,101.0,74.0,592.0,72.0,122.0,112.0
950,54.0,20.0,49.0,32.0,76.0,14.0,34.0,63.0,52.0,88.0,331.0,75.0,73.0,22.0,66.0,36.0,59.0,128.0,47.0,55.0,15.0,28.0,1.0,43.0,26.0,25.0,147.0,48.0,85.0,138.0
999,72.0,80.0,125.0,462.0,32.0,19.0,23.0,93.0,35.0,65.0,62.0,82.0,92.0,28.0,42.0,24.0,587.0,84.0,134.0,0.0,598.0,86.0,44.0,64.0,49.0,18.0,30.0,46.0,26.0,53.0
1048,10.0,6.0,51.0,16.0,22.0,30.0,62.0,54.0,123.0,61.0,295.0,9.0,95.0,24.0,77.0,44.0,108.0,56.0,469.0,82.0,615.0,14.0,102.0,120.0,408.0,118.0,36.0,66.0,345.0,39.0
1097,16.0,51.0,22.0,1.0,62.0,27.0,34.0,13.0,31.0,56.0,137.0,114.0,64.0,54.0,506.0,46.0,35.0,86.0,94.0,116.0,624.0,84.0,96.0,131.0,47.0,55.0,587.0,91.0,99.0,53.0
1146,86.0,30.0,46.0,27.0,38.0,22.0,15.0,26.0,459.0,65.0,255.0,342.0,58.0,92.0,39.0,33.0,150.0,6.0,466.0,47.0,627.0,79.0,61.0,89.0,87.0,82.0,29.0,369.0,72.0,124.0
1195,65.0,75.0,99.0,41.0,31.0,27.0,26.0,28.0,36.0,15.0,330.0,136.0,44.0,70.0,56.0,30.0,105.0,437.0,121.0,83.0,566.0,38.0,88.0,94.0,19.0,122.0,51.0,380.0,84.0,131.0
1244,18.0,22.0,81.0,35.0,10.0,42.0,607.0,99.0,456.0,98.0,276.0,132.0,46.0,529.0,103.0,72.0,12.0,16.0,65.0,119.0,615.0,0.0,54.0,30.0,55.0,91.0,15.0,100.0,334.0,111.0
