, TLR, Wnt, PI3K_only, H2O2, JAK-STAT, TNFa, TGFB, MAPK_PI3K, VEGF, MAPK_only, IL-1
35,0.0,1.0,6.0,5.0,4.0,2.0,3.0,7.0,8.0,10.0,9.0
84,0.0,7.0,8.0,3.0,4.0,2.0,1.0,10.0,5.0,6.0,9.0
133,0.0,2.0,3.0,1.0,6.0,4.0,8.0,7.0,5.0,9.0,10.0
182,0.0,6.0,3.0,2.0,5.0,4.0,1.0,7.0,8.0,9.0,10.0
231,0.0,3.0,2.0,1.0,4.0,5.0,6.0,7.0,8.0,10.0,9.0
280,0.0,6.0,2.0,1.0,3.0,5.0,4.0,10.0,7.0,9.0,8.0
329,0.0,1.0,4.0,3.0,8.0,2.0,7.0,9.0,5.0,10.0,6.0
378,0.0,6.0,5.0,1.0,4.0,3.0,2.0,9.0,8.0,10.0,7.0
427,1.0,3.0,4.0,0.0,7.0,2.0,5.0,9.0,6.0,10.0,8.0
476,1.0,2.0,5.0,6.0,7.0,0.0,4.0,8.0,3.0,9.0,10.0
525,2.0,1.0,0.0,3.0,6.0,7.0,4.0,5.0,9.0,8.0,10.0
574,1.0,0.0,2.0,3.0,4.0,7.0,5.0,6.0,8.0,10.0,9.0
623,4.0,0.0,1.0,3.0,5.0,7.0,8.0,6.0,2.0,10.0,9.0
672,2.0,1.0,0.0,3.0,4.0,8.0,9.0,5.0,6.0,7.0,10.0
721,1.0,0.0,2.0,5.0,3.0,7.0,9.0,8.0,4.0,6.0,10.0
770,0.0,2.0,1.0,4.0,6.0,7.0,9.0,8.0,5.0,3.0,10.0
819,0.0,1.0,4.0,3.0,2.0,8.0,10.0,7.0,5.0,6.0,9.0
868,4.0,1.0,0.0,2.0,3.0,8.0,9.0,5.0,6.0,7.0,10.0
917,1.0,4.0,0.0,2.0,3.0,6.0,9.0,8.0,5.0,7.0,10.0
966,0.0,2.0,3.0,5.0,1.0,9.0,7.0,8.0,4.0,6.0,10.0
1015,2.0,0.0,3.0,1.0,4.0,8.0,5.0,7.0,6.0,9.0,10.0
1064,1.0,0.0,7.0,2.0,3.0,6.0,4.0,8.0,5.0,9.0,10.0
1113,0.0,1.0,7.0,2.0,3.0,5.0,6.0,9.0,4.0,8.0,10.0
1162,0.0,1.0,2.0,3.0,4.0,9.0,5.0,7.0,6.0,8.0,10.0
1211,3.0,1.0,2.0,0.0,4.0,5.0,6.0,8.0,7.0,9.0,10.0
1260,2.0,1.0,4.0,0.0,3.0,7.0,5.0,6.0,8.0,9.0,10.0
1309,0.0,1.0,4.0,2.0,6.0,3.0,7.0,8.0,5.0,9.0,10.0
1358,1.0,0.0,3.0,2.0,7.0,4.0,8.0,6.0,5.0,10.0,9.0
1407,3.0,2.0,4.0,0.0,5.0,1.0,7.0,6.0,8.0,9.0,10.0
1456,3.0,2.0,1.0,0.0,8.0,4.0,6.0,5.0,7.0,10.0,9.0
1505,3.0,0.0,2.0,5.0,1.0,7.0,4.0,9.0,6.0,8.0,10.0
1554,1.0,0.0,4.0,6.0,3.0,2.0,5.0,9.0,7.0,8.0,10.0
1603,1.0,0.0,3.0,6.0,2.0,8.0,4.0,10.0,5.0,7.0,9.0
1652,2.0,0.0,4.0,3.0,1.0,7.0,10.0,5.0,6.0,9.0,8.0
1701,5.0,0.0,1.0,8.0,4.0,2.0,7.0,6.0,3.0,9.0,10.0
1750,2.0,0.0,1.0,5.0,3.0,4.0,7.0,9.0,6.0,8.0,10.0
1799,2.0,0.0,9.0,1.0,8.0,3.0,5.0,7.0,4.0,6.0,10.0
1848,1.0,0.0,2.0,4.0,6.0,3.0,9.0,7.0,5.0,8.0,10.0
1897,5.0,0.0,2.0,3.0,7.0,1.0,6.0,4.0,8.0,9.0,10.0
1946,1.0,0.0,3.0,4.0,9.0,2.0,5.0,8.0,6.0,7.0,10.0
1995,0.0,2.0,1.0,8.0,4.0,3.0,5.0,9.0,6.0,7.0,10.0
2044,0.0,3.0,1.0,5.0,2.0,7.0,8.0,10.0,4.0,6.0,9.0
2093,0.0,3.0,1.0,2.0,4.0,7.0,5.0,10.0,6.0,8.0,9.0
2142,0.0,3.0,1.0,2.0,5.0,6.0,4.0,7.0,8.0,9.0,10.0
2191,2.0,1.0,0.0,5.0,4.0,6.0,3.0,8.0,9.0,7.0,10.0
2240,0.0,2.0,1.0,3.0,6.0,10.0,5.0,9.0,4.0,8.0,7.0
2289,0.0,4.0,2.0,1.0,7.0,5.0,3.0,9.0,8.0,6.0,10.0
2338,1.0,2.0,0.0,4.0,3.0,6.0,5.0,10.0,7.0,9.0,8.0
2387,0.0,5.0,1.0,3.0,2.0,4.0,7.0,9.0,6.0,8.0,10.0
2436,0.0,2.0,1.0,5.0,3.0,6.0,4.0,9.0,7.0,8.0,10.0
2485,0.0,1.0,4.0,3.0,2.0,6.0,5.0,7.0,9.0,8.0,10.0
2534,1.0,0.0,4.0,2.0,7.0,9.0,3.0,6.0,5.0,8.0,10.0
2583,1.0,0.0,2.0,3.0,7.0,5.0,9.0,6.0,4.0,8.0,10.0
2632,2.0,0.0,5.0,1.0,3.0,6.0,9.0,4.0,8.0,7.0,10.0
2681,2.0,3.0,1.0,0.0,4.0,5.0,9.0,7.0,8.0,6.0,10.0
2730,4.0,1.0,3.0,0.0,2.0,5.0,8.0,7.0,6.0,10.0,9.0
2779,1.0,0.0,3.0,2.0,5.0,8.0,7.0,4.0,6.0,10.0,9.0
2828,3.0,1.0,2.0,0.0,5.0,7.0,6.0,8.0,4.0,10.0,9.0
2877,1.0,0.0,2.0,5.0,3.0,9.0,8.0,6.0,4.0,7.0,10.0
