,Src_pY527,MEK1_pS217_S221,Smad3,FRA1,Gab2,CDK1,p53,CD49b,Annexin 1,MIG-6,YB-1_pS102,PKC-pan_BetaII_pS660,Src,Bid,Bax,Transglutaminase,VAV1,Rb,Raptor,Smac,XBP1,Notch1,alpha-Catenin,E-Cadherin,Src_pY416,Cyclin_E1,4E-BP1_pT70,TIGAR,Rab25,NF2
1,2.0,1.0,4.0,11.0,16.0,12.0,3.0,29.0,8.0,0.0,31.0,7.0,10.0,20.0,6.0,14.0,24.0,9.0,76.0,22.0,17.0,46.0,60.0,49.0,28.0,54.0,25.0,44.0,40.0,21.0
50,2.0,5.0,1.0,3.0,7.0,6.0,0.0,11.0,12.0,30.0,29.0,23.0,4.0,16.0,9.0,38.0,45.0,54.0,31.0,49.0,13.0,8.0,120.0,50.0,21.0,36.0,25.0,32.0,35.0,10.0
99,2.0,0.0,3.0,14.0,11.0,4.0,1.0,17.0,26.0,27.0,15.0,8.0,30.0,9.0,7.0,6.0,35.0,22.0,28.0,44.0,31.0,16.0,45.0,43.0,29.0,25.0,19.0,40.0,18.0,23.0
148,0.0,2.0,1.0,10.0,11.0,8.0,4.0,16.0,5.0,17.0,19.0,7.0,12.0,20.0,18.0,9.0,14.0,26.0,30.0,39.0,32.0,3.0,64.0,103.0,25.0,43.0,13.0,21.0,24.0,91.0
197,2.0,3.0,1.0,11.0,8.0,17.0,0.0,12.0,13.0,10.0,22.0,5.0,15.0,25.0,4.0,9.0,20.0,21.0,36.0,41.0,14.0,18.0,19.0,59.0,27.0,38.0,31.0,54.0,23.0,43.0
246,2.0,1.0,0.0,10.0,3.0,11.0,5.0,82.0,13.0,6.0,14.0,17.0,12.0,8.0,9.0,15.0,24.0,18.0,61.0,27.0,7.0,20.0,22.0,60.0,71.0,66.0,25.0,32.0,4.0,28.0
295,0.0,1.0,2.0,9.0,7.0,16.0,4.0,14.0,36.0,3.0,29.0,5.0,6.0,55.0,13.0,28.0,17.0,10.0,27.0,47.0,11.0,37.0,22.0,19.0,89.0,67.0,35.0,20.0,30.0,24.0
344,3.0,17.0,0.0,5.0,2.0,13.0,1.0,31.0,9.0,12.0,7.0,10.0,8.0,22.0,15.0,14.0,11.0,6.0,19.0,18.0,4.0,16.0,33.0,43.0,26.0,36.0,35.0,41.0,48.0,34.0
393,0.0,1.0,2.0,4.0,17.0,14.0,7.0,67.0,11.0,9.0,25.0,5.0,6.0,15.0,10.0,62.0,32.0,12.0,41.0,37.0,13.0,8.0,40.0,38.0,26.0,16.0,20.0,35.0,46.0,39.0
442,1.0,2.0,3.0,28.0,12.0,10.0,0.0,13.0,5.0,4.0,21.0,11.0,23.0,16.0,6.0,7.0,43.0,31.0,17.0,33.0,15.0,9.0,62.0,36.0,18.0,72.0,26.0,38.0,45.0,8.0
491,0.0,4.0,18.0,1.0,22.0,9.0,33.0,65.0,20.0,10.0,11.0,16.0,2.0,15.0,8.0,17.0,21.0,13.0,3.0,19.0,14.0,47.0,6.0,38.0,5.0,41.0,30.0,23.0,37.0,27.0
540,0.0,1.0,34.0,7.0,19.0,9.0,12.0,54.0,22.0,6.0,49.0,21.0,15.0,10.0,11.0,8.0,16.0,2.0,56.0,14.0,23.0,20.0,18.0,4.0,5.0,50.0,13.0,28.0,43.0,17.0
589,0.0,1.0,9.0,2.0,7.0,27.0,13.0,26.0,6.0,21.0,24.0,11.0,5.0,15.0,43.0,46.0,35.0,4.0,20.0,40.0,38.0,31.0,25.0,16.0,51.0,29.0,3.0,36.0,17.0,14.0
638,0.0,13.0,43.0,6.0,3.0,26.0,5.0,20.0,15.0,39.0,8.0,2.0,18.0,14.0,25.0,17.0,27.0,4.0,24.0,30.0,19.0,21.0,9.0,23.0,1.0,11.0,31.0,35.0,41.0,16.0
687,0.0,1.0,27.0,2.0,8.0,22.0,32.0,44.0,21.0,26.0,17.0,20.0,3.0,15.0,29.0,41.0,31.0,5.0,14.0,9.0,25.0,33.0,7.0,10.0,4.0,51.0,11.0,42.0,38.0,13.0
736,0.0,4.0,33.0,1.0,12.0,24.0,29.0,55.0,16.0,6.0,5.0,30.0,20.0,14.0,3.0,38.0,11.0,15.0,2.0,42.0,19.0,22.0,10.0,7.0,57.0,39.0,17.0,28.0,36.0,13.0
785,3.0,2.0,37.0,0.0,6.0,32.0,10.0,63.0,19.0,34.0,5.0,9.0,29.0,4.0,13.0,45.0,40.0,12.0,1.0,22.0,58.0,20.0,14.0,24.0,17.0,8.0,28.0,33.0,27.0,38.0
834,4.0,0.0,29.0,3.0,12.0,16.0,26.0,41.0,18.0,35.0,14.0,22.0,11.0,8.0,21.0,28.0,13.0,1.0,5.0,27.0,23.0,39.0,2.0,7.0,6.0,42.0,9.0,25.0,53.0,17.0
883,0.0,8.0,14.0,2.0,3.0,12.0,11.0,49.0,10.0,19.0,1.0,16.0,6.0,15.0,58.0,33.0,26.0,22.0,17.0,18.0,20.0,13.0,4.0,9.0,7.0,37.0,23.0,32.0,51.0,5.0
932,0.0,5.0,3.0,4.0,19.0,2.0,33.0,39.0,16.0,22.0,15.0,21.0,1.0,14.0,72.0,46.0,10.0,9.0,11.0,45.0,31.0,18.0,13.0,28.0,6.0,12.0,27.0,23.0,20.0,24.0
981,1.0,6.0,0.0,15.0,2.0,9.0,14.0,39.0,4.0,16.0,11.0,8.0,3.0,12.0,23.0,24.0,5.0,10.0,26.0,13.0,7.0,33.0,20.0,45.0,22.0,17.0,34.0,35.0,21.0,36.0
1030,0.0,2.0,1.0,5.0,15.0,4.0,11.0,14.0,12.0,3.0,10.0,7.0,8.0,27.0,16.0,25.0,13.0,6.0,63.0,40.0,49.0,42.0,22.0,23.0,46.0,19.0,26.0,28.0,17.0,59.0
1079,0.0,2.0,1.0,4.0,12.0,20.0,3.0,36.0,8.0,29.0,5.0,17.0,10.0,11.0,19.0,14.0,7.0,21.0,6.0,32.0,34.0,15.0,13.0,18.0,65.0,9.0,22.0,50.0,31.0,78.0
1128,40.0,0.0,1.0,5.0,6.0,3.0,9.0,7.0,23.0,2.0,11.0,18.0,25.0,10.0,19.0,4.0,17.0,24.0,13.0,22.0,12.0,8.0,16.0,41.0,15.0,36.0,29.0,21.0,27.0,42.0
1177,0.0,2.0,13.0,9.0,1.0,4.0,10.0,3.0,12.0,34.0,17.0,7.0,20.0,19.0,23.0,14.0,18.0,41.0,5.0,6.0,22.0,44.0,15.0,55.0,25.0,8.0,48.0,24.0,52.0,84.0
1226,0.0,4.0,2.0,16.0,5.0,9.0,8.0,28.0,11.0,3.0,14.0,7.0,1.0,10.0,23.0,17.0,24.0,12.0,26.0,18.0,25.0,6.0,27.0,39.0,43.0,15.0,32.0,22.0,37.0,56.0
1275,0.0,4.0,6.0,9.0,16.0,5.0,36.0,8.0,20.0,12.0,3.0,10.0,7.0,56.0,17.0,2.0,11.0,14.0,15.0,44.0,1.0,19.0,74.0,26.0,52.0,31.0,50.0,22.0,40.0,23.0
1324,0.0,2.0,1.0,3.0,5.0,7.0,11.0,22.0,21.0,19.0,13.0,4.0,9.0,10.0,52.0,20.0,27.0,23.0,18.0,29.0,8.0,16.0,14.0,45.0,12.0,26.0,32.0,15.0,28.0,30.0
1373,2.0,0.0,1.0,5.0,3.0,4.0,8.0,18.0,11.0,10.0,23.0,6.0,13.0,7.0,27.0,9.0,12.0,19.0,21.0,22.0,20.0,15.0,14.0,54.0,34.0,16.0,25.0,29.0,26.0,42.0
1422,6.0,0.0,2.0,13.0,16.0,3.0,7.0,23.0,14.0,1.0,25.0,9.0,8.0,11.0,21.0,10.0,15.0,12.0,36.0,4.0,19.0,5.0,18.0,42.0,24.0,27.0,34.0,35.0,33.0,26.0
1471,17.0,28.0,1.0,7.0,2.0,14.0,79.0,27.0,12.0,5.0,20.0,9.0,8.0,4.0,25.0,0.0,6.0,22.0,52.0,3.0,13.0,29.0,24.0,16.0,15.0,109.0,39.0,10.0,11.0,34.0
1520,1.0,28.0,8.0,5.0,7.0,11.0,10.0,9.0,0.0,13.0,17.0,12.0,25.0,6.0,4.0,27.0,23.0,51.0,22.0,24.0,16.0,3.0,37.0,2.0,19.0,42.0,49.0,45.0,39.0,71.0
1569,1.0,8.0,10.0,11.0,2.0,0.0,21.0,19.0,3.0,4.0,5.0,13.0,16.0,7.0,18.0,26.0,6.0,15.0,22.0,25.0,12.0,31.0,36.0,20.0,17.0,53.0,45.0,9.0,51.0,40.0
1618,7.0,4.0,1.0,6.0,11.0,0.0,27.0,28.0,2.0,31.0,8.0,19.0,14.0,12.0,3.0,15.0,5.0,24.0,9.0,16.0,25.0,17.0,13.0,18.0,20.0,46.0,51.0,26.0,59.0,29.0
1667,1.0,13.0,3.0,9.0,2.0,0.0,18.0,14.0,5.0,11.0,29.0,28.0,17.0,10.0,24.0,6.0,8.0,25.0,4.0,19.0,7.0,27.0,23.0,16.0,12.0,79.0,37.0,15.0,63.0,22.0
