,Akt_pS473,CDK1,PRAS40_pT246,Heregulin,AR,c-Jun_pS73,MEK1_pS217_S221,HER3,Acetyl-a-Tubulin (Lys40),TIGAR,Src_pY416,TFRC,FRA1,PKC-pan_BetaII_pS660,Syk,JNK2,CD49b,YB-1_pS102,Lck,Rab25,Smad3,E-Cadherin,Bax,RBM15,Annexin 1,Src_pY527,4E-BP1_pS65,Tuberin_pT1462,Src,Annexin_VII
0,1.0,2.0,3.0,5.0,0.0,10.0,4.0,35.0,15.0,12.0,21.0,26.0,24.0,49.0,11.0,13.0,77.0,17.0,8.0,54.0,9.0,27.0,44.0,38.0,23.0,32.0,20.0,6.0,41.0,33.0
49,0.0,1.0,4.0,3.0,5.0,2.0,9.0,21.0,31.0,18.0,8.0,13.0,16.0,17.0,19.0,10.0,75.0,15.0,14.0,12.0,25.0,61.0,39.0,72.0,30.0,22.0,33.0,11.0,79.0,73.0
98,0.0,3.0,9.0,2.0,1.0,10.0,6.0,13.0,8.0,7.0,4.0,20.0,71.0,24.0,26.0,23.0,19.0,22.0,14.0,18.0,12.0,11.0,16.0,93.0,89.0,17.0,28.0,36.0,59.0,15.0
147,0.0,3.0,1.0,5.0,4.0,9.0,2.0,8.0,14.0,7.0,12.0,34.0,15.0,16.0,17.0,23.0,37.0,31.0,11.0,46.0,6.0,53.0,54.0,13.0,28.0,19.0,39.0,50.0,27.0,78.0
196,1.0,2.0,9.0,6.0,7.0,0.0,3.0,5.0,45.0,11.0,17.0,14.0,58.0,10.0,41.0,13.0,20.0,24.0,15.0,23.0,4.0,32.0,55.0,8.0,16.0,54.0,29.0,139.0,104.0,12.0
245,0.0,1.0,7.0,5.0,6.0,2.0,3.0,20.0,43.0,4.0,12.0,14.0,26.0,32.0,50.0,19.0,58.0,9.0,8.0,15.0,13.0,51.0,11.0,16.0,30.0,29.0,37.0,18.0,45.0,21.0
294,0.0,2.0,1.0,5.0,11.0,3.0,7.0,8.0,10.0,15.0,4.0,30.0,19.0,16.0,81.0,21.0,14.0,6.0,20.0,12.0,13.0,37.0,57.0,31.0,43.0,32.0,46.0,49.0,17.0,38.0
343,1.0,2.0,0.0,5.0,3.0,7.0,6.0,11.0,19.0,26.0,10.0,97.0,48.0,16.0,32.0,21.0,8.0,14.0,53.0,25.0,4.0,55.0,28.0,33.0,59.0,23.0,40.0,41.0,20.0,13.0
392,0.0,2.0,6.0,1.0,4.0,5.0,3.0,7.0,25.0,64.0,14.0,98.0,41.0,13.0,16.0,24.0,73.0,11.0,15.0,21.0,8.0,10.0,58.0,19.0,45.0,12.0,111.0,75.0,32.0,22.0
441,0.0,1.0,2.0,24.0,18.0,6.0,3.0,15.0,43.0,72.0,26.0,46.0,7.0,17.0,37.0,59.0,19.0,12.0,90.0,14.0,5.0,22.0,33.0,4.0,9.0,29.0,13.0,42.0,23.0,94.0
