,OR51A2_DEL,NAALADL2_DEL,FLNA_MUT,LARGE_DEL,SIGLEC14_DEL,KRT16P2_AMP,DPP6_DEL,HLA-DRB6_AMP,HLA-DRB1_AMP,SIRPB1_AMP,KIAA0125_AMP,MECOM_AMP,SNTG1_DEL,NRXN1_DEL,GSTTP2_AMP,TTTY22_DEL,DEFA3_AMP,UPK3B_AMP,HERC2P2_AMP,AMY2A_DEL,FAM66A_DEL,ADAM6_AMP,TNRC6B_MUT,PAX5_DEL,ARHGEF5_AMP,GSTTP2_DEL,MYEOV_AMP,RNF103-CHMP3_DEL,RMND5A_DEL,TRIM64B_DEL
29,1.0,10.0,35.0,3.0,103.0,13.0,2.0,9.0,8.0,4.0,5.0,17.0,27.0,15.0,7.0,40.0,63.0,96.0,0.0,12.0,19.0,14.0,37.0,16.0,206.0,289.0,31.0,42.0,43.0,47.0
78,1.0,295.0,7.0,13.0,2.0,5.0,0.0,3.0,23.0,4.0,19.0,37.0,35.0,6.0,20.0,60.0,44.0,12.0,38.0,11.0,382.0,42.0,39.0,50.0,109.0,21.0,472.0,26.0,25.0,59.0
127,13.0,31.0,32.0,22.0,0.0,2.0,3.0,5.0,1.0,15.0,30.0,250.0,23.0,27.0,28.0,6.0,143.0,35.0,14.0,16.0,19.0,50.0,4.0,8.0,650.0,9.0,17.0,25.0,24.0,34.0
176,0.0,1.0,45.0,4.0,22.0,11.0,5.0,6.0,9.0,24.0,44.0,27.0,23.0,15.0,51.0,121.0,31.0,28.0,2.0,10.0,8.0,41.0,40.0,71.0,37.0,3.0,19.0,56.0,57.0,119.0
225,57.0,0.0,5.0,2.0,3.0,11.0,1.0,19.0,20.0,33.0,298.0,15.0,14.0,63.0,142.0,628.0,51.0,23.0,4.0,22.0,16.0,658.0,12.0,70.0,83.0,89.0,34.0,7.0,8.0,31.0
274,2.0,33.0,24.0,14.0,22.0,32.0,1.0,5.0,15.0,8.0,27.0,13.0,11.0,19.0,9.0,84.0,58.0,3.0,0.0,71.0,512.0,39.0,20.0,115.0,400.0,80.0,21.0,16.0,17.0,74.0
323,7.0,38.0,50.0,4.0,0.0,20.0,5.0,1.0,2.0,9.0,15.0,19.0,65.0,13.0,21.0,32.0,44.0,27.0,3.0,6.0,28.0,30.0,35.0,29.0,31.0,48.0,41.0,18.0,17.0,89.0
372,7.0,8.0,11.0,3.0,48.0,304.0,6.0,14.0,33.0,5.0,16.0,24.0,3046.0,446.0,239.0,72.0,38.0,32.0,0.0,12.0,4.0,26.0,17.0,19.0,15.0,42.0,22.0,289.0,290.0,44.0
421,1.0,36.0,15.0,0.0,7.0,4.0,2.0,6.0,10.0,3.0,30.0,33.0,665.0,21.0,47.0,71.0,88.0,185.0,5.0,8.0,14.0,49.0,37.0,17.0,35.0,29.0,27.0,19.0,20.0,209.0
470,16.0,12.0,40.0,2.0,6.0,5.0,1.0,4.0,3.0,123.0,122.0,13.0,268.0,132.0,14.0,95.0,19.0,43.0,0.0,46.0,104.0,204.0,27.0,93.0,23.0,49.0,21.0,419.0,420.0,79.0
