,guanosine,2-deoxycytidine,inosine,glutamine,uridine,inositol,GABA,C18:0 LPC,C22:6 LPE,pantothenate,C16:0 LPE,pyroglutamic acid,butyrylcarnitine/isobutyrylcarnitine,leucine,serine,cystathionine,valerylcarnitine,C22:6 LPC,hypoxanthine,creatine,C34:4 PC,sarcosine,3-phosphoglycerate,PEP,C36:1 DAG,N-carbamoyl-beta-alanine,C22:6 CE,niacinamide,taurodeoxycholate,palmitoylcarnitine
21,2.0,3.0,5.0,6.0,1.0,7.0,19.0,11.0,0.0,50.0,8.0,4.0,59.0,10.0,23.0,63.0,39.0,12.0,9.0,27.0,17.0,35.0,15.0,29.0,34.0,26.0,33.0,20.0,16.0,14.0
70,1.0,0.0,7.0,2.0,14.0,9.0,10.0,33.0,18.0,3.0,4.0,6.0,20.0,21.0,29.0,46.0,56.0,52.0,5.0,24.0,42.0,13.0,8.0,23.0,16.0,12.0,27.0,34.0,15.0,19.0
119,1.0,0.0,12.0,4.0,14.0,3.0,7.0,6.0,24.0,16.0,8.0,2.0,28.0,19.0,32.0,38.0,29.0,64.0,13.0,9.0,20.0,27.0,10.0,37.0,42.0,56.0,23.0,25.0,18.0,30.0
168,1.0,0.0,10.0,2.0,4.0,9.0,20.0,5.0,22.0,3.0,43.0,7.0,11.0,46.0,18.0,60.0,52.0,21.0,31.0,6.0,30.0,25.0,50.0,42.0,27.0,14.0,16.0,17.0,23.0,15.0
217,1.0,0.0,6.0,3.0,15.0,12.0,11.0,5.0,16.0,2.0,7.0,8.0,14.0,10.0,31.0,18.0,22.0,25.0,4.0,43.0,37.0,20.0,45.0,53.0,17.0,52.0,38.0,33.0,9.0,46.0
266,1.0,0.0,2.0,22.0,13.0,5.0,4.0,14.0,6.0,34.0,8.0,3.0,24.0,20.0,23.0,27.0,41.0,37.0,7.0,16.0,21.0,11.0,61.0,33.0,9.0,25.0,28.0,29.0,10.0,12.0
315,0.0,1.0,15.0,9.0,6.0,10.0,20.0,13.0,5.0,3.0,4.0,2.0,17.0,18.0,7.0,36.0,28.0,57.0,27.0,44.0,12.0,22.0,58.0,19.0,35.0,23.0,8.0,16.0,47.0,11.0
364,0.0,1.0,13.0,2.0,3.0,19.0,23.0,4.0,20.0,5.0,22.0,7.0,31.0,10.0,17.0,33.0,53.0,29.0,28.0,6.0,15.0,8.0,54.0,24.0,14.0,57.0,45.0,25.0,56.0,26.0
413,1.0,0.0,2.0,4.0,46.0,18.0,6.0,10.0,7.0,5.0,9.0,3.0,12.0,20.0,44.0,47.0,16.0,22.0,17.0,21.0,24.0,26.0,49.0,25.0,51.0,8.0,64.0,45.0,36.0,39.0
462,0.0,1.0,9.0,15.0,13.0,10.0,26.0,8.0,52.0,2.0,3.0,4.0,5.0,24.0,21.0,61.0,12.0,22.0,7.0,6.0,30.0,57.0,55.0,44.0,11.0,19.0,33.0,54.0,46.0,34.0
