,hsa-miR-205,hsa-miR-548a-3p,hsa-miR-223,hsa-miR-744,hsa-miR-934,hsa-miR-30c,hsa-miR-148a,hsa-miR-196b,hsa-miR-155,hsa-miR-135b,hsa-miR-921,hsa-miR-31,hsa-miR-578,hsa-miR-662,hsa-miR-450b-3p,hsa-miR-548b-5p,hsa-miR-1233,hsa-miR-219-2-3p,hsa-miR-609,hsa-miR-770-5p,hsa-miR-222,kshv-miR-K12-7,hsa-miR-891a,hsa-miR-34a,hsa-miR-603,hsa-miR-628-5p,hsa-miR-220b,hsa-miR-323-5p,hsa-miR-210,hsa-miR-34c-5p
17,0.0,2.0,3.0,4.0,8.0,17.0,1.0,5.0,20.0,12.0,7.0,15.0,34.0,23.0,19.0,45.0,33.0,24.0,9.0,6.0,70.0,29.0,85.0,25.0,10.0,39.0,68.0,64.0,11.0,21.0
66,0.0,1.0,4.0,3.0,6.0,10.0,5.0,2.0,11.0,24.0,51.0,22.0,21.0,20.0,31.0,34.0,8.0,14.0,13.0,9.0,42.0,17.0,23.0,30.0,40.0,15.0,33.0,25.0,18.0,12.0
115,1.0,5.0,11.0,0.0,3.0,7.0,4.0,2.0,25.0,13.0,10.0,38.0,31.0,6.0,44.0,24.0,22.0,16.0,48.0,9.0,72.0,23.0,26.0,439.0,20.0,33.0,45.0,42.0,12.0,82.0
164,0.0,3.0,5.0,4.0,9.0,22.0,1.0,2.0,12.0,15.0,42.0,20.0,7.0,8.0,21.0,31.0,23.0,14.0,38.0,25.0,28.0,34.0,50.0,100.0,10.0,16.0,54.0,35.0,6.0,19.0
213,0.0,1.0,8.0,3.0,18.0,12.0,4.0,2.0,7.0,14.0,42.0,13.0,6.0,20.0,27.0,44.0,17.0,36.0,25.0,11.0,79.0,40.0,43.0,87.0,252.0,22.0,81.0,54.0,5.0,35.0
262,1.0,3.0,7.0,0.0,6.0,12.0,5.0,4.0,10.0,11.0,32.0,33.0,36.0,8.0,19.0,30.0,39.0,17.0,2.0,13.0,66.0,64.0,34.0,71.0,27.0,43.0,56.0,65.0,9.0,26.0
311,0.0,6.0,4.0,1.0,10.0,17.0,2.0,3.0,9.0,5.0,29.0,13.0,27.0,39.0,11.0,33.0,25.0,20.0,14.0,12.0,48.0,22.0,60.0,8.0,26.0,61.0,56.0,28.0,7.0,38.0
360,0.0,4.0,16.0,2.0,3.0,31.0,5.0,1.0,9.0,19.0,10.0,7.0,18.0,6.0,13.0,24.0,25.0,20.0,12.0,29.0,39.0,28.0,83.0,90.0,8.0,36.0,49.0,88.0,11.0,17.0
409,0.0,4.0,5.0,3.0,2.0,7.0,1.0,6.0,8.0,48.0,252.0,28.0,24.0,45.0,17.0,19.0,9.0,36.0,46.0,12.0,14.0,23.0,54.0,10.0,25.0,40.0,42.0,44.0,13.0,11.0
458,0.0,7.0,6.0,1.0,11.0,13.0,2.0,3.0,9.0,4.0,70.0,12.0,76.0,17.0,52.0,135.0,20.0,21.0,33.0,8.0,45.0,26.0,32.0,438.0,47.0,31.0,65.0,15.0,10.0,18.0
507,0.0,2.0,3.0,1.0,4.0,20.0,5.0,37.0,6.0,16.0,24.0,38.0,31.0,12.0,11.0,17.0,29.0,40.0,88.0,14.0,22.0,13.0,58.0,55.0,71.0,10.0,18.0,50.0,35.0,7.0
556,0.0,1.0,6.0,2.0,4.0,7.0,3.0,26.0,11.0,20.0,9.0,45.0,27.0,8.0,5.0,19.0,14.0,31.0,77.0,51.0,43.0,58.0,52.0,21.0,61.0,17.0,12.0,47.0,15.0,24.0
605,0.0,1.0,6.0,2.0,13.0,7.0,17.0,31.0,5.0,51.0,20.0,77.0,10.0,4.0,3.0,36.0,34.0,33.0,15.0,24.0,28.0,18.0,64.0,68.0,94.0,12.0,50.0,85.0,80.0,21.0
654,0.0,1.0,2.0,3.0,6.0,5.0,10.0,58.0,7.0,43.0,4.0,106.0,38.0,31.0,12.0,66.0,48.0,72.0,42.0,27.0,49.0,25.0,40.0,13.0,33.0,11.0,8.0,55.0,71.0,15.0
703,0.0,4.0,5.0,1.0,2.0,6.0,22.0,41.0,16.0,34.0,7.0,59.0,23.0,39.0,3.0,13.0,67.0,43.0,60.0,15.0,10.0,37.0,61.0,20.0,57.0,12.0,26.0,52.0,68.0,8.0
752,0.0,1.0,4.0,2.0,8.0,5.0,3.0,34.0,9.0,40.0,14.0,43.0,15.0,22.0,7.0,30.0,45.0,27.0,33.0,16.0,59.0,50.0,70.0,28.0,29.0,42.0,17.0,81.0,67.0,57.0
801,0.0,5.0,3.0,1.0,8.0,9.0,13.0,10.0,15.0,7.0,16.0,46.0,11.0,25.0,2.0,28.0,55.0,39.0,62.0,111.0,6.0,30.0,49.0,18.0,40.0,31.0,23.0,51.0,96.0,4.0
850,0.0,2.0,4.0,1.0,9.0,5.0,16.0,6.0,8.0,23.0,39.0,31.0,21.0,18.0,3.0,27.0,12.0,29.0,70.0,7.0,20.0,43.0,63.0,17.0,35.0,22.0,10.0,59.0,57.0,13.0
899,0.0,3.0,8.0,1.0,11.0,6.0,10.0,4.0,45.0,12.0,5.0,23.0,32.0,13.0,2.0,28.0,56.0,54.0,92.0,66.0,482.0,17.0,44.0,47.0,18.0,41.0,25.0,40.0,72.0,22.0
948,0.0,1.0,6.0,2.0,3.0,15.0,8.0,5.0,16.0,19.0,13.0,36.0,9.0,12.0,7.0,17.0,64.0,31.0,32.0,35.0,11.0,27.0,29.0,422.0,267.0,10.0,77.0,74.0,51.0,14.0
997,1.0,0.0,3.0,2.0,5.0,6.0,4.0,8.0,12.0,15.0,17.0,13.0,14.0,75.0,11.0,7.0,9.0,58.0,10.0,67.0,18.0,32.0,59.0,31.0,43.0,38.0,57.0,48.0,82.0,97.0
1046,1.0,0.0,4.0,2.0,6.0,3.0,7.0,37.0,17.0,14.0,50.0,22.0,15.0,31.0,26.0,12.0,38.0,19.0,18.0,20.0,16.0,45.0,23.0,5.0,36.0,60.0,32.0,9.0,89.0,27.0
1095,1.0,0.0,3.0,4.0,5.0,6.0,2.0,32.0,11.0,23.0,24.0,14.0,7.0,30.0,17.0,22.0,8.0,15.0,28.0,84.0,51.0,25.0,44.0,10.0,13.0,45.0,36.0,12.0,46.0,16.0
1144,1.0,0.0,3.0,2.0,9.0,8.0,4.0,6.0,13.0,20.0,11.0,25.0,5.0,19.0,7.0,10.0,75.0,53.0,80.0,66.0,12.0,17.0,61.0,16.0,42.0,28.0,57.0,14.0,33.0,67.0
1193,1.0,0.0,2.0,3.0,8.0,4.0,16.0,35.0,33.0,26.0,89.0,25.0,5.0,50.0,11.0,37.0,13.0,15.0,9.0,30.0,44.0,14.0,22.0,12.0,51.0,24.0,6.0,27.0,40.0,21.0
1242,1.0,0.0,3.0,2.0,8.0,16.0,13.0,17.0,35.0,45.0,9.0,56.0,5.0,7.0,4.0,6.0,10.0,34.0,18.0,287.0,41.0,12.0,26.0,74.0,37.0,261.0,20.0,11.0,52.0,72.0
1291,0.0,2.0,3.0,1.0,8.0,5.0,10.0,38.0,4.0,22.0,9.0,19.0,13.0,12.0,36.0,23.0,17.0,18.0,11.0,73.0,28.0,6.0,21.0,83.0,51.0,264.0,41.0,32.0,25.0,39.0
1340,1.0,0.0,2.0,3.0,5.0,7.0,14.0,9.0,22.0,18.0,24.0,23.0,46.0,21.0,19.0,10.0,8.0,35.0,16.0,37.0,15.0,25.0,30.0,4.0,26.0,20.0,42.0,12.0,39.0,51.0
1389,1.0,0.0,17.0,2.0,5.0,8.0,3.0,20.0,13.0,32.0,15.0,27.0,6.0,7.0,18.0,9.0,10.0,26.0,12.0,52.0,11.0,22.0,58.0,23.0,76.0,25.0,65.0,33.0,87.0,45.0
1438,0.0,1.0,6.0,2.0,3.0,5.0,11.0,23.0,51.0,10.0,7.0,35.0,4.0,13.0,44.0,29.0,20.0,25.0,37.0,41.0,17.0,9.0,28.0,14.0,42.0,31.0,75.0,22.0,33.0,480.0
1487,0.0,2.0,5.0,4.0,1.0,10.0,8.0,7.0,15.0,6.0,11.0,35.0,14.0,16.0,34.0,9.0,83.0,29.0,18.0,21.0,65.0,63.0,41.0,66.0,3.0,80.0,48.0,13.0,61.0,12.0
1536,0.0,9.0,1.0,5.0,2.0,7.0,19.0,6.0,18.0,3.0,28.0,33.0,8.0,17.0,48.0,12.0,10.0,21.0,36.0,13.0,27.0,32.0,30.0,98.0,4.0,50.0,14.0,22.0,31.0,34.0
1585,0.0,4.0,7.0,6.0,2.0,3.0,8.0,30.0,5.0,1.0,54.0,22.0,9.0,70.0,26.0,11.0,14.0,18.0,34.0,28.0,16.0,90.0,15.0,500.0,10.0,31.0,40.0,79.0,50.0,65.0
