,ABCA12,ENPP1,DSG2,RP11-902B17.1,TSTD1,ELF3,NRSN2,IL18,PRSS16,DAPP1,GALNT3,TUBA1A,STXBP2,PCDHGC3,EVPL,DDR2,ALS2CL,COPS8,DLG4,PCDH9,SPARC,IL1RN,SLFN13,RP11-44F14.2,TNFAIP8,AC002128.5,ARMCX1,MCOLN1,CNRIP1,ANO9
11,0.0,5.0,2.0,1.0,11.0,4.0,7.0,6.0,12.0,14.0,3.0,9.0,28.0,27.0,10.0,29.0,34.0,40.0,23.0,17.0,20.0,43.0,38.0,21.0,21990.0,25.0,16.0,49.0,17113.0,22.0
60,0.0,1.0,4.0,7.0,5.0,13.0,12.0,35.0,10.0,8.0,15.0,14.0,6.0,18.0,22.0,24.0,40.0,23.0,1238.0,2.0,54.0,32.0,21.0,44.0,50.0,45.0,69.0,19.0,17129.0,99.0
109,2.0,1.0,4.0,6.0,13.0,8.0,12.0,5.0,7.0,15.0,3.0,97.0,22.0,10.0,282.0,20.0,27.0,19.0,421.0,1677.0,66.0,102.0,11.0,14.0,37.0,55.0,40.0,17.0,616.0,0.0
158,1.0,10.0,5.0,6.0,2.0,14.0,13.0,16.0,9.0,4.0,0.0,12.0,21.0,22.0,48.0,43.0,23.0,3.0,1220.0,8.0,19.0,31.0,36.0,35.0,29.0,92.0,37.0,24.0,17140.0,76.0
207,0.0,22.0,3.0,2.0,6.0,7.0,4.0,24.0,15.0,1.0,5.0,9.0,75.0,11.0,26.0,36.0,19.0,27.0,756.0,21.0,95.0,12.0,16.0,34.0,50.0,90.0,84.0,10.0,17119.0,47.0
256,0.0,4.0,8.0,2.0,25.0,7.0,5.0,22.0,47.0,9.0,10.0,12.0,18.0,19.0,1854.0,33.0,3.0,32.0,34.0,27.0,11.0,62.0,16.0,38.0,49.0,105.0,106.0,26.0,17159.0,17.0
305,1.0,11.0,4.0,3.0,20.0,7.0,9.0,2.0,8.0,13.0,0.0,5.0,38.0,43.0,249.0,17546.0,27.0,15.0,674.0,19.0,46.0,31.0,1709.0,12.0,44.0,35.0,68.0,22.0,63.0,10.0
354,0.0,6.0,2.0,8.0,18.0,1.0,10.0,22.0,7.0,9.0,3.0,75.0,15.0,5.0,39.0,46.0,28.0,4.0,43.0,20.0,36.0,29.0,64.0,16.0,68.0,70.0,48.0,19.0,17093.0,13.0
403,6.0,0.0,12.0,5.0,8.0,4.0,7.0,2.0,14.0,3.0,13133.0,11.0,17.0,9.0,21.0,10.0,24.0,25.0,413.0,22.0,45.0,58.0,143.0,29.0,30.0,26.0,16.0,33.0,39.0,1.0
452,0.0,72.0,1.0,2.0,3.0,8.0,6.0,15.0,4.0,13.0,7.0,74.0,14.0,28.0,85.0,17440.0,11.0,10.0,69.0,34.0,57.0,25.0,40.0,22.0,47.0,53.0,64.0,17.0,17144.0,61.0
