,CORO2A,AKR1E2,TSTD1,OCIAD2,SLFN13,RP11-2B6.3,LXN,ZBED6CL,RP11-390F4.3,C1orf186,PLAGL1,RAB3D,S100A2,FZD6,RP11-330L19.1,ADRB2,LAMB3,ZDHHC12,CCDC120,XDH,ANKS6,SYTL1,ZNF185,APOL1,PTPN3,RIN2,GALNT14,GPX3,ZNF876P,PRSS16
8,0.0,3.0,29.0,13.0,7.0,6.0,10.0,4.0,64.0,24.0,26.0,1.0,25.0,27.0,17.0,8.0,37.0,31.0,33.0,129.0,21.0,9.0,143.0,28.0,20.0,42.0,2.0,12.0,40.0,70.0
57,0.0,2.0,3.0,102.0,5.0,17.0,1.0,51.0,139.0,37.0,91.0,4.0,30.0,81.0,111.0,188.0,22.0,42.0,52.0,39.0,40.0,27.0,11.0,9.0,33.0,7.0,13.0,29.0,19.0,70.0
106,0.0,29.0,3.0,19.0,1.0,15.0,64.0,22.0,31.0,46.0,60.0,6.0,76.0,50.0,10.0,2.0,11.0,14.0,18.0,191.0,5.0,4.0,111.0,13.0,23.0,24.0,42.0,37.0,7.0,58.0
155,0.0,20.0,2.0,27.0,3.0,31.0,41.0,33.0,43.0,9.0,1.0,8.0,6.0,10.0,152.0,4.0,34.0,25.0,15.0,45.0,24.0,22.0,127.0,19.0,32.0,96.0,14.0,38.0,5.0,30.0
204,0.0,6.0,57.0,9.0,10.0,60.0,8.0,46.0,809.0,4.0,51.0,1.0,36.0,5.0,16.0,32.0,24.0,55.0,72.0,52.0,17.0,40.0,85.0,7.0,13.0,82.0,2.0,270.0,22.0,78.0
253,0.0,1.0,15.0,3.0,2.0,4.0,75.0,35.0,16.0,33.0,34.0,28.0,102.0,18.0,150.0,7.0,74.0,27.0,13.0,55.0,40.0,21.0,217.0,47.0,17.0,160.0,42.0,37.0,5.0,41.0
302,0.0,1.0,11.0,7.0,5.0,19.0,14.0,28.0,18.0,25.0,53.0,12.0,3.0,16.0,579.0,2.0,9.0,45.0,69.0,13.0,17.0,15.0,157.0,75.0,48.0,547.0,8.0,115.0,4.0,50.0
351,0.0,14.0,17.0,39.0,7.0,18.0,12.0,8.0,51.0,15.0,6.0,2.0,33.0,202.0,25.0,9.0,1.0,5.0,59.0,19.0,11.0,32.0,28.0,24.0,13.0,43.0,4.0,71.0,27.0,23.0
400,0.0,46.0,1.0,5.0,7.0,15.0,22.0,4.0,122.0,28.0,2299.0,42.0,18.0,90.0,54.0,66.0,13.0,14.0,81.0,19.0,37.0,6.0,9.0,12.0,29.0,25.0,17.0,113.0,49.0,47.0
449,0.0,3.0,1.0,12.0,15.0,11.0,174.0,5.0,37.0,10.0,63.0,7.0,26.0,44.0,21.0,16.0,2.0,19.0,18.0,77.0,30.0,27.0,126.0,25.0,20.0,232.0,75.0,74.0,46.0,17.0
