,P-Cadherin,EGFR,Shc_pY317,RSK1-2-3,VAV1,G6PD,Caveolin-1,C-Raf_pS338,ADAR1,Bcl-2,EGFR_pY1068,Rab25,VHL,Annexin_VII,Annexin 1,E-Cadherin,4E-BP1,SHP-2_pY542,Heregulin,Gab2,FOXO3a,Bim(EP1036),HER2,HER2_pY1248,Bad_pS112,CD31,PKC-alpha,RAD51,AMPK_pT172,Src_pY416
3,0.0,2.0,1.0,21.0,3.0,4.0,10.0,7.0,9.0,5.0,8.0,17.0,11.0,6.0,15.0,14.0,20.0,25.0,12.0,27.0,128.0,16.0,31.0,23.0,95.0,97.0,22.0,28.0,19.0,66.0
52,0.0,1.0,5.0,4.0,2.0,7.0,6.0,10.0,23.0,3.0,8.0,19.0,16.0,25.0,24.0,18.0,11.0,17.0,9.0,31.0,26.0,12.0,20.0,21.0,28.0,14.0,15.0,72.0,13.0,22.0
101,0.0,1.0,7.0,3.0,2.0,6.0,4.0,8.0,22.0,5.0,9.0,17.0,18.0,16.0,11.0,12.0,10.0,39.0,19.0,14.0,21.0,13.0,24.0,20.0,105.0,34.0,30.0,80.0,33.0,71.0
150,0.0,1.0,2.0,7.0,4.0,8.0,3.0,11.0,10.0,5.0,13.0,16.0,12.0,14.0,32.0,19.0,20.0,24.0,6.0,31.0,9.0,23.0,114.0,126.0,25.0,88.0,17.0,29.0,15.0,30.0
199,0.0,1.0,4.0,5.0,2.0,11.0,3.0,16.0,8.0,6.0,10.0,15.0,22.0,23.0,18.0,9.0,13.0,21.0,7.0,26.0,14.0,12.0,27.0,28.0,98.0,86.0,19.0,66.0,102.0,25.0
248,0.0,1.0,2.0,5.0,3.0,4.0,9.0,13.0,14.0,12.0,6.0,25.0,11.0,28.0,16.0,15.0,7.0,10.0,8.0,17.0,29.0,20.0,112.0,27.0,99.0,22.0,18.0,71.0,23.0,24.0
297,0.0,1.0,2.0,5.0,7.0,10.0,3.0,21.0,6.0,8.0,11.0,12.0,9.0,16.0,104.0,15.0,4.0,68.0,14.0,124.0,128.0,17.0,119.0,118.0,100.0,32.0,24.0,72.0,28.0,29.0
346,0.0,1.0,9.0,12.0,4.0,3.0,2.0,90.0,13.0,5.0,10.0,75.0,30.0,6.0,28.0,8.0,7.0,21.0,11.0,20.0,18.0,29.0,19.0,26.0,101.0,89.0,14.0,74.0,24.0,65.0
395,1.0,0.0,3.0,4.0,5.0,18.0,6.0,7.0,13.0,2.0,15.0,8.0,11.0,12.0,122.0,10.0,14.0,21.0,9.0,20.0,121.0,19.0,27.0,111.0,83.0,26.0,22.0,72.0,30.0,28.0
444,1.0,0.0,6.0,3.0,2.0,5.0,11.0,12.0,36.0,4.0,9.0,23.0,24.0,17.0,13.0,21.0,10.0,14.0,16.0,15.0,7.0,29.0,117.0,31.0,27.0,33.0,22.0,32.0,18.0,64.0
493,0.0,1.0,6.0,9.0,3.0,16.0,2.0,10.0,18.0,14.0,4.0,7.0,17.0,5.0,107.0,129.0,11.0,15.0,12.0,13.0,25.0,22.0,21.0,19.0,20.0,23.0,82.0,8.0,31.0,33.0
