,Shc_pY317,P-Cadherin,Rab25,E-Cadherin,Akt,Syk,EGFR_pY1068,VHL,RSK1-2-3,Lck,EGFR,ADAR1,C-Raf(MP05-739),HER3,PRAS40_pT246,Claudin-7,4E-BP1_pS65,p21,Bim(EP1036),C-Raf(BD610151),HER2_pY1248,Annexin_VII,PAI-1,AR,Rictor_pT1135,VAV1,S6_pS235_S236,alpha-Catenin,N-Cadherin,SHP-2_pY542
0,1.0,3.0,0.0,2.0,5.0,4.0,26.0,8.0,20.0,19.0,31.0,6.0,63.0,18.0,15.0,7.0,14.0,10.0,24.0,33.0,25.0,11.0,16.0,32.0,22.0,12.0,13.0,9.0,28.0,50.0
49,0.0,1.0,2.0,12.0,3.0,17.0,7.0,8.0,15.0,40.0,11.0,25.0,38.0,23.0,9.0,14.0,20.0,6.0,4.0,22.0,13.0,19.0,59.0,118.0,5.0,10.0,18.0,27.0,43.0,21.0
98,7.0,3.0,0.0,1.0,4.0,2.0,12.0,5.0,9.0,26.0,13.0,8.0,120.0,37.0,25.0,11.0,45.0,15.0,6.0,28.0,56.0,86.0,10.0,30.0,29.0,27.0,16.0,39.0,14.0,58.0
147,2.0,1.0,0.0,10.0,3.0,4.0,7.0,5.0,41.0,8.0,11.0,12.0,43.0,14.0,107.0,15.0,17.0,6.0,13.0,67.0,60.0,28.0,61.0,27.0,32.0,16.0,26.0,20.0,52.0,34.0
196,2.0,3.0,5.0,1.0,0.0,6.0,14.0,8.0,21.0,20.0,4.0,9.0,47.0,15.0,17.0,18.0,16.0,10.0,39.0,28.0,145.0,41.0,24.0,74.0,12.0,11.0,13.0,7.0,35.0,19.0
245,1.0,0.0,3.0,6.0,11.0,2.0,10.0,5.0,9.0,14.0,7.0,17.0,45.0,26.0,28.0,21.0,16.0,13.0,30.0,18.0,12.0,36.0,43.0,33.0,57.0,8.0,4.0,34.0,32.0,98.0
294,2.0,0.0,3.0,4.0,7.0,1.0,16.0,8.0,9.0,13.0,10.0,15.0,22.0,5.0,17.0,12.0,43.0,6.0,19.0,14.0,30.0,21.0,50.0,28.0,24.0,70.0,60.0,11.0,26.0,91.0
343,1.0,0.0,6.0,3.0,4.0,8.0,10.0,2.0,19.0,16.0,11.0,34.0,32.0,13.0,18.0,7.0,58.0,5.0,15.0,21.0,20.0,17.0,75.0,93.0,26.0,45.0,24.0,9.0,25.0,29.0
392,2.0,0.0,3.0,5.0,9.0,1.0,19.0,4.0,6.0,10.0,14.0,13.0,11.0,26.0,23.0,12.0,20.0,21.0,17.0,33.0,18.0,15.0,32.0,88.0,16.0,7.0,8.0,25.0,38.0,94.0
441,0.0,3.0,1.0,7.0,6.0,2.0,9.0,4.0,19.0,23.0,16.0,24.0,13.0,66.0,15.0,5.0,8.0,14.0,17.0,12.0,22.0,25.0,37.0,21.0,20.0,11.0,39.0,10.0,45.0,54.0
490,1.0,0.0,2.0,4.0,5.0,3.0,8.0,27.0,29.0,20.0,6.0,11.0,10.0,13.0,21.0,89.0,12.0,16.0,25.0,7.0,9.0,53.0,24.0,23.0,128.0,73.0,17.0,38.0,18.0,31.0
539,1.0,0.0,3.0,4.0,2.0,5.0,15.0,6.0,16.0,42.0,22.0,7.0,39.0,11.0,62.0,13.0,19.0,14.0,28.0,43.0,12.0,8.0,24.0,56.0,115.0,63.0,9.0,50.0,10.0,33.0
588,1.0,0.0,5.0,2.0,4.0,3.0,6.0,14.0,25.0,24.0,8.0,7.0,20.0,9.0,32.0,18.0,12.0,19.0,23.0,13.0,28.0,11.0,15.0,29.0,61.0,42.0,57.0,43.0,16.0,38.0
637,2.0,0.0,4.0,1.0,10.0,3.0,6.0,9.0,7.0,38.0,22.0,5.0,17.0,14.0,19.0,8.0,12.0,23.0,15.0,31.0,11.0,16.0,28.0,72.0,47.0,29.0,24.0,53.0,18.0,104.0
686,0.0,2.0,1.0,6.0,3.0,4.0,14.0,27.0,12.0,15.0,5.0,8.0,25.0,9.0,18.0,13.0,10.0,19.0,16.0,38.0,23.0,11.0,46.0,24.0,31.0,35.0,28.0,17.0,26.0,21.0
735,1.0,0.0,4.0,8.0,5.0,2.0,7.0,14.0,13.0,15.0,6.0,18.0,12.0,19.0,29.0,17.0,3.0,39.0,11.0,59.0,10.0,9.0,27.0,25.0,57.0,71.0,38.0,36.0,23.0,16.0
784,2.0,0.0,1.0,3.0,5.0,4.0,12.0,8.0,10.0,15.0,9.0,14.0,16.0,24.0,13.0,17.0,11.0,42.0,7.0,34.0,6.0,21.0,20.0,19.0,39.0,63.0,27.0,25.0,59.0,47.0
833,2.0,0.0,8.0,6.0,3.0,1.0,5.0,7.0,11.0,22.0,13.0,4.0,29.0,17.0,18.0,15.0,9.0,10.0,16.0,21.0,20.0,24.0,12.0,64.0,66.0,100.0,14.0,23.0,37.0,78.0
882,2.0,0.0,1.0,3.0,4.0,6.0,8.0,12.0,5.0,15.0,13.0,7.0,20.0,17.0,45.0,10.0,14.0,64.0,28.0,42.0,18.0,21.0,9.0,33.0,46.0,29.0,24.0,26.0,31.0,50.0
931,3.0,2.0,5.0,1.0,0.0,4.0,8.0,16.0,7.0,13.0,14.0,6.0,20.0,10.0,26.0,11.0,9.0,28.0,37.0,12.0,23.0,19.0,15.0,24.0,29.0,17.0,90.0,33.0,65.0,22.0
980,1.0,0.0,2.0,3.0,10.0,13.0,7.0,12.0,11.0,24.0,61.0,8.0,18.0,15.0,5.0,50.0,21.0,14.0,57.0,17.0,134.0,25.0,9.0,30.0,4.0,16.0,6.0,20.0,34.0,47.0
1029,0.0,1.0,5.0,7.0,2.0,6.0,4.0,24.0,11.0,16.0,26.0,8.0,34.0,15.0,3.0,19.0,12.0,27.0,21.0,9.0,31.0,22.0,18.0,54.0,13.0,20.0,10.0,62.0,46.0,52.0
1078,1.0,0.0,5.0,6.0,7.0,9.0,2.0,19.0,14.0,18.0,40.0,10.0,12.0,8.0,4.0,50.0,118.0,24.0,95.0,15.0,29.0,13.0,33.0,11.0,3.0,21.0,16.0,17.0,78.0,54.0
1127,1.0,0.0,2.0,5.0,7.0,26.0,6.0,8.0,13.0,3.0,28.0,12.0,9.0,39.0,10.0,27.0,15.0,25.0,35.0,20.0,66.0,34.0,14.0,72.0,18.0,19.0,4.0,33.0,158.0,80.0
1176,1.0,3.0,0.0,7.0,2.0,4.0,5.0,10.0,6.0,9.0,17.0,16.0,13.0,20.0,19.0,25.0,8.0,12.0,56.0,81.0,23.0,18.0,101.0,120.0,22.0,15.0,11.0,29.0,62.0,43.0
1225,3.0,0.0,4.0,5.0,1.0,10.0,6.0,8.0,28.0,2.0,9.0,13.0,15.0,29.0,24.0,32.0,36.0,34.0,18.0,38.0,30.0,23.0,17.0,33.0,11.0,16.0,7.0,49.0,45.0,98.0
1274,0.0,7.0,10.0,3.0,1.0,6.0,5.0,15.0,19.0,2.0,4.0,8.0,16.0,14.0,25.0,29.0,9.0,13.0,88.0,42.0,22.0,18.0,21.0,55.0,17.0,11.0,24.0,75.0,89.0,65.0
1323,0.0,1.0,5.0,3.0,2.0,14.0,7.0,9.0,16.0,8.0,26.0,22.0,17.0,23.0,11.0,18.0,4.0,6.0,107.0,25.0,10.0,24.0,66.0,31.0,13.0,19.0,12.0,79.0,15.0,55.0
1372,0.0,1.0,14.0,2.0,3.0,7.0,10.0,12.0,13.0,4.0,11.0,15.0,20.0,22.0,16.0,25.0,8.0,18.0,63.0,37.0,26.0,21.0,24.0,28.0,9.0,54.0,6.0,105.0,39.0,151.0
1421,0.0,1.0,3.0,5.0,2.0,6.0,10.0,8.0,9.0,12.0,14.0,26.0,4.0,11.0,19.0,16.0,23.0,33.0,24.0,7.0,22.0,17.0,32.0,27.0,13.0,15.0,35.0,86.0,38.0,29.0
1470,0.0,4.0,1.0,3.0,5.0,8.0,13.0,15.0,9.0,7.0,11.0,2.0,27.0,23.0,6.0,10.0,16.0,12.0,18.0,42.0,19.0,37.0,17.0,22.0,35.0,20.0,29.0,24.0,59.0,31.0
1519,0.0,4.0,1.0,3.0,12.0,6.0,5.0,10.0,13.0,19.0,7.0,11.0,16.0,14.0,20.0,9.0,48.0,21.0,2.0,15.0,33.0,47.0,8.0,23.0,36.0,22.0,24.0,18.0,117.0,30.0
1568,0.0,1.0,3.0,5.0,6.0,8.0,2.0,15.0,50.0,4.0,13.0,10.0,18.0,29.0,30.0,11.0,16.0,9.0,7.0,17.0,22.0,59.0,19.0,21.0,117.0,14.0,43.0,12.0,39.0,56.0
1617,0.0,1.0,4.0,5.0,11.0,13.0,3.0,17.0,14.0,2.0,15.0,6.0,9.0,7.0,20.0,16.0,30.0,67.0,12.0,25.0,60.0,53.0,18.0,29.0,74.0,57.0,21.0,35.0,89.0,79.0
1666,0.0,1.0,3.0,8.0,4.0,6.0,2.0,11.0,16.0,5.0,7.0,26.0,13.0,17.0,10.0,12.0,36.0,14.0,18.0,34.0,38.0,82.0,19.0,15.0,29.0,9.0,39.0,80.0,133.0,22.0
1715,0.0,1.0,2.0,5.0,7.0,19.0,3.0,15.0,4.0,6.0,10.0,20.0,8.0,14.0,17.0,13.0,12.0,22.0,9.0,21.0,11.0,87.0,65.0,25.0,36.0,18.0,122.0,34.0,30.0,16.0
1764,2.0,0.0,1.0,6.0,3.0,9.0,7.0,5.0,12.0,4.0,14.0,25.0,21.0,11.0,10.0,17.0,16.0,18.0,15.0,26.0,92.0,46.0,8.0,57.0,31.0,13.0,30.0,37.0,146.0,19.0
1813,0.0,1.0,2.0,11.0,5.0,9.0,3.0,6.0,10.0,4.0,8.0,14.0,16.0,19.0,7.0,18.0,40.0,21.0,23.0,22.0,17.0,28.0,24.0,27.0,71.0,26.0,38.0,69.0,44.0,13.0
1862,0.0,1.0,2.0,16.0,5.0,7.0,4.0,10.0,6.0,3.0,27.0,8.0,17.0,14.0,9.0,15.0,12.0,18.0,44.0,31.0,29.0,90.0,11.0,59.0,39.0,49.0,25.0,107.0,20.0,13.0
1911,1.0,0.0,3.0,4.0,5.0,6.0,2.0,14.0,15.0,11.0,10.0,19.0,31.0,7.0,8.0,9.0,16.0,12.0,21.0,22.0,55.0,18.0,40.0,35.0,103.0,32.0,86.0,27.0,120.0,20.0
1960,0.0,1.0,2.0,3.0,4.0,12.0,5.0,8.0,6.0,18.0,9.0,16.0,13.0,20.0,37.0,10.0,19.0,29.0,11.0,28.0,7.0,17.0,14.0,25.0,53.0,26.0,90.0,22.0,27.0,24.0
2009,1.0,0.0,2.0,4.0,3.0,10.0,6.0,17.0,5.0,7.0,8.0,50.0,23.0,16.0,15.0,12.0,11.0,46.0,24.0,27.0,9.0,30.0,18.0,19.0,14.0,33.0,121.0,28.0,29.0,60.0
2058,0.0,4.0,3.0,5.0,1.0,8.0,6.0,26.0,2.0,7.0,10.0,17.0,29.0,9.0,31.0,23.0,21.0,53.0,33.0,16.0,32.0,49.0,12.0,13.0,11.0,15.0,43.0,54.0,35.0,28.0
2107,0.0,1.0,6.0,4.0,2.0,14.0,3.0,11.0,5.0,28.0,22.0,19.0,7.0,20.0,26.0,12.0,9.0,48.0,8.0,15.0,18.0,35.0,31.0,21.0,16.0,30.0,83.0,78.0,10.0,29.0
2156,0.0,1.0,5.0,4.0,2.0,8.0,10.0,7.0,3.0,13.0,12.0,20.0,6.0,27.0,9.0,30.0,18.0,76.0,19.0,11.0,17.0,23.0,32.0,14.0,15.0,33.0,36.0,64.0,92.0,25.0
2205,0.0,3.0,2.0,8.0,1.0,6.0,5.0,17.0,7.0,9.0,4.0,11.0,18.0,13.0,55.0,31.0,16.0,29.0,32.0,39.0,10.0,20.0,21.0,49.0,14.0,12.0,41.0,37.0,15.0,30.0
2254,1.0,0.0,2.0,4.0,7.0,3.0,5.0,16.0,6.0,33.0,10.0,32.0,8.0,9.0,12.0,27.0,15.0,50.0,41.0,20.0,11.0,14.0,22.0,13.0,66.0,46.0,34.0,17.0,29.0,25.0
2303,0.0,1.0,2.0,4.0,6.0,15.0,3.0,9.0,5.0,11.0,10.0,28.0,12.0,13.0,16.0,26.0,22.0,95.0,14.0,19.0,7.0,20.0,79.0,8.0,126.0,30.0,107.0,39.0,87.0,48.0
2352,0.0,3.0,1.0,7.0,9.0,8.0,2.0,10.0,4.0,6.0,5.0,42.0,17.0,41.0,19.0,16.0,11.0,32.0,18.0,25.0,26.0,15.0,60.0,12.0,64.0,14.0,40.0,20.0,43.0,13.0
2401,2.0,0.0,3.0,1.0,6.0,5.0,4.0,7.0,8.0,13.0,11.0,24.0,28.0,9.0,16.0,10.0,17.0,32.0,15.0,25.0,22.0,31.0,30.0,54.0,20.0,65.0,18.0,21.0,14.0,26.0
2450,6.0,5.0,0.0,7.0,4.0,1.0,2.0,9.0,10.0,3.0,8.0,36.0,24.0,16.0,13.0,42.0,22.0,15.0,17.0,57.0,11.0,37.0,38.0,21.0,12.0,14.0,105.0,76.0,19.0,31.0
2499,4.0,3.0,1.0,5.0,0.0,2.0,8.0,10.0,12.0,6.0,13.0,89.0,24.0,17.0,33.0,19.0,51.0,18.0,30.0,22.0,20.0,41.0,26.0,11.0,7.0,9.0,16.0,27.0,14.0,104.0
2548,2.0,0.0,1.0,5.0,3.0,4.0,8.0,6.0,7.0,11.0,9.0,26.0,17.0,22.0,12.0,30.0,13.0,40.0,14.0,16.0,34.0,20.0,18.0,10.0,28.0,19.0,15.0,44.0,21.0,31.0
2597,8.0,0.0,1.0,3.0,2.0,4.0,9.0,16.0,21.0,7.0,12.0,19.0,14.0,23.0,24.0,17.0,48.0,20.0,11.0,13.0,30.0,22.0,28.0,10.0,29.0,6.0,15.0,5.0,64.0,40.0
2646,0.0,2.0,4.0,5.0,1.0,3.0,11.0,6.0,7.0,23.0,9.0,10.0,14.0,21.0,16.0,28.0,35.0,18.0,22.0,24.0,19.0,17.0,12.0,8.0,48.0,13.0,20.0,26.0,44.0,31.0
2695,4.0,1.0,0.0,7.0,2.0,10.0,15.0,3.0,12.0,5.0,16.0,32.0,6.0,11.0,19.0,20.0,44.0,8.0,34.0,14.0,13.0,25.0,29.0,37.0,17.0,30.0,35.0,26.0,22.0,31.0
2744,4.0,2.0,1.0,7.0,5.0,0.0,12.0,3.0,22.0,6.0,17.0,10.0,28.0,23.0,14.0,18.0,20.0,9.0,11.0,15.0,31.0,25.0,8.0,16.0,13.0,19.0,30.0,33.0,49.0,91.0
2793,1.0,3.0,2.0,0.0,4.0,12.0,24.0,5.0,26.0,10.0,6.0,21.0,14.0,17.0,11.0,13.0,15.0,7.0,9.0,22.0,8.0,61.0,19.0,39.0,16.0,34.0,20.0,18.0,40.0,30.0
2842,4.0,1.0,0.0,5.0,2.0,3.0,7.0,11.0,9.0,13.0,6.0,27.0,25.0,15.0,22.0,37.0,18.0,8.0,10.0,24.0,40.0,17.0,16.0,12.0,14.0,29.0,30.0,118.0,52.0,21.0
2891,5.0,4.0,0.0,1.0,2.0,6.0,12.0,15.0,14.0,9.0,11.0,3.0,8.0,18.0,28.0,19.0,27.0,17.0,7.0,58.0,38.0,47.0,16.0,22.0,13.0,34.0,32.0,31.0,30.0,74.0
