,HLA-DRB6_AMP,HLA-DRB1_AMP,FBXL7_DEL,HLA-DRB5_AMP,ZBTB20_AMP,LGALS9C_DEL,SIRPB1_AMP,DUSP22_DEL,LOC100506776_DEL,HDHD1_DEL,HLA-DQB1_AMP,MSTO2P_AMP,DAP3_AMP,GSTT1_AMP,SORD_AMP,LOC391322_AMP,KIF26B_DEL,RBFOX1_DEL,ADCY8_DEL,SLC2A9_DEL,NSFP1_DEL,RABGAP1L_DEL,GSTTP2_AMP,ODF4_DEL,USP32P2_DEL,TAG_DEL,UNC13C_MUT,HERC2P2_AMP,BCAS1_AMP,LRRK1_MUT
30,0.0,1.0,2.0,4.0,36.0,26.0,6.0,74.0,22.0,116.0,44.0,61.0,60.0,57.0,16.0,58.0,8.0,11.0,111.0,15.0,38.0,70.0,82.0,79.0,78.0,3.0,17.0,45.0,37.0,59.0
79,0.0,3.0,5.0,7.0,4.0,27.0,90.0,31.0,11.0,173.0,110.0,15.0,14.0,139.0,37.0,140.0,12.0,16.0,52.0,34.0,51.0,38.0,200.0,42.0,65.0,8.0,212.0,85.0,30.0,43.0
128,0.0,1.0,2.0,3.0,6.0,13.0,12.0,14.0,41.0,107.0,57.0,87.0,86.0,25.0,27.0,26.0,24.0,20.0,80.0,21.0,7.0,23.0,43.0,31.0,75.0,4.0,67.0,512.0,56.0,40.0
177,0.0,1.0,10.0,2.0,6.0,63.0,82.0,74.0,9.0,846.0,109.0,29.0,28.0,12.0,7817.0,11.0,52.0,41.0,34.0,25.0,26.0,40.0,15.0,273.0,39.0,4.0,70.0,56.0,13.0,45.0
226,0.0,1.0,2.0,3.0,17.0,30.0,53.0,36.0,19.0,179.0,100.0,112.0,113.0,37.0,257.0,38.0,21.0,16.0,56.0,8.0,5.0,34.0,62.0,70.0,80.0,4.0,35.0,41.0,66.0,33.0
275,0.0,1.0,2.0,3.0,6.0,57.0,22.0,5.0,9.0,240.0,76.0,112.0,111.0,36.0,137.0,37.0,26.0,15.0,66.0,14.0,21.0,20.0,53.0,55.0,141.0,8.0,13.0,50.0,59.0,51.0
324,0.0,1.0,4.0,2.0,15.0,624.0,107.0,35.0,14.0,222.0,34.0,44.0,43.0,5.0,9989.0,7.0,17.0,19.0,1945.0,86.0,24.0,9.0,6.0,22.0,3582.0,76.0,20.0,9248.0,170.0,1429.0
373,0.0,1.0,2.0,5.0,4.0,11.0,16.0,81.0,3.0,133.0,23.0,56.0,55.0,51.0,80.0,52.0,33.0,9.0,64.0,15.0,47.0,116.0,69.0,202.0,26.0,12.0,10.0,27.0,25.0,34.0
422,1.0,3.0,0.0,4.0,11.0,14.0,27.0,9.0,10.0,154.0,205.0,277.0,276.0,160.0,70.0,161.0,17.0,23.0,85.0,26.0,31.0,103.0,247.0,125.0,90.0,2.0,32.0,244.0,48.0,42.0
471,0.0,5.0,8.0,2.0,34.0,33.0,69.0,17.0,147.0,199.0,51.0,218.0,217.0,3.0,6.0,4.0,58.0,36.0,153.0,21.0,195.0,37.0,7.0,59.0,49.0,14.0,115.0,74.0,54.0,35.0
520,0.0,1.0,2.0,4.0,20.0,1718.0,3.0,12.0,59.0,30.0,14.0,24.0,25.0,7.0,109.0,6.0,21.0,41.0,47.0,16.0,23.0,101.0,15.0,9.0,2640.0,17.0,96.0,22.0,33.0,58.0
