,FBXL7_DEL,OR4C11_DEL,FGFR1_DEL,MYH8_DEL,FAM153A_DEL,KRAS.G12_13_MUT,TP63_DEL,ZBTB20_AMP,SORD_AMP,HLA-DRB6_AMP,CNTN5_DEL,FAM91A2_AMP,SCAPER_DEL,OR4N2_AMP,HEATR4_DEL,MIR4473_DEL,DUSP22_DEL,TAG_DEL,HLA-DRB1_AMP,BCAS1_AMP,GSTTP1_DEL,MSTO2P_AMP,GSTM1_DEL,LOC390705_DEL,SIRPB1_AMP,LINC00226_AMP,OR2T34_AMP,KANK1_AMP,GSTT1_DEL,TP53_MUT
33,4606.0,40.0,7.0,26.0,2.0,21.0,47.0,17.0,45.0,65.0,10401.0,6.0,102.0,36.0,70.0,19951.0,107.0,18.0,98.0,76.0,63.0,15446.0,51.0,94.0,115.0,106.0,101.0,105.0,87.0,131.0
82,4603.0,39.0,16.0,34.0,19.0,24.0,9025.0,33.0,25.0,76.0,10399.0,9.0,64.0,38.0,59.0,12.0,80.0,72.0,99.0,19289.0,5077.0,109.0,69.0,86.0,93.0,73.0,16970.0,79.0,127.0,75.0
131,23.0,9.0,16.0,4.0,55.0,31.0,17.0,15.0,65.0,111.0,99.0,21860.0,66.0,51.0,59.0,76.0,38.0,101.0,77.0,80.0,63.0,15441.0,70.0,134.0,112.0,85.0,97.0,124.0,90.0,122.0
180,1.0,22.0,4778.0,2088.0,40.0,17.0,86.0,21.0,22871.0,67.0,73.0,57.0,44.0,14.0,74.0,66.0,71.0,79.0,45.0,61.0,51.0,15438.0,76.0,78.0,105.0,56.0,16971.0,88.0,103.0,93.0
229,25.0,32.0,4777.0,2087.0,27.0,30.0,57.0,16.0,52.0,58.0,77.0,21830.0,56.0,13883.0,2830.0,19990.0,107.0,84.0,22.0,75.0,45.0,15438.0,73.0,93.0,96.0,112.0,78.0,103.0,120.0,89.0
278,76.0,5712.0,4.0,46.0,1.0,55.0,61.0,27.0,22877.0,66.0,10402.0,22.0,67.0,40.0,37.0,82.0,52.0,44.0,14395.0,62.0,85.0,15442.0,83.0,98.0,74.0,80.0,16984.0,96.0,124.0,113.0
327,48.0,28.0,29.0,38.0,13.0,32.0,9021.0,9.0,22877.0,14395.0,78.0,21862.0,75.0,35.0,59.0,53.0,52.0,1863.0,47.0,74.0,33.0,15443.0,110.0,2741.0,114.0,57.0,61.0,89.0,93.0,119.0
376,43.0,32.0,12.0,2089.0,23.0,27.0,9019.0,40.0,16.0,50.0,10355.0,60.0,46.0,21.0,2784.0,19972.0,11679.0,56.0,14393.0,19269.0,68.0,15442.0,52.0,99.0,74.0,94.0,67.0,80.0,204.0,64.0
425,3.0,5716.0,6.0,2096.0,14.0,24134.0,16.0,10.0,22881.0,117.0,72.0,120.0,67.0,21.0,78.0,8.0,70.0,53.0,111.0,33.0,5082.0,15447.0,63.0,87.0,80.0,97.0,79.0,83.0,118.0,93.0
474,43.0,59.0,4782.0,25.0,33.0,24134.0,15.0,29.0,62.0,81.0,19.0,21862.0,106.0,30.0,53.0,19970.0,87.0,99.0,56.0,104.0,5078.0,54.0,98.0,109.0,97.0,123.0,73.0,89.0,44.0,75.0
523,35.0,20.0,4.0,25.0,307.0,16.0,30.0,49.0,113.0,52.0,14.0,65.0,56.0,13902.0,84.0,19991.0,103.0,111.0,90.0,3.0,48.0,72.0,106.0,86.0,100.0,102.0,47.0,42.0,92.0,117.0
572,25.0,9.0,4781.0,40.0,327.0,5.0,3.0,99.0,63.0,14392.0,26.0,39.0,57.0,13886.0,68.0,76.0,83.0,81.0,58.0,19289.0,5076.0,36.0,73.0,66.0,79.0,100.0,90.0,88.0,106.0,111.0
