,alpha-hydroxybutyrate,alpha-glycerophosphate,malondialdehyde,oxalate,C22:6 LPC,C34:2 DAG,SDMA/ADMA,C18:0 LPE,1-methylnicotinamide,UMP,cystathionine,hippurate,urate,hexoses (HILIC neg),creatinine,C36:1 DAG,DHAP/glyceraldehyde 3P,GABA,hypoxanthine,C20:4 CE,pyroglutamic acid,beta-alanine,serine,pantothenate,phosphocreatine,valerylcarnitine,C16:0 LPE,uracil,creatine,cotinine
21,1.0,0.0,15.0,19.0,20.0,3.0,9.0,27.0,14.0,5.0,18.0,10.0,52.0,7.0,8.0,4.0,11.0,62.0,30.0,26.0,16.0,2.0,13.0,63.0,23.0,56.0,17.0,6.0,24.0,42.0
70,3.0,0.0,2.0,4.0,8.0,21.0,12.0,16.0,5.0,1.0,27.0,14.0,48.0,10.0,13.0,17.0,18.0,43.0,22.0,19.0,6.0,28.0,23.0,11.0,9.0,36.0,33.0,7.0,35.0,29.0
119,5.0,2.0,1.0,0.0,31.0,9.0,32.0,24.0,8.0,7.0,3.0,14.0,18.0,4.0,10.0,11.0,12.0,25.0,19.0,22.0,16.0,33.0,30.0,13.0,15.0,37.0,40.0,6.0,20.0,28.0
168,2.0,0.0,3.0,9.0,13.0,11.0,27.0,32.0,5.0,1.0,6.0,30.0,15.0,14.0,16.0,44.0,37.0,17.0,25.0,53.0,8.0,10.0,7.0,24.0,45.0,12.0,58.0,4.0,33.0,28.0
217,7.0,1.0,2.0,3.0,9.0,14.0,4.0,21.0,27.0,12.0,0.0,15.0,26.0,6.0,19.0,18.0,10.0,11.0,54.0,47.0,22.0,13.0,20.0,25.0,30.0,28.0,16.0,5.0,34.0,31.0
266,3.0,9.0,0.0,13.0,6.0,11.0,5.0,16.0,17.0,19.0,10.0,2.0,37.0,7.0,24.0,4.0,25.0,8.0,39.0,23.0,22.0,30.0,20.0,12.0,27.0,28.0,15.0,1.0,31.0,45.0
315,9.0,0.0,1.0,6.0,44.0,24.0,7.0,10.0,12.0,2.0,5.0,3.0,28.0,4.0,22.0,49.0,27.0,34.0,18.0,23.0,19.0,39.0,36.0,13.0,15.0,42.0,48.0,8.0,16.0,31.0
364,3.0,1.0,2.0,4.0,18.0,12.0,10.0,16.0,17.0,0.0,25.0,14.0,39.0,9.0,8.0,40.0,7.0,51.0,23.0,22.0,11.0,15.0,21.0,5.0,26.0,42.0,31.0,6.0,35.0,33.0
413,0.0,2.0,1.0,3.0,7.0,25.0,4.0,15.0,39.0,11.0,12.0,9.0,51.0,16.0,8.0,10.0,31.0,49.0,30.0,44.0,18.0,17.0,24.0,5.0,26.0,21.0,35.0,22.0,20.0,38.0
462,1.0,0.0,7.0,12.0,13.0,11.0,18.0,4.0,58.0,6.0,10.0,24.0,47.0,15.0,26.0,14.0,9.0,5.0,22.0,60.0,39.0,20.0,50.0,3.0,45.0,19.0,8.0,21.0,29.0,40.0
511,2.0,3.0,1.0,0.0,10.0,4.0,6.0,7.0,5.0,15.0,8.0,22.0,14.0,47.0,17.0,20.0,13.0,12.0,23.0,24.0,49.0,28.0,56.0,43.0,9.0,19.0,11.0,25.0,21.0,44.0
560,1.0,3.0,2.0,7.0,21.0,0.0,9.0,4.0,5.0,12.0,6.0,19.0,14.0,13.0,18.0,24.0,11.0,15.0,62.0,25.0,48.0,32.0,44.0,17.0,10.0,50.0,8.0,22.0,29.0,33.0
609,4.0,2.0,1.0,0.0,18.0,3.0,13.0,26.0,6.0,16.0,7.0,10.0,12.0,17.0,32.0,14.0,11.0,5.0,53.0,54.0,8.0,31.0,50.0,51.0,22.0,36.0,35.0,55.0,41.0,33.0
658,1.0,3.0,5.0,0.0,7.0,6.0,19.0,12.0,2.0,4.0,9.0,17.0,8.0,33.0,22.0,11.0,10.0,14.0,24.0,60.0,26.0,32.0,43.0,56.0,48.0,39.0,13.0,49.0,21.0,23.0
707,0.0,11.0,5.0,1.0,3.0,2.0,4.0,37.0,17.0,15.0,16.0,7.0,10.0,12.0,35.0,14.0,43.0,6.0,58.0,46.0,48.0,18.0,21.0,65.0,9.0,20.0,8.0,29.0,13.0,36.0
756,5.0,1.0,4.0,0.0,7.0,9.0,46.0,13.0,6.0,23.0,21.0,17.0,11.0,12.0,26.0,19.0,43.0,2.0,28.0,33.0,44.0,30.0,51.0,50.0,24.0,15.0,3.0,38.0,20.0,47.0
805,3.0,0.0,4.0,2.0,49.0,19.0,5.0,11.0,31.0,6.0,7.0,27.0,14.0,8.0,13.0,10.0,44.0,9.0,24.0,26.0,32.0,28.0,38.0,36.0,15.0,20.0,1.0,12.0,29.0,41.0
