,hsa-miR-548m,hsa-miR-545,hsa-miR-34a,hsa-miR-22,hsa-miR-590-5p,hsa-miR-574-5p,hsa-miR-1308,hsa-miR-488,hsa-let-7e,hsa-miR-586,hsa-miR-584,hsa-miR-583,hsa-miR-582-3p,hsa-miR-582-5p,hsa-miR-578,hsa-miR-579,hsa-miR-587,hsa-miR-580,hsa-miR-588,hsa-miR-590-3p,hsa-miR-581,hsa-miR-589,hsa-miR-576-5p,hsa-miR-577,hsa-miR-591,hsa-miR-576-3p,hsa-miR-592,hsa-miR-628-5p,hsa-miR-626,hsa-miR-627
20,22.0,5.0,506.0,32.0,12.0,95.0,34.0,35.0,31.0,56.0,55.0,52.0,48.0,51.0,46.0,41.0,57.0,59.0,60.0,53.0,49.0,54.0,43.0,42.0,50.0,45.0,47.0,67.0,69.0,68.0
69,19.0,155.0,509.0,568.0,14.0,26.0,359.0,40.0,36.0,64.0,48.0,47.0,44.0,46.0,53.0,41.0,66.0,42.0,16.0,88.0,50.0,90.0,55.0,54.0,86.0,57.0,85.0,143.0,56.0,61.0
118,166.0,154.0,3.0,41.0,29.0,37.0,17.0,33.0,15.0,60.0,54.0,56.0,59.0,57.0,53.0,55.0,44.0,48.0,42.0,58.0,52.0,47.0,51.0,49.0,77.0,50.0,63.0,62.0,88.0,70.0
167,17.0,153.0,14.0,11.0,41.0,5.0,354.0,35.0,37.0,50.0,51.0,52.0,46.0,58.0,53.0,54.0,18.0,55.0,47.0,43.0,56.0,45.0,48.0,49.0,42.0,57.0,76.0,73.0,71.0,72.0
216,0.0,25.0,39.0,6.0,4.0,34.0,357.0,2.0,425.0,43.0,45.0,49.0,56.0,57.0,51.0,53.0,52.0,54.0,59.0,48.0,55.0,44.0,47.0,50.0,58.0,46.0,27.0,73.0,71.0,72.0
265,9.0,13.0,7.0,28.0,39.0,16.0,357.0,4.0,422.0,55.0,57.0,58.0,63.0,61.0,85.0,66.0,54.0,65.0,52.0,51.0,64.0,67.0,103.0,102.0,41.0,104.0,43.0,71.0,73.0,72.0
314,3.0,155.0,509.0,6.0,45.0,39.0,355.0,533.0,422.0,54.0,55.0,5.0,52.0,42.0,47.0,49.0,53.0,50.0,51.0,46.0,48.0,57.0,44.0,43.0,58.0,56.0,77.0,7.0,72.0,73.0
363,5.0,130.0,508.0,2.0,58.0,10.0,356.0,0.0,39.0,65.0,66.0,1.0,70.0,69.0,142.0,141.0,64.0,107.0,63.0,60.0,106.0,62.0,145.0,143.0,57.0,146.0,26.0,79.0,83.0,81.0
412,17.0,132.0,3.0,0.0,13.0,31.0,359.0,41.0,425.0,55.0,44.0,42.0,54.0,52.0,50.0,51.0,59.0,57.0,10.0,56.0,49.0,58.0,47.0,48.0,53.0,45.0,46.0,64.0,66.0,65.0
461,5.0,6.0,510.0,3.0,80.0,62.0,354.0,34.0,423.0,42.0,45.0,46.0,50.0,43.0,56.0,25.0,49.0,53.0,47.0,65.0,64.0,54.0,59.0,58.0,67.0,61.0,90.0,33.0,52.0,51.0
510,2.0,22.0,21.0,561.0,45.0,3.0,356.0,8.0,26.0,44.0,56.0,55.0,53.0,54.0,49.0,50.0,57.0,51.0,58.0,60.0,52.0,59.0,47.0,48.0,61.0,46.0,42.0,33.0,71.0,70.0
559,1.0,20.0,8.0,3.0,18.0,39.0,356.0,38.0,40.0,59.0,49.0,58.0,54.0,56.0,31.0,51.0,61.0,52.0,57.0,50.0,53.0,55.0,43.0,60.0,47.0,44.0,45.0,66.0,68.0,67.0
608,10.0,23.0,3.0,7.0,48.0,42.0,8.0,0.0,425.0,58.0,40.0,54.0,52.0,53.0,57.0,46.0,56.0,50.0,55.0,49.0,51.0,17.0,38.0,45.0,47.0,41.0,39.0,75.0,66.0,68.0
