,hsa-miR-142-5p,hsa-let-7e,hsa-miR-21,hsa-miR-22,hsa-miR-193a-5p,hsa-miR-574-5p,hsa-miR-224,hsa-miR-24,hsa-miR-206,hsa-miR-30a,hsa-miR-223,hsa-miR-548m,hsa-miR-92a,hsa-miR-2115,hsa-miR-31,hsa-miR-219-2-3p,kshv-miR-K12-4-3p,hsa-miR-744,hsa-miR-10a,hsa-miR-34a,hsa-miR-545,hsa-miR-422a,hsa-miR-1269,hsa-miR-147b,hsa-miR-626,hsa-miR-675,hsa-miR-766,hsa-miR-151-3p,hsa-miR-135b,hsa-miR-155
18,1.0,0.0,5.0,2.0,4.0,10.0,14.0,9.0,11.0,76.0,26.0,68.0,24.0,13.0,3.0,16.0,6.0,20.0,98.0,18.0,25.0,42.0,19.0,27.0,12.0,28.0,56.0,233.0,100.0,17.0
67,0.0,1.0,3.0,4.0,2.0,5.0,35.0,23.0,7.0,117.0,16.0,21.0,10.0,8.0,19.0,11.0,6.0,125.0,12.0,24.0,20.0,54.0,197.0,41.0,9.0,40.0,39.0,133.0,144.0,67.0
116,2.0,0.0,4.0,3.0,1.0,6.0,21.0,5.0,8.0,71.0,14.0,43.0,52.0,7.0,36.0,34.0,12.0,218.0,22.0,15.0,68.0,85.0,11.0,95.0,28.0,32.0,413.0,19.0,92.0,24.0
165,1.0,0.0,3.0,5.0,2.0,4.0,8.0,7.0,24.0,21.0,6.0,20.0,28.0,37.0,17.0,15.0,22.0,203.0,10.0,13.0,30.0,14.0,38.0,9.0,16.0,70.0,36.0,48.0,69.0,45.0
214,1.0,0.0,2.0,5.0,4.0,6.0,8.0,9.0,3.0,29.0,14.0,10.0,118.0,23.0,12.0,19.0,35.0,20.0,11.0,7.0,13.0,31.0,17.0,87.0,69.0,59.0,56.0,211.0,90.0,15.0
263,0.0,1.0,4.0,3.0,5.0,8.0,23.0,21.0,2.0,25.0,16.0,20.0,9.0,76.0,19.0,22.0,40.0,109.0,24.0,18.0,12.0,46.0,54.0,38.0,13.0,144.0,145.0,136.0,219.0,7.0
312,1.0,0.0,2.0,4.0,6.0,7.0,37.0,8.0,3.0,25.0,81.0,64.0,39.0,103.0,24.0,12.0,14.0,17.0,78.0,5.0,18.0,13.0,38.0,28.0,20.0,90.0,32.0,89.0,347.0,11.0
361,1.0,0.0,9.0,5.0,2.0,4.0,18.0,7.0,3.0,12.0,14.0,10.0,27.0,6.0,8.0,29.0,25.0,55.0,66.0,30.0,21.0,11.0,176.0,17.0,33.0,56.0,159.0,274.0,130.0,40.0
410,1.0,0.0,5.0,4.0,2.0,3.0,16.0,9.0,10.0,21.0,12.0,57.0,14.0,8.0,19.0,18.0,27.0,63.0,30.0,11.0,33.0,35.0,28.0,6.0,17.0,7.0,36.0,32.0,361.0,38.0
459,1.0,0.0,4.0,2.0,7.0,9.0,5.0,15.0,3.0,66.0,16.0,30.0,18.0,14.0,137.0,27.0,40.0,29.0,20.0,22.0,12.0,6.0,10.0,56.0,55.0,203.0,42.0,370.0,43.0,19.0
