,hsa-miR-574-5p,hsa-miR-22,hsa-miR-142-5p,hsa-miR-21,hsa-let-7e,hsa-miR-548m,hsa-miR-2117,hsa-miR-24,hsa-miR-2115,hsa-miR-10a,kshv-miR-K12-4-3p,hsa-miR-545,hsa-miR-151-3p,hsa-miR-766,hsa-miR-193a-5p,hsa-miR-521,hsa-miR-92a,hsa-miR-31,hsa-miR-224,hsa-miR-30a,hsa-miR-711,hsa-miR-34a,hsa-miR-1255a,hsa-miR-206,hsa-miR-1269,hsa-miR-520a-5p,hsa-miR-602,hsa-miR-675,hsa-miR-378,hsa-miR-1308
14,0.0,2.0,16.0,5.0,1.0,3.0,17.0,6.0,7.0,106.0,4.0,20.0,98.0,412.0,9.0,49.0,38.0,10.0,41.0,95.0,11.0,57.0,72.0,14.0,30.0,33.0,126.0,50.0,271.0,27.0
63,0.0,1.0,9.0,2.0,3.0,6.0,63.0,4.0,10.0,72.0,7.0,16.0,15.0,84.0,5.0,19.0,20.0,138.0,248.0,159.0,31.0,48.0,27.0,11.0,42.0,8.0,265.0,56.0,80.0,433.0
112,0.0,2.0,3.0,1.0,4.0,11.0,80.0,10.0,6.0,323.0,5.0,25.0,13.0,399.0,8.0,39.0,37.0,50.0,17.0,189.0,35.0,7.0,49.0,109.0,45.0,20.0,18.0,77.0,144.0,70.0
161,0.0,2.0,9.0,1.0,4.0,5.0,87.0,3.0,8.0,15.0,6.0,533.0,109.0,309.0,26.0,7.0,22.0,11.0,10.0,38.0,193.0,66.0,60.0,207.0,61.0,59.0,14.0,594.0,40.0,43.0
210,1.0,4.0,38.0,0.0,16.0,2.0,231.0,11.0,19.0,10.0,3.0,18.0,154.0,24.0,13.0,25.0,17.0,7.0,21.0,12.0,46.0,187.0,83.0,153.0,50.0,240.0,122.0,181.0,123.0,81.0
259,3.0,2.0,4.0,1.0,10.0,0.0,621.0,25.0,18.0,14.0,41.0,9.0,54.0,388.0,30.0,28.0,47.0,27.0,13.0,35.0,106.0,67.0,82.0,5.0,21.0,158.0,105.0,53.0,84.0,33.0
308,0.0,1.0,2.0,12.0,13.0,10.0,297.0,3.0,5.0,67.0,6.0,14.0,25.0,97.0,55.0,308.0,33.0,24.0,42.0,35.0,63.0,4.0,135.0,29.0,117.0,229.0,64.0,80.0,48.0,336.0
357,1.0,0.0,4.0,2.0,5.0,6.0,467.0,10.0,3.0,22.0,8.0,39.0,27.0,144.0,13.0,24.0,128.0,7.0,46.0,96.0,16.0,19.0,63.0,11.0,248.0,50.0,581.0,26.0,68.0,79.0
406,1.0,2.0,3.0,0.0,9.0,18.0,99.0,43.0,6.0,16.0,10.0,35.0,59.0,113.0,37.0,39.0,281.0,7.0,22.0,24.0,5.0,8.0,33.0,198.0,64.0,122.0,586.0,25.0,69.0,109.0
455,6.0,0.0,3.0,1.0,53.0,7.0,155.0,34.0,17.0,27.0,2.0,23.0,65.0,222.0,36.0,15.0,116.0,19.0,113.0,11.0,37.0,57.0,73.0,24.0,25.0,42.0,235.0,253.0,231.0,30.0
504,1.0,10.0,0.0,3.0,4.0,8.0,100.0,35.0,40.0,24.0,11.0,597.0,23.0,65.0,374.0,28.0,19.0,252.0,49.0,14.0,20.0,6.0,17.0,9.0,163.0,15.0,86.0,2.0,110.0,308.0
553,3.0,5.0,0.0,8.0,2.0,1.0,11.0,9.0,12.0,4.0,66.0,35.0,70.0,42.0,14.0,122.0,140.0,68.0,254.0,46.0,248.0,10.0,18.0,90.0,17.0,49.0,57.0,19.0,555.0,62.0
602,2.0,8.0,0.0,12.0,3.0,1.0,23.0,4.0,13.0,7.0,17.0,273.0,115.0,26.0,206.0,19.0,170.0,149.0,41.0,5.0,34.0,10.0,15.0,21.0,385.0,36.0,580.0,11.0,48.0,319.0
651,3.0,9.0,0.0,11.0,4.0,1.0,22.0,8.0,58.0,6.0,19.0,23.0,496.0,15.0,243.0,5.0,159.0,48.0,14.0,18.0,402.0,17.0,89.0,264.0,20.0,33.0,225.0,12.0,357.0,51.0
700,1.0,7.0,0.0,4.0,11.0,2.0,109.0,194.0,15.0,10.0,93.0,566.0,177.0,92.0,118.0,9.0,147.0,104.0,32.0,14.0,272.0,20.0,314.0,28.0,8.0,21.0,208.0,61.0,46.0,37.0
749,3.0,6.0,0.0,10.0,4.0,1.0,9.0,46.0,30.0,11.0,209.0,22.0,194.0,14.0,41.0,13.0,2.0,26.0,63.0,103.0,566.0,24.0,182.0,331.0,58.0,7.0,186.0,19.0,45.0,163.0
798,0.0,13.0,2.0,3.0,7.0,1.0,4.0,111.0,510.0,86.0,70.0,239.0,189.0,31.0,218.0,10.0,21.0,20.0,79.0,61.0,91.0,59.0,37.0,23.0,52.0,14.0,36.0,130.0,11.0,75.0
847,3.0,5.0,1.0,2.0,6.0,0.0,17.0,128.0,130.0,4.0,28.0,84.0,10.0,11.0,9.0,16.0,7.0,169.0,83.0,21.0,295.0,14.0,112.0,208.0,32.0,71.0,73.0,34.0,57.0,163.0
896,0.0,3.0,1.0,4.0,8.0,2.0,7.0,19.0,113.0,38.0,65.0,567.0,9.0,14.0,196.0,21.0,6.0,77.0,10.0,30.0,76.0,11.0,27.0,44.0,59.0,91.0,51.0,124.0,26.0,129.0
945,2.0,3.0,10.0,1.0,5.0,0.0,4.0,7.0,35.0,237.0,88.0,26.0,260.0,39.0,20.0,24.0,8.0,429.0,23.0,9.0,84.0,76.0,41.0,43.0,53.0,25.0,242.0,13.0,51.0,60.0
994,9.0,3.0,0.0,26.0,4.0,1.0,6.0,2.0,46.0,18.0,22.0,33.0,5.0,47.0,51.0,49.0,39.0,234.0,30.0,28.0,36.0,69.0,81.0,27.0,24.0,98.0,8.0,15.0,97.0,75.0
1043,1.0,4.0,2.0,17.0,3.0,0.0,12.0,10.0,361.0,6.0,28.0,71.0,8.0,200.0,9.0,26.0,44.0,25.0,69.0,104.0,53.0,233.0,42.0,24.0,61.0,32.0,13.0,66.0,74.0,375.0
1092,6.0,2.0,1.0,3.0,0.0,4.0,5.0,8.0,80.0,9.0,27.0,111.0,7.0,365.0,19.0,15.0,73.0,18.0,207.0,53.0,149.0,130.0,22.0,44.0,96.0,94.0,17.0,271.0,239.0,118.0
1141,3.0,1.0,0.0,8.0,2.0,4.0,13.0,5.0,26.0,15.0,14.0,474.0,6.0,126.0,7.0,159.0,53.0,31.0,86.0,116.0,83.0,24.0,76.0,22.0,20.0,89.0,11.0,34.0,405.0,114.0
1190,4.0,1.0,0.0,13.0,2.0,3.0,18.0,5.0,16.0,7.0,80.0,38.0,8.0,59.0,10.0,78.0,26.0,37.0,108.0,169.0,52.0,44.0,67.0,29.0,15.0,221.0,64.0,134.0,328.0,79.0
1239,2.0,5.0,0.0,13.0,4.0,3.0,22.0,1.0,72.0,15.0,11.0,27.0,7.0,19.0,9.0,121.0,103.0,166.0,418.0,61.0,627.0,24.0,319.0,343.0,35.0,18.0,50.0,25.0,154.0,12.0
1288,1.0,2.0,0.0,4.0,15.0,3.0,8.0,12.0,22.0,5.0,13.0,236.0,16.0,19.0,14.0,7.0,10.0,63.0,148.0,139.0,28.0,80.0,132.0,17.0,36.0,78.0,20.0,296.0,389.0,150.0
1337,0.0,5.0,6.0,1.0,2.0,3.0,12.0,7.0,14.0,4.0,9.0,23.0,11.0,167.0,32.0,19.0,20.0,26.0,626.0,13.0,31.0,387.0,22.0,28.0,39.0,33.0,27.0,108.0,451.0,151.0
1386,1.0,2.0,0.0,4.0,3.0,6.0,8.0,13.0,17.0,7.0,18.0,68.0,22.0,27.0,11.0,66.0,53.0,19.0,115.0,75.0,30.0,353.0,64.0,5.0,36.0,70.0,76.0,26.0,28.0,15.0
1435,0.0,1.0,4.0,3.0,36.0,5.0,33.0,2.0,10.0,38.0,7.0,274.0,16.0,52.0,25.0,6.0,40.0,21.0,112.0,31.0,9.0,71.0,72.0,14.0,84.0,35.0,48.0,107.0,24.0,28.0
1484,1.0,4.0,11.0,0.0,2.0,10.0,18.0,16.0,7.0,20.0,12.0,13.0,14.0,49.0,436.0,8.0,55.0,15.0,171.0,349.0,27.0,25.0,35.0,19.0,24.0,88.0,58.0,77.0,168.0,59.0
1533,7.0,1.0,8.0,3.0,2.0,5.0,12.0,14.0,4.0,0.0,18.0,6.0,11.0,46.0,26.0,17.0,221.0,35.0,13.0,78.0,32.0,9.0,118.0,28.0,20.0,220.0,379.0,140.0,132.0,19.0
1582,4.0,1.0,0.0,11.0,3.0,2.0,6.0,29.0,14.0,5.0,18.0,7.0,12.0,70.0,48.0,13.0,36.0,17.0,68.0,324.0,45.0,65.0,35.0,9.0,26.0,60.0,349.0,30.0,106.0,24.0
1631,1.0,0.0,8.0,2.0,13.0,5.0,4.0,3.0,15.0,37.0,9.0,6.0,21.0,10.0,186.0,7.0,11.0,50.0,147.0,88.0,287.0,40.0,107.0,20.0,30.0,49.0,39.0,592.0,41.0,43.0
1680,0.0,2.0,8.0,3.0,1.0,13.0,7.0,16.0,11.0,311.0,15.0,5.0,10.0,6.0,33.0,4.0,39.0,43.0,17.0,20.0,293.0,18.0,112.0,9.0,73.0,129.0,28.0,502.0,40.0,226.0
1729,3.0,2.0,0.0,4.0,1.0,7.0,8.0,14.0,9.0,11.0,15.0,6.0,24.0,18.0,35.0,5.0,19.0,72.0,39.0,292.0,362.0,20.0,22.0,53.0,546.0,37.0,61.0,64.0,69.0,147.0
1778,5.0,3.0,4.0,2.0,1.0,11.0,0.0,8.0,36.0,17.0,9.0,7.0,16.0,10.0,22.0,12.0,38.0,18.0,13.0,28.0,98.0,40.0,63.0,6.0,353.0,85.0,452.0,61.0,20.0,154.0
