,hsa-miR-574-5p,hsa-miR-548m,hsa-miR-558,hsa-miR-21,hsa-miR-1308,hsa-miR-22,hsa-let-7e,hsa-miR-2117,hsa-miR-92a,hsa-miR-590-5p,hsa-miR-142-5p,hsa-miR-190b,hsa-miR-10a,hsa-miR-545,ebv-miR-BART2-5p,hsa-miR-488,hsa-miR-1246,hsa-miR-34a,hsa-miR-153,hsa-miR-422a,hsa-miR-711,kshv-miR-K12-6-3p,hsa-miR-1269,hcmv-miR-US5-1,hsa-miR-30a,hsa-miR-140-3p,hsa-miR-302e,hsa-miR-30e,hsa-miR-600,hsa-miR-28-5p
19,14.0,16.0,6.0,40.0,8.0,2.0,23.0,581.0,265.0,59.0,29.0,402.0,46.0,65.0,53.0,26.0,35.0,79.0,77.0,74.0,12.0,182.0,71.0,67.0,69.0,62.0,596.0,19.0,145.0,24.0
68,2.0,63.0,14.0,10.0,17.0,11.0,9.0,588.0,13.0,37.0,60.0,18.0,73.0,80.0,69.0,52.0,57.0,608.0,45.0,64.0,61.0,245.0,482.0,74.0,38.0,343.0,620.0,34.0,42.0,7.0
117,0.0,26.0,187.0,10.0,29.0,38.0,433.0,590.0,267.0,116.0,49.0,57.0,20.0,79.0,44.0,54.0,48.0,40.0,393.0,489.0,27.0,241.0,70.0,62.0,624.0,30.0,622.0,25.0,105.0,4.0
166,0.0,25.0,13.0,4.0,34.0,15.0,10.0,590.0,22.0,178.0,76.0,70.0,24.0,82.0,67.0,59.0,39.0,51.0,358.0,9.0,42.0,60.0,481.0,256.0,52.0,73.0,623.0,11.0,55.0,575.0
215,0.0,13.0,36.0,20.0,8.0,11.0,59.0,585.0,315.0,35.0,60.0,19.0,70.0,23.0,72.0,53.0,73.0,42.0,6.0,32.0,9.0,242.0,16.0,69.0,620.0,57.0,618.0,27.0,85.0,574.0
264,0.0,45.0,17.0,24.0,25.0,49.0,436.0,593.0,21.0,48.0,13.0,74.0,56.0,57.0,40.0,60.0,62.0,90.0,72.0,42.0,37.0,247.0,481.0,78.0,618.0,359.0,63.0,64.0,149.0,570.0
313,164.0,27.0,5.0,594.0,14.0,8.0,26.0,584.0,20.0,100.0,83.0,77.0,66.0,19.0,55.0,29.0,40.0,31.0,13.0,70.0,62.0,245.0,470.0,79.0,30.0,74.0,82.0,50.0,107.0,575.0
362,0.0,25.0,37.0,49.0,377.0,30.0,8.0,588.0,47.0,65.0,39.0,43.0,85.0,70.0,203.0,62.0,29.0,607.0,20.0,72.0,68.0,21.0,482.0,26.0,618.0,79.0,88.0,82.0,36.0,571.0
411,28.0,64.0,155.0,3.0,21.0,5.0,436.0,584.0,258.0,38.0,23.0,79.0,66.0,56.0,59.0,13.0,41.0,72.0,346.0,51.0,15.0,162.0,60.0,58.0,46.0,77.0,22.0,27.0,142.0,571.0
460,158.0,47.0,182.0,56.0,10.0,5.0,434.0,589.0,317.0,80.0,45.0,21.0,34.0,41.0,25.0,62.0,13.0,55.0,28.0,23.0,53.0,238.0,481.0,35.0,43.0,60.0,71.0,20.0,78.0,72.0
