,VAV1,YAP_pS127,alpha-Catenin,beta-Catenin,Stathmin,Chk1,Fibronectin,C-Raf(BD610151),CD49b,A-Raf_pS299,Rb,p62 Lck ligand,MSH6,VEGFR2,Src_pY416,4E-BP1,Lck,Akt_pS473,C-Raf(MP05-739),Src,ADAR1,Claudin-7,MDMX_MDM4(BetIHC-00108),Syk,NDRG1_pT346,EGFR,Porin,PAI-1,Caspase-7_cleavedD198,4E-BP1_pT37_T46
4,0.0,4.0,1.0,14.0,2.0,6.0,19.0,10.0,26.0,7.0,34.0,5.0,16.0,15.0,22.0,31.0,51.0,18.0,12.0,8.0,9.0,3.0,13.0,36.0,102.0,55.0,32.0,28.0,79.0,77.0
53,0.0,7.0,1.0,3.0,2.0,33.0,15.0,6.0,25.0,9.0,37.0,8.0,24.0,5.0,4.0,19.0,10.0,13.0,28.0,16.0,36.0,14.0,21.0,40.0,48.0,12.0,78.0,51.0,17.0,71.0
102,0.0,6.0,5.0,2.0,1.0,26.0,25.0,3.0,22.0,9.0,13.0,35.0,17.0,11.0,15.0,4.0,10.0,8.0,55.0,16.0,20.0,29.0,27.0,19.0,42.0,14.0,58.0,28.0,12.0,34.0
151,0.0,5.0,1.0,10.0,7.0,11.0,23.0,9.0,3.0,12.0,4.0,13.0,8.0,18.0,6.0,21.0,17.0,20.0,32.0,44.0,42.0,24.0,47.0,28.0,49.0,39.0,57.0,31.0,91.0,63.0
200,0.0,5.0,2.0,12.0,4.0,22.0,15.0,8.0,16.0,6.0,11.0,17.0,13.0,32.0,10.0,1.0,41.0,3.0,51.0,19.0,18.0,9.0,30.0,27.0,25.0,31.0,26.0,35.0,39.0,47.0
249,0.0,10.0,6.0,2.0,1.0,33.0,27.0,13.0,11.0,4.0,15.0,17.0,14.0,7.0,5.0,12.0,42.0,3.0,34.0,9.0,19.0,8.0,71.0,22.0,25.0,46.0,66.0,100.0,30.0,53.0
298,0.0,1.0,2.0,12.0,8.0,23.0,13.0,9.0,26.0,4.0,19.0,15.0,16.0,10.0,3.0,6.0,60.0,5.0,52.0,54.0,17.0,11.0,56.0,29.0,33.0,21.0,22.0,74.0,75.0,14.0
347,0.0,1.0,7.0,8.0,5.0,26.0,10.0,16.0,61.0,3.0,22.0,13.0,24.0,2.0,20.0,15.0,4.0,6.0,11.0,31.0,9.0,44.0,18.0,38.0,39.0,19.0,41.0,28.0,68.0,52.0
396,0.0,5.0,4.0,9.0,1.0,15.0,6.0,21.0,12.0,2.0,22.0,29.0,7.0,16.0,31.0,13.0,40.0,3.0,17.0,11.0,35.0,10.0,42.0,25.0,32.0,47.0,63.0,36.0,23.0,18.0
445,0.0,3.0,9.0,20.0,1.0,77.0,5.0,17.0,13.0,4.0,40.0,6.0,8.0,75.0,7.0,19.0,21.0,2.0,76.0,30.0,12.0,15.0,24.0,39.0,141.0,28.0,11.0,23.0,91.0,36.0
494,1.0,3.0,2.0,15.0,14.0,5.0,9.0,12.0,76.0,11.0,10.0,7.0,0.0,81.0,29.0,8.0,47.0,51.0,4.0,13.0,56.0,31.0,27.0,17.0,22.0,116.0,6.0,129.0,34.0,70.0
543,0.0,1.0,7.0,14.0,13.0,2.0,5.0,8.0,25.0,28.0,3.0,6.0,10.0,4.0,71.0,17.0,11.0,21.0,18.0,67.0,22.0,26.0,35.0,156.0,27.0,39.0,9.0,24.0,70.0,64.0
592,0.0,1.0,11.0,7.0,6.0,3.0,14.0,10.0,16.0,2.0,5.0,60.0,9.0,38.0,19.0,13.0,4.0,17.0,8.0,32.0,31.0,26.0,61.0,47.0,22.0,37.0,18.0,23.0,21.0,102.0
641,0.0,1.0,5.0,12.0,10.0,19.0,3.0,43.0,15.0,8.0,7.0,4.0,2.0,6.0,32.0,18.0,24.0,40.0,11.0,9.0,26.0,22.0,28.0,64.0,34.0,23.0,44.0,21.0,13.0,52.0
690,2.0,3.0,0.0,13.0,17.0,1.0,6.0,5.0,11.0,15.0,7.0,10.0,4.0,8.0,53.0,40.0,28.0,21.0,9.0,85.0,20.0,102.0,19.0,24.0,49.0,43.0,44.0,25.0,78.0,33.0
739,1.0,0.0,6.0,12.0,4.0,7.0,10.0,3.0,36.0,17.0,8.0,19.0,5.0,14.0,16.0,28.0,31.0,47.0,33.0,76.0,22.0,86.0,11.0,26.0,29.0,77.0,2.0,45.0,9.0,152.0
788,1.0,0.0,2.0,8.0,13.0,5.0,3.0,14.0,17.0,12.0,6.0,10.0,4.0,11.0,19.0,30.0,15.0,66.0,7.0,77.0,33.0,23.0,68.0,39.0,16.0,18.0,24.0,37.0,45.0,28.0
837,0.0,1.0,9.0,15.0,16.0,21.0,10.0,17.0,27.0,4.0,13.0,19.0,2.0,7.0,52.0,8.0,3.0,12.0,11.0,20.0,6.0,61.0,5.0,49.0,30.0,44.0,23.0,54.0,41.0,46.0
886,0.0,1.0,18.0,11.0,14.0,2.0,6.0,8.0,16.0,20.0,3.0,13.0,15.0,4.0,50.0,5.0,31.0,49.0,25.0,9.0,47.0,36.0,7.0,43.0,17.0,45.0,10.0,12.0,22.0,70.0
935,0.0,11.0,3.0,2.0,15.0,7.0,14.0,4.0,25.0,46.0,6.0,24.0,10.0,28.0,69.0,5.0,12.0,22.0,1.0,48.0,120.0,23.0,71.0,63.0,21.0,26.0,13.0,9.0,45.0,76.0
984,0.0,1.0,9.0,5.0,4.0,7.0,6.0,2.0,20.0,12.0,8.0,11.0,15.0,10.0,18.0,33.0,29.0,77.0,3.0,44.0,28.0,23.0,17.0,41.0,43.0,49.0,64.0,45.0,31.0,125.0
1033,0.0,1.0,3.0,2.0,11.0,14.0,4.0,10.0,34.0,20.0,8.0,12.0,37.0,19.0,13.0,35.0,9.0,5.0,57.0,21.0,7.0,23.0,16.0,29.0,18.0,17.0,22.0,33.0,32.0,42.0
1082,0.0,2.0,3.0,5.0,7.0,10.0,14.0,1.0,6.0,28.0,9.0,12.0,45.0,4.0,17.0,15.0,11.0,22.0,39.0,59.0,33.0,13.0,25.0,58.0,78.0,21.0,84.0,26.0,19.0,60.0
1131,0.0,2.0,11.0,21.0,9.0,7.0,12.0,1.0,10.0,6.0,3.0,36.0,5.0,8.0,39.0,15.0,23.0,96.0,4.0,59.0,16.0,13.0,14.0,20.0,28.0,17.0,32.0,95.0,19.0,80.0
1180,0.0,3.0,6.0,2.0,8.0,7.0,5.0,1.0,15.0,12.0,9.0,25.0,18.0,57.0,13.0,14.0,11.0,4.0,16.0,118.0,68.0,17.0,134.0,24.0,27.0,32.0,88.0,65.0,19.0,72.0
1229,0.0,3.0,1.0,14.0,7.0,13.0,10.0,2.0,5.0,27.0,6.0,15.0,4.0,37.0,16.0,77.0,31.0,23.0,12.0,83.0,8.0,19.0,82.0,26.0,20.0,17.0,21.0,22.0,60.0,58.0
1278,0.0,1.0,3.0,4.0,2.0,7.0,13.0,5.0,9.0,21.0,11.0,8.0,16.0,18.0,20.0,46.0,23.0,51.0,10.0,28.0,14.0,6.0,25.0,33.0,12.0,19.0,39.0,88.0,24.0,57.0
1327,0.0,1.0,4.0,21.0,3.0,18.0,17.0,6.0,5.0,8.0,12.0,7.0,9.0,16.0,39.0,65.0,10.0,67.0,2.0,44.0,20.0,14.0,85.0,69.0,11.0,27.0,60.0,13.0,35.0,22.0
1376,0.0,1.0,6.0,3.0,4.0,7.0,9.0,2.0,13.0,17.0,14.0,5.0,10.0,12.0,16.0,21.0,26.0,23.0,85.0,15.0,110.0,32.0,11.0,27.0,19.0,48.0,129.0,83.0,8.0,59.0
1425,0.0,8.0,1.0,2.0,6.0,5.0,25.0,3.0,12.0,24.0,9.0,14.0,4.0,26.0,19.0,7.0,70.0,87.0,10.0,28.0,29.0,16.0,13.0,42.0,37.0,30.0,44.0,64.0,66.0,34.0
1474,0.0,3.0,1.0,6.0,2.0,8.0,4.0,7.0,9.0,53.0,34.0,13.0,10.0,11.0,47.0,21.0,5.0,18.0,14.0,20.0,49.0,22.0,25.0,41.0,130.0,15.0,105.0,24.0,23.0,56.0
1523,0.0,2.0,3.0,1.0,12.0,11.0,13.0,10.0,15.0,36.0,31.0,7.0,17.0,4.0,25.0,8.0,6.0,76.0,161.0,9.0,28.0,18.0,5.0,37.0,27.0,34.0,65.0,19.0,22.0,14.0
1572,0.0,1.0,2.0,3.0,6.0,12.0,5.0,17.0,10.0,47.0,27.0,7.0,20.0,4.0,14.0,15.0,8.0,107.0,53.0,9.0,60.0,33.0,11.0,25.0,34.0,22.0,50.0,28.0,59.0,40.0
1621,0.0,2.0,5.0,17.0,13.0,7.0,1.0,10.0,11.0,21.0,14.0,6.0,12.0,8.0,29.0,60.0,3.0,39.0,20.0,4.0,82.0,57.0,9.0,24.0,26.0,19.0,31.0,42.0,25.0,23.0
1670,0.0,1.0,5.0,10.0,17.0,3.0,2.0,16.0,11.0,22.0,78.0,33.0,12.0,8.0,147.0,4.0,20.0,31.0,36.0,9.0,19.0,15.0,18.0,51.0,39.0,24.0,46.0,37.0,30.0,14.0
1719,0.0,1.0,8.0,2.0,5.0,27.0,6.0,23.0,26.0,10.0,28.0,22.0,16.0,9.0,20.0,34.0,4.0,33.0,39.0,3.0,92.0,18.0,7.0,14.0,132.0,43.0,53.0,13.0,74.0,41.0
1768,0.0,2.0,1.0,4.0,5.0,14.0,7.0,29.0,13.0,19.0,35.0,8.0,15.0,12.0,26.0,3.0,10.0,28.0,32.0,6.0,23.0,27.0,11.0,18.0,16.0,54.0,113.0,45.0,62.0,25.0
1817,0.0,1.0,2.0,3.0,9.0,14.0,21.0,13.0,4.0,16.0,8.0,18.0,30.0,6.0,59.0,19.0,5.0,20.0,54.0,17.0,27.0,22.0,7.0,43.0,45.0,36.0,96.0,35.0,25.0,24.0
