,Caspase-7_cleavedD198,Chk1,MSH6,GAPDH,Stathmin,Lck,PTEN,RAD51,PDCD4,Notch1,4E-BP1,Beclin,Src_pY416,MDMX_MDM4(BetIHC-00108),Caveolin-1,p53,FRA1,Smad4,Chk1_pS345,EGFR,PKC-pan_BetaII_pS660,GSK3-alpha-beta,PEA15_pS116,p70S6K_pT389,GSK3-alpha-beta_pS21_S9,eEF2,TAZ,4E-BP1_pT37_T46,PKC-alpha,Rb_pS807_S811
1,3.0,11.0,2.0,4.0,9.0,50.0,1.0,7.0,15.0,14.0,25.0,24.0,0.0,8.0,6.0,18.0,13.0,10.0,51.0,36.0,23.0,34.0,5.0,46.0,85.0,21.0,54.0,57.0,28.0,17.0
50,0.0,2.0,1.0,3.0,4.0,5.0,7.0,9.0,30.0,16.0,50.0,59.0,8.0,6.0,20.0,12.0,79.0,74.0,21.0,37.0,13.0,40.0,15.0,48.0,38.0,56.0,14.0,47.0,66.0,10.0
99,0.0,4.0,6.0,11.0,3.0,17.0,8.0,9.0,40.0,5.0,28.0,41.0,7.0,1.0,15.0,2.0,18.0,51.0,39.0,34.0,27.0,32.0,10.0,31.0,60.0,14.0,21.0,37.0,36.0,22.0
148,20.0,12.0,15.0,3.0,1.0,18.0,6.0,7.0,0.0,8.0,42.0,50.0,2.0,16.0,32.0,17.0,11.0,13.0,39.0,51.0,10.0,35.0,24.0,29.0,73.0,19.0,60.0,46.0,34.0,5.0
197,2.0,16.0,3.0,9.0,0.0,76.0,22.0,6.0,4.0,42.0,14.0,27.0,1.0,7.0,15.0,5.0,8.0,39.0,35.0,13.0,10.0,36.0,29.0,59.0,74.0,26.0,62.0,28.0,71.0,11.0
246,1.0,15.0,4.0,5.0,7.0,28.0,3.0,8.0,9.0,27.0,29.0,40.0,2.0,0.0,10.0,6.0,19.0,26.0,33.0,12.0,17.0,34.0,11.0,35.0,50.0,39.0,66.0,37.0,43.0,14.0
295,4.0,3.0,9.0,6.0,7.0,56.0,5.0,12.0,13.0,33.0,10.0,62.0,1.0,2.0,32.0,0.0,51.0,35.0,30.0,34.0,11.0,31.0,26.0,15.0,41.0,61.0,60.0,64.0,45.0,19.0
344,1.0,7.0,3.0,6.0,0.0,32.0,9.0,10.0,13.0,11.0,28.0,57.0,5.0,4.0,8.0,2.0,16.0,23.0,26.0,25.0,12.0,47.0,14.0,64.0,65.0,34.0,44.0,52.0,61.0,63.0
393,3.0,28.0,1.0,9.0,7.0,26.0,4.0,10.0,5.0,18.0,20.0,60.0,2.0,0.0,8.0,6.0,36.0,63.0,24.0,17.0,15.0,14.0,34.0,65.0,67.0,40.0,27.0,29.0,39.0,37.0
442,10.0,11.0,3.0,7.0,0.0,14.0,24.0,16.0,8.0,6.0,17.0,83.0,1.0,2.0,23.0,4.0,25.0,62.0,28.0,9.0,22.0,42.0,5.0,20.0,84.0,55.0,35.0,45.0,19.0,34.0
