,NERVOUS,HAEMATOPOIETIC,LUNG,STOMACH,OVARY,PANCREAS,BREAST,URINARY,LIVER,LARGE_INTESTINE,SKIN,OESOPHAGUS,ENDOMETRIUM,PROSTATE,BONE,SOFT_TISSUE,KIDNEY,THYROID,PLEURA,AERODIGESTIVE,GANGLIA,BILIARY,SALIVARY
48,2.0,4.0,0.0,18.0,7.0,12.0,1.0,8.0,3.0,5.0,9.0,13.0,11.0,6.0,10.0,15.0,20.0,14.0,16.0,17.0,19.0,21.0,22.0
97,7.0,9.0,2.0,8.0,6.0,15.0,4.0,0.0,12.0,3.0,5.0,1.0,14.0,17.0,13.0,11.0,10.0,19.0,18.0,20.0,16.0,21.0,22.0
146,4.0,17.0,2.0,0.0,5.0,10.0,1.0,3.0,7.0,9.0,6.0,8.0,11.0,13.0,18.0,14.0,16.0,15.0,12.0,19.0,22.0,20.0,21.0
195,1.0,0.0,9.0,13.0,2.0,15.0,4.0,12.0,3.0,7.0,5.0,10.0,6.0,17.0,8.0,14.0,11.0,19.0,18.0,20.0,16.0,21.0,22.0
244,1.0,0.0,2.0,3.0,5.0,11.0,8.0,4.0,9.0,10.0,7.0,6.0,12.0,13.0,15.0,16.0,14.0,18.0,20.0,17.0,19.0,21.0,22.0
293,6.0,0.0,12.0,4.0,1.0,10.0,9.0,5.0,2.0,8.0,13.0,7.0,11.0,3.0,14.0,15.0,19.0,17.0,21.0,16.0,18.0,20.0,22.0
342,6.0,0.0,3.0,4.0,7.0,9.0,1.0,5.0,2.0,8.0,13.0,20.0,10.0,12.0,11.0,16.0,14.0,17.0,15.0,18.0,19.0,21.0,22.0
391,5.0,0.0,17.0,1.0,14.0,11.0,3.0,2.0,7.0,9.0,4.0,6.0,8.0,16.0,10.0,12.0,13.0,19.0,18.0,20.0,15.0,21.0,22.0
440,4.0,5.0,12.0,16.0,1.0,10.0,2.0,3.0,8.0,6.0,7.0,0.0,11.0,9.0,17.0,13.0,15.0,14.0,18.0,21.0,19.0,22.0,20.0
489,13.0,4.0,0.0,1.0,2.0,10.0,7.0,3.0,8.0,5.0,6.0,9.0,11.0,12.0,14.0,16.0,19.0,17.0,15.0,18.0,20.0,21.0,22.0
538,9.0,7.0,1.0,14.0,8.0,0.0,2.0,10.0,5.0,4.0,11.0,3.0,13.0,6.0,12.0,16.0,18.0,15.0,21.0,17.0,22.0,19.0,20.0
587,1.0,2.0,0.0,4.0,6.0,8.0,10.0,5.0,3.0,17.0,9.0,7.0,11.0,12.0,20.0,14.0,19.0,15.0,13.0,16.0,18.0,21.0,22.0
636,0.0,1.0,3.0,4.0,6.0,10.0,8.0,5.0,2.0,9.0,7.0,20.0,11.0,12.0,14.0,16.0,13.0,17.0,15.0,18.0,19.0,21.0,22.0
685,0.0,7.0,3.0,4.0,6.0,9.0,1.0,5.0,2.0,17.0,10.0,8.0,11.0,12.0,15.0,13.0,19.0,14.0,16.0,21.0,18.0,22.0,20.0
734,7.0,1.0,12.0,5.0,0.0,4.0,2.0,6.0,3.0,9.0,14.0,8.0,10.0,22.0,11.0,18.0,13.0,19.0,20.0,15.0,16.0,17.0,21.0
783,0.0,2.0,8.0,10.0,9.0,5.0,6.0,1.0,7.0,19.0,11.0,4.0,16.0,3.0,14.0,12.0,17.0,13.0,15.0,18.0,20.0,21.0,22.0
832,8.0,1.0,6.0,10.0,7.0,0.0,4.0,9.0,5.0,14.0,11.0,3.0,13.0,2.0,12.0,16.0,20.0,15.0,17.0,18.0,19.0,21.0,22.0
881,1.0,13.0,7.0,9.0,2.0,0.0,5.0,8.0,11.0,4.0,6.0,14.0,12.0,3.0,16.0,10.0,15.0,20.0,17.0,18.0,19.0,21.0,22.0
930,5.0,2.0,0.0,16.0,1.0,4.0,6.0,15.0,7.0,3.0,12.0,20.0,8.0,10.0,9.0,11.0,14.0,13.0,17.0,18.0,19.0,21.0,22.0
979,0.0,1.0,4.0,20.0,6.0,2.0,3.0,16.0,10.0,7.0,13.0,5.0,8.0,11.0,9.0,12.0,15.0,14.0,17.0,18.0,19.0,21.0,22.0
1028,0.0,15.0,3.0,7.0,2.0,8.0,1.0,6.0,11.0,4.0,5.0,10.0,14.0,17.0,12.0,18.0,9.0,19.0,13.0,16.0,21.0,20.0,22.0
1077,2.0,17.0,4.0,0.0,19.0,5.0,6.0,1.0,13.0,8.0,3.0,7.0,10.0,12.0,18.0,14.0,16.0,15.0,11.0,9.0,21.0,22.0,20.0
1126,2.0,10.0,6.0,0.0,7.0,4.0,5.0,1.0,11.0,9.0,3.0,8.0,13.0,15.0,12.0,16.0,18.0,17.0,22.0,14.0,21.0,19.0,20.0
1175,1.0,9.0,0.0,3.0,4.0,8.0,5.0,7.0,14.0,6.0,2.0,13.0,16.0,17.0,15.0,12.0,10.0,11.0,18.0,19.0,21.0,20.0,22.0
1224,2.0,8.0,4.0,6.0,16.0,1.0,0.0,5.0,13.0,3.0,7.0,12.0,15.0,17.0,14.0,11.0,9.0,10.0,18.0,19.0,21.0,20.0,22.0
1273,4.0,17.0,3.0,0.0,1.0,2.0,8.0,18.0,19.0,5.0,14.0,6.0,9.0,20.0,11.0,13.0,16.0,15.0,10.0,7.0,22.0,12.0,21.0
1322,18.0,17.0,1.0,2.0,4.0,9.0,6.0,3.0,13.0,5.0,0.0,7.0,10.0,12.0,19.0,14.0,16.0,15.0,11.0,8.0,22.0,20.0,21.0
1371,0.0,15.0,3.0,1.0,6.0,8.0,2.0,7.0,12.0,4.0,5.0,16.0,14.0,17.0,13.0,11.0,9.0,10.0,18.0,19.0,21.0,20.0,22.0
1420,1.0,16.0,0.0,17.0,2.0,3.0,6.0,4.0,18.0,5.0,13.0,7.0,8.0,11.0,10.0,12.0,15.0,14.0,9.0,21.0,22.0,19.0,20.0
1469,4.0,17.0,2.0,18.0,5.0,1.0,6.0,3.0,13.0,8.0,0.0,7.0,10.0,22.0,19.0,14.0,16.0,15.0,11.0,9.0,21.0,12.0,20.0
1518,0.0,2.0,1.0,5.0,6.0,3.0,4.0,9.0,10.0,14.0,8.0,7.0,12.0,16.0,11.0,17.0,19.0,18.0,20.0,15.0,13.0,21.0,22.0
1567,4.0,2.0,0.0,19.0,17.0,1.0,3.0,15.0,5.0,18.0,16.0,20.0,8.0,22.0,10.0,12.0,14.0,13.0,9.0,7.0,6.0,11.0,21.0
1616,0.0,1.0,3.0,4.0,6.0,2.0,8.0,14.0,9.0,10.0,7.0,5.0,11.0,12.0,20.0,16.0,13.0,17.0,15.0,18.0,19.0,21.0,22.0
