,HAEMATOPOIETIC,ENDOMETRIUM,PANCREAS,LIVER,NERVOUS,BREAST,LUNG,OVARY,SKIN,URINARY,OESOPHAGUS,GANGLIA,LARGE_INTESTINE,AERODIGESTIVE,PROSTATE,BONE,SALIVARY,SOFT_TISSUE,THYROID,KIDNEY,STOMACH,PLEURA,BILIARY
47,0.0,1.0,2.0,4.0,3.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
96,0.0,12.0,1.0,15.0,2.0,5.0,4.0,6.0,3.0,7.0,8.0,9.0,10.0,11.0,13.0,14.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
145,0.0,2.0,1.0,4.0,3.0,5.0,7.0,6.0,9.0,8.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
194,0.0,1.0,2.0,3.0,4.0,6.0,7.0,5.0,8.0,19.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,20.0,21.0,22.0
243,0.0,1.0,2.0,3.0,4.0,6.0,5.0,8.0,9.0,7.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
292,0.0,1.0,2.0,15.0,3.0,6.0,5.0,4.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
341,0.0,2.0,1.0,3.0,4.0,5.0,7.0,6.0,9.0,8.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
390,0.0,1.0,2.0,3.0,4.0,5.0,8.0,19.0,7.0,6.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,20.0,21.0,22.0
439,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,19.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,20.0,21.0,22.0
488,1.0,2.0,0.0,4.0,3.0,6.0,5.0,7.0,9.0,8.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
537,0.0,1.0,4.0,2.0,5.0,7.0,6.0,3.0,9.0,8.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
586,0.0,1.0,2.0,3.0,6.0,5.0,7.0,4.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
635,0.0,2.0,1.0,4.0,5.0,6.0,9.0,3.0,7.0,8.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
684,0.0,1.0,3.0,2.0,4.0,5.0,9.0,8.0,6.0,7.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
733,0.0,1.0,3.0,2.0,6.0,4.0,7.0,5.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
782,0.0,2.0,4.0,3.0,6.0,9.0,5.0,1.0,7.0,8.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
831,0.0,1.0,5.0,4.0,3.0,7.0,6.0,2.0,9.0,8.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
880,0.0,1.0,2.0,3.0,6.0,5.0,7.0,4.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
929,0.0,12.0,2.0,3.0,5.0,6.0,1.0,4.0,7.0,19.0,8.0,9.0,10.0,11.0,13.0,14.0,15.0,16.0,17.0,18.0,20.0,21.0,22.0
978,1.0,2.0,3.0,0.0,4.0,5.0,6.0,7.0,9.0,8.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
1027,0.0,3.0,2.0,1.0,6.0,8.0,4.0,5.0,7.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
1076,0.0,2.0,6.0,16.0,8.0,5.0,7.0,4.0,9.0,10.0,11.0,12.0,3.0,13.0,14.0,15.0,17.0,18.0,19.0,20.0,1.0,21.0,22.0
1125,0.0,21.0,5.0,2.0,4.0,8.0,6.0,7.0,10.0,9.0,11.0,12.0,3.0,13.0,14.0,16.0,17.0,18.0,19.0,20.0,1.0,15.0,22.0
1174,0.0,3.0,4.0,2.0,6.0,8.0,5.0,20.0,9.0,7.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,1.0,21.0,22.0
1223,0.0,3.0,4.0,2.0,5.0,6.0,9.0,20.0,7.0,8.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,1.0,21.0,22.0
1272,0.0,3.0,4.0,2.0,7.0,9.0,5.0,6.0,8.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,1.0,21.0,22.0
1321,0.0,3.0,2.0,1.0,4.0,9.0,8.0,6.0,5.0,7.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
1370,0.0,1.0,2.0,14.0,5.0,3.0,7.0,19.0,6.0,4.0,8.0,9.0,10.0,11.0,13.0,21.0,15.0,16.0,17.0,18.0,20.0,12.0,22.0
1419,0.0,2.0,4.0,15.0,5.0,9.0,6.0,8.0,7.0,20.0,10.0,11.0,3.0,12.0,13.0,14.0,16.0,17.0,18.0,19.0,1.0,21.0,22.0
