,GSTTP1_AMP,PRB1_AMP,LOC653786_DEL,GOLGA8DP_DEL,LOC440970_DEL,MAST4_MUT,LRRC37A2_AMP,CADM2_DEL,AATK_AMP,LRMP_AMP,NCOA7_DEL,CES1P1_DEL,DNAH8_MUT,SIGLEC14_DEL,NSFP1_AMP,ARL17B_AMP,TAS2R43_AMP,C18orf61_DEL,LOC728407_AMP,DPP6_DEL,ZBTB20_AMP,NSF_AMP,LRRC37A_AMP,FBXO31_DEL,LOC348120_AMP,PKHD1_MUT,ARSB_DEL,LILRA6_DEL,EP300_MUT,ASTN1_MUT
31,13.0,15.0,32.0,36.0,17.0,3.0,88.0,18.0,0.0,14.0,11.0,8.0,95.0,2.0,196.0,2795.0,48.0,70.0,56.0,161.0,81.0,753.0,19544.0,38.0,116.0,43.0,40.0,175.0,24.0,276.0
80,8.0,5.0,89.0,133.0,7.0,2.0,940.0,17.0,3.0,12.0,37.0,1753.0,13.0,0.0,1779.0,437.0,45.0,135.0,48.0,92.0,195.0,14556.0,438.0,25.0,55.0,6.0,33.0,26.0,11.0,51.0
129,5.0,4.0,62.0,8.0,15.0,2.0,200.0,29.0,3.0,17.0,19.0,899.0,21.0,6.0,467.0,158.0,30.0,34.0,16.0,56.0,9.0,883.0,623.0,25.0,116.0,32.0,61.0,64.0,35.0,39.0
178,8.0,2.0,29.0,25.0,55.0,1.0,18.0,37.0,14.0,28.0,189.0,19.0,0.0,50.0,13.0,105.0,22.0,11.0,17.0,1094.0,4.0,58.0,302.0,12.0,75.0,24.0,66.0,30.0,23.0,60.0
227,23.0,1.0,22.0,21.0,35.0,0.0,37.0,17.0,8.0,16.0,25.0,312.0,44.0,210.0,43.0,27.0,6.0,33.0,9.0,15.0,31.0,130.0,74.0,42.0,3.0,36.0,34.0,2173.0,7.0,220.0
276,9.0,0.0,303.0,251.0,20.0,2.0,12.0,62.0,4.0,22.0,16.0,3479.0,25.0,332.0,19.0,157.0,57.0,45.0,28.0,3378.0,11.0,44.0,845.0,17.0,1.0,8.0,51.0,29.0,48.0,253.0
325,83.0,0.0,82.0,610.0,13.0,8.0,3.0,17.0,1.0,9.0,61.0,5.0,56.0,29.0,6.0,54.0,39.0,113.0,16.0,28.0,7.0,21.0,145.0,26.0,51.0,52.0,10.0,27.0,33.0,70.0
374,10.0,2.0,17.0,20.0,6.0,1.0,35.0,30.0,4.0,13.0,37.0,45.0,16.0,7.0,48.0,83.0,65.0,28.0,14.0,120.0,9.0,152.0,233.0,42.0,39.0,3.0,31.0,33.0,32.0,73.0
423,0.0,5.0,17.0,26.0,7.0,681.0,10.0,30.0,1.0,64.0,23.0,193.0,12.0,3.0,19.0,62.0,2.0,68.0,21.0,11.0,25.0,59.0,178.0,136.0,38.0,4.0,13.0,39.0,6.0,121.0
472,47.0,10.0,69.0,8.0,0.0,7.0,18.0,37.0,2.0,40.0,25.0,45.0,24.0,42.0,30.0,1200.0,12.0,63.0,6.0,26.0,12719.0,62.0,17538.0,133.0,148.0,51.0,177.0,19.0,68.0,75.0
521,1.0,43.0,9.0,8.0,4.0,12.0,16.0,2.0,29.0,5.0,45.0,15.0,150.0,0.0,26.0,13.0,16707.0,63.0,59.0,30.0,135.0,37.0,18.0,53.0,25.0,1534.0,122.0,84.0,237.0,117.0
570,0.0,67.0,15.0,2.0,24.0,11.0,8.0,7.0,61.0,3.0,120.0,19.0,170.0,46.0,16.0,76.0,2596.0,70.0,104.0,18.0,139.0,20.0,220.0,26.0,30.0,1057.0,285.0,468.0,45.0,69.0
619,0.0,65.0,12.0,4.0,16.0,13.0,20.0,2.0,57.0,3.0,5.0,107.0,184.0,264.0,33.0,15.0,64.0,73.0,63.0,26.0,1238.0,25.0,19.0,29.0,914.0,310.0,170.0,38.0,91.0,87.0
668,1.0,76.0,11.0,12.0,8.0,3.0,15.0,0.0,29.0,4.0,7.0,6.0,40.0,70.0,52.0,25.0,763.0,22.0,27.0,9.0,2007.0,56.0,32.0,14.0,349.0,620.0,83.0,19.0,23.0,947.0
717,1.0,226.0,47.0,13.0,2.0,4.0,27.0,11.0,30.0,6.0,58.0,84.0,7.0,8.0,51.0,74.0,255.0,125.0,113.0,12.0,124.0,22.0,111.0,33.0,40.0,26.0,141.0,168.0,43.0,103.0
766,1.0,259.0,7.0,0.0,2.0,15.0,6.0,17.0,63.0,11.0,20.0,95.0,8.0,13.0,12.0,61.0,52.0,73.0,94.0,24.0,40.0,10.0,37.0,29.0,267.0,1589.0,58.0,59.0,21.0,110.0
815,1.0,99.0,8.0,2.0,7.0,14.0,16.0,18.0,72.0,12.0,0.0,11.0,52.0,15.0,30.0,82.0,680.0,67.0,71.0,251.0,353.0,31.0,164.0,36.0,21.0,1486.0,85.0,53.0,38.0,90.0
864,0.0,56.0,72.0,2.0,74.0,14.0,31.0,1.0,260.0,10.0,33.0,189.0,24.0,2000.0,42.0,22.0,2885.0,79.0,68.0,182.0,23.0,57.0,27.0,35.0,45.0,151.0,50.0,123.0,191.0,374.0
913,16.0,60.0,11.0,1.0,0.0,14.0,24.0,2.0,30.0,34.0,9.0,152.0,871.0,12.0,58.0,146.0,36.0,175.0,29.0,4.0,1542.0,145.0,231.0,85.0,18.0,267.0,519.0,247.0,71.0,74.0
