,CNTN5_DEL,FBXO31_DEL,EIF5AL1_DEL,CHD1_MUT,CWF19L2_AMP,DEFB127_DEL,FGFR1_DEL,LOC653786_DEL,PGLYRP4_AMP,LINC00642_DEL,ETS1_DEL,DCAF4_DEL,SPRR2C_AMP,DEFB125_DEL,P2RX7_MUT,SPRR2G_AMP,SPRR2F_AMP,UNC13C_DEL,PGLYRP3_AMP,LCE1C_AMP,PRB1_AMP,INADL_AMP,C20orf96_DEL,DEFB129_DEL,AMHR2_MUT,LCE6A_AMP,SMARCA4_MUT,LOC285401_DEL,OR2T2_DEL,TPM3_AMP
32,0.0,2.0,8.0,9.0,93.0,28.0,5476.0,59.0,36.0,518.0,88.0,5429.0,165.0,66.0,25.0,155.0,719.0,37.0,712.0,51.0,121.0,84.0,33.0,19.0,32.0,714.0,152.0,74.0,4328.0,72.0
81,9.0,0.0,4.0,2.0,7.0,1.0,212.0,45.0,10.0,33.0,32.0,166.0,155.0,103.0,1351.0,58.0,22.0,48.0,149.0,59.0,538.0,106.0,64.0,599.0,28.0,47.0,138.0,57.0,647.0,125.0
130,1.0,3.0,2.0,12.0,0.0,157.0,33.0,90.0,337.0,315.0,119.0,131.0,1339.0,94.0,39.0,1052.0,1051.0,14.0,70.0,1053.0,16.0,197.0,1167.0,36.0,38.0,2157.0,182.0,2883.0,63.0,137.0
179,4.0,0.0,2.0,5.0,17.0,18.0,848.0,306.0,7.0,110.0,1064.0,821.0,105.0,38.0,50.0,209.0,432.0,19.0,440.0,29.0,311.0,49.0,45.0,127.0,63.0,428.0,92.0,164.0,74.0,31.0
228,31.0,1.0,5.0,3.0,0.0,12.0,8.0,20.0,19.0,43.0,6535.0,6405.0,50.0,206.0,16.0,25.0,131.0,884.0,71.0,26.0,2.0,235.0,354.0,113.0,2643.0,114.0,17.0,368.0,58.0,24016.0
277,2.0,0.0,1.0,35.0,3.0,123.0,1150.0,206.0,29.0,183.0,38.0,864.0,82.0,760.0,95.0,154.0,155.0,143.0,49.0,814.0,73.0,467.0,246.0,182.0,10.0,16.0,131.0,248.0,626.0,478.0
326,10.0,3.0,5.0,1.0,32.0,30.0,244.0,63.0,58.0,11.0,60.0,156.0,23651.0,94.0,334.0,1290.0,23657.0,31.0,18016.0,79.0,15.0,45.0,48.0,44.0,148.0,130.0,0.0,6700.0,292.0,265.0
375,17.0,12.0,4.0,3.0,0.0,43.0,45.0,7.0,83.0,18.0,166.0,390.0,46.0,1305.0,58.0,810.0,184.0,23.0,813.0,57.0,41.0,2.0,371.0,4511.0,13.0,103.0,657.0,6677.0,91.0,60.0
424,4.0,35.0,17.0,5.0,0.0,29.0,34.0,168.0,11.0,102.0,137.0,223.0,8.0,45.0,2.0,123.0,487.0,71.0,485.0,152.0,7.0,32.0,486.0,18.0,134.0,83.0,12.0,24.0,179.0,196.0
473,1.0,12.0,6.0,2.0,0.0,112.0,14.0,108.0,22.0,225.0,3238.0,44.0,23753.0,6179.0,119.0,455.0,23750.0,27.0,768.0,58.0,65.0,4.0,62.0,741.0,37.0,14620.0,415.0,192.0,816.0,23.0
522,2.0,247.0,235.0,142.0,0.0,21.0,64.0,12.0,56.0,4199.0,5.0,549.0,91.0,365.0,1925.0,15.0,39.0,33.0,496.0,486.0,22158.0,286.0,27.0,6.0,30.0,104.0,4.0,547.0,4558.0,387.0
571,3.0,32.0,2.0,7.0,0.0,56.0,93.0,1360.0,27.0,187.0,264.0,255.0,26.0,42.0,88.0,80.0,79.0,475.0,101.0,71.0,75.0,37.0,887.0,6530.0,567.0,341.0,30.0,98.0,1110.0,266.0
620,0.0,9.0,28.0,27.0,12.0,20.0,489.0,367.0,11.0,501.0,172.0,34.0,89.0,419.0,117.0,104.0,35.0,268.0,96.0,16.0,22629.0,6.0,133.0,95.0,112.0,14416.0,17069.0,72.0,498.0,51.0
669,63.0,1.0,11.0,145.0,0.0,17.0,620.0,32.0,8.0,523.0,72.0,270.0,21.0,24.0,9.0,58.0,70.0,119.0,230.0,20.0,2480.0,890.0,140.0,1485.0,59.0,287.0,52.0,361.0,110.0,185.0
718,12.0,1.0,53.0,712.0,32.0,4.0,121.0,609.0,69.0,7.0,10.0,57.0,21.0,41.0,109.0,102.0,65.0,20.0,101.0,26.0,604.0,75.0,76.0,27.0,2415.0,613.0,209.0,82.0,23.0,50.0
767,6.0,0.0,20.0,5.0,43.0,7.0,17.0,4.0,13.0,609.0,158.0,30.0,75.0,16.0,202.0,9.0,77.0,11126.0,19.0,72.0,22169.0,95.0,56.0,48.0,563.0,447.0,107.0,70.0,1262.0,65.0
816,7.0,61.0,10.0,3.0,1.0,11.0,201.0,6.0,1370.0,172.0,2473.0,56.0,299.0,32.0,267.0,715.0,1740.0,161.0,17995.0,243.0,22207.0,20.0,42.0,36.0,91.0,14490.0,182.0,3480.0,3653.0,708.0
865,1029.0,5.0,12.0,638.0,1.0,376.0,399.0,274.0,20.0,4450.0,181.0,98.0,86.0,207.0,16470.0,29.0,59.0,660.0,25.0,52.0,188.0,103.0,46.0,18.0,90.0,81.0,2259.0,870.0,27.0,79.0
914,26.0,4.0,22.0,76.0,0.0,97.0,173.0,90.0,44.0,557.0,6049.0,9.0,52.0,101.0,188.0,17.0,53.0,148.0,15.0,141.0,386.0,27.0,37.0,128.0,82.0,337.0,312.0,13.0,107.0,67.0
963,2.0,897.0,520.0,7.0,174.0,8.0,12.0,1.0,29.0,911.0,5361.0,108.0,83.0,91.0,899.0,39.0,404.0,1053.0,26.0,402.0,1736.0,872.0,189.0,28.0,379.0,166.0,264.0,49.0,65.0,34.0
1012,0.0,3.0,1636.0,1.0,220.0,49.0,93.0,2.0,55.0,4691.0,7.0,6734.0,91.0,7552.0,795.0,80.0,12.0,31.0,92.0,15454.0,22083.0,73.0,6126.0,6185.0,16789.0,25.0,34.0,69.0,614.0,38.0
1061,14.0,1.0,52.0,21.0,6.0,18.0,2.0,93.0,137.0,3638.0,8.0,7306.0,82.0,115.0,1939.0,19.0,10.0,83.0,81.0,73.0,33.0,677.0,146.0,36.0,70.0,72.0,41.0,149.0,89.0,99.0
1110,15.0,19.0,8.0,25.0,59.0,6153.0,12.0,9.0,792.0,1556.0,5563.0,2141.0,17.0,43.0,16617.0,46.0,134.0,16.0,26.0,402.0,300.0,64.0,161.0,192.0,200.0,138.0,0.0,3744.0,62.0,61.0
1159,49.0,19.0,0.0,1.0,18.0,11.0,27.0,84.0,25.0,158.0,38.0,7392.0,12.0,28.0,194.0,87.0,5.0,2.0,104.0,108.0,376.0,160.0,5784.0,64.0,8.0,326.0,708.0,14.0,153.0,329.0
1208,4.0,29.0,54.0,0.0,40.0,41.0,5.0,150.0,22444.0,708.0,511.0,5373.0,129.0,137.0,2669.0,75.0,727.0,92.0,436.0,728.0,22216.0,442.0,396.0,10.0,20.0,130.0,123.0,179.0,449.0,432.0
1257,31.0,4.0,69.0,1.0,6.0,2.0,29.0,47.0,402.0,171.0,121.0,585.0,225.0,61.0,1092.0,186.0,18.0,124.0,144.0,289.0,44.0,1088.0,111.0,5030.0,3068.0,58.0,158.0,75.0,4484.0,227.0
1306,1.0,718.0,5.0,0.0,517.0,71.0,2.0,6.0,491.0,416.0,305.0,796.0,63.0,372.0,254.0,53.0,10.0,3.0,62.0,513.0,383.0,572.0,136.0,52.0,39.0,61.0,250.0,13.0,193.0,35.0
1355,3.0,0.0,298.0,1.0,2.0,23.0,114.0,167.0,22460.0,897.0,317.0,442.0,361.0,76.0,150.0,139.0,17.0,15.0,85.0,15366.0,22205.0,190.0,686.0,562.0,5.0,78.0,296.0,118.0,2767.0,360.0
1404,3.0,2.0,191.0,11.0,777.0,27.0,43.0,7.0,22416.0,20.0,5.0,64.0,58.0,47.0,612.0,49.0,10.0,0.0,53.0,342.0,793.0,206.0,46.0,305.0,2254.0,232.0,201.0,80.0,34.0,157.0
1453,10.0,18.0,13.0,1.0,92.0,236.0,0.0,147.0,22484.0,23.0,208.0,4.0,260.0,670.0,16517.0,41.0,7.0,2.0,86.0,209.0,22151.0,227.0,5780.0,689.0,1164.0,296.0,394.0,6534.0,4790.0,677.0
1502,35.0,2.0,28.0,69.0,24.0,56.0,5.0,6.0,26.0,126.0,143.0,16.0,48.0,191.0,9.0,114.0,115.0,277.0,34.0,29.0,287.0,133.0,103.0,152.0,70.0,107.0,39.0,59.0,4.0,25.0
1551,3.0,1.0,2.0,435.0,23.0,551.0,17.0,1361.0,29.0,79.0,562.0,6.0,19.0,550.0,130.0,62.0,63.0,25.0,59.0,38.0,84.0,578.0,165.0,253.0,890.0,105.0,610.0,226.0,95.0,57.0
1600,0.0,15.0,7.0,540.0,1272.0,203.0,31.0,2.0,126.0,33.0,241.0,8.0,85.0,7127.0,29.0,30.0,50.0,131.0,352.0,149.0,23.0,335.0,3339.0,1653.0,570.0,355.0,59.0,500.0,22.0,267.0
