,DNAH8_MUT,GSTTP1_AMP,DPP6_DEL,LOC440970_DEL,PRB1_AMP,LOC653786_DEL,LILRA6_DEL,GOLGA8DP_DEL,LRRC37A2_AMP,CADM2_DEL,USP32P1_AMP,NCOA7_DEL,LPA_AMP,LOC348120_AMP,ARSB_DEL,NSFP1_AMP,MAST4_MUT,AATK_AMP,CT45A3_DEL,OR2T11_AMP,LILRB3_DEL,BCAS1_AMP,PDE4D_AMP,FAM106CP_AMP,CCDC144A_AMP,CROCC_DEL,NCOA3_MUT,TAS2R43_AMP,P2RX7_MUT,OR51A2_DEL
30,61.0,16.0,77.0,9.0,18.0,34.0,62.0,69.0,425.0,142.0,10.0,4.0,14.0,46.0,21.0,773.0,3.0,0.0,38.0,252.0,130.0,11.0,15.0,64.0,63.0,51.0,48.0,98.0,40.0,1.0
79,2.0,7.0,19.0,9.0,10.0,89.0,6.0,117.0,591.0,26.0,0.0,25.0,264.0,57.0,17.0,1145.0,4.0,3.0,88.0,194.0,20.0,40.0,22.0,12.0,13.0,18.0,23.0,123.0,48.0,49.0
128,4.0,0.0,16.0,10.0,2.0,50.0,18.0,13.0,206.0,89.0,28.0,14.0,1726.0,101.0,32.0,339.0,3.0,1.0,12.0,4072.0,53.0,92.0,6.0,139.0,138.0,81.0,26.0,36.0,82.0,7.0
177,0.0,8.0,51.0,77.0,2.0,62.0,6.0,23.0,46.0,146.0,20.0,207.0,93.0,89.0,18.0,41.0,1.0,25.0,7.0,10.0,13.0,73.0,4.0,83.0,84.0,137.0,88.0,37.0,130.0,12.0
226,20.0,24.0,0.0,16.0,4.0,17.0,259.0,15.0,44.0,70.0,6.0,13.0,450.0,3.0,14.0,54.0,5.0,12.0,19.0,31.0,260.0,330.0,9.0,23.0,22.0,33.0,175.0,8.0,36.0,27.0
275,7.0,2.0,163.0,12.0,9.0,335.0,8.0,219.0,30.0,197.0,324.0,17.0,693.0,0.0,21.0,38.0,13.0,14.0,79.0,562.0,22.0,26.0,1813.0,323.0,322.0,16.0,191.0,98.0,27.0,25.0
324,10.0,51.0,0.0,6.0,1.0,134.0,3.0,231.0,4.0,111.0,13.0,30.0,112.0,43.0,7.0,8.0,16.0,5.0,32.0,28.0,12.0,125.0,11.0,63.0,62.0,14.0,131.0,48.0,126.0,52.0
373,0.0,7.0,15.0,6.0,1.0,10.0,8.0,42.0,43.0,174.0,26.0,28.0,14.0,51.0,9.0,62.0,5.0,3.0,16.0,69.0,20.0,44.0,36.0,99.0,100.0,12.0,125.0,56.0,74.0,13.0
422,3.0,0.0,1.0,8.0,13.0,23.0,10.0,26.0,16.0,121.0,14.0,17.0,25.0,28.0,7.0,20.0,413.0,2.0,24.0,136.0,18.0,12.0,53.0,39.0,38.0,4.0,29.0,5.0,27.0,37.0
471,4.0,27.0,1.0,0.0,8.0,96.0,2.0,12.0,22.0,198.0,26.0,17.0,13.0,137.0,65.0,33.0,7.0,5.0,29.0,31.0,14.0,203.0,3.0,88.0,89.0,108.0,32.0,23.0,102.0,53.0
520,48.0,0.0,18.0,7.0,24.0,11.0,32.0,8.0,33.0,2.0,1.0,41.0,29.0,16.0,64.0,52.0,28.0,50.0,54.0,22.0,99.0,13.0,25.0,4.0,3.0,49.0,38.0,7878.0,109.0,44.0
569,32.0,0.0,16.0,22.0,29.0,18.0,180.0,2.0,20.0,14.0,156.0,57.0,53.0,31.0,287.0,38.0,36.0,118.0,117.0,19.0,587.0,10.0,13.0,222.0,223.0,24.0,15.0,3650.0,52.0,8.0
618,43.0,0.0,15.0,24.0,39.0,21.0,9.0,6.0,16.0,5.0,88.0,2.0,10.0,91.0,98.0,41.0,25.0,128.0,33.0,11.0,45.0,72.0,217.0,146.0,147.0,40.0,68.0,125.0,50.0,19.0
667,4.0,0.0,3.0,5.0,29.0,10.0,12.0,15.0,47.0,1.0,7.0,19.0,17.0,102.0,53.0,87.0,6.0,148.0,32.0,31.0,46.0,49.0,11.0,21.0,20.0,128.0,13.0,1232.0,44.0,24.0
716,4.0,1.0,2.0,3.0,116.0,62.0,45.0,23.0,44.0,14.0,25.0,46.0,9.0,19.0,69.0,83.0,12.0,60.0,81.0,29.0,114.0,22.0,30.0,108.0,109.0,40.0,42.0,393.0,61.0,773.0
