,phosphocreatine,GABA,pantothenate,urate,homocysteine,serine,C18:0 LPE,serotonin,niacinamide,beta-alanine,C16:0 LPE,C18:0 LPC,alpha-glycerophosphocholine,C56:5 TAG,creatine,creatinine,C36:4 PC-B,C22:6 CE,2-deoxyadenosine,N-carbamoyl-beta-alanine,alpha-glycerophosphate,asparagine,3-phosphoglycerate,PEP,taurodeoxycholate,uridine,oxalate,malondialdehyde,valerylcarnitine,1-methylnicotinamide
27,2.0,6.0,10.0,38.0,26.0,27.0,21.0,12.0,14.0,19.0,3.0,20.0,8.0,59.0,62.0,9.0,0.0,23.0,24.0,13.0,28.0,32.0,11.0,34.0,5.0,55.0,33.0,37.0,65.0,17.0
76,50.0,18.0,2.0,54.0,5.0,4.0,14.0,19.0,57.0,10.0,12.0,11.0,65.0,17.0,13.0,0.0,41.0,16.0,8.0,15.0,26.0,49.0,66.0,25.0,28.0,53.0,59.0,64.0,1.0,48.0
125,0.0,3.0,5.0,24.0,4.0,13.0,33.0,6.0,63.0,19.0,29.0,7.0,64.0,17.0,43.0,11.0,26.0,21.0,65.0,1.0,9.0,58.0,42.0,51.0,55.0,54.0,28.0,14.0,12.0,8.0
174,4.0,10.0,0.0,5.0,28.0,38.0,3.0,9.0,13.0,19.0,21.0,48.0,6.0,63.0,8.0,15.0,24.0,25.0,7.0,12.0,39.0,29.0,1.0,36.0,61.0,35.0,59.0,37.0,65.0,55.0
223,0.0,12.0,8.0,65.0,45.0,6.0,31.0,20.0,61.0,4.0,32.0,10.0,62.0,14.0,18.0,64.0,22.0,23.0,1.0,17.0,47.0,59.0,21.0,7.0,57.0,26.0,30.0,5.0,36.0,41.0
272,0.0,7.0,65.0,34.0,26.0,9.0,14.0,6.0,55.0,46.0,43.0,11.0,56.0,53.0,16.0,15.0,19.0,22.0,8.0,17.0,10.0,28.0,25.0,29.0,4.0,5.0,60.0,27.0,2.0,49.0
321,9.0,4.0,3.0,22.0,45.0,0.0,21.0,11.0,10.0,40.0,2.0,12.0,61.0,59.0,63.0,64.0,42.0,34.0,18.0,60.0,47.0,13.0,1.0,23.0,53.0,8.0,7.0,65.0,15.0,33.0
370,27.0,0.0,1.0,4.0,2.0,9.0,21.0,22.0,6.0,11.0,39.0,20.0,15.0,5.0,13.0,14.0,42.0,46.0,10.0,18.0,12.0,7.0,24.0,30.0,54.0,28.0,56.0,63.0,16.0,64.0
419,0.0,12.0,8.0,53.0,26.0,3.0,5.0,11.0,25.0,38.0,21.0,39.0,58.0,13.0,17.0,60.0,44.0,23.0,18.0,15.0,41.0,28.0,16.0,9.0,33.0,30.0,7.0,32.0,35.0,19.0
468,29.0,54.0,0.0,26.0,66.0,1.0,20.0,12.0,58.0,17.0,19.0,39.0,5.0,55.0,59.0,14.0,43.0,22.0,24.0,56.0,3.0,10.0,15.0,60.0,30.0,31.0,9.0,2.0,16.0,7.0
517,2.0,3.0,0.0,6.0,4.0,8.0,37.0,20.0,65.0,23.0,9.0,14.0,15.0,17.0,59.0,60.0,19.0,22.0,62.0,16.0,1.0,48.0,25.0,26.0,33.0,31.0,30.0,50.0,47.0,49.0
566,33.0,11.0,7.0,32.0,3.0,36.0,25.0,21.0,5.0,23.0,10.0,42.0,17.0,54.0,65.0,59.0,15.0,46.0,61.0,13.0,0.0,8.0,27.0,29.0,6.0,1.0,35.0,53.0,26.0,19.0
615,0.0,6.0,4.0,2.0,5.0,28.0,46.0,12.0,10.0,19.0,20.0,36.0,13.0,53.0,59.0,60.0,7.0,23.0,62.0,1.0,29.0,27.0,26.0,58.0,55.0,8.0,3.0,50.0,33.0,11.0
664,23.0,58.0,2.0,35.0,0.0,18.0,7.0,21.0,60.0,5.0,1.0,12.0,61.0,20.0,63.0,14.0,37.0,24.0,64.0,8.0,10.0,17.0,45.0,32.0,4.0,36.0,3.0,19.0,40.0,28.0
713,5.0,4.0,0.0,6.0,26.0,31.0,12.0,24.0,18.0,36.0,21.0,11.0,58.0,22.0,7.0,25.0,42.0,45.0,14.0,19.0,28.0,9.0,3.0,30.0,29.0,1.0,8.0,50.0,33.0,10.0
762,2.0,17.0,0.0,3.0,1.0,23.0,26.0,18.0,61.0,31.0,27.0,34.0,62.0,60.0,64.0,12.0,22.0,36.0,10.0,15.0,8.0,4.0,45.0,29.0,32.0,33.0,28.0,5.0,37.0,6.0
811,1.0,3.0,7.0,6.0,2.0,33.0,0.0,24.0,56.0,17.0,11.0,21.0,20.0,54.0,19.0,60.0,41.0,23.0,61.0,5.0,45.0,25.0,26.0,30.0,4.0,32.0,27.0,29.0,13.0,16.0
860,4.0,56.0,1.0,31.0,3.0,27.0,0.0,55.0,59.0,13.0,17.0,14.0,5.0,58.0,60.0,7.0,18.0,21.0,16.0,65.0,35.0,24.0,25.0,50.0,36.0,34.0,2.0,49.0,23.0,11.0
909,0.0,6.0,1.0,23.0,11.0,9.0,5.0,60.0,2.0,40.0,8.0,20.0,63.0,61.0,16.0,46.0,41.0,35.0,19.0,62.0,24.0,10.0,45.0,26.0,31.0,4.0,3.0,56.0,37.0,17.0
958,9.0,7.0,0.0,10.0,11.0,56.0,38.0,8.0,63.0,14.0,18.0,34.0,16.0,31.0,13.0,21.0,22.0,28.0,46.0,62.0,41.0,17.0,1.0,27.0,51.0,3.0,29.0,54.0,43.0,26.0
1007,30.0,8.0,13.0,31.0,25.0,33.0,2.0,54.0,17.0,36.0,46.0,3.0,57.0,12.0,59.0,60.0,22.0,45.0,16.0,23.0,29.0,24.0,15.0,26.0,10.0,11.0,58.0,38.0,6.0,48.0
1056,0.0,1.0,12.0,11.0,2.0,23.0,7.0,55.0,59.0,20.0,38.0,8.0,14.0,56.0,15.0,22.0,5.0,45.0,13.0,58.0,3.0,50.0,24.0,26.0,28.0,31.0,64.0,25.0,16.0,49.0
1105,0.0,1.0,27.0,10.0,11.0,30.0,37.0,8.0,19.0,17.0,35.0,3.0,18.0,7.0,5.0,62.0,40.0,44.0,14.0,6.0,34.0,24.0,2.0,28.0,9.0,32.0,50.0,26.0,43.0,22.0
1154,4.0,0.0,7.0,29.0,24.0,10.0,2.0,6.0,15.0,14.0,38.0,11.0,65.0,17.0,23.0,60.0,20.0,21.0,22.0,57.0,32.0,49.0,3.0,27.0,5.0,30.0,8.0,28.0,43.0,48.0
1203,0.0,11.0,10.0,8.0,1.0,30.0,21.0,17.0,13.0,19.0,48.0,6.0,14.0,62.0,26.0,56.0,23.0,25.0,9.0,4.0,2.0,63.0,28.0,57.0,5.0,60.0,37.0,32.0,65.0,53.0
1252,31.0,1.0,3.0,55.0,27.0,6.0,10.0,52.0,25.0,35.0,38.0,11.0,18.0,16.0,21.0,23.0,42.0,45.0,61.0,54.0,30.0,65.0,0.0,58.0,5.0,32.0,8.0,28.0,19.0,49.0
1301,9.0,6.0,1.0,27.0,12.0,7.0,0.0,59.0,19.0,42.0,44.0,4.0,61.0,21.0,47.0,63.0,3.0,34.0,16.0,60.0,31.0,57.0,2.0,33.0,10.0,11.0,46.0,8.0,37.0,26.0
1350,29.0,4.0,10.0,60.0,25.0,26.0,5.0,62.0,14.0,40.0,48.0,0.0,59.0,13.0,8.0,56.0,20.0,2.0,55.0,6.0,1.0,38.0,11.0,37.0,30.0,32.0,9.0,64.0,65.0,50.0
1399,0.0,3.0,7.0,1.0,4.0,49.0,38.0,53.0,22.0,34.0,45.0,13.0,21.0,15.0,11.0,14.0,41.0,20.0,17.0,8.0,25.0,50.0,23.0,29.0,5.0,26.0,30.0,47.0,31.0,48.0
1448,6.0,22.0,10.0,8.0,11.0,65.0,29.0,23.0,19.0,4.0,43.0,3.0,18.0,1.0,13.0,5.0,31.0,35.0,48.0,20.0,38.0,58.0,2.0,33.0,7.0,27.0,28.0,57.0,37.0,26.0
1497,0.0,5.0,7.0,2.0,9.0,54.0,33.0,18.0,62.0,37.0,23.0,20.0,14.0,60.0,4.0,12.0,31.0,1.0,22.0,61.0,10.0,6.0,3.0,28.0,32.0,52.0,48.0,29.0,36.0,41.0
1546,15.0,12.0,1.0,3.0,45.0,19.0,39.0,18.0,61.0,37.0,2.0,38.0,62.0,59.0,22.0,8.0,7.0,13.0,64.0,31.0,14.0,17.0,0.0,24.0,6.0,56.0,5.0,4.0,30.0,44.0
1595,0.0,1.0,2.0,8.0,3.0,51.0,7.0,21.0,15.0,44.0,19.0,43.0,16.0,56.0,17.0,60.0,6.0,20.0,18.0,14.0,4.0,11.0,23.0,10.0,5.0,33.0,34.0,22.0,38.0,64.0
1644,0.0,4.0,25.0,2.0,24.0,36.0,3.0,6.0,7.0,33.0,17.0,14.0,8.0,55.0,60.0,61.0,39.0,43.0,62.0,16.0,11.0,13.0,1.0,54.0,50.0,5.0,57.0,47.0,31.0,65.0
1693,0.0,3.0,31.0,4.0,25.0,24.0,11.0,55.0,59.0,37.0,47.0,8.0,60.0,58.0,18.0,19.0,15.0,10.0,20.0,16.0,27.0,21.0,1.0,33.0,2.0,56.0,30.0,64.0,22.0,66.0
1742,0.0,4.0,27.0,32.0,24.0,37.0,9.0,16.0,59.0,35.0,38.0,36.0,21.0,56.0,61.0,20.0,10.0,11.0,62.0,58.0,26.0,7.0,1.0,5.0,3.0,30.0,6.0,64.0,33.0,49.0
1791,0.0,13.0,24.0,21.0,1.0,6.0,38.0,59.0,63.0,9.0,5.0,42.0,4.0,60.0,26.0,44.0,12.0,3.0,54.0,62.0,45.0,7.0,43.0,23.0,10.0,30.0,25.0,16.0,36.0,34.0
