,hsa-miR-142-5p,hsa-miR-10a,hsa-miR-21,hsa-miR-24,hsa-let-7e,hsa-miR-22,hsa-miR-223,hsa-miR-766,ebv-miR-BART18-3p,hsa-miR-744,hsa-miR-216a,hsa-miR-222,hsa-miR-526a+hsa-miR-518d-5p+hsa-miR-520c-5p,hsa-miR-130a,hsa-miR-424,hsa-miR-31,hsa-miR-151-3p,hsa-miR-224,hsa-miR-148a,hsa-miR-126,hsa-miR-593,hsa-miR-1180,hsa-miR-29b,hsa-miR-193a-5p,hsa-miR-135b,hsa-miR-34c-3p,hsa-miR-137,hsa-miR-28-5p,hsa-miR-545,hsa-miR-369-5p
18,0.0,1.0,3.0,4.0,7.0,5.0,25.0,55.0,16.0,50.0,2.0,6.0,14.0,11.0,9.0,122.0,18.0,38.0,53.0,68.0,23.0,17.0,24.0,52.0,12.0,191.0,10.0,315.0,77.0,331.0
67,0.0,2.0,1.0,5.0,7.0,3.0,11.0,12.0,33.0,163.0,28.0,48.0,97.0,8.0,17.0,57.0,20.0,25.0,109.0,6.0,186.0,24.0,45.0,101.0,14.0,462.0,18.0,494.0,36.0,29.0
116,0.0,8.0,3.0,6.0,2.0,4.0,10.0,23.0,13.0,50.0,11.0,26.0,218.0,1.0,7.0,149.0,28.0,41.0,21.0,9.0,127.0,14.0,265.0,58.0,168.0,38.0,5.0,527.0,47.0,22.0
165,0.0,1.0,3.0,5.0,9.0,6.0,4.0,51.0,93.0,112.0,15.0,2.0,14.0,30.0,13.0,301.0,38.0,105.0,50.0,43.0,80.0,318.0,12.0,36.0,34.0,615.0,42.0,134.0,110.0,8.0
214,0.0,1.0,7.0,2.0,15.0,5.0,14.0,19.0,25.0,326.0,89.0,51.0,24.0,3.0,11.0,31.0,9.0,12.0,26.0,23.0,264.0,44.0,248.0,4.0,180.0,88.0,8.0,625.0,16.0,63.0
263,0.0,1.0,2.0,7.0,5.0,24.0,26.0,9.0,245.0,68.0,12.0,18.0,183.0,8.0,55.0,329.0,4.0,37.0,52.0,19.0,10.0,6.0,30.0,138.0,34.0,25.0,27.0,174.0,61.0,131.0
312,0.0,1.0,4.0,2.0,93.0,10.0,3.0,24.0,75.0,320.0,33.0,8.0,9.0,5.0,112.0,526.0,37.0,6.0,132.0,7.0,143.0,25.0,205.0,48.0,56.0,40.0,20.0,57.0,11.0,14.0
361,0.0,3.0,5.0,1.0,6.0,11.0,2.0,23.0,304.0,22.0,58.0,61.0,361.0,9.0,51.0,74.0,86.0,64.0,10.0,29.0,17.0,13.0,30.0,41.0,4.0,164.0,47.0,84.0,60.0,21.0
410,1.0,0.0,4.0,9.0,16.0,2.0,3.0,5.0,13.0,28.0,45.0,126.0,32.0,6.0,47.0,347.0,41.0,18.0,14.0,12.0,484.0,103.0,25.0,149.0,8.0,66.0,127.0,487.0,24.0,95.0
459,1.0,0.0,6.0,2.0,10.0,9.0,156.0,24.0,7.0,101.0,189.0,12.0,19.0,5.0,117.0,132.0,547.0,42.0,99.0,15.0,66.0,100.0,11.0,240.0,33.0,197.0,183.0,559.0,8.0,49.0
508,1.0,0.0,23.0,39.0,9.0,8.0,27.0,7.0,15.0,6.0,102.0,2.0,10.0,4.0,57.0,3.0,31.0,51.0,14.0,20.0,19.0,99.0,11.0,5.0,45.0,17.0,288.0,97.0,125.0,32.0
557,4.0,1.0,7.0,5.0,2.0,10.0,57.0,37.0,15.0,0.0,22.0,13.0,6.0,14.0,63.0,12.0,32.0,9.0,20.0,36.0,8.0,113.0,3.0,11.0,55.0,30.0,18.0,284.0,137.0,23.0
606,0.0,6.0,10.0,4.0,2.0,38.0,13.0,31.0,3.0,1.0,14.0,11.0,19.0,22.0,16.0,23.0,36.0,8.0,5.0,32.0,83.0,28.0,224.0,64.0,53.0,7.0,52.0,96.0,114.0,607.0
655,3.0,0.0,23.0,4.0,1.0,11.0,12.0,5.0,17.0,2.0,51.0,7.0,9.0,24.0,31.0,82.0,30.0,20.0,16.0,19.0,6.0,10.0,13.0,14.0,50.0,183.0,335.0,15.0,126.0,102.0
704,1.0,17.0,7.0,12.0,0.0,2.0,8.0,28.0,11.0,25.0,21.0,16.0,9.0,15.0,14.0,4.0,298.0,6.0,18.0,134.0,26.0,89.0,267.0,10.0,34.0,189.0,3.0,58.0,205.0,72.0
753,3.0,1.0,2.0,0.0,4.0,5.0,69.0,108.0,8.0,7.0,24.0,9.0,13.0,39.0,14.0,29.0,35.0,49.0,18.0,45.0,30.0,174.0,63.0,16.0,72.0,17.0,12.0,301.0,11.0,62.0
802,4.0,2.0,1.0,7.0,0.0,5.0,23.0,20.0,3.0,9.0,6.0,31.0,26.0,505.0,33.0,13.0,96.0,34.0,15.0,253.0,25.0,139.0,88.0,136.0,36.0,111.0,19.0,38.0,179.0,97.0
851,0.0,4.0,5.0,3.0,1.0,17.0,10.0,11.0,14.0,7.0,13.0,2.0,15.0,28.0,16.0,8.0,72.0,6.0,31.0,30.0,23.0,22.0,12.0,19.0,37.0,38.0,9.0,26.0,184.0,33.0
900,0.0,17.0,31.0,2.0,11.0,5.0,16.0,121.0,3.0,12.0,19.0,26.0,8.0,22.0,7.0,13.0,180.0,24.0,77.0,1.0,30.0,139.0,6.0,18.0,251.0,125.0,44.0,39.0,435.0,21.0
949,0.0,2.0,1.0,3.0,7.0,4.0,23.0,18.0,8.0,39.0,16.0,9.0,30.0,13.0,63.0,273.0,12.0,81.0,24.0,10.0,99.0,51.0,11.0,6.0,82.0,123.0,124.0,5.0,246.0,17.0
998,0.0,1.0,5.0,3.0,17.0,2.0,6.0,4.0,7.0,9.0,8.0,28.0,19.0,23.0,42.0,35.0,21.0,110.0,33.0,74.0,32.0,360.0,410.0,98.0,31.0,291.0,75.0,403.0,187.0,14.0
1047,0.0,5.0,4.0,3.0,6.0,7.0,1.0,13.0,17.0,2.0,12.0,22.0,35.0,102.0,75.0,20.0,9.0,36.0,15.0,100.0,21.0,74.0,261.0,14.0,10.0,45.0,113.0,88.0,133.0,29.0
1096,0.0,8.0,46.0,6.0,2.0,12.0,1.0,11.0,73.0,9.0,5.0,392.0,286.0,3.0,7.0,30.0,4.0,25.0,294.0,64.0,40.0,52.0,527.0,13.0,65.0,26.0,330.0,96.0,16.0,145.0
1145,0.0,12.0,4.0,2.0,3.0,17.0,1.0,13.0,6.0,45.0,10.0,56.0,93.0,7.0,11.0,19.0,63.0,5.0,30.0,29.0,273.0,25.0,75.0,60.0,133.0,159.0,15.0,198.0,28.0,31.0
1194,0.0,10.0,5.0,1.0,9.0,4.0,2.0,3.0,22.0,8.0,6.0,12.0,49.0,16.0,20.0,19.0,41.0,11.0,55.0,34.0,168.0,13.0,18.0,7.0,24.0,50.0,140.0,413.0,94.0,153.0
1243,0.0,7.0,2.0,4.0,3.0,13.0,1.0,10.0,6.0,8.0,14.0,15.0,16.0,17.0,18.0,9.0,19.0,104.0,79.0,64.0,48.0,32.0,52.0,405.0,53.0,43.0,552.0,44.0,190.0,33.0
1292,0.0,2.0,3.0,1.0,21.0,10.0,6.0,7.0,19.0,5.0,24.0,57.0,14.0,17.0,27.0,12.0,13.0,28.0,49.0,23.0,22.0,33.0,195.0,18.0,35.0,48.0,63.0,322.0,26.0,344.0
1341,0.0,7.0,3.0,4.0,16.0,12.0,1.0,5.0,10.0,6.0,101.0,9.0,256.0,2.0,23.0,30.0,25.0,27.0,98.0,44.0,41.0,164.0,504.0,20.0,68.0,18.0,172.0,157.0,29.0,112.0
1390,0.0,10.0,12.0,8.0,93.0,4.0,2.0,1.0,14.0,3.0,25.0,57.0,189.0,48.0,390.0,38.0,17.0,18.0,20.0,320.0,326.0,30.0,28.0,60.0,106.0,597.0,42.0,111.0,82.0,15.0
